substance_id,name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,status,source,curator_notes
cas:1094520-55-4,tetrabutylammonium fluoride - 2-methylpropan-2-ol,TBAF(t-BuOH)4,1094520-55-4,CC(C)(C)O.CC(C)(C)O.CC(C)(C)O.CC(C)(C)O.CCCC[N+](CCCC)(CCCC)CCCC.[F-],C32H76FNO4,,,557.9,,,,,base,fluoride,,other_reagent,misc_general,,active,pubchem:cid:25112410,
cas:1034901-50-2,"[4,4'-Bis(1,1-dimethylethyl)-2,2'-bipyridine] nickel (II) dichloride",,1034901-50-2,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.[Cl][Ni][Cl],C18H24Cl2N2Ni,,,398.003,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:156589138,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): catalyst. CAS evidence: supplier/registry name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:1157867-61-2,"1,3-Bis(2,6-di(pentan-3-yl)phenyl)-1H-imidazol-3-ium chloride",,1157867-61-2,CCC(CC)c1cccc(C(CC)CC)c1-n1cc[n+](-c2c(C(CC)CC)cccc2C(CC)CC)c1.[Cl-],C35H53ClN2,,,537.276,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:92132781,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:123640-38-0,"2,6-Di(1-pyrazolyl)pyridine",,123640-38-0,c1cc(-n2cccn2)nc(-n2cccn2)c1,C11H9N5,,,211.228,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:11816656,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier/registry name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:1239478-87-5,Ad-BippyPhos,,1239478-87-5,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)cc1,C44H47N4P,,,662.862,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:46939809,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier/registry name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:1242759-01-8,2-(2-Methoxyphenyl)-1-methyl-3-diphenylphosphino-1H-indole,,1242759-01-8,COc1ccccc1-c1c(P(c2ccccc2)c2ccccc2)c2ccccc2n1C,C28H24NOP,,,421.48,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:56949992,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:1314-80-3,Phosphorus sulfide (P2S5),,1314-80-3,S=P12SP3(=S)SP(=S)(S1)SP(=S)(S2)S3,P4S10,solid,,444.566,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:14817,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): additive. CAS evidence: CAS Common Chemistry / established registry identity. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:1385042-42-1,P(o-Tol)3 Pd(crotyl)Cl,,1385042-42-1,C[C-]=CC.Cc1ccccc1[PH+](c1ccccc1C)c1ccccc1C.[Cl][Pd+],C25H29ClPPd+,,,502.354,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:177896871,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): catalyst. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:1394382-56-9,"Pyridine-2,6-dicarboximidamide dihydrochloride",,1394382-56-9,Cl.Cl.N=C(N)c1cccc(C(=N)N)n1,C7H11Cl2N5,,,236.106,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:23373305,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:1651823-59-4,"Bis(adamantan-1-yl)(butyl)phosphane; (2'-amino-(1,1'-biphenyl)-2-yl)palladio methanesulfonate",,1651823-59-4,CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.CS(=O)(=O)O.Nc1ccccc1-c1[c-]cccc1.[Pd],C37H53NO3PPdS-,,,729.296,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:117064761,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): catalyst. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
