Reaction Type,FG1,FG2,n_rows,n_eln,top_coupling_reagent,top_catalyst,top_ligand,top_base,top_solvent,top_additive,ReactionType_Detailed,ReactionType_SubtypeTag
Activation,Alkyl-OH a-branch,Alkyl-OH a-branch,240,1,PEP-K,,No Ligand,lutidine,MeCN,,Activation of α-branched alcohol (secondary/tertiary),Activation__Alkyl-OH a-branch
Addition,Alkyl-H acidic,RCN,96,1,,,No Ligand,DMAP,THF,HFIP,Addition: acidic C–H (enolizable / activated methylene) + nitrile,Addition__Alkyl-H acidic + RCN
Alkylation,Alkyl-OSO2R,arom. NH,480,3,,,No Ligand,Cs2CO3,DMF,LiI,Alkylation: alkyl sulfonate (mesylate/tosylate) + aromatic N–H (heteroaryl/aryl NH),Alkylation__Alkyl-OSO2R + arom. NH
Alkylation,Alkyl-Cl,R2NH a-branch,192,1,,,No Ligand,K2CO3,acetone,LiI,Alkylation: alkyl chloride + α-branched secondary alkyl amine,Alkylation__Alkyl-Cl + R2NH a-branch
Alkylation,Alkyl-Br,RCONHR,96,1,,,No Ligand,K3PO4,tAmOH,TBAI,Alkylation: alkyl bromide + secondary amide,Alkylation__Alkyl-Br + RCONHR
Alkylation,Alkyl-H acidic,ArBr,96,1,,QPhos Pd(crotyl)Cl,QPhos,LiHMDS,THF,LiBr,Alkylation: acidic C–H (enolizable / activated methylene) + aryl bromide,Alkylation__Alkyl-H acidic + ArBr
Alkylation,Alkyl-Cl,R3N,48,1,,,No Ligand,,MEK,NaI,Alkylation: alkyl chloride + tertiary amine,Alkylation__Alkyl-Cl + R3N
Alkylation,Alkyl-Br,R3N,24,1,,,No Ligand,NaHCO3,PhMe,NaI,Alkylation: alkyl bromide + tertiary amine,Alkylation__Alkyl-Br + R3N
Alkylation,Alkyl-Br,RNH2,24,1,,,No Ligand,Cs2CO3,DMSO,,Alkylation: alkyl bromide + primary alkyl amine,Alkylation__Alkyl-Br + RNH2
Alkylation,Alkyl-I,R3N,24,1,,,No Ligand,,MEK,TBAI,Alkylation: alkyl iodide + tertiary amine,Alkylation__Alkyl-I + R3N
Amide coupling,ArNH2,RCO2H or M,1488,10,DIC,,No Ligand,NMI,MeCN,HOPO,Amide coupling: primary aryl amine (aniline-type) + carboxylic acid / carboxylate (metal salt),Amide coupling__ArNH2 + RCO2H or M
Amide coupling,RCO2H or M,RNH2 a-branch,1056,5,DIC,,No Ligand,NMI,THF,HOPO,Amide coupling: carboxylic acid / carboxylate (metal salt) + α-branched primary alkyl amine,Amide coupling__RCO2H or M + RNH2 a-branch
Amide coupling,RCO2H or M,RNH2,384,2,DIC,,No Ligand,DIPEA,MeCN,BSTFA,Amide coupling: carboxylic acid / carboxylate (metal salt) + primary alkyl amine,Amide coupling__RCO2H or M + RNH2
Amide coupling,R2NH a-branch,RCO2H or M,336,1,DIC,,No Ligand,NMM,DMI,HOPO,Amide coupling: α-branched secondary alkyl amine + carboxylic acid / carboxylate (metal salt),Amide coupling__R2NH a-branch + RCO2H or M
Amide coupling,RCO2H or M,RCO2H or M,312,1,DIC,,No Ligand,NMM,THF,HOSu,Amide coupling of carboxylic acid / carboxylate (metal salt),Amide coupling__RCO2H or M
Amide coupling,RNH2,RNH2,192,1,DIC,,No Ligand,NMM,tAmOH,HOSu,Amide coupling of primary alkyl amine,Amide coupling__RNH2
Amide coupling,R2NH,RCO2H or M,96,1,PyBrOP,,No Ligand,DBU,DMF,,Amide coupling: secondary alkyl amine + carboxylic acid / carboxylate (metal salt),Amide coupling__R2NH + RCO2H or M
