"ELN_ID","PLATENUMBER","Coordinate","AREA_TOTAL_REDUCED","Base","Catalyst","Solvent","Ligand","Additive","Coupling Reagent","Secondary Solvent","Tertiary Solvent","Reaction Type","FG A","FG B","FG_sorted","z-Score","output_column"
"ELN031853-003",1,"A1",48.01,"K2CO3","XantPhos Pd(allyl)Cl","DMAc","XantPhos","KOPiv",,"water",,"CH-Activation","ArH","ArBr","ArBr, ArH",0.42,"17 h at 25 °C"
"ELN031853-003",2,"A1",76.99,"K2CO3","XantPhosPdCl2","anisole","XantPhos","KOPiv",,"NMP",,"CH-Activation","ArH","ArBr","ArBr, ArH",1.34,"21 h at 25 °C"
"ELN031853-003",3,"A1",39.24,"K2CO3, NMI","XantPhosPdCl2","anisole","XantPhos","KOPiv",,,,"CH-Activation","ArH","ArBr","ArBr, ArH",0.14,"23 h at 25 °C"
"ELN031853-003",4,"A1",24.36,"K2CO3","XantPhosPdCl2","anisole","XantPhos","KOPiv, water",,,,"CH-Activation","ArH","ArBr","ArBr, ArH",-0.33,"47 h at 25 °C"
"ELN031853-003",5,"A1",87.46,"K2CO3","XantPhosPdCl2","anisole","Xantphos, XantPhos","KOPiv, water",,,,"CH-Activation","ArH","ArBr","ArBr, ArH",1.67,"45 h at 25 °C"
"ELN032036-004",1,"A1",38.07,"K3PO4","PPh3)2PdCl2","PhMe","PPh3",,,"water",,"Suzuki-Miyaura","ArBr","ArB(OR)2","ArB(OR)2, ArBr",-0.48,"4 h at 25 °C"
"ELN032036-004",2,"A1",2.03,"K3PO4","PPh3)2PdCl2","THF","PPh3",,,"water",,"Suzuki-Miyaura","ArBr","ArB(OR)2","ArB(OR)2, ArBr",-1.67,"3 h at 25 °C"
"ELN032036-004",4,"A1",76.93,"Na2CO3","PPh3)2PdCl2","THF","PPh3",,,"water",,"Suzuki-Miyaura","ArBr","ArB(OR)2","ArB(OR)2, ArBr",0.8,"24 h at 25 °C"
"ELN032036-005",1,"A1",2.87,"K2CO3","[Pd(allyl)(JohnPhos)]OTf","Dioxane","JohnPhos",,,,,"Buchwald-Hartwig","ArNH2","ArBr","ArBr, ArNH2",-0.5,"unknown time/temp"
"ELN032036-007",1,"A1",0,"Cs2CO3","P(tBu)3 Pd(crotyl)Cl","THF","P(tBu)3",,,,,"Buchwald-Hartwig","ArBr","R2NH","ArBr, R2NH",-0.65,
"ELN032036-009",1,"A1",40.06,"NaHCO3","P(tBu)3 Pd(crotyl)Cl","iPrOAc","P(tBu)3",,,"water",,"Suzuki-Miyaura","ArB(OR)2","ArBr","ArB(OR)2, ArBr",0.81,"unknown time/temp"
"ELN032036-010",1,"A1",11.66,"Cs2CO3","XantPhosPdCl2","MeTHF","XantPhos",,,,,"Buchwald-Hartwig","R2NH","ArCl","ArCl, R2NH",-1.42,"4 h at 25 °C"
"ELN032036-011",1,"A1",63.56,"Cs2CO3","XantPhosPdCl2","MeTHF","XantPhos",,,,,"Buchwald-Hartwig","ArCl","ArNHR","ArCl, ArNHR",-0.35,"5 h at 25 °C"
"ELN032036-012",1,"A1",2.2,"Na2CO3","XantPhosPdCl2","MeTHF","XantPhos",,,,,"Buchwald-Hartwig","ArNHR","ArBr","ArBr, ArNHR",-1.74,"5 h at 25 °C"
"ELN032036-015",1,"A1",0,"Cs2CO3","XantPhosPdCl2","MeTHF","XantPhos",,,,,"Buchwald-Hartwig","R2NH","ArBr","ArBr, R2NH",-0.43,
"ELN032036-016",1,"A1",0,"Na2CO3","XantPhosPdCl2","MeTHF","XantPhos",,,,,"Buchwald-Hartwig","ArBr","RNH2 a-branch","ArBr, RNH2 a-branch",-1.54,
"ELN032036-016",2,"A1",83.72,"Cs2CO3","XantPhosPdCl2","MeTHF","XantPhos",,,,,"Buchwald-Hartwig","ArBr","RNH2 a-branch","ArBr, RNH2 a-branch",1.39,"21 h at 25 °C"
"ELN032036-017",1,"A1",67.01,"Cs2CO3","XantPhosPdCl2","Dioxane","XantPhos",,,,,"Buchwald-Hartwig","R2NH","ArBr","ArBr, R2NH",1.09,"unknown time/temp"
"ELN032036-018",1,"A1",2.28,"Cs2CO3","XantPhosPdCl2","MeTHF","XantPhos",,,,,"Buchwald-Hartwig","R2NH","ArCl","ArCl, R2NH",-0.21,"16 h at 25 °C"
"ELN032036-019",1,"A1",0.77,"Na2CO3","SPhos Pd G2","MeTHF","SPhos",,,,,"Buchwald-Hartwig","ArNHR","ArCl","ArCl, ArNHR",-0.9,"21 h at 25 °C"
"ELN032036-020",1,"A1",81.19,"Cs2CO3","XantPhosPdCl2","MeTHF","XantPhos",,,,,"Buchwald-Hartwig","Ar2NH","ArBr","Ar2NH, ArBr",3.09,"21 h at 25 °C"
"ELN032036-022",1,"A1",0,"Cs2CO3","XantPhosPdCl2","MeTHF","XantPhos",,,,,"Buchwald-Hartwig","Lactam","ArCl","ArCl, Lactam",-0.46,
"ELN032036-023",1,"A1",22.57,"Cs2CO3","XantPhosPdCl2","MeTHF","XantPhos",,,,,"Buchwald-Hartwig","RCONH2","ArBr","ArBr, RCONH2",0.22,"20 h at 25 °C"
"ELN032036-030",1,"A1",45.57,"NaOtBu",,"PhMe","No Ligand",,"PyBrOP",,,"Condensation","Lactam","RNH2","Lactam, RNH2",0.96,"14 h at 25 °C"
"ELN032036-030",2,"A1",22.07,"NaOtBu",,"TBME","No Ligand",,"PyBrOP",,,"Condensation","Lactam","RNH2","Lactam, RNH2",-0.69,"15 h at 25 °C, then 0 h at 60 °C"
"ELN032036-030",3,"A1",29.83,"NaOtPent",,"NMP","No Ligand",,"pyBOP",,,"Condensation","Lactam","RNH2","Lactam, RNH2",-0.14,"18 h at 25 °C"
"ELN032036-034",1,"A1",0,"K3PO4","PPh3)2PdCl2","PhMe","PPh3",,,"water",,"Suzuki-Miyaura","ArCl","alkeneB(OR)2","alkeneB(OR)2, ArCl",-0.39,
"ELN032036-036",1,"A1",1.65,"Cs2CO3","[Pd(allyl)(Ad-BippyPhos)]OTf","PhMe","Ad-BippyPhos",,,,,"CO-Coupling","Alkyl-OH a-branch","ArBr","Alkyl-OH a-branch, ArBr",-0.53,"18 h at 25 °C"
"ELN032036-036",2,"A1",0,"NaOtBu","CuI","Dioxane","trans-NN-Dimethylcyclohexane-12-diamine",,,,,"CO-Coupling","Alkyl-OH a-branch","ArBr","Alkyl-OH a-branch, ArBr",-0.79,
"ELN032036-036",3,"A1",18.4,"K3PO4","Copper(II)acetate","MeCN","NN-Dibenzyloxamide",,,,,"CO-Coupling","Alkyl-OH a-branch","ArBr","Alkyl-OH a-branch, ArBr",2.06,"24 h at 100 °C"
"ELN032036-036",4,"A1",11.42,"K3PO4","Copper(II)acetate","DMF","diphenethyloxamide","water",,,,"CO-Coupling","Alkyl-OH a-branch","ArBr","Alkyl-OH a-branch, ArBr",0.98,"24 h at 25 °C"
"ELN032036-038",1,"A1",19.18,"Cs2CO3","XantPhosPdCl2","Dioxane","XantPhos",,,,,"Buchwald-Hartwig","arom. NH","ArCl","ArCl, arom. NH",-0.52,"14 h at 25 °C"
"ELN032036-039",1,"A1",30.87,"LiHMDS",,"PhMe","No Ligand",,,,,"Wittig","R2CO","RCH2PPh3X","R2CO, RCH2PPh3X",-0.77,"0.17 h at 25 °C"
