Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent
CH-Activation,48.01,0.42,ArH,ArBr,ArBr,,ArX*,,XantPhos Pd(allyl)Cl,XantPhos,K2CO3,DMAc,water,KOPiv,
CH-Activation,76.99,1.34,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,XantPhos,K2CO3,anisole,NMP,KOPiv,
CH-Activation,39.24,0.14,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,XantPhos,"K2CO3, NMI",anisole,,KOPiv,
CH-Activation,24.36,-0.33,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,XantPhos,K2CO3,anisole,,"KOPiv, water",
CH-Activation,87.46,1.67,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,"Xantphos, XantPhos",K2CO3,anisole,,"KOPiv, water",
Suzuki-Miyaura,38.07,-0.48,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K3PO4,PhMe,water,,
Suzuki-Miyaura,2.03,-1.67,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K3PO4,THF,water,,
Suzuki-Miyaura,76.93,0.8,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,Na2CO3,THF,water,,
Buchwald-Hartwig,2.87,-0.5,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,[Pd(allyl)(JohnPhos)]OTf,JohnPhos,K2CO3,Dioxane,,,
Buchwald-Hartwig,0.0,-0.65,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Cs2CO3,THF,,,
Suzuki-Miyaura,40.06,0.81,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,NaHCO3,iPrOAc,water,,
Buchwald-Hartwig,11.66,-1.42,R2NH,ArCl,ArCl,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,
Buchwald-Hartwig,63.56,-0.35,ArCl,ArNHR,ArCl,ArNHR,ArX*,Aniline-type,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,
Buchwald-Hartwig,2.2,-1.74,ArNHR,ArBr,ArBr,ArNHR,ArX*,Aniline-type,XantPhosPdCl2,XantPhos,Na2CO3,MeTHF,,,
Buchwald-Hartwig,0.0,-0.43,R2NH,ArBr,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,
Buchwald-Hartwig,0.0,-1.54,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Na2CO3,MeTHF,,,
Buchwald-Hartwig,83.72,1.39,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,
Buchwald-Hartwig,67.01,1.09,R2NH,ArBr,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Cs2CO3,Dioxane,,,
Buchwald-Hartwig,2.28,-0.21,R2NH,ArCl,ArCl,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,
Buchwald-Hartwig,0.77,-0.9,ArNHR,ArCl,ArCl,ArNHR,ArX*,Aniline-type,SPhos Pd G2,SPhos,Na2CO3,MeTHF,,,
Buchwald-Hartwig,81.19,3.09,Ar2NH,ArBr,ArBr,Ar2NH,ArX*,Aniline-type,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,
Buchwald-Hartwig,0.0,-0.46,Lactam,ArCl,ArCl,Lactam,ArX*,Amide-type,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,
Buchwald-Hartwig,22.57,0.22,RCONH2,ArBr,ArBr,RCONH2,ArX*,Amide-type,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,
Condensation,45.57,0.96,Lactam,RNH2,,"Lactam, RNH2",,"Aliphatic-amine, Amide-type",,No Ligand,NaOtBu,PhMe,,,PyBrOP
Condensation,22.07,-0.69,Lactam,RNH2,,"Lactam, RNH2",,"Aliphatic-amine, Amide-type",,No Ligand,NaOtBu,TBME,,,PyBrOP
Condensation,29.83,-0.14,Lactam,RNH2,,"Lactam, RNH2",,"Aliphatic-amine, Amide-type",,No Ligand,NaOtPent,NMP,,,pyBOP
Suzuki-Miyaura,0.0,-0.39,ArCl,alkeneB(OR)2,ArCl,alkeneB(OR)2,ArX*,RB*,PPh3)2PdCl2,PPh3,K3PO4,PhMe,water,,
CO-Coupling,1.65,-0.53,Alkyl-OH a-branch,ArBr,ArBr,ROH-a-branch,ArX*,ROH,[Pd(allyl)(Ad-BippyPhos)]OTf,Ad-BippyPhos,Cs2CO3,PhMe,,,
CO-Coupling,0.0,-0.79,Alkyl-OH a-branch,ArBr,ArBr,ROH-a-branch,ArX*,ROH,CuI,trans-NN-Dimethylcyclohexane-12-diamine,NaOtBu,Dioxane,,,
CO-Coupling,18.4,2.06,Alkyl-OH a-branch,ArBr,ArBr,ROH-a-branch,ArX*,ROH,Copper(II)acetate,NN-Dibenzyloxamide,K3PO4,MeCN,,,
CO-Coupling,11.42,0.98,Alkyl-OH a-branch,ArBr,ArBr,ROH-a-branch,ArX*,ROH,Copper(II)acetate,diphenethyloxamide,K3PO4,DMF,,water,
Buchwald-Hartwig,19.18,-0.52,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,XantPhosPdCl2,XantPhos,Cs2CO3,Dioxane,,,
Wittig,30.87,-0.77,R2CO,RCH2PPh3X,,,,,,No Ligand,LiHMDS,PhMe,,,
Buchwald-Hartwig,3.24,0.57,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,Pd2dba3.CHCl3,"cBRIDP, Missing",Cs2CO3,Dioxane,,water,
Buchwald-Hartwig,21.2,-0.08,R2NH,ArBr,ArBr,R2NH,ArX*,Aliphatic-amine,Pd2dba3.CHCl3,"cBRIDP, Missing",Cs2CO3,Dioxane,,water,
CH-Activation,0.0,-0.47,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,XantPhos,"K3PO4, NMI",anisole,,KOPiv,
Amide-coupling,2.76,-1.05,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,iPrOAc,,HOBt,EDC
Amide-coupling,7.0,-0.92,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,iPrOAc,,HOBt,BOP-Cl
Amide-coupling,1.97,-1.08,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,THF,,HOSu,DIC
Amide-coupling,99.13,1.86,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,THF,,HOSu,DIC
Buchwald-Hartwig,94.47,1.56,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,NaOtBu,PhMe,,,
Buchwald-Hartwig,0.0,-0.99,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,NaOtBu,TBME,,,
Buchwald-Hartwig,71.0,0.92,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,NaOtBu,cyclohexane,TBME,,
CH-Activation,4.02,-1.38,ArH,ArH,,,,,XantPhosPdCl2,XantPhos,"Cs2CO3, NMI",anisole,,"KOPiv, water",
