reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-10047627,Aldol (classic & Mukaiyama),82,,,O=Cc1ccc(Cl)cc1.C=C(O[Si](C)(C)C)c1ccccc1>>CC(=O)c1ccccc1.O=C(CC(O)c1ccc(Cl)cc1)c1ccccc1,"Angewandte Chemie, International Edition (2014), 53(36), 9512-9516","130573-43-2, 215160-79-5","881667-60-3, 881667-67-0",,,67-56-1,,,,,,,1,1,82,8,,,,,,
31-006-CAS-10107023,Aldol (classic & Mukaiyama),84,,,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.CC(C)(C)OC(=O)N=Cc1ccc2ccccc2c1>>COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1ccc2ccccc2c1,"Synlett (2015), 26(6), 807-809","123-11-5, 92397-82-5",1717-85-7,76-05-1,1464815-28-8,"108-88-3, 75-09-2",,,,,,,2,1,84,,,,,,,"stereoselective, enantiomeric ratio = 94:6, Mukaiyama-Mannich reaction, capped vial used"
31-006-CAS-11055383,Aldol (classic & Mukaiyama),81,,,O=Cc1ccccc1.C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C>>COC(=O)CC(=O)C[C@H](O)c1ccccc1,"Tetrahedron Letters (2011), 52(9), 1003-1007","37542-28-2, 2061928-66-1",2061928-43-4,"546-68-9, 18531-99-2, 76-05-1, 144-55-8",,"109-99-9, 7732-18-5",,,,,,,4,1,81,,,,,,,"stereoselective, molecular sieves used"
31-006-CAS-11193665,Aldol (classic & Mukaiyama),86,,,COC(CCC(C)=O)(OC)c1ccccc1.CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC>>CCOC(=O)CC(CCC(C)(OC)O[Si](C)(C)C(C)(C)C)(OC)c1ccccc1,"Synlett (2015), 26(17), 2457-2461","455-19-6, 94153-64-7",2380091-13-2,121-44-8,1586034-88-9,60-29-7,,,,,,,2,1,86,,,,,,,"chemoselective, Mukaiyama Aldol addition, dr ratio 1:1.1"
31-006-CAS-11627033,Aldol (classic & Mukaiyama),88,,,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.CC(C)(C)OC(=O)N=Cc1cccc(F)c1>>COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1cccc(F)c1,"Synlett (2015), 26(6), 807-809","23751-16-8, 86340-78-5",2157397-05-0,76-05-1,1464815-28-8,"108-88-3, 75-09-2",,,,,,,2,1,88,,,,,,,"stereoselective, enantiomeric ratio = 91.5:8.5, Mukaiyama-Mannich reaction, capped vial used"
31-006-CAS-1172563,Aldol (classic & Mukaiyama),76,,,C=C(C)C=O.COC=C(C=C(OC(C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C>>C=C(C)C(O)C(OC)C(=O)CC(=O)OC(C)(C)C,"Organic Letters (2007), 9(26), 5565-5568","156276-23-2, 2061928-66-1",2061928-42-3,"13283-31-3, 144-55-8, 76-05-1",68005-71-0,"75-09-2, 109-99-9, 7732-18-5",,,,,,"tert-Butyl 5-hydroxy-4-methoxy-6-methyl-3-oxo-6-heptenoate 9bTo a solution of N-Ts-D-valine (0.20 g, 25 mol %, 0.75 mmol) in dry DCM (10mL) was added BH3 (0.75 mL of a 1.0 M solution in THF, 25 mol %, 0.75 mmol) dropwise over 0.5h.The mixture was stirred for a further 0.5h, and the temperature lowered to -78 °C. Methacrolein (0.26 mL, 3.00 mmol) was added dropwise, followed by a solution of 7b (1.00g, 3.00 mmol) in dry DCM (5 mL). The reaction was stirred for 6h at -78 °C then warmed to room temperature and stirred for a further 16h. After this time, saturated NaHCO3 (3 mL) was added and the reaction stirred for a further 0.5 h. The reaction mixture was diluted with DCM (20 mL), and the organic layer was washed with brine (20 mL), dried over MgSO4 and concentrated in vacuo. The residue was treated with cold hexane and filtered to recover the N-Ts-D-valine (with typically 90% recovery). The solution was re-concentrated in vacuo, and the residue diluted with THF (25 mL), cooled to 0 °C, and treated dropwise with a 10%aqueous solution of TFA (5 mL). After stirring for 2h, the solution was warmed to room temperature and partitioned between Et2O and H2O. The organic layer was washed with saturated NaHCO3 solution (20 mL) and finally brine (20 mL), before being dried over MgSO4 and concentrated in vacuo. Purification by column chromatography (silica gel, 4:1hexane / EtOAc as eluant) gave (0.59 g, 76%). tert-Butyl 5-hydroxy-4-methoxy-6-methyl-3-oxo-6-heptenoate 9b, yield 76%. νmax (film)/cm-1 3456 (b., O-H str.), 2979-2925 (several strong bands, C-H. str.), 1716 (strong, C=O str. ketone), 1649 (weak, C=C str.enol), 1367 (strong, -C(CH3)3 C-H str.), 1159 (2 bands, medium, C-O str.); δH (400 MHz)1.45 (9H, s, 3x(CH3)3), 1.79 (3H, d, J 4.5Hz, :CH(CH3)), 2.60 (1H, bs, -OH, exchanges with D2O), 3.45 (2H, s, -CH2-), 3.50 (3H, s, -OCH3), 3.80 (1H, d, J 4.5Hz, -CH(OMe)), 4.31 (1H,d, J 4.5Hz, -CH(OH)), 5.05 (1H, d, J 8.1Hz, :CH), 5.09 (1H, d, J 8.1Hz, :CH); δC (100 MHz)17.9 (:CH(CH3), 26.9 (-C(CH3)3), 46.4 (-CH2-), 58.9 (-OCH3), 74.3 (-CH(OH)), 79.6 (Cq, -C(CH3)3), 86.8 (-HC(OCH3), 112.0 (:CH2), 142.4 (Cq, -C:CH2), 165.7 (Cq, C=O ester), 204.0(Cq, C=O ketone); m/z (FAB+) 297 (MK+, 100%), 259 (MH+, 60%); (ES+) 259.1544 (100%,MH+, C13H23O5+ requires 259.1545).",4,1,76,,,,,,,aldol condensation
31-006-CAS-11905598,Aldol (classic & Mukaiyama),94,,,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.Cc1cc(C)cc(C=NC(=O)OC(C)(C)C)c1>>COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1cc(C)cc(C)c1,"Synlett (2015), 26(6), 807-809","1750-36-3, 31469-15-5",1946826-87-4,76-05-1,1464815-28-8,"108-88-3, 75-09-2",,,,,,,2,1,94,,,,,,,"stereoselective, enantiomeric ratio = 90:10, Mukaiyama-Mannich reaction, capped vial used"
31-006-CAS-12233499,Aldol (classic & Mukaiyama),79,,,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.COc1ccc2cc(C=NC(=O)OC(C)(C)C)ccc2c1>>COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1ccc2cc(OC)ccc2c1,"Synlett (2015), 26(6), 807-809","493-57-2, 2560618-42-8",2651946-10-8,76-05-1,1464815-28-8,"108-88-3, 75-09-2",,,,,,,2,1,79,,,,,,,"stereoselective, enantiomeric ratio = 92.5:7.5, Mukaiyama-Mannich reaction, capped vial used"
31-006-CAS-12675136,Aldol (classic & Mukaiyama),91,,,COC(CCC(=O)CC(C)C)(OC)c1ccccc1.CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC>>CCOC(=O)CC(CCC(=O)CC(C)C)(OC)c1ccccc1,"Synlett (2015), 26(17), 2457-2461","2608050-93-5, 37471-46-8",2608050-70-8,"121-44-8, 64-19-7",1586034-88-9,"60-29-7, 67-64-1, 7732-18-5",,,,,,,3,1,91,,,,,,,"chemoselective, Mukaiyama Aldol addition"
31-006-CAS-13006523,Aldol (classic & Mukaiyama),83,,,COC(CCC(C)=O)(OC)c1ccccc1.CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC>>CCOC(=O)CC(CCC(C)=O)(OC)c1ccccc1,"Synlett (2015), 26(17), 2457-2461","18854-19-8, 748164-67-2",882980-55-4,"121-44-8, 64-19-7",1586034-88-9,"60-29-7, 67-64-1, 7732-18-5",,,,,,,3,1,83,,,,,,,"chemoselective, Mukaiyama Aldol addition"
