reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-515-CAS-13637392,Barton–McCombie deoxygenation,81,,,COC(=O)[C@H](OC(=S)SC)[C@H](NC(=O)OC(C)(C)C)c1ccccc1>>CC(C)(C)OC(=O)N[C@@H](CCO)c1ccccc1,"Tetrahedron: Asymmetry (2007), 18(17), 2099-2103",1214912-86-3,1214912-87-4,16853-85-3,,"109-99-9, 7732-18-5",,,,,,,3,1,81,,,,,,,
31-533-CAS-12975696,Barton–McCombie deoxygenation,77,,,CSC(=S)OC12CC3CC(CC(C3)C1)C2>>C1C2CC3CC1CC(C2)C3,"Chemical Communications (Cambridge, United Kingdom) (2008), (26), 3025-3027",1424273-58-4,4026-27-1,"78-67-1, 1873-77-4",,108-88-3,,,,,,,1,1,77,,,,,,,"chemoselective, microreactor used, Barton-McCombie deoxygenation, method potentially safer for large-scale reactions than the corresponding batch reactions"
31-533-CAS-131365,Barton–McCombie deoxygenation,76,,,CC1(C)O[C@H]2[C@@H](O1)[C@@H](COC(=S)Oc1ccccc1)O[C@@H]1OC(C)(C)O[C@@H]12>>C[C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]2OC(C)(C)O[C@H]21,"Tetrahedron (2013), 69(10), 2251-2259",2375328-36-0,2375328-37-1,688-73-3,78-67-1,5614-37-9,,,,,,,1,1,76,,,,,,,"Barton-McCombie reduction, slow addition of tributyltin hydride/AIBN solution, 9% of starting material recovered, reaction in toluene gave similar yield, V-65-catalyzed reaction in THF at 70 oC gave lower yield (61%)"
31-533-CAS-165739,Barton–McCombie deoxygenation,89,,,CCCCCCCCCCCCOC(=S)SC>>CCCCCCCCCCCC,"Chemical Communications (Cambridge, United Kingdom) (2008), (26), 3025-3027",2243715-56-0,586967-35-3,"78-67-1, 1873-77-4",,108-88-3,,,,,,,1,1,89,,,,,,,"chemoselective, microreactor used, Barton-McCombie deoxygenation, method potentially safer for large-scale reactions than the corresponding batch reactions"
31-533-CAS-20460150,Barton–McCombie deoxygenation,75,,,COCO[C@H]([C@H](COC(=S)SC)[C@@H](O)[C@H](C)[C@H](OCc1ccccc1)[C@H](C)COC(=O)C(C)(C)C)[C@@H](C)C[C@H](C)[C@H](OCc1ccc(OC)cc1)[C@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C>>COCO[C@H]([C@H](C)[C@@H](O)[C@H](C)[C@H](OCc1ccccc1)[C@H](C)COC(=O)C(C)(C)C)[C@@H](C)C[C@H](C)[C@H](OCc1ccc(OC)cc1)[C@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,"ChemistrySelect (2018), 3(4), 1000-1003",2389226-52-0,2389226-53-1,688-73-3,78-67-1,108-88-3,,,,,,,1,1,75,,,,,,,Barton-McCombie deoxygenation
31-533-CAS-20888196,Barton–McCombie deoxygenation,75,,,COCO[C@H]([C@@H](C)[C@H](OCc1ccc(OC)cc1)[C@@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)[C@H](COC(=S)SC)[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](C)[C@H](OCc1ccccc1)[C@H](C)COC(=O)C(C)(C)C>>COCO[C@@H]([C@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](C)[C@H](OCc1ccccc1)[C@H](C)COC(=O)C(C)(C)C)[C@@H](C)[C@H](OCc1ccc(OC)cc1)[C@@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,"ChemistrySelect (2018), 3(40), 11316-11319",85335-71-3,570-74-1,688-73-3,78-67-1,108-88-3,,,,,,,1,1,75,,,,,,,overall yield 12% in nine steps
31-533-CAS-22488198,Barton–McCombie deoxygenation,91,,,COc1ccc(O[C@@H]2O[C@H](COC(=S)Oc3ccccc3)[C@H](O)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1>>COc1ccc(O[C@@H]2O[C@H](C)[C@H](O)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1,"Organic & Biomolecular Chemistry (2020), 18(26), 5017-5033",145345-66-0,81097-00-9,1873-77-4,78-67-1,108-88-3,,,,,,,1,1,91,,,,,,,"Barton-McCombie deoxygenation, alternative preparation shown"
31-533-CAS-22488201,Barton–McCombie deoxygenation,85,,,COc1ccc(O[C@@H]2O[C@H](COC(=S)Oc3ccccc3)[C@H](O)[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1>>COc1ccc(O[C@@H]2O[C@H](C)[C@H](O)[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1,"Organic & Biomolecular Chemistry (2020), 18(26), 5017-5033",2820486-41-5,2820486-42-6,1873-77-4,78-67-1,108-88-3,,,,,,,1,1,85,,,,,,,"Barton-McCombie deoxygenation, alternative preparation shown"
31-533-CAS-22488209,Barton–McCombie deoxygenation,80,,,CC(=O)N[C@H]1[C@H](OCC[Si](C)(C)C)O[C@H](CO[C@@H]2O[C@@H](COC(=S)Oc3ccccc3)[C@@H](O)[C@@H](OCc3ccccc3)[C@@H]2OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OC(C)=O>>CC(=O)N[C@H]1[C@H](OCC[Si](C)(C)C)O[C@H](CO[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](OCc3ccccc3)[C@@H]2OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OC(C)=O,"Organic & Biomolecular Chemistry (2020), 18(26), 5017-5033",925683-97-2,614752-28-2,1873-77-4,78-67-1,108-88-3,,,,,,,1,1,80,,,,,,,Barton-McCombie deoxygenation
31-533-CAS-4450965,Barton–McCombie deoxygenation,70,,,CSC(=S)OCCCCCCCCCCCl>>CCCCCCCCCCCl,"Chemical Communications (Cambridge, United Kingdom) (2008), (26), 3025-3027",1424273-59-5,"6742-54-7, 107224-27-1","78-67-1, 1873-77-4",,108-88-3,,,,,,,1,1,70,,,,,,,"chemoselective, microreactor used, Barton-McCombie deoxygenation, method potentially safer for large-scale reactions than the corresponding batch reactions"
