reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-031-CAS-15202213,Fischer indole synthesis,82,,,CI.CC(=NNc1ccccc1)c1ccccc1>>Cn1c(-c2ccccc2)cc2ccccc21,"Khimiya Geterotsiklicheskikh Soedinenii (1981), (3), 365-7","618-40-6, 109508-88-5",1639334-36-3,,,,,,,,,,1,1,82.0,,,,,,,
31-084-CAS-6672678,Fischer indole synthesis,78,,,CCOC(=O)/C(CC)=N\Nc1c(Cl)cccc1Cl>>CCOC(=O)c1[nH]c2c(Cl)cc(Cl)cc2c1C,"Chemical & Pharmaceutical Bulletin (1990), 38(3), 597-604",872191-38-3,872191-04-3,7646-85-7,,64-19-7,,,,,,,1,1,78.0,,,,,,,
31-085-CAS-12584000,Fischer indole synthesis,95,,,COC(=O)/C=C/C(C)=N/Nc1ccc(OC)cc1>>COC(=O)Cc1c(C)[nH]c2ccc(OC)cc12,"Chemistry - A European Journal (2016), 22(8), 2616-2619","108-94-1, 917085-04-2",917085-14-4,"558-17-8, 7772-98-7",,"75-05-8, 7732-18-5",,,,,,,2,1,95.0,,,,,,,Fischer indolization
31-085-CAS-9374959,Fischer indole synthesis,93,,,CCOC(=O)/C=C/C(=N/Nc1ccc(OC)cc1)c1ccccc1>>CCOC(=O)Cc1c(-c2ccccc2)[nH]c2ccc(OC)cc12,"Chemistry - A European Journal (2016), 22(8), 2616-2619",3741-87-5,3558-24-5,"558-17-8, 7772-98-7",,"75-05-8, 7732-18-5",,,,,,,2,1,93.0,,,,,,,Fischer indolization
31-298-CAS-11801837,Fischer indole synthesis,91,,,FC(F)(F)/C(Cc1ccccc1)=N/N(c1ccccc1)c1ccccc1>>O=C(Cc1ccccc1)C(F)(F)F.OC(O)(Cc1ccccc1)C(F)(F)F.FC(F)(F)c1c(-c2ccccc2)c2ccccc2n1-c1ccccc1,"Advanced Synthesis & Catalysis (2015), 357(13), 2939-2943",,,"7647-01-0, 7732-18-5",,109-99-9,,,,,,,1,1,,,91.0,,,,,"mixture yield, 5%"
31-305-CAS-14257468,Fischer indole synthesis,77,,,CCO.CCOC(=O)C(C)=NNc1ccc(O)c2nc(C#N)ccc12>>CCOC(=O)c1ccc2c(n1)c(O)cc1cc(C(=O)OCC)[nH]c12,"Journal of Organic Chemistry (1987), 52(10), 1942-5",275378-37-5,275378-17-1,7647-01-0,,64-17-5,,,,,,,1,1,77.0,,,,,,,
31-356-CAS-10421877,Fischer indole synthesis,85,,,CCOC(=O)C(CCCC(=O)O)=NNc1ccc(CN2CCOCC2)cc1.CCO>>CCOC(=O)CCc1c(C(=O)OCC)[nH]c2ccc(CN3CCOCC3)cc12,"Tetrahedron Letters (2008), 49(17), 2835-2838","617-35-6, 622-88-8",16732-70-0,"7647-01-0, 497-19-8",,"64-19-7, 64-17-5, 7732-18-5",,,,,,,3,1,85.0,,,,,,,
31-356-CAS-12541609,Fischer indole synthesis,85,,,CCOC(=O)C(CCCC(=O)O)=NNc1ccc(CN2CCCC2)cc1.CCO>>CCOC(=O)CCc1c(C(=O)OCC)[nH]c2ccc(CN3CCCC3)cc12,"Tetrahedron Letters (2008), 49(17), 2835-2838","1028577-60-7, 64-17-5",1028577-68-5,"7647-01-0, 497-19-8",,"64-19-7, 64-17-5, 7732-18-5",,,,,,,3,1,85.0,,,,,,,
31-356-CAS-1286376,Fischer indole synthesis,85,,,CCOC(=O)C(CCCCC(=O)O)=NNc1ccc(CN2CCCCC2)cc1.CCO>>CCOC(=O)CCCc1c(C(=O)OCC)[nH]c2ccc(CN3CCCCC3)cc12,"Tetrahedron Letters (2008), 49(17), 2835-2838","1028577-65-2, 64-17-5",1028577-74-3,"7647-01-0, 497-19-8",,"64-19-7, 64-17-5, 7732-18-5",,,,,,,3,1,85.0,,,,,,,
31-356-CAS-14502356,Fischer indole synthesis,73,,,CCO.CCOC(=O)C(CCCC(=O)O)=NNc1ccc(Cl)cc1>>CCOC(=O)CCc1c(C(=O)OCC)[nH]c2ccc(Cl)cc12,"Bioorganic & Medicinal Chemistry Letters (2012), 22(4), 1579-1581",1402073-78-2,1402073-81-7,"7664-93-9, 144-55-8",,"64-17-5, 7732-18-5",,,,,,,2,1,73.0,,,,,,,
