reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-287-CAS-22509705,Hantzsch synthesis,81,,,COC(=O)CC(C)=O.Cc1ccc(N=[N+]=[N-])cc1.C#CCOc1ccc(C=O)cc1>>COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc(OCc2cn(-c3ccc(C)cc3)nn2)cc1,"Synthetic Communications (2020), 50(13), 2033-2042","126-81-8, 2921816-57-9",2921816-40-0,"121-44-8, 134-03-2, 631-61-8",7758-98-7,67-68-5,,,,,,,1,1,81,,,,,,,"regioselective, product formed via Hantzsch reaction and Click reaction, optimization study, optimized on various reaction conditions"
31-287-CAS-22509706,Hantzsch synthesis,78,,,CCOC(=O)CC(C)=O.Cc1ccc(N=[N+]=[N-])cc1.C#CCOc1ccc(C=O)cc1>>CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccc(OCc2cn(-c3ccc(C)cc3)nn2)cc1,"Synthetic Communications (2020), 50(13), 2033-2042","141-97-9, 25016-01-7",2473878-54-3,"121-44-8, 134-03-2, 631-61-8",7758-98-7,67-68-5,,,,,,,1,1,78,,,,,,,"regioselective, product formed via Hantzsch reaction and Click reaction"
31-287-CAS-22509707,Hantzsch synthesis,76,,,C=CCOC(=O)CC(C)=O.Cc1ccc(N=[N+]=[N-])cc1.C#CCOc1ccc(C=O)cc1>>C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=C)C1c1ccc(OCc2cn(-c3ccc(C)cc3)nn2)cc1,"Synthetic Communications (2020), 50(13), 2033-2042","126-81-8, 141-97-9, 56442-17-2",379245-55-3,"121-44-8, 134-03-2, 631-61-8",7758-98-7,67-68-5,,,,,,,1,1,76,,,,,,,"regioselective, product formed via Hantzsch reaction and Click reaction"
31-287-CAS-22509708,Hantzsch synthesis,75,,,Cc1ccc(N=[N+]=[N-])cc1.CC(=O)CC(=O)OCc1ccccc1.C#CCOc1ccc(C=O)cc1>>CC1=C(C(=O)OCc2ccccc2)C(c2ccc(OCc3cn(-c4ccc(C)cc4)nn3)cc2)C(C(=O)OCc2ccccc2)=C(C)N1,"Synthetic Communications (2020), 50(13), 2033-2042","141-97-9, 1496517-92-0",2767508-96-1,"121-44-8, 134-03-2, 631-61-8",7758-98-7,67-68-5,,,,,,,1,1,75,,,,,,,"regioselective, product formed via Hantzsch reaction and Click reaction"
31-287-CAS-22509711,Hantzsch synthesis,72,,,CCOC(=O)CC(C)=O.[N-]=[N+]=Nc1ccc(Br)cc1.C#CCOc1ccc(C=O)cc1>>CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccc(OCc2cn(-c3ccc(Br)cc3)nn2)cc1,"Synthetic Communications (2020), 50(13), 2033-2042","105-45-3, 126-81-8, 2101-86-2, 5651-86-5",2460458-58-4,"121-44-8, 134-03-2, 631-61-8",7758-98-7,67-68-5,,,,,,,1,1,72,,,,,,,"regioselective, product formed via Hantzsch reaction and Click reaction"
31-287-CAS-22509712,Hantzsch synthesis,71,,,[N-]=[N+]=Nc1ccc(Br)cc1.CC(=O)CC(=O)OCc1ccccc1.C#CCOc1ccc(C=O)cc1>>CC1=C(C(=O)OCc2ccccc2)C(c2ccc(OCc3cn(-c4ccc(Br)cc4)nn3)cc2)C(C(=O)OCc2ccccc2)=C(C)N1,"Synthetic Communications (2020), 50(13), 2033-2042","120-57-0, 542-08-5",324577-08-4,"121-44-8, 134-03-2, 631-61-8",7758-98-7,67-68-5,,,,,,,1,1,71,,,,,,,"regioselective, product formed via Hantzsch reaction and Click reaction"
31-287-CAS-22509713,Hantzsch synthesis,79,,,CC1(C)CC(=O)CC(=O)C1.Cc1ccc(N=[N+]=[N-])cc1.C#CCOc1ccc(C=O)cc1>>Cc1ccc(-n2cc(COc3ccc(C4C5=C(CC(C)(C)CC5=O)NC5=C4C(=O)CC(C)(C)C5)cc3)nn2)cc1,"Synthetic Communications (2020), 50(13), 2033-2042","111-71-7, 141-97-9",53219-29-7,"121-44-8, 134-03-2, 631-61-8",7758-98-7,67-68-5,,,,,,,1,1,79,,,,,,,"regioselective, product formed via Hantzsch reaction and Click reaction"
31-287-CAS-22509714,Hantzsch synthesis,76,,,CC1(C)CC(=O)CC(=O)C1.[N-]=[N+]=Nc1ccc(F)cc1.C#CCOc1ccc(C=O)cc1>>CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2cn(-c3ccc(F)cc3)nn2)cc1,"Synthetic Communications (2020), 50(13), 2033-2042","141-97-9, 5651-83-2",2422150-75-0,"121-44-8, 134-03-2, 631-61-8",7758-98-7,67-68-5,,,,,,,1,1,76,,,,,,,"regioselective, product formed via Hantzsch reaction and Click reaction"
31-287-CAS-22509715,Hantzsch synthesis,72,,,CC1(C)CC(=O)CC(=O)C1.[N-]=[N+]=Nc1ccc(Br)cc1.C#CCOc1ccc(C=O)cc1>>CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2cn(-c3ccc(Br)cc3)nn2)cc1,"Synthetic Communications (2020), 50(13), 2033-2042","126-81-8, 17172-57-5",2212340-69-5,"121-44-8, 134-03-2, 631-61-8",7758-98-7,67-68-5,,,,,,,1,1,72,,,,,,,"regioselective, product formed via Hantzsch reaction and Click reaction"
31-287-CAS-22509716,Hantzsch synthesis,72,,,COC(=O)CC(C)=O.CC1(C)CC(=O)CC(=O)C1.Cc1ccc(N=[N+]=[N-])cc1.C#CCOc1ccc(C=O)cc1>>COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(OCc2cn(-c3ccc(C)cc3)nn2)cc1,"Synthetic Communications (2020), 50(13), 2033-2042","2101-88-4, 5396-89-4, 5651-86-5",2460458-54-0,"121-44-8, 134-03-2, 631-61-8",7758-98-7,67-68-5,,,,,,,1,1,72,,,,,,,"regioselective, product formed via Hantzsch reaction and Click reaction"
31-315-CAS-22617889,Hantzsch synthesis,82,,,NC(N)=O.O=Cc1ccccc1.CCOC(=O)CC(C)=O>>CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1.CCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1,"Applied Catalysis, A: General (2020), 590117301","57-13-6, 98-01-1, 141-97-9","23118-56-1, 123629-40-3",631-61-8,2393805-24-6,64-17-5,,,,,,,1,1,82,18.0,,,,,,"chemoselective, green chemistry-catalyst, catalyst prepared and used, recyclable catalyst"
31-329-CAS-21561963,Hantzsch synthesis,90,,,O=Cc1ccccc1.CC1(C)CC(=O)CC(=O)C1>>CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)CC(C)(C)C1)C2c1ccccc1,"Molecular Diversity (2020), 24(1), 283-294","126-81-8, 141-97-9, 591-31-1",299947-03-8,631-61-8,"919-30-2, 1437326-26-5",64-17-5,,,,reaction products with graphene oxide nanosheets,,,1,1,90,,,,,,,"amine functionalize graphene oxide catalyst prepared and used, reusable catalyst, Hantzsch pyridine synthesis"
