reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-004-CAS-20624455,Ir‑catalyzed C–H borylation,79,,,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CCC[N+](CCC)(CCC)CCC.O=S(=O)([O-])OCc1ccccc1OC(F)(F)F>>CC1(C)OB(c2ccc(CO)c(OC(F)(F)F)c2)OC1(C)C,"Journal of the American Chemical Society (2019), 141(39), 15483-15487","73183-34-3, 2110526-96-8",2110527-25-6,7647-01-0,"12148-71-9, 17217-57-1","123-91-1, 7732-18-5",,,,,,,2,1,79.0,,,,,,,regioselective
31-004-CAS-20624456,Ir‑catalyzed C–H borylation,79,,,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CC(OS(=O)(=O)[O-])c1ccccc1Br.CCC[N+](CCC)(CCC)CCC>>CC(O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1Br,"Journal of the American Chemical Society (2019), 141(39), 15483-15487","205187-05-9, 73183-34-3",3053064-35-7,7647-01-0,"12148-71-9, 17217-57-1","123-91-1, 7732-18-5",,,,,,,2,1,79.0,,,,,,,regioselective
31-100-CAS-17236170,Ir‑catalyzed C–H borylation,71,,,CC1(C)OBOC1(C)C.CCOC(=O)c1c(Br)cccc1Br>>CCOC(=O)c1cc(O)c(B2OC(C)(C)C(C)(C)O2)c(O)c1,"Journal of the American Chemical Society (2017), 139(23), 7745-7748","73183-34-3, 128575-84-8",2001044-66-0,865-47-4,"12148-71-9, 73183-34-3, 2098537-91-6",109-99-9,,,,,,,3,1,71.0,,,,,,,"regioselective, conversion = 71%, glove box used in stage 1, intermediate from stage 1 and 2 prepared separately and mixed together in stage 3, other products also detected"
31-142-CAS-1015084,Ir‑catalyzed C–H borylation,84,,,Cc1ccc2cc(Br)ccc2n1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>Cc1cc(B2OC(C)(C)C(C)(C)O2)c2cc(Br)ccc2n1,"Chemical Science (2012), 3(12), 3505-3515","73183-34-3, 2766670-81-7",2766670-82-8,,"12148-71-9, 72914-19-3",1634-04-4,,,,,,,1,1,84.0,,,,,,,"microwave irradiation, regioselective, sealed tube used"
31-142-CAS-10567575,Ir‑catalyzed C–H borylation,82,,,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CC(C)(C)OC(=O)Nc1ccc(C(F)(F)F)cc1>>CC(C)(C)OC(=O)Nc1ccc(C(F)(F)F)cc1B1OC(C)(C)C(C)(C)O1,"Journal of the American Chemical Society (2012), 134(28), 11350-11353","73183-34-3, 2072801-44-4",2072801-99-9,25015-63-8,"12148-71-9, 72914-19-3",110-82-7,,,,,,"Preparation of N-(tert-butoxycarbonyl)-4-trifluoromethyl-2-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)aniline (Table 1, entry 8) In a glovebox, a solution of 29 μL (0.2 mmol) HBPin and 13.1 mg (0.02 mmol) [Ir(OMe)COD]2 in minimal cyclohexane was added to 10.7 mg (0.04 mmol) dtbpy. The solution was subsequently transferred to an air free equipped with a stir bar, 139 mg (0.55 mmol) B2Pin2 and 263 mg (1.0 mmol) N-(tert-butoxycarbonyl)-4-trifluoromethylaniline with cyclohexane. The entire procedure was conducted using 2.0 mL cyclohexane. The reaction was allowed to proceed at 120 °C in a closed system for 1 hour. Isolation involved cooling to room temperature, transferring the solution to a 20 mL scintillation vial, rinsing the air free flask with dichloromethane and removing all volatiles in vacuo. The crude solid was passed through a short pad of silica gel with dichloromethane as the eluent. The residual starting material was sublimed (0.02 mmHg, 80 °C) leaving behind 317 mg T1.8. Diffraction quality crystals were grown from pentane solution at -20 °C. White solid, yield 82%. mp = 108-110 °C, Rf = 0.73, 1H NMR (500 MHz, CDCl3 = 7.24 ppm): δ 8.82 (bs, 1H), 8.30 (d, 3J = 8.8 Hz, 1H), 7.94 (d, 4J = 2.0 Hz, 1H), 7.61 (dd, 3J = 8.8 Hz, 4J = 2.2 Hz, 1H), 1.51, (s, 9H), 1.36 (s, 12H); 13C NMR (126 MHz, CDCl3 = 77 ppm): δ 152.75 (s), 148.18 (s), 133.21 (d, 3JC-F = 3.7), 129.54 (d, 3JC-F = 3.2 Hz), 124.38 (q, 1JC-F = 271.6 Hz), 123.37 (q, 2JC-F = 32.2 Hz), 117.28 (s), 84.72 (s), 80.44 (s), 28.25 (s), 24.81 (s); 11B NMR (96 MHz, CDCl3, BF3·OEt2 = 0 ppm): δ 30.6; 19F NMR (282 MHz, CDCl3, CFCl3 = 0 ppm): δ -62.01; FT-IR (thin film): 3367, 2980, 2934, 1738, 1620, 1594, 1539, 1430, 1362, 1270, 1238, 1162, 1144, 1120, 1079, 1047, 1025, 964, 867, 848, 758, 682, 638, 606 cm-1; HRMS calcd. for C18H25BF3NO4 [M]+ 387.1829, found 387.1827. X-Ray quality crystals were grown from pentane at -20 °C.",1,1,82.0,,,,,,,"regioselective, glovebox used, closed system used"
31-142-CAS-10651610,Ir‑catalyzed C–H borylation,73,,,CN(C)N=Cc1ccc(Cl)cc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CN(C)N=Cc1ccc(Cl)cc1B1OC(C)(C)C(C)(C)O1,"Angewandte Chemie, International Edition (2011), 50(49), 11724-11728, S11724/1-S11724/66","3053063-66-1, 73183-34-3",3053064-18-6,,"12148-71-9, 237402-29-8, 25015-63-8",109-99-9,,,,,,,2,1,73.0,,,,,,,"regioselective, ultrasound (in 1st stage), in-situ generated catalyst"
31-142-CAS-10731539,Ir‑catalyzed C–H borylation,97,,,FC(F)(F)Oc1cccc(Br)c1.CC1(C)OBOC1(C)C>>CC1(C)OB(c2cc(Br)cc(OC(F)(F)F)c2)OC1(C)C,"Organic Letters (2015), 17(17), 4256-4259","401-78-5, 73183-34-3",479411-92-2,,"366-18-7, 12148-71-9",,,,,,,,1,1,97.0,,,,,,,"regioselective, no solvent, sealed tube used"
31-142-CAS-10758530,Ir‑catalyzed C–H borylation,77,,,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Fc1c(F)c(F)c(/N=C/c2ccc(C(F)(F)F)cc2)c(F)c1F>>CC1(C)OB(c2cc(C(F)(F)F)ccc2/C=N/c2c(F)c(F)c(F)c(F)c2F)OC1(C)C,"Organic & Biomolecular Chemistry (2014), 12(13), 2041-2044","1427-06-1, 73183-34-3",1622217-36-0,498-66-8,"1259-35-4, 12148-71-9",108-67-8,,,,,,,2,1,77.0,,,,,,,regioselective
31-142-CAS-10878217,Ir‑catalyzed C–H borylation,72,,,Cc1ccc2nc(C)ccc2c1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>Cc1ccc2nc(C)cc(B3OC(C)(C)C(C)(C)O3)c2c1,"Organic & Biomolecular Chemistry (2014), 12(37), 7318-7327","877-43-0, 73183-34-3",1417036-11-3,,"12148-71-9, 72914-19-3",1634-04-4,,,,,,,1,1,72.0,,,,,,,thermal
31-142-CAS-11007758,Ir‑catalyzed C–H borylation,92,,,CC1(C)OBOC1(C)C.N#Cc1cccc(OC(F)(F)F)c1>>CC1(C)OB(c2cc(C#N)cc(OC(F)(F)F)c2)OC1(C)C,"Organic Letters (2015), 17(17), 4256-4259","73183-34-3, 15952-65-5",2093041-61-1,,"366-18-7, 12148-71-9",,,,,,,,1,1,92.0,,,,,,,"regioselective, no solvent, other products also detected, sealed tube used"
31-142-CAS-11041885,Ir‑catalyzed C–H borylation,81,,,Cc1cccc(C=O)c1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>Cc1ccc(B2OC(C)(C)C(C)(C)O2)c(C=O)c1,"Journal of the American Chemical Society (2016), 138(1), 84-87","73183-34-3, 3032755-41-9",3033291-38-9,75-64-9,"578-66-5, 12148-71-9, 25015-63-8","75-09-2, 109-99-9",,,,,,"Ortho-borylation of 3-methylbenzaldehyde: A 5.0 mL Weaton microreactor was charged with 3-methylbenzaldehyde (1l) (120.1 mg, 1.0 mmol), t BuNH2 (420.3 μL, 4.0 mmol) and dry dichloromethane (3.0 mL) and stirred for 4 h at room temperature. The crude mixture was dried under reduced pressure. In a glove box, this crude imine was charged with [Ir(cod)(OMe)]2 (10.0 mg, 1.5 mol%), 8-AQ (4.32 mg, 3.0 mol%), HBpin (7.25 μL, 5.0 mol%), B2pin2 (177.8 mg, 0.7 equiv) and dry THF (2.5 mL, 0.4M). The microreactor was capped with a teflon pressure cap and placed into pre-heated aluminum block at 90°C. The reaction mixture was stirred for 12 h. After completion (judged by GC), THF was removed under reduced pressure and chromatographic separation with silica gel (chloroform as eluent). 199.0 mg of ortho-borylated benzaldehyde 2l (81%) as colourless liquid. 1H NMR (400 MHz, CDCl3): δ 10.57 (s, 1H), 7.77 (d, J = 6.8 Hz, 1H), 7.40 (d, J = 7.2 Hz, 1H), 2.42 (s, 3H), 1.38 (s, 12H). 13C NMR (100 MHz, CDCl3): δ 195.2, 141.6, 141.3, 136.0, 133.9, 128.1, 84.4, 25.0, 21.6. 11B NMR (128 MHz, CDCl3): δ 32.1. HRMS (ESI) m/z calcd for C14H19BO3 [M+Na]+ 269.1325, found 269.1325.",2,1,81.0,,,,,,,regioselective
31-142-CAS-11079554,Ir‑catalyzed C–H borylation,89,,,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Fc1c(F)c(F)c(/N=C/c2ccc(Cl)cc2)c(F)c1F>>CC1(C)OB(c2cc(Cl)ccc2/C=N/c2c(F)c(F)c(F)c(F)c2F)OC1(C)C,"Organic & Biomolecular Chemistry (2014), 12(13), 2041-2044","73183-34-3, 372-47-4",719268-92-5,498-66-8,"1259-35-4, 12148-71-9",108-67-8,,,,,,,2,1,89.0,,,,,,,"chemoselective, regioselective"
31-142-CAS-11088979,Ir‑catalyzed C–H borylation,100,,,Cc1ccccc1C.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>Cc1ccc(B2OC(C)(C)C(C)(C)O2)cc1C,"Journal of the American Chemical Society (2015), 137(7), 2665-2673","95-47-6, 73183-34-3",401797-00-0,,1659300-83-0,109-99-9,,,,,,"A typical procedure for mBPV-MOF-Ir catalyzed C-H borylation of neat arenes. In a glovebox, mBPV-MOF-Ir in THF (3.0 mg, 0.1 mol % Ir) was quickly weighed onto a filter paper, charged into a vial. B2pin2 (54.8 mg, 0.216 mmol) in 4.0 mL o-xylene was added to the vial and the resultant mixture was transferred to a Schlenk tube. The tube was heated to reflux under nitrogen at 115 °C for 16 h. The reaction mixture was cooled to room temperature and the solid was centrifuged out of suspension. The extract was passed through a short plug of celite and then concentrated in vacuo. Pure 1,2-dimethyl-4-(4,4,5,5-tetramethyl-1,3,2- dioxaborolan-2-yl)benzene as (48.5 mg, 0.209 mmol, 96.8%).",1,1,100.0,,,,,,,"regioselective, catalyst prepared and used, arene was also used as solvent, 97% isolated yield"
31-142-CAS-11213523,Ir‑catalyzed C–H borylation,89,,,COc1cccc(C=O)c1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>COc1cc(C=O)cc(B2OC(C)(C)C(C)(C)O2)c1,"Journal of the American Chemical Society (2016), 138(1), 84-87","73183-34-3, 2641628-58-0",2641629-51-6,74-89-5,"1660-93-1, 12148-71-9, 25015-63-8","75-09-2, 109-99-9",,,,,,"Meta-borylation of 3-methoxybenzaldehyde: A 5.0 mL Weaton microreactor was charged with 3-methoxybenzaldehyde (136.1 mg, 1.0 mmol), tBuNH2 (420.3 μL, 4.0 mmol) and dry dichloromethane (3.0 mL) and stirred for 4 h at room temperature. The crude mixture was dried under reduced pressure. In a glove box, this crude imine was charged with [Ir(cod)(OMe)]2 (10.0 mg, 1.5 mol%), TMP (7.08 mg, 3.0 mol%), HBpin (7.25 μL, 5.0 mol%), B2pin2 (177.8 mg, 0.7 equiv) and dry THF (2.5 mL, 0.4M). The microreactor was capped with a teflon pressure cap and placed into pre-heated aluminum block at 90°C. The reaction mixture was stirred for 12 h. After completion (judged by GC), THF was removed under reduced pressure and chromatographic separation with silica gel (chloroform as eluent). 233.0 mg of meta-borylated benzaldehyde 3p (89%) as solid. 1H NMR (400 MHz, CDCl3): δ 9.99 (s, 1H), 7.87 (s, 1H), 7.58 (s, 1H), 7.47 (s, 1H), 3.86 (s, 3H), 1.35 (s, 12H). 13C NMR (100 MHz, CDCl3): δ 192.5, 159.8, 137.5, 130.6, 127.1, 114.6, 84.4, 55.7, 25.0. 11B NMR (128 MHz, CDCl3): δ 31.1. HRMS (ESI) m/z calcd for C14H19BO4 [M+Na]+ 285.1274, found 285.1264.",2,1,89.0,,,,,,,regioselective
31-142-CAS-11260939,Ir‑catalyzed C–H borylation,78,,,c1ccc(-c2nccc3ccccc23)cc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CC1(C)OB(c2ccccc2-c2nccc3ccccc23)OC1(C)C,"Angewandte Chemie, International Edition (2011), 50(49), 11724-11728, S11724/1-S11724/66","21223-05-2, 73183-34-3",2733585-23-2,,"12148-71-9, 237402-29-8, 25015-63-8",109-99-9,,,,,,,2,1,78.0,,,,,,,"regioselective, ultrasound (in 1st stage), in-situ generated catalyst"
31-142-CAS-11267716,Ir‑catalyzed C–H borylation,78,,,CC(C)(C)OC(=O)Nc1ccc(O)cc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CC(C)(C)OC(=O)Nc1ccc(O)cc1B1OC(C)(C)C(C)(C)O1,"Journal of the American Chemical Society (2012), 134(28), 11350-11353","6372-42-5, 73183-34-3",2271356-78-4,25015-63-8,"12148-71-9, 72914-19-3",1634-04-4,,,,,,"Preparation of N-(tert-butoxycarbonyl)-4-amino-3-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenol (Table 1, entry 2) An air free flask was charged with a stir bar and 209 mg (1.0 mmol) N-(tert-butoxycarbonyl)-4-aminophenol. The addition of 160 μL (1.1 mmol) HBPin produced vigorous bubbling. A mixture of 13.2 mg (0.02 mmol) [Ir(COD)OMe]2 and 30 μL (0.2 mmol) HBPin was added to 10.8 mg (0.04 mmol) dtbpy. This was added to the air free flask with 2 mL MTBE, 381 mg (1.5 mmol) B2Pin2 and allowed to react under N2 at 50 °C for 12 hours. Isolation involved transferring the solution to a 20 mL scintillation vial, rinsing the air free flask with dichloromethane and methanol, then removing all volatiles in vacuo. A column was run with 40 : 60 (ethyl acetate / hexanes) to provide T1.2. White solid , yield 262 mg, 78%. mp = 109-111 °C, Rf = 0.57. 1H NMR (500 MHz, CDCl3 = 7.24 ppm): δ 8.40 (s, 1H), 7.99 (d, 3J = 8.6 Hz, 1H), 7.14 (d, 4J = 2.9 Hz, 1H), 6.90 (dd, 3J = 8.8 Hz, 4J = 2.9 Hz, 1H), 4.70 (s, 1H), 1.49 (s, 9H), 1.33 (s, 12H); 13C NMR (126 MHz, CDCl3 = 77 ppm): δ 153.54, 150.36, 138.23, 121.81, 119.69 (2 C's), 84.21, 79.74, 28.38, 24.81; 11B NMR (96 MHz, CDCl3, BF3·OEt2 = 0 ppm): δ 30.3; FT-IR (thin film): 3383, 2980, 2932, 1731, 1630, 1593, 1493, 1449, 1370, 1306, 1244, 1163, 1123, 1076, 1034, 966, 891, 855 cm-1; HRMS (ESI+) calcd. for C17H27BNO5 [M+H]+ 336.1982, found 336.1985.",1,1,78.0,,,,,,,"regioselective, glovebox used, incremental addition of 4,4,5,5-tetramethyl-1,3,2-dioxaborolane"
31-142-CAS-11347742,Ir‑catalyzed C–H borylation,87,,,O=Cc1ccccc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CC1(C)OB(c2ccccc2C=O)OC1(C)C,"Journal of the American Chemical Society (2016), 138(1), 84-87","73183-34-3, 6848-13-1",942069-59-2,75-64-9,"578-66-5, 12148-71-9, 25015-63-8","75-09-2, 109-99-9",,,,,,"Evaluation and optimization of reaction conditions: General Procedure: a A 5.0 mL Weaton microreactor was charged with benzaldehyde (1a) (106.0 mg, 1.0 mmol), t BuNH2 (420.3 μL, 4.0 mmol) and dry dichloromethane (3.0 mL) and stirred for 4 h at room temperature. The crude mixture was dried under reduced pressure. In a glove box, this crude imine was charged with [Ir(cod)(OMe)]2 (10.0 mg, 1.5 mol%), appropriate amount of ligand (L1: 9.03 mg; 8-AQ: 4.32 mg, L2: 6.24 mg; L3: 3.24 mg; L4: 2.82 mg; 3.0 mol%), HBpin (7.25 μL, 5.0 mol%), B2pin2 (177.8 mg, 0.7 equiv) and dry THF (2.5 mL, 0.4M). The microreactor was capped with a teflon pressure cap and placed into pre-heated aluminum block at 90°C. The reaction mixture was stirred for 12 h and the results are summarized in the above table. ortho-borylated product. 1H NMR (400 MHz, CDCl3): δ 10.54 (s, 1H), 7.95 (d, J = 6.8 Hz, 1H), 7.85 (d, J = 6.8 Hz, 1H), 7.54-7.61 (m, 3H), 1.39 (s, 12H). 13C NMR (100 MHz, CDCl3): δ 194.8, 141.4, 135.6, 133.1, 130.9, 128.0, 84.6, 25.0. 11B NMR (128 MHz, CDCl3): δ 33.5. HRMS (ESI) m/z calcd for C13H17BO3 [M+Na]+ 255.1168, found 255.1159.",2,1,87.0,,,,,,,"regioselective, optimization study (reagent, ligand, stoichiometry, B-source)"
31-142-CAS-11539418,Ir‑catalyzed C–H borylation,80,,,O=Cc1ccc(F)cc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CC1(C)OB(c2cc(C=O)ccc2F)OC1(C)C,"Journal of the American Chemical Society (2016), 138(1), 84-87","3389-54-6, 73183-34-3",2624407-54-9,74-89-5,"1660-93-1, 12148-71-9, 25015-63-8","75-09-2, 109-99-9",,,,,,"Meta-borylation of 4-fluorobenzaldehyde: A 5.0 mL Weaton microreactor was charged with 4-fluorobenzaldehyde (1d) (248.2 mg, 1.0 mmol), t BuNH2 (840.6 μL, 8.0 mmol) and dry dichloromethane (3.0 mL) and stirred for 4 h at room temperature. The crude mixture was dried under reduced pressure. In a glove box, this crude imine was charged with [Ir(cod)(OMe)]2 (10.0 mg, 1.5 mol%), TMP (7.08 mg, 3.0 mol%), HBpin (7.25 μL, 5.0 mol%), B2pin2 (128.0 mg, 0.5 equiv.) and dry THF (2.5 mL, 0.4M). The microreactor was capped with a teflon pressure cap and placed into pre-heated aluminum block at 90°C. The reaction mixture was stirred for 12 h. After completion (judged by GC), THF was removed under reduced pressure and chromatographic separation with silica gel (chloroform as eluent). 200.0 mg of meta-borylated benzaldehyde 3e (80%) as solid. 1H NMR (400 MHz, CDCl3): δ 9.98 (s, 1H), 8.29 (d, J = 4.0 Hz, 1H), 7.97-8.01 (m, 1H), 7.17 (t, J = 8.8 Hz, 1H), 1.38 (s, 12H). 13C NMR (100 MHz, CDCl3): δ 190.8, 170.8 (d, JC-F = 260.1 Hz), 140.5 (d, JC-F = 10.1 Hz), 134.0 (d, JC-F = 10.7 Hz), 132.6 (d, JC-F = 2.6 Hz), 116.6 (d, JC-F = 25.1 Hz), 84.6, 25.0. 11B NMR (128 MHz, CDCl3): δ 32.4. HRMS (ESI) m/z calcd for C13H16BFO3 [M+H]+ 251.1255, found 251.1254.",2,1,80.0,,,,,,,regioselective
31-142-CAS-11591582,Ir‑catalyzed C–H borylation,79,,,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.c1ccc2c(-c3ccc4c5c(cccc35)CC4)nccc2c1>>CC1(C)OB(c2cc3c4c(cccc4c2-c2nccc4ccccc24)CC3)OC1(C)C,"Angewandte Chemie, International Edition (2011), 50(49), 11724-11728, S11724/1-S11724/66","459-57-4, 73183-34-3",1844839-22-0,,"12148-71-9, 237402-29-8, 25015-63-8",109-99-9,,,,,,,2,1,79.0,,,,,,,"regioselective, ultrasound (in 1st stage), in-situ generated catalyst"
