reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-1200491,Julia-Kocienski Olefination,70,,,C[C@H]1OC(C)(C)O[C@H]1/C=C/CS(=O)(=O)c1nnnn1-c1ccccc1.CC(C)c1ccc2nc(Cl)c(C=O)cc2c1>>CC(C)c1ccc2nc(Cl)c(/C=C/C=C/[C@H](O)[C@@H](C)O)cc2c1,"RSC Advances (2014), 4(16), 8365-8375","34097-60-4, 774225-25-1, 50-00-0",1186668-63-2,40949-94-8,104-15-4,"109-99-9, 67-56-1",,,,,,,3,1,70,,,,,,,stereoselective
31-006-CAS-14636034,Julia-Kocienski Olefination,70,,,C[C@H]1OC(C)(C)O[C@@H]1/C=C/CS(=O)(=O)c1nnnn1-c1ccccc1.CC(C)c1ccc2nc(Cl)c(C=O)cc2c1>>CC(C)c1ccc2nc(Cl)c(/C=C/C=C/[C@@H](O)[C@@H](C)O)cc2c1,"RSC Advances (2014), 4(16), 8365-8375","1779-49-3, 2685740-20-7",2685740-21-8,40949-94-8,104-15-4,"109-99-9, 67-56-1",,,,,,,3,1,70,,,,,,,stereoselective
31-006-CAS-16550878,Julia-Kocienski Olefination,49,,,COc1ccccc1C=O.C[C@@H]1O[C@H](CS(=O)(=O)c2nnnn2-c2ccccc2)[C@H]2OC(C)(C)O[C@H]21>>COc1ccccc1/C=C/[C@H]1O[C@@H](C)[C@H](O)[C@@H]1O,"ARKIVOC (Gainesville, FL, United States) (2012), (6), 365-383","83685-87-4, 519002-88-1",2159072-88-3,"40949-94-8, 7732-18-5, 7647-01-0, 497-19-8",,"108-88-3, 110-71-4, 109-99-9, 7732-18-5",,,,,,,4,1,49,,,,,,,"stereoselective, Kocienski-Julia olefination, key step, excess aldehyde used, (6Z)-isomer also detected"
31-006-CAS-16550879,Julia-Kocienski Olefination,61,,,COc1ccc(C=O)c(OC)c1.C[C@@H]1O[C@H](CS(=O)(=O)c2nnnn2-c2ccccc2)[C@H]2OC(C)(C)O[C@H]21>>COc1ccc(/C=C/[C@H]2O[C@@H](C)[C@H](O)[C@@H]2O)c(OC)c1,"ARKIVOC (Gainesville, FL, United States) (2012), (6), 365-383","119-61-9, 1219454-89-3",569-72-2,"40949-94-8, 7732-18-5, 7647-01-0, 497-19-8",,"108-88-3, 110-71-4, 109-99-9, 7732-18-5",,,,,,,4,1,61,,,,,,,"stereoselective, Kocienski-Julia olefination, key step, excess aldehyde used"
31-006-CAS-16550880,Julia-Kocienski Olefination,53,,,COc1ccc(OC)c(C=O)c1.C[C@@H]1O[C@H](CS(=O)(=O)c2nnnn2-c2ccccc2)[C@H]2OC(C)(C)O[C@H]21>>COc1ccc(OC)c(/C=C/[C@H]2O[C@@H](C)[C@H](O)[C@@H]2O)c1,"ARKIVOC (Gainesville, FL, United States) (2012), (6), 365-383","590-86-3, 1003924-66-0",3060291-95-1,"40949-94-8, 7732-18-5, 7647-01-0, 497-19-8",,"108-88-3, 110-71-4, 109-99-9, 7732-18-5",,,,,,,4,1,53,,,,,,,"stereoselective, Kocienski-Julia olefination, key step, excess aldehyde used, (6Z)-isomer also detected"
31-006-CAS-16550881,Julia-Kocienski Olefination,41,,,O=Cc1ccccc1C(F)(F)F.C[C@@H]1O[C@H](CS(=O)(=O)c2nnnn2-c2ccccc2)[C@H]2OC(C)(C)O[C@H]21>>C[C@@H]1O[C@H](/C=C/c2ccccc2C(F)(F)F)[C@@H](O)[C@H]1O,"ARKIVOC (Gainesville, FL, United States) (2012), (6), 365-383","1261359-86-7, 1261359-65-2",1487417-44-6,"40949-94-8, 7732-18-5, 7647-01-0, 497-19-8",,"108-88-3, 110-71-4, 109-99-9, 7732-18-5",,,,,,,4,1,41,,,,,,,"stereoselective, Kocienski-Julia olefination, key step, excess aldehyde used"
31-006-CAS-16550883,Julia-Kocienski Olefination,35,,,O=Cc1ccccc1F.C[C@@H]1O[C@H](CS(=O)(=O)c2nnnn2-c2ccccc2)[C@H]2OC(C)(C)O[C@H]21>>C[C@@H]1O[C@H](/C=C/c2ccccc2F)[C@@H](O)[C@H]1O,"ARKIVOC (Gainesville, FL, United States) (2012), (6), 365-383","439859-81-1, 906068-67-5",1192563-79-3,"40949-94-8, 7732-18-5, 7647-01-0, 497-19-8",,"108-88-3, 110-71-4, 109-99-9, 7732-18-5",,,,,,,4,1,35,,,,,,,"stereoselective, Kocienski-Julia olefination, key step, excess aldehyde used"
31-006-CAS-17555099,Julia-Kocienski Olefination,85,,,COC(C)(C)OCC(C)=O.CC1(CCC=P(c2ccccc2)(c2ccccc2)c2ccccc2)C2CC3C(C2)C31C>>C/C(=C/CC[C@]1(C)C2CC3[C@H](C2)C31C)CO,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2007), 1-21","487-68-3, 1293294-67-3",1293294-76-4,64-19-7,,109-99-9,,,,,,,2,1,85,,,,,,,"stereoselective, Wittig reaction"
31-006-CAS-18392152,Julia-Kocienski Olefination,49,,,CC1(C)OC[C@H]([C@H](CC=O)O[Si](C)(C)C(C)(C)C)O1.CC(C)(C)[Si](C)(C)OCCCS(=O)(=O)c1nnnn1-c1ccccc1>>CC(C)(C)[Si](C)(C)OCC/C=C/C[C@H](O[Si](C)(C)C(C)(C)C)[C@H](O)CO,"Chemistry - A European Journal (2017), 23(68), 17191-17194","85924-41-0, 173289-75-3",173289-76-4,"40949-94-8, 12125-02-9, 7550-45-0, 144-55-8",,"108-88-3, 109-99-9, 7732-18-5, 75-09-2",,,,,,,4,1,49,,,,,,,stereoselective
31-006-CAS-23518287,Julia-Kocienski Olefination,92,,,O=Cc1ccc(Br)cc1.COC(CS(=O)(=O)c1nnnn1-c1ccccc1)OC>>O=C/C=C/c1ccc(Br)cc1,"Journal of Organic Chemistry (2021), 86(9), 6969-6973","555-16-8, 1465812-79-6",78622-57-8,"865-47-4, 7647-01-0",,"109-99-9, 141-78-6, 7732-18-5",,,,,,,2,1,92,,,,,,,"stereoselective, ratio of E:Z isomers is greater than 99:1,Julia-Kocienski reaction"
