reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-113-CAS-12025580,Liebeskind–Srogl coupling,28,,,Clc1cccnc1Nc1ccccc1.Cc1ccccc1B(O)O>>Cc1ccccc1-c1cccnc1Nc1ccccc1.Cc1ccccc1-c1ccccc1Nc1ccccn1,"European Journal of Organic Chemistry (2011), (10), 1972-1979, S1972/1-S1972/98","63810-78-6, 123324-71-0","1536565-01-1, 3025969-91-6, 3025969-92-7",584-08-7,"3375-31-3, 564483-18-7",108-88-3,,,,,,,1,1,28,23,,,,,,"regioselective, thermal, Suzuki-Miyaura coupling, screw-cap vial used"
31-172-CAS-5625581,Liebeskind–Srogl coupling,34,,,Nc1ccccc1.Clc1cccnc1Cl.OB(O)c1ccccc1>>c1ccc(Nc2ncccc2-c2ccccc2)cc1,"European Journal of Organic Chemistry (2011), (10), 1972-1979, S1972/1-S1972/98","6165-68-0, 98495-62-6",1353743-39-1,584-08-7,"3375-31-3, 564483-18-7",108-88-3,,,,,,,2,1,34,,,,,,,"regioselective, thermal, optimized on temperature,time,method of heating and work up method in first stage, screw-cap vial used, Buchwald-Hartwig reaction in first stage, optimization study, Suzuki-Miyaura coupling in second stage"
31-179-CAS-1000742,Liebeskind–Srogl coupling,96,,,CC(C)(C)c1ccc(B(O)O)cc1.COc1ccc(Cn2cc(Cl)nc(Sc3ccccc3)c2=O)cc1>>COc1ccc(Cn2cc(Cl)nc(-c3ccc(C(C)(C)C)cc3)c2=O)cc1,"Organic & Biomolecular Chemistry (2007), 5(18), 2962-2965","5751-20-2, 182163-96-8",1388177-39-6,68986-76-5,14221-01-3,109-99-9,,,,,,,1,1,96,,,,,,,microwave irradiation
31-179-CAS-10169597,Liebeskind–Srogl coupling,89,,,COc1ccc(-c2ccnc(SC)n2)cc1.COc1ccc(B(O)O)cc1F>>COc1ccc(-c2ccnc(-c3ccc(OC)c(F)c3)n2)cc1,"Synlett (2012), 23(9), 1305-1308","17933-03-8, 1821198-88-2",1821198-97-3,,"14221-01-3, 68986-76-5",109-99-9,,,,,,"General/Typical Procedure: General Procedure for Carbon-Carbon Cross-Coupling of 2-(Methylsulfanyl)-4-arylpyrimidines 4a, c-f with Aryl Boronic Acids 3b-f A microwave vial sealed with septum was charged with the corresponding 2-(methylsulfanyl)-4-arylpyrimidines (4a, c-f, 0.5 mmol), the corresponding aryl boronic acid (3b-f, 0.75 mmol), CuTC (286 mg, 1.5 mmol) and Pd(PPh3)4 (57.8 mg, 0.05 mmol, 10 mol%). The reaction vessel was sealed and flushed with argon. Through the septum anhyd THF (4 mL) was added. The mixture was heated in a microwave reactor at 100 °C for 1 h. After cooling to r.t., the solvent was evaporated. The crude reaction mixture was purified by column chromatography on silica gel to provide the desired 2,4-diarylpyrimidines 5. 4-Phenyl-2-p-tolylpyrimidine (5ab) Table 1 Preparation of 2,4-Diarylpyrimidines 5cc-ffa Compound 5cd Yield 89%.",1,1,89,,,,,,,"microwave irradiation, regioselective, sealed vial used"
31-179-CAS-10181826,Liebeskind–Srogl coupling,88,,,CCOc1cccc(B(O)O)c1.COc1ccc(Cn2cc(Cl)nc(Sc3ccccc3)c2=O)cc1>>CCOc1cccc(-c2nc(Cl)cn(Cc3ccc(OC)cc3)c2=O)c1,"Organic & Biomolecular Chemistry (2007), 5(18), 2962-2965","90555-66-1, 954414-14-3",954413-83-3,68986-76-5,14221-01-3,109-99-9,,,,,,,1,1,88,,,,,,,"microwave irradiation, alternative preparation shown"
31-179-CAS-10304460,Liebeskind–Srogl coupling,91,,,Cc1ccc(B(O)O)cc1.COc1nc(Cl)cnc1SC>>COc1nc(-c2ccc(C)cc2)cnc1SC,"Journal of Organic Chemistry (2008), 73(6), 2382-2388","10365-98-7, 2378619-75-9",60158-51-2,584-08-7,14221-01-3,"123-91-1, 7732-18-5",,,,,,"General/Typical Procedure: A Typical Procedure for the Suzuki Coupling To Generate Compound 5a-h. In a 10 mL microwave vial the following were successively dissolved in dioxane/H2O (1:1, 3 mL): halopyrazine 4a-c (0.3 mmol), boronic acid 6a-g (0.36 mmol, 1.2 equiv), Pd(PPh3)4 (8 mg, 2 mol %), and K2CO3 (84 mg, 2 equiv). The reaction tube was sealed and irradiated at a ceiling temperature of 120 °C using 150 W maximum power for 10 min. After the reaction mixture was cooled with an air flow for 15 min, extracted with dichloromethane (2 × 50 mL) and dried over MgSO4. The solvent was removed under reduced pressure, and the residue was subjected to preparative HPLC column chromatography. All the compounds were purified by reversed phase preparative HPLC using acetonitrile/ water (with 0.1% HCOOH) as the eluent. All gradients ran between 80:20:0.01 (water/acetonitrile/HCOOH) and 0:100:0.01 (water/acetonitrile/HCOOH) for 20 min, with the UV detector set at λ = 215 and 254 nm to afford compounds 5a-h. 3-methoxy-2-(methylthio)-5-p-tolylpyrazine (5b): 91% yield. yellow crystalline solid. m.p. 90-92 °C. 1H NMR (300 MHz, CDCl3): δ 8.43 (s, 1H), 7.88 (d, J = 8.9 Hz, 2H), 7.26 (d, J = 7.8 Hz, 2H), 4.11 (s, 3H), 2.57 (s, 3H), 2.40 (s, 3H). 13C NMR (75 MHz, CDCl3): δ 155.9, 144.5, 143.8, 139.1, 133.7, 132.1, 129.7, 126.2, 53.9, 21.4, 12.2. HR-MS (EI): C13H14N2OS calcd. 246.0827, found 246.0831.",1,1,91,,,,,,,"microwave irradiation, Suzuki coupling"
31-179-CAS-10444172,Liebeskind–Srogl coupling,29,,,COc1ccc(Cn2cc(Cl)nc(Cl)c2=O)cc1.OB(O)c1cccc(Br)c1.OB(O)c1ccccc1>>O=c1c(-c2ccccc2)nc(Cl)cn1-c1cccc(Br)c1,"Journal of Combinatorial Chemistry (2007), 9(3), 446-453","393860-82-7, 1423-26-3, 98-80-6",936804-14-7,"7087-68-5, 76-05-1, 110-86-1, 121-44-8, 142-71-2, 68986-76-5",14221-01-3,"109-99-9, 75-09-2",,,,,,"General/Typical Procedure: General Procedure for the Deprotection of the (p- Methoxy)benzyl Group at Position N1 of the Pyrazinone Ring on the Solid Support. A suspension of pyrazinone 20, obtained from 0.176 mmol of trityl protected resin 11, in a mixture of DCM-TFA (2:1, v/v) was irradiated at 120 °C for 40 min (hold time 2 min, maximum power 120 W). After the mixture was cooled to ambient temperature, the solvent was filtered off with a polypropylene frit cartridge, and the resin was washed with DCM (5 mL x 3), MeOH (5 mL x 3), and DCM (5 mL x 3). The resulting resin 21 was dried under vaccum. General Procedure of Chan-Lam Coupling of Pyrazinone 21 with Boronic Acids On Solid Support. Boronic acid (0.53 mmol, 3 equiv), Cu(OAc)2 (0.096 g, 0.53 mmol, 3 equiv), triethylamine (0.073 mL, 0.53 mmol, 3 equiv), and pyridine (0.087 mL, 1.06 mmol, 6 equiv) were added to a suspension of resin-bound pyrazinone 21, obtained starting from 0.176 mmol of trityl-protected resin 11, in DCM (3 mL). The reaction mixture was shaken at RT for 24 h in an ambient atmosphere; the solvent was then filtered off with a polypropylene frit cartridge, and the resin was washed with DCM (5 mL x 3), THF-(aq) NH3 (1:1, v/v, 5 mL x 3), THF-H2O (1:1, v/v, 5 mL x 3), THF (5 mL x 3), and DCM (5 mL x 3). The whole procedure was repeated once. The resulting resin-bound pyrazinone 22 was dried under vacuum. 3-Phenyl-5-chloro-1-(3-bromophenyl)-2(1H)-pyrazinone (55), yield (29%). mp: 132-133 °C (DCM-hexane). 1H NMR (CDCl3): δ 8.62 (s, 1H), 8.40 (m, 1H), 7.47-7.13 (m, 6H), 7.09 (m, 2H). 13C NMR (CDCl3): δ 153.2, 150.9, 148.0, 139.4, 130.6, 130.1, 129.8 (x2), 129.5, 128.6 (x2), 127.4, 126.5, 125.7, 122.4, 121.1. HRMS (EI) Calcd for C16H10N2OBrCl: 359.9665. Found: 359.9670.",4,1,29,,,,,,,"combinatorial, photochemical ((2nd stage)-120W), solid-supported reaction, Chan-Lam coupling(3rd stage), Liebeskind conditions in 4th stage, alternative reaction conditions shown, first stage is attachment to 3-mercaptophenylpropionyl AM resin"
31-179-CAS-10451025,Liebeskind–Srogl coupling,99,,,COc1ccc(B(O)O)cc1F.COc1ccc(-c2ccnc(SC)n2)cc1F>>COc1ccc(-c2ccnc(-c3ccc(OC)c(F)c3)n2)cc1F,"Synlett (2012), 23(9), 1305-1308","4334-88-7, 1015075-19-0",1015075-40-7,,"14221-01-3, 68986-76-5",109-99-9,,,,,,"General/Typical Procedure: General Procedure for Carbon-Carbon Cross-Coupling of 2-(Methylsulfanyl)-4-arylpyrimidines 4a, c-f with Aryl Boronic Acids 3b-f A microwave vial sealed with septum was charged with the corresponding 2-(methylsulfanyl)-4-arylpyrimidines (4a, c-f, 0.5 mmol), the corresponding aryl boronic acid (3b-f, 0.75 mmol), CuTC (286 mg, 1.5 mmol) and Pd(PPh3)4 (57.8 mg, 0.05 mmol, 10 mol%). The reaction vessel was sealed and flushed with argon. Through the septum anhyd THF (4 mL) was added. The mixture was heated in a microwave reactor at 100 °C for 1 h. After cooling to r.t., the solvent was evaporated. The crude reaction mixture was purified by column chromatography on silica gel to provide the desired 2,4-diarylpyrimidines 5. 4-Phenyl-2-p-tolylpyrimidine (5ab) Table 1 Preparation of 2,4-Diarylpyrimidines 5cc-ffa Compound 5dd Yield 99%.",1,1,99,,,,,,,"microwave irradiation, regioselective, sealed vial used"
31-179-CAS-10506445,Liebeskind–Srogl coupling,56,,,OB(O)c1ccc(C(F)(F)F)cc1.COc1cc(C(=O)c2sc(SC)nc2N)cc(OC)c1OC>>COc1cc(C(=O)c2sc(-c3ccc(C(F)(F)F)cc3)nc2N)cc(OC)c1OC,"Journal of Medicinal Chemistry (2012), 55(11), 5433-5445","128796-39-4, 2172669-00-8",2172669-06-4,,"117-89-5, 52522-40-4, 68986-76-5",109-99-9,,,,,,"General/Typical Procedure: General Procedure for the Synthesis of (4-Amino-2-arylthiazol-5-yl)(3,4,5-trimethoxyphenyl)methanone (3a-o). To a stirred solution of (4-amino-2-(methylthio)thiazol-5-yl)(3,4,5-trimethoxyphenyl)-methanone 5 (170 mg, 0.5 mmol) in THF (10 mL) were subsequently added the appropriate arylboronic acid (1 mmol), TFP (19 mg, 0.08 mmol), and CuTC (0.125 g, 0.65 mmol). The reaction vessel was flushed with argon, then Pd2-dba3•CHCl3 (20 mg, 0.02 mmol) was added, and the reaction mixture was stirred at 70°C for 18 h. After cooling, the mixture was diluted with dichloromethane (5 mL) and filtered through Celite, and the filtrate was evaporated. The residue was dissolved in dichloromethane (15 mL), and the mixture was washed with 25% aqueous ammonia (2 × 5 mL). The organic layer was dried and the residue after evaporation purified by silica gel column chromatography (gradient of petroleum ether and ethyl acetate), giving the desired product. (4-Amino-2-(4-trifluoromethylphenyl)thiazol-5-yl)(3,4,5-trimethoxyphenyl)methanone (3i). Following the general procedure, the crude residue, purified by flash chromatography using ethyl acetate/petroleum ether 4:6 (v/v) as eluent, furnished 3i as a yellow solid (56% yield). Mp 166-167°C. 1H NMR (CDCl3) δ: 3.93 (s, 6H), 3.94 (s, 3H), 6.86 (bs, 2H), 7.11 (s, 2H), 7.71 (d, J= 8.2 Hz, 2H), 8.05 (d, J= 8.2 Hz, 2H). 13C NMR (100 MHz, CDCl3) δ: 56.4 (2C), 61.0, 103.2, 105.3 (2C), 123.7 (q, J= 271.5 Hz), 126.2 (2C), 126.4, 127.1 (2C), 133.2 (q, J= 32.7 Hz), 135.5, 135.8, 141.2, 153.2 (2C), 164.9, 169.9, 186.8. IR (ATR) ν: 3314, 2930, 1613, 1575, 1322, 1237, 1127, 1104, 1067, 845, 817, 760. MS (ESI): [M]+ = 438.7. Anal. (C20H17F3N2O4S) C, H, N.",1,1,56,,,,,,,
31-179-CAS-1051788,Liebeskind–Srogl coupling,90,,,COc1ccc(B(O)O)cc1.COc1ccc(Cn2cc(Cl)nc(Sc3ccccc3)c2=O)cc1>>COc1ccc(Cn2cc(Cl)nc(-c3ccc(OC)cc3)c2=O)cc1,"Organic & Biomolecular Chemistry (2007), 5(18), 2962-2965","5720-07-0, 954414-14-3",954413-88-8,68986-76-5,14221-01-3,109-99-9,,,,,,,1,1,90,,,,,,,"microwave irradiation, alternative preparation shown"
