reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-008-CAS-20117893,Oxidation IBX,71,,,OCCCCO.CC(C)[Si](Cl)(C(C)C)C(C)C>>CC(C)[Si](OCCCC=O)(C(C)C)C(C)C,"Tetrahedron Letters (2019), 60(15), 1037-1042",169556-48-3,140171-27-3,"7646-69-7, 64297-64-9",,"109-99-9, 67-68-5",,,,,,,2,1,71,,,,,,,
31-008-CAS-20895488,Oxidation IBX,96,,,C=C(C)[C@H]1CC[C@@](C)(O)[C@H](O)C1.CI>>CO[C@]1(C)CC[C@H](C(C)C)CC1=O,"Beilstein Journal of Organic Chemistry (2018), 142461-2467",3030391-55-7,3030391-58-0,"1314-15-4, 64297-64-9, 20667-12-3",,"67-56-1, 141-78-6, 75-05-8",,,,,,,3,1,96,,,,,,,
31-010-CAS-20895481,Oxidation IBX,81,,,C=C(C)[C@H]1CC[C@@](C)(O)[C@H](O)C1.CC(C)(C)[Si](C)(C)OS(=O)(=O)C(F)(F)F>>CC(C)[C@H]1CC[C@@](C)(O[Si](C)(C)C(C)(C)C)C(=O)C1,"Beilstein Journal of Organic Chemistry (2018), 142461-2467",1590443-19-8,1621104-84-4,"1314-15-4, 64297-64-9, 108-48-5, 7647-01-0",,"67-56-1, 141-78-6, 75-09-2, 7732-18-5",,,,,,,4,1,81,,,,,,,
31-022-CAS-16366578,Oxidation IBX,79,,,Cc1ccc(S(=O)(=O)Cl)cc1.COc1ccc(C2(CCO)CCC(O)CC2)cc1OC>>COc1ccc(C2(CCOS(=O)(=O)c3ccc(C)cc3)C=CC(=O)CC2)cc1OC,"New Journal of Chemistry (2016), 40(11), 9432-9440",2243455-03-8,2243153-09-3,"110-86-1, 64297-64-9",,"75-09-2, 67-68-5",,,,,,,2,1,79,,,,,,,selective tosylation in stage 1
31-022-CAS-16366585,Oxidation IBX,91,,,Cc1ccc(S(=O)(=O)Cl)cc1.COc1ccc(C2(CCO)CCC(O)CC2)cc1OC>>COc1ccc(C2(CCOS(=O)(=O)c3ccc(C)cc3)CCC(=O)CC2)cc1OC,"New Journal of Chemistry (2016), 40(11), 9432-9440",119649-45-5,119649-27-3,"110-86-1, 64297-64-9",,"75-09-2, 67-68-5",,,,,,,2,1,91,,,,,,,"alternative preparation shown, selective tosylation in stage 1"
31-049-CAS-16402341,Oxidation IBX,92,,,COCOc1ccc(OCc2ccccc2)c(C(O)c2c(OCc3ccccc3)ccc(OCOC)c2F)c1F>>COCOc1ccc(O)c(C(=O)c2c(O)ccc(OCOC)c2F)c1F,"Synlett (2016), 27(15), 2229-2232",2412444-48-3,2412444-49-4,"64297-64-9, 7772-98-7, 1333-74-0",7440-05-3,"67-68-5, 7732-18-5, 141-78-6",,,,,,,3,1,92,,,,,,,
31-049-CAS-20562564,Oxidation IBX,86,,24.0,CC[C@@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@@H](C)/C=C(\C)[C@@H](O)CC(=O)SCCNC(C)=O>>CC[C@@H](O)[C@@H](C)/C=C(\C)C(=O)CC(=O)SCCNC(C)=O,"Chemical Science (2015), 6(8), 5027-5033",1713247-71-2,2376502-09-7,"64297-64-9, 7664-39-3, 144-55-8",,"141-78-6, 75-05-8, 7732-18-5",,,,,,,3,1,86,,,,,,,"stereoselective, incremental addition of hydrofluoric acid after 24 hours (stage 2)"
31-085-CAS-16112330,Oxidation IBX,87,,,c1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1cccc(Cl)c1>>COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1cccc(Cl)c1,"Journal of Organic Chemistry (2016), 81(15), 6626-6639",1926142-20-2,2608114-15-2,64297-64-9,,75-05-8,,,,,,,1,1,87,,,,,,,"green chemistry-reagent, oxidative Michael addition"
31-085-CAS-16112331,Oxidation IBX,88,,,c1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1ccc(OC)cc1>>COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1ccc(OC)cc1,"Journal of Organic Chemistry (2016), 81(15), 6626-6639",564-16-9,51984-82-8,64297-64-9,,75-05-8,,,,,,,1,1,88,,,,,,,"green chemistry-reagent, oxidative Michael addition"
31-085-CAS-16112332,Oxidation IBX,79,,,COc1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1ccc(OC)cc1>>COC(=O)C(Cc1c[nH]c2ccc(OC)cc12)C(=O)c1ccc(OC)cc1,"Journal of Organic Chemistry (2016), 81(15), 6626-6639",2417428-38-5,2417428-44-3,64297-64-9,,75-05-8,,,,,,,1,1,79,,,,,,,"green chemistry-reagent, oxidative Michael addition"
