reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-207-CAS-10834198,Oxidation of Arylmethanes to Aldehydes,,,,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(Cc2cc(C)ccc2C)cc1.Cc1ccc(COO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1.Cc1ccc(COCc2ccc(C)cc2)cc1,"Catalysis Communications (2011), 12(7), 669-672",,,7782-44-7,,,,,,,,,1,1,,,,,,,,"green chemistry-catalyst, photochemical (ambient light), multiwall carbon nanotubes used as catalyst, reaction carried out in absence of light did not produce hydroperoxide product, optimization study, optimized on catalyst, mechanism studied, scalable"
31-207-CAS-13070619,Oxidation of Arylmethanes to Aldehydes,,,,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,"Tetrahedron Letters (2007), 48(19), 3417-3421",106-42-3,"99-94-5, 104-87-0, 589-18-4, 21086-87-3","110-83-8, 7782-44-7",,,,,,,,,1,1,,,,,,,,
31-207-CAS-15199607,Oxidation of Arylmethanes to Aldehydes,,,,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,"Tetrahedron Letters (2007), 48(19), 3417-3421",106-42-3,"99-94-5, 104-87-0, 589-18-4, 7523-31-1",,7782-42-5,,,,,,,,1,1,,,,,,,,
31-488-CAS-10933722,Oxidation of Arylmethanes to Aldehydes,,,,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1,"Tetrahedron Letters (2007), 48(19), 3417-3421",106-42-3,"99-94-5, 104-87-0, 589-18-4, 721-45-9, 7523-31-1, 21086-87-3, 38460-98-9","110-83-8, 7782-44-7",7782-42-5,,,,,,,,1,1,,,,,,,,
31-488-CAS-9304506,Oxidation of Arylmethanes to Aldehydes,41,,,Cc1ccc(Br)cc1>>O=C(O)c1ccc(Br)cc1.O=Cc1ccc(Br)cc1,"European Journal of Organic Chemistry (2012), 2012(16), 3088-3092, S3088/1-S3088/45","98-51-1, 505-07-7","939-97-9, 2820070-55-9",75-91-2,1384190-41-3,7732-18-5,,,,,,,2,1,41,17,,,,,,sealed vial used
31-491-CAS-15714771,Oxidation of Arylmethanes to Aldehydes,61,,,Cc1ccc(Cc2cncc(C)n2)cc1>>Cc1ccc(C(=O)c2cncc(C=O)n2)cc1,"Beilstein Journal of Organic Chemistry (2016), 12144-153",169590-42-5,2055787-31-8,7782-44-7,7681-65-4,"64-19-7, 67-68-5",,,,,,,1,1,61,,,,,,,"green chemistry, scalable"
31-491-CAS-15714807,Oxidation of Arylmethanes to Aldehydes,62,,,Cc1ccc(Cc2cccc(C)n2)cc1>>Cc1ccc(C(=O)c2cccc(C=O)n2)cc1,"Beilstein Journal of Organic Chemistry (2016), 12144-153",1874155-26-6,1874155-25-5,7782-44-7,7681-65-4,"64-19-7, 67-68-5",,,,,,,1,1,62,,,,,,,"chemoselective, green chemistry"
31-495-CAS-11137549,Oxidation of Arylmethanes to Aldehydes,66,,,Cc1cccc([N+](=O)[O-])c1>>O=Cc1cccc([N+](=O)[O-])c1,"Synthesis (2013), 45(5), 615-620",99-99-0,555-16-8,75-91-2,14024-48-7,67-64-1,,,,,,"General/Typical Procedure: Allylic and Benzylic Oxidation Mediated by Co(acac)2/tert-Butyl Hydroperoxide; General Procedure. To a soln of substrate 1 or 3 (10 mmol) and Co(acac)2 (257mg, 1 mmol) in acetone (20 mL), TBHP (5.14 g, 4.0 mmol, 4 equiv, 70%) was added dropwise and the mixture was stirred for at r.t. for 15 h. To the mixture was added aq brine and the soln was extracted Et2O (3 ×). The combined extracts were dried (anhyd MgSO4) and filtered, and the filtrate condensed under reduced pressure to give a crude product that was purified by column chromatography. Substrate: 3i, 3-Nitrobenzaldehyde (4i), Light yellow solid; yield: 1.00 g (66%). Temperature: 28°C. 1H NMR (300 MHz, CDCl3, 25 °C): δ = 10.14 (s, 1 H), 8.73-8.72 (m, 1 H), 8.52-8.48 (m, 1 H), 8.26-8.23 (m, 1 H), 7.81-7.76 (t, 1 H).",1,1,66,,,,,,,controlled oxidation
31-495-CAS-13266515,Oxidation of Arylmethanes to Aldehydes,80,,,COc1cccc(C)c1>>COc1cccc(C=O)c1,"Synthesis (2013), 45(5), 615-620",578-58-5,135-02-4,75-91-2,14024-48-7,67-64-1,,,,,,"General/Typical Procedure: Allylic and Benzylic Oxidation Mediated by Co(acac)2/tert-Butyl Hydroperoxide; General Procedure. To a soln of substrate 1 or 3 (10 mmol) and Co(acac)2 (257mg, 1 mmol) in acetone (20 mL), TBHP (5.14 g, 4.0 mmol, 4 equiv, 70%) was added dropwise and the mixture was stirred for at r.t. for 15 h. To the mixture was added aq brine and the soln was extracted Et2O (3 ×). The combined extracts were dried (anhyd MgSO4) and filtered, and the filtrate condensed under reduced pressure to give a crude product that was purified by column chromatography. Substrate: 3j, 3-Methoxybenzaldehyde (4j), Colorless liquid; yield: 1.09 g (80%). Temperature: 28°C. 1H NMR (300 MHz, CDCl3, 25 °C): δ = 9.97 (s, 1 H), 7.45-7.43 (m, 2 H), 7.41-7.38 (m, 1 H), 7.19-7.15 (m, 1 H), 3.86 (s, 3 H).",1,1,80,,,,,,,controlled oxidation
31-495-CAS-15395895,Oxidation of Arylmethanes to Aldehydes,71,,,Cc1ccc(Cl)cc1>>O=Cc1ccc(Cl)cc1,"Synthesis (2013), 45(5), 615-620",100-84-5,591-31-1,75-91-2,14024-48-7,67-64-1,,,,,,"General/Typical Procedure: Allylic and Benzylic Oxidation Mediated by Co(acac)2/tert-Butyl Hydroperoxide; General Procedure. To a soln of substrate 1 or 3 (10 mmol) and Co(acac)2 (257mg, 1 mmol) in acetone (20 mL), TBHP (5.14 g, 4.0 mmol, 4 equiv, 70%) was added dropwise and the mixture was stirred for at r.t. for 15 h. To the mixture was added aq brine and the soln was extracted Et2O (3 ×). The combined extracts were dried (anhyd MgSO4) and filtered, and the filtrate condensed under reduced pressure to give a crude product that was purified by column chromatography. Substrate: 3k, 4-Chlorobenzaldehyde (4k), White solid; yield: 1.00 g (71%).Temperature: 28°C. 1H NMR (300 MHz, CDCl3, 25 °C): δ = 9.98 (s, 1 H), 7.84-7.80 (m, 2 H), 7.53-7.50 (m, 2 H).",1,1,71,,,,,,,controlled oxidation
31-495-CAS-1996754,Oxidation of Arylmethanes to Aldehydes,65,,,Cc1ccc([N+](=O)[O-])cc1>>O=Cc1ccc([N+](=O)[O-])cc1,"Synthesis (2013), 45(5), 615-620",95-49-8,89-98-5,75-91-2,14024-48-7,67-64-1,,,,,,"General/Typical Procedure: Allylic and Benzylic Oxidation Mediated by Co(acac)2/tert-Butyl Hydroperoxide; General Procedure. To a soln of substrate 1 or 3 (10 mmol) and Co(acac)2 (257mg, 1 mmol) in acetone (20 mL), TBHP (5.14 g, 4.0 mmol, 4 equiv, 70%) was added dropwise and the mixture was stirred for at r.t. for 15 h. To the mixture was added aq brine and the soln was extracted Et2O (3 ×). The combined extracts were dried (anhyd MgSO4) and filtered, and the filtrate condensed under reduced pressure to give a crude product that was purified by column chromatography. Substrate: 3l, 4-Nitrobenzaldehyde (4l), Yellow solid; yield: 0.98 g (65%).Temperature: 28°C. 1H NMR (300 MHz, CDCl3, 25 °C): δ = 10.17 (s, 1 H), 8.42-8.39 (m, 2 H), 8.11-8.07 (m, 2 H).",1,1,65,,,,,,,controlled oxidation
31-495-CAS-2609459,Oxidation of Arylmethanes to Aldehydes,68,,,Cc1ccccc1>>O=Cc1ccccc1,"Synthesis (2013), 45(5), 615-620",108-88-3,100-52-7,75-91-2,14024-48-7,67-64-1,,,,,,"General/Typical Procedure: Allylic and Benzylic Oxidation Mediated by Co(acac)2/tert-Butyl Hydroperoxide; General Procedure. To a soln of substrate 1 or 3 (10 mmol) and Co(acac)2 (257mg, 1 mmol) in acetone (20 mL), TBHP (5.14 g, 4.0 mmol, 4 equiv, 70%) was added dropwise and the mixture was stirred for at r.t. for 15 h. To the mixture was added aq brine and the soln was extracted Et2O (3 ×). The combined extracts were dried (anhyd MgSO4) and filtered, and the filtrate condensed under reduced pressure to give a crude product that was purified by column chromatography. Substrate: 3e, Benzaldehyde (4e), Colorless liquid; yield: 0.72 g (68%).Temperature: 28 °C. 1H NMR (300 MHz, CDCl3, 25 °C): δ = 10.02 (s, 1 H), 7.63-7.45 (m, 4 H).",1,1,68,,,,,,,controlled oxidation
31-495-CAS-265696,Oxidation of Arylmethanes to Aldehydes,,,,Cc1ccccc1>>O=Cc1ccccc1,"ChemCatChem (2011), 3(9), 1447-1450",104-93-8,123-11-5,7722-84-1,"13765-95-2, 16065-83-1","67-56-1, 7732-18-5",,,,,,,1,1,,,,,,,,"chromium(3+)-incorporated mesoporous zirconium phosphate used as catalyst, 100% selectivity at 34% conversion"
