reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-017-CAS-10108591,Passerini 3‑component,71,,,NCc1ccccc1.CS(=O)(=O)OCC(=O)CCc1ccccc1.CC(=O)O.[C-]#[N+]C1CCCCC1>>CC(=O)OCC(CCc1ccccc1)(NCc1ccccc1)C(=O)NC1CCCCC1,"Journal of Organic Chemistry (2008), 73(24), 9720-9726","78-84-2, 143-07-7, 7188-38-7",3056434-26-2,,,75-89-8,,,,,,"Representative Procedurefor the Ugi Reaction of α-Mesyl-oxyketones 2with Primary Amines. Compound15a.To a solutionof α-mesyl oxyketone 2a (48mg,0.2mmol,1equiv)in anhydrous2,2,2-trifluoroethanol (0.5mL) at 0°C was added benzylamine (178µL,0.8mmol,4.0equiv) dropwise. The reaction mixture was stirred for 10 min at 0°C,then aceticacid (23µL,0.4mmol,2.0equiv) and cyclohexylisonitrile (27µL,0.22mmol,1.1equiv) were added via syringe with stirring. The reaction mixture was then warmed to rt and stirred for 18h. After removing the solvent inVacuo,the residual oil was purified by silicagel flashcolumn chromatography (3:7ethylacetate:hexanes,Rf)0.3) to afford15a as awhite solid(57mg,71%)̀. IR (CH2Cl2) 3350(s), 2931(s), 1740(s), 1664(s), 1516(s); CIMS (methane) m/z 423 (M+H), 363, 296, 258.",2,1,71,,,,,,,"dropwise addn. of amine stage 1, Ugi reaction"
31-017-CAS-14592662,Passerini 3‑component,14,,,CC(=O)CCl.CC(=O)O.NCc1ccccc1.[C-]#[N+]C(C)(C)C>>CC(=O)OC(C)(CCl)C(=O)NC(C)(C)C.CC(=O)OCC(C)(NCc1ccccc1)C(=O)NC(C)(C)C,"Journal of Organic Chemistry (2008), 73(24), 9720-9726","78-84-2, 127-09-3, 18971-59-0","1032198-38-1, 1431961-71-5",,,75-89-8,,,,,,"Ugi Product 15f: Purified using 3:7 ethyl acetate:hexanes (Rf= 0.2) to afford a white solid (74%). IR (CH2Cl2) 3352(s), 3055(s), 2985(s), 1740(s), 1672(s), 1514(s); CIMS (methane) m/z 307 (M+H), 247, 206.",1,1,14,74,,,,,,
31-019-CAS-10049811,Passerini 3‑component,94,,,CCCCCCCC(=O)O.[N-]=[N+]=CC(=O)C1CCCCC1.CC(=O)O.[C-]#[N+]CCCC>>CCCCCCCC(=O)OCC(OC(C)=O)(C(=O)NCCCC)C1CCCCC1,"Journal of Organic Chemistry (2008), 73(24), 9720-9726","75-31-0, 590-86-3, 1123-00-8, 10340-91-7",656258-86-5,,13395-16-9,108-88-3,,,,,,"General/Typical Procedure: Representative Procedure for the Synthesis of Di-O-acyl-glyceramides. Compound 20b. A mixture of acetic acid (57 µL, 1.0 mmol) and Cu(acac)2 (2.6 mg, 0.01 mmol, 1 mol %) toluene (2 mL) in a 10 mL round-bottom flask was heated to 60 °C for 10 min under nitrogen. To it was added dropwise a solution of diazoketone 1a (226 mg, 1.3 mmol, 1.3 equiv) in toluene (2 mL).Once gas evolution was judged complete, the reaction mixture was stirred an additional 5 min, then cooled and concentrated in Vacuo. The oily residue was blanketed in nitrogen, then treated with isobutyric acid (140 µL, 1.5 mmol, 1.5 equiv) and t-BuNC (170 µL, 1.5 mmol, 1.5 equiv). The resulting reaction mixture was stirred at rt under N2 for 20 h. The product was purified by silica gel flash column chromatography (1:1 EtOAc:hexanes, Rf ) 0.3) to afford 5b (338 mg, 90%) as a pale-yellow oil.",2,1,94,,,,,,,
31-019-CAS-10904591,Passerini 3‑component,71,,,CC(C)C(=O)O.O=C(O)CNC(=O)OCc1ccccc1.CC(=O)C=[N+]=[N-].[C-]#[N+]CCCC>>CCCCNC(=O)C(C)(COC(=O)C(C)C)OC(=O)CNC(=O)OCc1ccccc1,"Tetrahedron Letters (2008), 49(41), 5983-5985","65-85-0, 104-88-1, 7188-38-7",1258789-19-3,,13395-16-9,108-88-3,,,,,,,2,1,71,,,,,,,
31-019-CAS-11477889,Passerini 3‑component,94,,,CC(=O)O.[C-]#[N+]C(C)(C)C.[N-]=[N+]=CC(=O)CCc1ccccc1>>CC(=O)OCC(CCc1ccccc1)(OC(C)=O)C(=O)NC(C)(C)C,"Tetrahedron Letters (2008), 49(41), 5983-5985","78-84-2, 104-01-8, 592479-02-2",1011729-29-5,,13395-16-9,108-88-3,,,,,,,2,1,94,,,,,,,products depend on reaction conditions (amt. of cat)
31-019-CAS-12189369,Passerini 3‑component,76,,,N#CCC(=O)O.[N-]=[N+]=CC(=O)C1CCCCC1.O=C(O)c1ccccc1.[C-]#[N+]CC(=O)OCC>>CCOC(=O)CNC(=O)C(COC(=O)CC#N)(OC(=O)c1ccccc1)C1CCCCC1,"Journal of Organic Chemistry (2008), 73(24), 9720-9726","372-09-8, 65-85-0, 2999-46-4, 31151-40-3",1072252-41-5,,13395-16-9,108-88-3,,,,,,"General/Typical Procedure: Representative Procedure for the Synthesis of Di-O-acyl-glyceramides. Compound 20b. A mixture of acetic acid (57 µL, 1.0 mmol) and Cu(acac)2 (2.6 mg, 0.01 mmol, 1 mol %) toluene (2 mL) in a 10 mL round-bottom flask was heated to 60 °C for 10 min under nitrogen. To it was added dropwise a solution of diazoketone 1a (226 mg, 1.3 mmol, 1.3 equiv) in toluene (2 mL).Once gas evolution was judged complete, the reaction mixture was stirred an additional 5 min, then cooled and concentrated in Vacuo. The oily residue was blanketed in nitrogen, then treated with isobutyric acid (140 µL, 1.5 mmol, 1.5 equiv) and t-BuNC (170 µL, 1.5 mmol, 1.5 equiv). The resulting reaction mixture was stirred at rt under N2 for 20 h. The product was purified by silica gel flash column chromatography (1:1 EtOAc:hexanes, Rf ) 0.3) to afford 5b (338 mg, 90%) as a pale-yellow oil.",2,1,76,,,,,,,
31-019-CAS-13628266,Passerini 3‑component,90,,,CC(=O)O.CC(C)C(=O)O.[C-]#[N+]C(C)(C)C.[N-]=[N+]=CC(=O)CCc1ccccc1>>CC(=O)OCC(CCc1ccccc1)(OC(=O)C(C)C)C(=O)NC(C)(C)C,"Tetrahedron Letters (2008), 49(41), 5983-5985","110-17-8, 123-11-5, 931-53-3",1627939-93-8,,13395-16-9,108-88-3,,,,,,,2,1,90,,,,,,,
31-019-CAS-14322427,Passerini 3‑component,71,,,CC(C)C(=O)O.CC(=O)C=[N+]=[N-].O=C(O)CNC(=O)OCc1ccccc1.[C-]#[N+]CCCC>>CCCCNC(=O)C(C)(COC(=O)C(C)C)OC(=O)CNC(=O)OCc1ccccc1,"Journal of Organic Chemistry (2008), 73(24), 9720-9726","79-31-2, 1138-80-3, 2684-62-0, 2769-64-4",1072252-43-7,,13395-16-9,108-88-3,,,,,,"General/Typical Procedure: Representative Procedure for the Synthesis of Di-O-acyl-glyceramides. Compound 20b. A mixture of acetic acid (57 µL, 1.0 mmol) and Cu(acac)2 (2.6 mg, 0.01 mmol, 1 mol %) toluene (2 mL) in a 10 mL round-bottom flask was heated to 60 °C for 10 min under nitrogen. To it was added dropwise a solution of diazoketone 1a (226 mg, 1.3 mmol, 1.3 equiv) in toluene (2 mL).Once gas evolution was judged complete, the reaction mixture was stirred an additional 5 min, then cooled and concentrated in Vacuo. The oily residue was blanketed in nitrogen, then treated with isobutyric acid (140 µL, 1.5 mmol, 1.5 equiv) and t-BuNC (170 µL, 1.5 mmol, 1.5 equiv). The resulting reaction mixture was stirred at rt under N2 for 20 h. The product was purified by silica gel flash column chromatography (1:1 EtOAc:hexanes, Rf ) 0.3) to afford 5b (338 mg, 90%) as a pale-yellow oil.",2,1,71,,,,,,,
31-019-CAS-1555704,Passerini 3‑component,90,,,CC(=O)O.[N-]=[N+]=CC(=O)CCc1ccccc1.CC(C)C(=O)O.[C-]#[N+]C(C)(C)C>>CC(=O)OCC(CCc1ccccc1)(OC(=O)C(C)C)C(=O)NC(C)(C)C,"Journal of Organic Chemistry (2008), 73(24), 9720-9726","64-19-7, 79-31-2, 7188-38-7, 10290-42-3",1072252-32-4,,13395-16-9,108-88-3,,,,,,"Representative Procedure for the Synthesis of Di-O-acyl-glyceramides. Compound 20b. A mixture of acetic acid (57 µL, 1.0 mmol) and Cu(acac)2 (2.6 mg, 0.01 mmol, 1 mol %) toluene (2 mL) in a 10 mL round-bottom flask was heated to 60 °C for 10 min under nitrogen. To it was added dropwise a solution of diazoketone 1a (226 mg, 1.3 mmol, 1.3 equiv) in toluene (2 mL).Once gas evolution was judged complete, the reaction mixture was stirred an additional 5 min, then cooled and concentrated in Vacuo. The oily residue was blanketed in nitrogen, then treated with isobutyric acid (140 µL, 1.5 mmol, 1.5 equiv) and t-BuNC (170 µL, 1.5 mmol, 1.5 equiv). The resulting reaction mixture was stirred at rt under N2 for 20 h. The product was purified by silica gel flash column chromatography (1:1 EtOAc:hexanes, Rf ) 0.3) to afford 5b (338 mg, 90%) as a pale-yellow oil.",2,1,90,,,,,,,
31-019-CAS-197195,Passerini 3‑component,72,,,O=C(O)c1ccccc1.CCCCCCCC(=O)O.[C-]#[N+]CC(=O)OCC.[N-]=[N+]=CC(=O)CCc1ccccc1>>CCCCCCCC(=O)OC(CCc1ccccc1)(COC(=O)c1ccccc1)C(=O)NCC(=O)OCC,"Tetrahedron Letters (2008), 49(41), 5983-5985","78-84-2, 79-09-4, 916494-06-9",1001415-70-8,,13395-16-9,108-88-3,,,,,,,2,1,72,,,,,,,
