reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-345-CAS-10024155,Ruppert–Prakash (TMS–CF3),71,,,C=C[C@H]1C[N@]2CC[C@H]1C[C@@H]2C(=O)c1ccnc2ccc(OC)cc12.C[Si](C)(C)C(F)(F)F>>C=C[C@H]1C[N@]2CC[C@H]1C[C@@H]2[C@](O)(c1ccnc2ccc(OC)cc12)C(F)(F)F,"Journal of the American Chemical Society (2011), 133(26), 9992-9995","589-92-4, 81290-20-2",883558-03-0,163931-61-1,,109-99-9,,,,,,"Procedure for the Preparation of epiCF3QD (1) Quinidinone was prepared according to the known procedures described by Woodward et al. 1 and Skarewski et al. 2 Quinidinone (3.74 g, 11.6 mmol) and TMSCF3 (4.14 g, 29.1 mmol, 2.5 eq.) were quickly dissolved in anhydrous THF (72 mL) in a Schlenk flask under argon atmosphere. Tetrabutylammonium difluorotriphenylsilicate (1.57 g, 2.9 mmol, 0.25 eq.) was added to above mentioned solution within 2 min at 0 °C. The ice bath was removed thereafter, and the reaction mixture was warmed to room temperature and the mixture was stirred for 2h before evaporating the volatile matters. The resulting crude product was purified by column chromatography with Et2O-Et2O/MeOH (98:2) as the eluent affording the desired product as a yellowish amorphous solid (3.24 g, 71%). epiCF3QD (1), yield (3.24 g, 71%) 1H NMR (400 MHz, CDCl3, 293K) 1.65-1.71 (m, 2H), 1.77 (m, 1H), 1.94 (m, pseudo s, 1H), 2.19-2.25 (m, 1H), 2.26-2.33 (m, 1H), 2.77-3.00 (m, 2H), 2.89-3.07 (m, 2H), 3.47 (m, pseudo t, J = 10.2 Hz, 1H), 5.07-5.13 (m, 2H), 5.92 (ddd, J = 17.3, 10.6, 7.1 Hz, 1H), 7.05 (br s, 1H), 7.33 (d, J = 4.8 Hz, 1H), 7.36 (dd, J = 9.2, 2.8 Hz, 1H), 8.00 (d, J = 9.2 Hz, 1H), 8.54 (d, J = 2.8 Hz, 1H), 8.69 (d, J = 4.8 Hz, 1H). 13C NMR (101 MHz, CDCl3, 293 K) 24.0, 26.0, 29.3, 39.4, 48.9 (q, J = 3.3 Hz), 51.2, 55.5, 64.5, 79.8 (q, J = 27.5 Hz), 105.5, 115.6, 120.1, 122.0, 125.8 (q, J = 288.2 Hz), 128.1, 131.6, 139.0, 143.5, 146.0, 146.3, 157.4. 19F NMR (376 MHz, CDCl3, 293K) -70.64 (s, 3F). HRMS (ESI) Exact mass calculated for C21H24F3N2O2 [M+H+] 393.1784; Found 393.1788.",1,1,71,,,,,,,stereoselective
31-345-CAS-10061211,Ruppert–Prakash (TMS–CF3),76,,,C[Si](C)(C)C(F)(F)F.Cc1ccc(C=O)cc1>>Cc1ccc(C(O)C(F)(F)F)cc1,"Journal of Fluorine Chemistry (2013), 15246-50","529-20-4, 81290-20-2",877996-73-1,"12125-02-9, 7647-01-0","373-68-2, 1091629-74-1","75-09-2, 108-88-3, 7732-18-5",,,,,,,4,1,76,,,,,,,"green chemistry-process simplification, regioselective, stereoselective, 60% ee"
31-345-CAS-10085241,Ruppert–Prakash (TMS–CF3),81,,,O=Cc1ccc(Br)cc1.C[Si](C)(C)C(F)(F)F>>O[C@H](c1ccc(Br)cc1)C(F)(F)F,"Organic & Biomolecular Chemistry (2012), 10(47), 9334-9337","83-38-5, 81290-20-2",911297-90-0,"7732-18-5, 429-41-4","945732-76-3, 1087319-58-1","108-88-3, 109-99-9",,,,,,,4,1,81,,,,,,,"stereoselective, 57% ee"
31-345-CAS-10090615,Ruppert–Prakash (TMS–CF3),90,,,C(=NCc1ccccc1)c1ccccc1.C[Si](C)(C)C(F)(F)F>>FC(F)(F)C(NCc1ccccc1)c1ccccc1,"European Journal of Organic Chemistry (2008), (31), 5226-5230","350-03-8, 81290-20-2",1008727-18-1,"76-05-1, 7789-29-9",,"68-12-2, 75-05-8",,,,,,,2,1,90,,,,,,,
31-345-CAS-10123268,Ruppert–Prakash (TMS–CF3),75,,,C[Si](C)(C)C(F)(F)F.CC(C)[C@@H]1OC(C)(C)OCC1=O>>CC(C)[C@@H]1OC(C)(C)OC[C@@]1(O)C(F)(F)F,"European Journal of Organic Chemistry (2007), (7), 1085-1090","81290-20-2, 1260497-53-7",869853-59-8,"429-41-4, 7732-18-5",,109-99-9,,,,,,,2,1,75,,,,,,,stereoselective
31-345-CAS-1016101,Ruppert–Prakash (TMS–CF3),92,,,C=CCCCCCCCC=O.C[Si](C)(C)C(F)(F)F>>C=CCCCCCCCC(O)C(F)(F)F,"Journal of Organic Chemistry (2012), 77(18), 8131-8141","81290-20-2, 842120-45-0",842120-46-1,429-41-4,,"109-99-9, 7732-18-5",,,,,,"General/Typical Procedure: Synthesis of α-Trifluoromethyl Alcohols and Aldehyde Precursors When Applicable: Representative Procedure for Preparation of α -CF3 Alcohols. Preparation of 2,2,2-Trifluoro-1-(p-tolyl)ethanol23 (2a). The following is a modification of the procedure outlined by Kelly et al.24 To a 100 mL round-bottom flask equipped with a stir bar was added THF (24 mL), p-tolualdehyde (2.723 g, 0.020 mol, 0.83 M, 1 equiv), and (trifluoromethyl)- trimethylsilane (3.12 g, 0.022 mol, 1.3 equiv). The flask was sealed with a rubber septum and placed under a N2 atmosphere via an inlet needle. The reaction mixture was cooled to 0 °C in an ice-water bath and stirred via a magnetic stir plate. After approximately 10 min, TBAF (1 M in THF, 0.2 mL, 0.0002 mol, 0.01 equiv) was added dropwise via a syringe. Note: on small scales, i.e. <20 mmol, the TBAF could be added relatively quickly. However, upon scale-up the addition of TBAF is quite exothermic. Hence, it is recommended that the TBAF be added as slowly as possible and/or the reaction mixture be cooled to a temperature lower than 0 °C. After 10 min, the ice bath was removed and the solution was stirred for approximately 6 h at room temperature. To cleave the silyl ether intermediate, the reaction mixture was cooled to 0 °C in an ice bath. After 10 min, water (2 mL, 0.110 mol, 5.5 equiv) was added via a syringe. TBAF (1 M in THF, 2 mL, 0.002 mol, 0.1 equiv) was then added. After 10 min the ice bath was removed and the reaction mixture was stirred at room temperature. When the cleavage was judged to be complete (determined by GC-MS or NMR), the contents of the flask were transferred to a separatory funnel. Note: some of the silyl ethers were very slow to cleave and required another addition of TBAF and water. Brine (~100mL) and Et2O (~150mL) were added, and the layers were partitioned. The aqueous layer was back-extracted (3 × ~50mL) with Et2O. The combined ether layers were dried with Na2SO4, and the solvent was removed in vacuo via rotary evaporation to afford crude 2, which was further purified by vacuum distillation to give the pure α -CF3 alcohol 2. 1,1,1-Trifluoroundec-10-en-2-ol (2m). The title compound (8.020 g, 92%) was prepared according to the representative procedure from dec-9-enal (6.000 g, 0.0388 mol) followed by vacuum distillation to give the pure α -CF3 alcohol 2m as a clear colorless oil. (bp 63-65 °C @ 0.1 mmHg).1H NMR (CDCl3, 400 MHz; δ, ppm) 1.21-1.47 (m, 9 H), 1.49-1.75 (m, 3 H), 2.04 (q, J = 7.01 Hz, 2 H), 2.62 (br s, 1 H), 3.88 (br s, 1 H), 4.89-5.05 (m, 2 H), 5.81 (ddt, J = 16.99, 10.21, 6.69, 6.69 Hz, 1 H); 13C NMR (CDCl3 101 MHz): δ ppm 25.2 (CH2), 29.1 (CH2), 29.3 (CH2), 29.4 (CH2), 29.5 (CH2), 29.8 (q, JC-C-C-F = 1.0 Hz, CH2) 34.0 (CH2), 70.8 (q, JC-C-F = 31.0 Hz, 7 C), 114.5 (CH2), 125.5 (q, JC-F = 282.0 Hz, 2 C), 139.4 (CH); 19F NMR (CDCl3, 376 MHz; δ, ppm) -83.05 (d, J = 6.81 Hz); GC-MS (EI) 224 ([M]+, 1%), 153, (14%), 150 (14%), 149 (11%), 139 (30%), 136 (25%), 135 (14%), 123 (15%), 113 (12%), 103 (14%), 99 (11%), 97 (22%), 95 (26%), 84 (14%), 83 (32%), 82 (10%), 81 (30%), 79 (18%), 77 (13%), 73 (12%), 71 (10%), 70 (37%), 69 (55%), 68 (24%), 67 (35%), 59 (14%), 57 (25%), 56 (37%), 55 (100%), 54 (20%), 53 (16%), 43 (27%), 42 (21%), 41 (82%), 39 (37%); HRMS (ESI+), calcd for C11H20F3O [M + H]+ 225.1466, found 225.1451.",3,1,92,,,,,,,"exothermic, sealed tube used"
31-345-CAS-1017197,Ruppert–Prakash (TMS–CF3),96,,,CC(=O)c1cccc([N+](=O)[O-])c1.C[Si](C)(C)C(F)(F)F>>C[C@@](O)(c1cccc([N+](=O)[O-])c1)C(F)(F)F,"Organic Letters (2007), 9(18), 3707-3710","81290-20-2, 116308-38-4",2193826-05-8,"12125-02-9, 429-41-4","373-68-2, 479070-35-4","75-09-2, 108-88-3, 7732-18-5, 109-99-9",,,,,,"General/Typical Procedure: Using 3a: To a stirred solution of 1a (30.0 mg, 0.18 mmol), 3a (10.5 mg, 0.018 mmol) and TMAF (3.3 mg, 0.035 mmol) in toluene/CH2Cl2 (2/1, 0.5 mL) was added Me3SiCF3 (52.2 μL, 0.35 mmol) at - 80°C under N2 atmosphere. After reaction mixture was stirred for 12 h at the same temperature, it was quenche-d with sat. NH4Cl aq. Aqueous layer was extracted with AcOEt (5 mL x 2), and the combined organic layers was washed with brine, dried over MgSO4 and concentrated under reduced pressure to furnish the crude 2a as a trimethylsilyl ether. The trimethylsilyl ether was treated with TBAF (50.6 mg, 0.19 mmol) in THF (1.5 mL) at room temperature for 1h. The resulting mixture was concentrated under reduced pressure. The residue was purified by column chromatography on silica gel (acetone/n-hexane= 10/1) to give 2a (41.7 mg, 98%, 87% ee) as a white solid. (R)-1,1,1-trifluoro-2-(3-nitrophenyl)propan-2-ol (2n) The reaction of 1n (33.0 mg, 0.20 mmol) with Me3SiCF3 (59.1 μL, 0.40 mmol) catalyzed by TMAF (1.9 mg, 0.02 mmol) and 3a (12.0 mg, 0.02 mmol) in toluene/CH2Cl2 (2/1, 0.5 mL) in presence of MS 4A (100 mg) gave 2n (45.1 mg, 96%, 64 % ee) as pale yellow oil sup>1H NMR (CDCl3) δ 1.86 (s, 3H), 2.67 (br s, 1H), 7.59 (t, J = 8.2 Hz, 1H), 7.93 (d, J = 8.0 Hz, 1H), 8.21.8.27 (m, 1H), 8.48 (s, 1H), 19F NMR (CDCl3) δ .81.1 (s, 3F); 13C NMR (CDCl3, 50.3 MHz) δ 23.9, 74.4 (q, J = 29.5 Hz), 121.4, 123.4, 124.8 (q, J = 284.5 Hz), 129.2, 132.3, 140.3, 147.8; IR (neat) 3495, 1534, 1348, 1285, 1169, 1091, 696 cm-1; MS (EI, m/z ) 235 (M+), 166; The ee of the product was determined by HPLC using an OD-H column (n-hexane/i-PrOH = 95/5, flow rate 0.5 mL/min, λ = 254 nm, τmaj =15.2 min, τmin = 18.7 min), [α]D25 = +5.8 (c = 0.60 , CHCl3) , 64% ee.",3,1,96,,,,,,,"stereoselective, 64% ee, molecular sieves used"
31-345-CAS-10176418,Ruppert–Prakash (TMS–CF3),97,,,COc1ccc(C=O)cc1.C[Si](C)(C)C(F)(F)F>>COc1ccc(C(O)C(F)(F)F)cc1,"Tetrahedron Letters (1999), 40(47), 8231-8234","123-11-5, 81290-20-2",1737-27-5,"12125-02-9, 7647-01-0",254910-12-8,"60-29-7, 7732-18-5, 109-99-9",,,,,,,5,1,97,,,,,,,stereoselective
31-345-CAS-10198359,Ruppert–Prakash (TMS–CF3),98,,,CC(=O)c1ccc2ccccc2c1.C[Si](C)(C)C(F)(F)F>>C[C@@](O)(c1ccc2ccccc2c1)C(F)(F)F,"Organic Letters (2007), 9(18), 3707-3710","93-08-3, 81290-20-2",947507-92-8,"12125-02-9, 429-41-4","373-68-2, 947508-14-7","75-09-2, 108-88-3, 7732-18-5, 109-99-9",,,,,,"Using 3a: To a stirred solution of 1a (30.0 mg, 0.18 mmol), 3a (10.5 mg, 0.018 mmol) and TMAF (3.3 mg, 0.035 mmol) in toluene/CH2Cl2 (2/1, 0.5 mL) was added Me3SiCF3 (52.2 μL, 0.35 mmol) at - 80°C under N2 atmosphere. After reaction mixture was stirred for 12 h at the same temperature, it was quenche-d with sat. NH4Cl aq. Aqueous layer was extracted with AcOEt (5 mL x 2), and the combined organic layers was washed with brine, dried over MgSO4 and concentrated under reduced pressure to furnish the crude 2a as a trimethylsilyl ether. The trimethylsilyl ether was treated with TBAF (50.6 mg, 0.19 mmol) in THF (1.5 mL) at room temperature for 1h. The resulting mixture was concentrated under reduced pressure. The residue was purified by column chromatography on silica gel (acetone/n-hexane= 10/1) to give 2a (41.7 mg, 98%, 87% ee) as a white solid. 1.1.1-trifluoro-2-(naphthalen-2yl)propan-2-ol (2a), yield (41.7 mg, 98%) 1H NMR (CDCl3) δ 1.88 (s, 3H), 2.50 (s, 1H), 7.46-7.54 (m, 2H), 7.66 (d, J = 8.4Hz, 1H), 7.78.7.92 (m, 3H), 8.05 (s, 1H); 19F NMR (CDCl3) δ .80.7 (s, 3F); 13C NMR (CDCl3) δ 24.2, 75.0 (q, J = 29.1 Hz), 123.3 (d, J = 1.6 Hz), 125.4 (d, J = 1.2Hz), 125.46 (q, J = 284.5 Hz), 126.2, 126.8, 127.3, 127.9, 128.2, 132.6, 132.8, 135.5; IR (KBr) 3525, 3066, 3004, 1601, 1507, 1462, 1387, 1281, 1166, 1092, 957, 929, 899, 863, 824, 753, 719, 670 cm-1; MS (EI, m/z ) 240 (M+); The ee of the product was determined by HPLC using a OD-H column (n-hexane/i-PrOH = 95/5, flow rate 0.5 mL/min, λ = 254 nm, τmaj =14.9 min, τmin = 21.9 min); [α]D25 = +5.1 (c = 0.5 , CHCl3) , 87% ee",3,1,98,,,,,,,"stereoselective, 87% ee, optimized on catalysts, solvents and reaction temperature"
31-345-CAS-10198403,Ruppert–Prakash (TMS–CF3),90,,,CC(=O)c1ccc2ccccc2c1.C[Si](C)(C)C(F)(F)F>>C[C@@](O)(c1ccc2ccccc2c1)C(F)(F)F,"Tetrahedron Letters (2009), 50(30), 4378-4380","93-08-3, 81290-20-2",947507-92-8,"7646-69-7, 429-41-4",1176139-53-9,"108-20-3, 109-99-9",,,,,,,2,1,90,,,,,,,"stereoselective, optimization study"
