reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-014-CAS-11018004,Sharpless dihydroxylation,94,,,C=CC[C@@H](C)[C@@H](O)CC(=O)OC>>COC(=O)C[C@@H]1O[C@@H](CO)C[C@H]1C,"Tetrahedron (2013), 69(40), 8632-8644",2254162-59-7,2254162-29-1,7782-44-7,1201280-19-4,67-63-0,,,,,,,1,1,94,,,,,,,"stereoselective, optimized on catalysts and reaction conditions, key step"
31-014-CAS-13158190,Sharpless dihydroxylation,94,,,C=CC[C@@H](C)[C@@H](O)CCOCc1ccc(OC)cc1>>COc1ccc(COCC[C@@H]2O[C@@H](CO)C[C@H]2C)cc1,"Tetrahedron (2013), 69(40), 8632-8644",2750200-66-7,2750200-68-9,"75-91-2, 7782-44-7",1201280-19-4,67-63-0,,,,,,,2,1,94,,,,,,,"stereoselective, optimized on catalysts and reaction conditions, key step"
31-014-CAS-18273628,Sharpless dihydroxylation,84,,,CCC[C@H](O)C/C=C/c1cc(OC)c(OC)c(OC)c1>>CCC[C@@H]1C[C@@H](O)[C@@H](c2cc(OC)c(OC)c(OC)c2)O1.CCC[C@@H]1C[C@H](O)[C@H](c2cc(OC)c(OC)c(OC)c2)O1,"Organic & Biomolecular Chemistry (2014), 12(31), 5973-5980",309946-62-1,"309946-64-3, 1715044-29-3","121-44-8, 124-63-0, 153130-59-7, 7757-83-7",,"75-09-2, 7732-18-5, 75-65-0",,,,,,,4,1,84,11,,,,,,
31-014-CAS-18280123,Sharpless dihydroxylation,90,,,CC(C)[C@@H]1O[C@H]1[C@@H](O)C[C@@H](C)/C=C/CCCO[Si](C)(C)C(C)(C)C>>CC(C)[C@@H]1O[C@H]1[C@H]1C[C@@H](C)[C@H]([C@H](O)CCCO[Si](C)(C)C(C)(C)C)O1,"Organic Letters (2016), 18(1), 112-115",1613059-49-6,1613059-32-7,"121-44-8, 124-63-0, 3144-09-0, 148618-32-0, 7757-83-7",,"75-09-2, 75-65-0, 7732-18-5",,,,,,"Tetrahydrofuran 2. To a solution of epoxy alcohol 16 (1.3521 g, 3.791 mmol) in CH2Cl2 (40 mL) at 0°C were added Et3N (1.60 mL, 11.5 mmol) and MsCl (0.60 mL, 7.8 mmol), and the resultant solution was stirred at 0°C for 45 min. The reaction mixture was extracted with EtOAc, and the organic layer was washed sequentially with 1 M aqueous HCl solution, saturated aqueous NaHCO3 solution, and brine, dried over Na2SO4, filtered, and concentrated under reduced pressure. Crude mesylate 4 (1.6977 g), which was used in the next reaction without further purification. To a solution of the above mesylate 4 in t-BuOH/H2O (1:1, v/v, 40 mL) were added MeSO2NH2 (362.8 mg, 3.814 mmol) and AD-mix-β (5.3168 g), and the resultant mixture was stirred at room temperature for 16.5 h. The reaction was quenched with saturated aqueous Na2SO3 solution, and the resultant mixture was stirred at room temperature for 30 min. The mixture was extracted with EtOAc, and the organic layer was washed with 1 M aqueous NaOH solution and brine, dried over Na2SO4, filtered, and concentrated under reduced pressure. Purification of the residue by column chromatography (silica gel, 7 to 8 to 20% EtOAc/hexanes) gave tetrahydrofuran 2 (1.2653 g, 90% for the two steps) as a colorless oil. Data for 2: [α]D 25 -11.6 (c 1.0, CHCl3); IR (neat) 3446, 2956, 2929, 2857, 2367, 2321, 1472, 1458, 1387, 1254, 1098, 835, 775 cm-1; 1H NMR (CDCl3, 600 MHz) δ 3.82 (ddd, J = 9.4, 5.5, 5.1 Hz, 1H), 3.68-3.61 (m, 2H), 3.46 (m, 1H), 3.37 (dd, J = 8.3, 3.2 Hz, 1H), 2.79 (dd, J = 5.1, 2.3 Hz, 1H), 2.68 (dd, J = 6.8, 2.3 Hz, 1H), 2.34 (d, J = 6.9 Hz, 1H), 2.25-2.16 (m, 2H), 1.71 (m, 1H), 1.67-1.48 (m, 5H), 1.06 (d, J = 6.0 Hz, 3H), 1.01 (d, J = 6.9 Hz, 3H), 0.94 (d, J = 6.9 Hz, 3H), 0.89 (s, 9H), 0.05 (s, 6H); 13C NMR (150 MHz, CDCl3) δ 88.6, 78.4, 71.1, 63.1, 61.2, 59.3, 38.2, 35.2, 31.1, 30.2, 29.1, 25.9 (3C), 19.0, 18.3 (2C), 16.8, -5.3 (2C); HRMS (ESI) calcd for C20H40O4SiNa [(M + Na)+] 395.2588; found 395.2588.",3,1,90,,,,,,,stereoselective
31-014-CAS-21110385,Sharpless dihydroxylation,86,,,CC(C)[C@H]1O[C@@H]1[C@@H](O)C[C@@H](C)/C=C/CCCO[Si](C)(C)C(C)(C)C>>CC(C)[C@H]1O[C@@H]1[C@H]1C[C@@H](C)[C@H]([C@H](O)CCCO[Si](C)(C)C(C)(C)C)O1,"Journal of Organic Chemistry (2016), 81(19), 9105-9121",2931517-85-8,2931517-87-0,"121-44-8, 124-63-0, 3144-09-0, 148618-32-0, 7757-83-7",,"75-09-2, 75-65-0, 7732-18-5",,,,,,,3,1,86,,,,,,,"stereoselective, Sharpless-asymmetric dihydroxylation - stage 2"
31-014-CAS-21152536,Sharpless dihydroxylation,81,,,CCCC/C=C/CC[C@H](O)C[C@H]1CCOC(c2ccc(OC)cc2)O1>>CCCC[C@@H](O)[C@H]1CC[C@H](C[C@H]2CCOC(c3ccc(OC)cc3)O2)O1,"Tetrahedron Letters (2016), 57(47), 5240-5242",1453-25-4,1932387-10-4,"121-44-8, 124-63-0, 7647-01-0, 3144-09-0, 7772-98-7, 584-08-7",148618-32-0,"75-09-2, 7732-18-5, 75-65-0",,,,,,,5,1,81,,,,,,,"stereoselective, Sharpless asymmetric dihydroxylation (stages 3-5), key step (stage 3)"
31-014-CAS-21319523,Sharpless dihydroxylation,88,,0.033,COc1ccc(COC[C@@H](O)C/C=C/CCCCOCc2ccccc2)cc1>>COc1ccc(COC[C@H]2C[C@H](O)[C@H](CCCCOCc3ccccc3)O2)cc1,"Asian Journal of Organic Chemistry (2015), 4(10), 1025-1029",36781-67-6,165605-79-8,"121-44-8, 98-59-9, 584-08-7, 3144-09-0, 13746-66-2, 7757-83-7","1122-58-3, 20816-12-0, 140924-50-1","75-09-2, 75-65-0, 108-88-3, 7732-18-5, 67-56-1",,,,,,,5,1,88,,,,,,,after 2 minutes stirring intermediate from stage 2 added in stage 3 (stage 3)
31-014-CAS-3529842,Sharpless dihydroxylation,79,,,C[C@H](C/C=C/C[C@@H]1COC(C)(C)O1)[C@@H](O)CCO[Si](C)(C)C(C)(C)C>>C[C@@H]1C[C@H]([C@H](O)C[C@@H]2COC(C)(C)O2)O[C@@H]1CCO[Si](C)(C)C(C)(C)C,"Organic Letters (2014), 16(10), 2658-2660",2919747-62-7,2919747-63-8,"121-44-8, 124-63-0, 144-55-8, 3144-09-0, 153130-59-7, 7681-57-4",,"75-09-2, 7732-18-5, 75-65-0",,,,,,"(R)-1-((2R,4R,5R)-5-(2-(tert-Butyldimethylsilyloxy)ethyl)-4-methyltetrahydrofuran-2-yl)-2-((R)-2,2-dimethyl-1,3-dioxolan-4-yl)ethanol (17) To a stirred solution of 9 (4.5 g, 12.1 mmol) in dry CH2Cl2 (40 mL) was added Et3N (2.6 mL, 18.1 mmol) and MsCl (1.3 mL, 15.73 mmol) drop wise at 0°C under N2 atmosphere and stirred at rt for 1.5 h. Then the reaction mixture was quenched with saturated aqueous NaHCO3 (15 mL) and extracted with EtOAc (2 x 250 mL). The combined organic extracts were washed with water (20 mL), brine (20 mL) and dried over Na2SO4. Evaporation of the solvent under reduced pressure afforded the mesylate compound which was used directly without further purification. The above mesylate compound was added to a solution of AD-mix-β (33.8 g) and MeSO2NH2 (2.3 g, 24.2 mmol) in t-BuOH:water (1:1, 350 mL) at 0°C. The mixture was stirred at this temperature for 72 h and then quenched by slow addition of Na2S2O5 (34.5 g, 181.5 mmol) and stirred for additional 0.5 h. Then the reaction mixture was diluted with water, and extracted with EtOAc (2 x 250 mL).The combined organic extracts were washed with water (20 mL), brine (20 mL) and dried over Na2SO4 and concentrated under vacuo. The residue was purified by column chromatography (SiO2, 13% EtOAc/hexanes) to afford 17 (3.7 g, 79% over two steps) as a clear oil. Rf = 0.3 (SiO2, 20% EtOAc/hexanes); [α]D 25 = + 22.2 (c 0.45, CHCl3); IR (Neat): νmax 3463, 2955, 2859, 1461, 1370, 1253, 1095, 1063, 834, 776 cm-1; 1H NMR (300MHz, CDCl3): δ 4.34 (m, 1H), 4.10 (dd, J = 8.0, 5.9 Hz, 1H), 3.99 (m, 1H), 3.79-3.66 (m, 3H), 3.62-3.54 (m, 2H), 2.64 (brs, OH), 2.37 (q, J = 7.3 Hz, 1H), 2.06 (dt, J = 14.3, 7.2 Hz, 1H), 1.72-1.53 (m, 4H), 1.41 (s, 3H), 1.37 (s, 3H), 1.33 (m, 1H), 0.95 (d, J = 7 Hz, 3H), 0.9 (s, 9H), 0.06 (s, 6H);13C NMR (75MHz, CDCl3): δ 108.4, 81.8, 78.7, 73.5, 71.9, 69.8, 60.8, 37.8, 36.2, 35.7, 34.0, 26.9, 25.9(3C), 25.7, 18.4, 14.9, -5.4(2C). HRMS (ESI): [M + Na]+ calcd. for C20H40O5NaSi 411.2537, found 411.2529.",5,1,79,,,,,,,stereoselective
31-014-CAS-394464,Sharpless dihydroxylation,99,,,C=CC[C@@H](C)[C@@H](O)COCc1ccccc1>>C[C@@H]1C[C@H](CO)O[C@H]1COCc1ccccc1,"Tetrahedron (2013), 69(40), 8632-8644",1549648-54-5,1549648-57-8,"75-91-2, 7782-44-7, 74-88-4",1201280-19-4,"67-63-0, 540-84-1",,,,,,,2,1,99,,,,,,,"stereoselective, key step"
31-014-CAS-7672255,Sharpless dihydroxylation,74,,,CCCCCCCCCC/C=C/CCCC(=O)O>>CCCCCCCCCC[C@@H](O)[C@@H]1CCCC(=O)O1,"Tetrahedron: Asymmetry (2014), 25(8), 610-616",2364595-32-2,2364595-33-3,"79-21-0, 497-19-8",3144-16-9,75-09-2,,,,,,,2,1,74,,,,,,,"regioselective (stage 2), stereoselective, water solvent may also be used (stage 1)"
