reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-290-CAS-15986869,Tetrazine–TCO iEDDA,73,,,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.CCSc1nc(Cl)ncc1F>>CCSc1nc(Cl)nc2c(-c3ccccc3)nnc(-c3ccccc3)c12,"Organic Letters (2016), 18(15), 3594-3597","110-83-8, 57654-36-1",2213470-95-0,"40949-94-8, 12125-02-9",,"108-88-3, 7732-18-5",,,,,,,2,1,73,,,,,,,
31-290-CAS-16227898,Tetrazine–TCO iEDDA,96,,,C=Cc1ccc(OC)cc1.c1ccc(-c2nnc(-c3ccccn3)nn2)nc1>>COc1ccc(-c2cc(-c3ccccn3)nnc2-c2ccccn2)cc1,"Angewandte Chemie, International Edition (2016), 55(40), 12243-12247","614756-34-2, 2469042-91-7",2678494-47-6,118-75-2,,"67-56-1, 7732-18-5",,,,,,,2,1,96,,,,,,,Carboni-Lindsey reaction stage 1
31-290-CAS-16298655,Tetrazine–TCO iEDDA,95,,,COC(=O)c1nnc(C(=O)OC)nn1.C1=C[C@H]2C[C@@H]1[C@H]1c3ccccc3[C@H]12>>COC(=O)C1=NN=C(C(=O)OC)[C@H]2[C@H]3C[C@@H]([C@@H]12)[C@H]1c2ccccc2[C@@H]31,"Journal of Heterocyclic Chemistry (2016), 53(6), 2049-2056","27297-13-8, 81930-31-6",3009904-28-0,,,75-09-2,,,,,,,1,1,95,,,,,,,"stereoselective, Diels-Alder reaction"
31-290-CAS-16298657,Tetrazine–TCO iEDDA,96,,,c1ccc(-c2nnc(-c3ccccn3)nn2)nc1.C1=C[C@H]2C[C@@H]1[C@H]1c3ccccc3[C@H]12>>c1ccc(C2=NN=C(c3ccccn3)[C@H]3[C@H]4C[C@@H]([C@@H]23)[C@H]2c3ccccc3[C@@H]42)nc1,"Journal of Heterocyclic Chemistry (2016), 53(6), 2049-2056","121-46-0, 3047092-43-0",3047092-44-1,,,75-09-2,,,,,,,1,1,96,,,,,,,"stereoselective, Diels-Alder reaction"
31-290-CAS-16403813,Tetrazine–TCO iEDDA,84,,,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O>>COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c(-c3ccccc3)nnc(-c3ccccc3)c1-2,"Organic Letters (2016), 18(19), 4892-4895","498-66-8, 58884-35-8",2712574-37-1,,,67-66-3,,,,,,,1,1,84,,,,,,,"photochemical, click reaction"
31-290-CAS-16403814,Tetrazine–TCO iEDDA,92,,,COC(=O)c1nnc(C(=O)OC)nn1.COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O>>COC(=O)c1nnc(C(=O)OC)c2c1-c1ccc(OC)cc1[Si](C)(C)c1cc(OC)ccc1-2,"Organic Letters (2016), 18(19), 4892-4895","27297-13-8, 30169-25-6",3009904-26-8,,,75-05-8,,,,,,,1,1,92,,,,,,,"photochemical, click reaction"
31-290-CAS-16881454,Tetrazine–TCO iEDDA,57,,,c1ccc(-c2nnc(-c3ccccn3)nn2)nc1.C=COC[C@H](NC(=O)OCc1ccccc1)C(=O)OC>>COC(=O)[C@H](CO)NC(=O)OCc1ccccc1.c1ccc(-c2ccc(-c3ccccn3)nn2)nc1,"Angewandte Chemie, International Edition (2017), 56(1), 243-247","498-66-8, 1671-87-0","145846-80-6, 2712574-45-1",,,75-09-2,,,,,,,1,1,57,72,,,,,,
31-290-CAS-17853471,Tetrazine–TCO iEDDA,75,,,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.C[Si]1(C)O[Si](C)(C)c2cc3c(cc21)C1C=CC3O1>>C[Si]1(C)O[Si](C)(C)c2cc3cc4c(-c5ccccc5)nnc(-c5ccccc5)c4cc3cc21,"Tetrahedron (2017), 73(48), 6742-6746","58268-28-3, 2396594-00-4",2564740-58-3,,,109-99-9,,,,,,,1,1,75,,,,,,,Diels-Alder reaction
31-290-CAS-17853476,Tetrazine–TCO iEDDA,89,,,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.C1=CC2OC1c1cc3ccccc3cc12>>c1ccc(-c2nnc(-c3ccccc3)c3cc4cc5ccccc5cc4cc23)cc1,"Tetrahedron (2017), 73(48), 6742-6746","1633662-13-1, 2396594-00-4",2683002-52-8,,,109-99-9,,,,,,,1,1,89,,,,,,,Diels-Alder reaction
31-290-CAS-17853478,Tetrazine–TCO iEDDA,87,,,C1=CC2OC1c1cc3ccccc3cc12.FC(F)(F)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)cc3)nn2)cc1>>FC(F)(F)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)cc3)c3cc4cc5ccccc5cc4cc23)cc1,"Tetrahedron (2017), 73(48), 6742-6746","14141-65-2, 3086628-92-1",3086630-04-5,,,109-99-9,,,,,,,1,1,87,,,,,,,Diels-Alder reaction
