reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-10398780,mCPBA epoxidation. Alkene → epoxide,91,,,CCCCCCc1ccc(CCCCCCCC(=O)OC)o1>>CCCCCCC(=O)[C@H]1O[C@H]1C(=O)CCCCCCCC(=O)OC,"Chemistry and Physics of Lipids (1997), 85(2), 101-106",7469-77-4,1175538-68-7,937-14-4,,75-09-2,,,,,,,1,1,91,,,,,,,
31-006-CAS-1150864,mCPBA epoxidation. Alkene → epoxide,100,-20.0,5.0,COc1ccc2c(C)c(C)oc2c1>>COC1=CC(=O)/C(=C(/C)C(C)=O)C=C1.COc1ccc2c(c1)OC1(C)OC21C,"Organic Reactions (Hoboken, NJ, United States) (2007), 691-346","80-15-9, 614-47-1","617-94-7, 61840-93-5",74087-85-7,,67-64-1,,,,,,,1,1,100,,,,,,,"DMD, Acetone, -70 to -20 C/3 to 5 h., Dioxirane oxidations, Arenes, Heteroatom substrates, Mechanism, Method comparison, Experimental procedures"
31-006-CAS-1729192,mCPBA epoxidation. Alkene → epoxide,20,,,c1ccc2c(c1)C1Cc3occc3C2C1>>O=C/C=C1\C(=O)CC2CC1c1ccccc12.c1ccc2c(c1)C1CC3=C(C2C1)C1OC1O3.O=C/C=C1\C(O)CC2CC1c1ccccc12,"Tetrahedron Letters (2011), 52(47), 6255-6259",1393710-66-1,"1393710-58-1, 1393710-59-2, 1393710-63-8",7782-44-7,88992-32-9,"67-64-1, 7732-18-5",,,,,,,1,1,20,70,10,,,,,"photochemical, tungsten halogen immersion lamp, product ratio depends on reaction conditions (pH and air vs. pure O2)"
31-006-CAS-5717185,mCPBA epoxidation. Alkene → epoxide,100,-20.0,5.0,COc1cccc2c(C)c(C)oc12>>COc1cccc2c1OC1(C)OC21C.COC1=CC=C/C(=C(\C)C(C)=O)C1=O,"Organic Reactions (Hoboken, NJ, United States) (2007), 691-346",27123-66-6,"150969-65-6, 1452775-48-2",74087-85-7,,67-64-1,,,,,,,1,1,100,,,,,,,"DMD, Acetone, -70 to -20 C/3 to 5 h., Dioxirane oxidations, Arenes, Heteroatom substrates, Mechanism, Method comparison, Experimental procedures"
31-006-CAS-8628324,mCPBA epoxidation. Alkene → epoxide,100,-20.0,5.0,COc1cccc2oc(C)c(C)c12>>COc1cccc2c1C1(C)OC1(C)O2.COC1=CC=CC(=O)/C1=C(/C)C(C)=O,"Organic Reactions (Hoboken, NJ, United States) (2007), 691-346",2175-91-9,"138711-28-1, 138711-29-2",74087-85-7,,67-64-1,,,,,,,1,1,100,,,,,,,"DMD, Acetone, -70 to -20 C/3 to 5 h., Dioxirane oxidations, Arenes, Heteroatom substrates, Mechanism, Method comparison, Experimental procedures"
31-006-CAS-9600107,mCPBA epoxidation. Alkene → epoxide,100,-20.0,5.0,COc1ccc2oc(C)c(C)c2c1>>COc1ccc2c(c1)C1(C)OC1(C)O2.COC1=C/C(=C(\C)C(C)=O)C(=O)C=C1,"Organic Reactions (Hoboken, NJ, United States) (2007), 691-346",24832-63-1,"1073-14-9, 1452760-21-2",74087-85-7,,67-64-1,,,,,,,1,1,,100,,,,,,"DMD, Acetone, -70 to -20 C/3 to 5 h., Dioxirane oxidations, Arenes, Heteroatom substrates, Mechanism, Method comparison, Experimental procedures"
31-008-CAS-13926512,mCPBA epoxidation. Alkene → epoxide,94,,,CC[Si](Cl)(CC)CC.OCC1CC=CCC1>>CC[Si](CC)(CC)OCC1CCC2OC2C1,"Macromolecules (Washington, DC, United States) (2011), 44(5), 1110-1113",95-13-6,67528-26-1,"108-48-5, 937-14-4, 1310-73-2",,"75-09-2, 7732-18-5",,,,,,"The crude product from step 1 was dissolved in 150 ml of CH2Cl2. At 0 °C, mCPBA (6.6 g, 77% w/w, 29 mmol) was added over 5 min. After stirring for 5 h, the reaction was quenched with 1 N aq. NaOH (200 mL). The organic layer was separated and dried over MgSO4. The solvent was removed under reduced pressure. The resulting product was dried over CaH2 for 3 days, and distilled under vacuum. The final product was obtained as a colorless liquid (6.1 g, 25 mmol, 94% yield over 2 steps, a mixture of cis and trans isomers). TES-CHO, yield 6.1 g, 25 mmol, 94%. 1H NMR (400 MHz, CDCl3) δ 3.47- 3.27 (m, 2H), 3.21-3.07 (m, 2H), 2.04 (m, 2H), 1.89-1.48 (m, 2H), 1.47-1.35 (m, 2H), 1.13-0.95 (m, 1H), 0.92 (t, J = 8.0 Hz, 9H), 0.55 (q, J = 8.0 Hz, 6H). 13C NMR (100 MHz, CDCl3) δ 67.58, 67.17, 52.93, 52.73, 51.89, 51.46, 35.46, 32.48, 28.00, 27.22, 24.74, 23.66, 23.11, 20.96, 6.75 (SiCH2-CH3, two diastereomers are not distinguishable), 4.35, 4.31. HRMS-EI (m/z): calcd for C13H26O2Si, 242.1702; found, 242.1699.",3,1,94,,,,,,,
31-008-CAS-17860072,mCPBA epoxidation. Alkene → epoxide,94,,,CC[Si](Cl)(CC)CC.OCC1CC=CCC1>>CC[Si](CC)(CC)OCC1CCC2OC2C1,"Macromolecules (Washington, DC, United States) (2017), 50(16), 6088-6097","994-30-9, 1679-51-2",1265902-27-9,"108-48-5, 937-14-4, 1310-73-2",,"75-09-2, 7732-18-5",,,,,,,3,1,94,,,,,,,
31-014-CAS-12860014,mCPBA epoxidation. Alkene → epoxide,98,,,CO.CC1=COC(C(C)C)OC1>>COC1OC(C(C)C)OCC1(C)O,"Synlett (1999), (3), 303-306",881182-41-8,881182-42-9,937-14-4,,67-56-1,,,,,,"Treatment of 5-methyl-4H- 1,3-dioxins 5a-e with commercially available m-CPBA13 in methanol readily afforded a diastereomeric mixture of 4-methoxy-5-hydroxy-1,3-dioxanes 7a-e (Scheme 2, Table 1). 7e, yield 98%.",1,1,98,,,,,,,product depends on solvent
31-014-CAS-4037173,mCPBA epoxidation. Alkene → epoxide,97,,,CO.CC1=COCOC1>>COC1OCOCC1(C)O,"Synlett (1999), (3), 303-306",10285-80-0,1369589-59-2,937-14-4,,67-56-1,,,,,,"Treatment of 5-methyl-4H- 1,3-dioxins 5a-e with commercially available m-CPBA13 in methanol readily afforded a diastereomeric mixture of 4-methoxy-5-hydroxy-1,3-dioxanes 7a-e (Scheme 2, Table 1). 7a, yield 97%.",1,1,97,,,,,,,product depends on solvent
31-014-CAS-4321125,mCPBA epoxidation. Alkene → epoxide,99,,,CO.CC1=COC2(CCCCC2)OC1>>COC1OC2(CCCCC2)OCC1(C)O,"Synlett (1999), (3), 303-306",1316228-13-3,1403559-30-7,937-14-4,,67-56-1,,,,,,"Treatment of 5-methyl-4H- 1,3-dioxins 5a-e with commercially available m-CPBA13 in methanol readily afforded a diastereomeric mixture of 4-methoxy-5-hydroxy-1,3-dioxanes 7a-e (Scheme 2, Table 1). 7c, yield 99%.",1,1,99,,,,,,,product depends on solvent
31-014-CAS-8315200,mCPBA epoxidation. Alkene → epoxide,95,,,CO.CC1=COC(C)(C)OC1>>COC1OC(C)(C)OCC1(C)O,"Synlett (1999), (3), 303-306",31676-43-4,142634-86-4,937-14-4,,67-56-1,,,,,,"Treatment of 5-methyl-4H- 1,3-dioxins 5a-e with commercially available m-CPBA13 in methanol readily afforded a diastereomeric mixture of 4-methoxy-5-hydroxy-1,3-dioxanes 7a-e (Scheme 2, Table 1). 7b, yield 95%.",1,1,95,,,,,,,product depends on solvent
31-014-CAS-8598161,mCPBA epoxidation. Alkene → epoxide,97,,,CO.CC1=COC(C(C)(C)C)OC1>>COC1OC(C(C)(C)C)OCC1(C)O,"Synlett (1999), (3), 303-306",207800-22-4,207800-23-5,937-14-4,,67-56-1,,,,,,"Treatment of 5-methyl-4H- 1,3-dioxins 5a-e with commercially available m-CPBA13 in methanol readily afforded a diastereomeric mixture of 4-methoxy-5-hydroxy-1,3-dioxanes 7a-e (Scheme 2, Table 1). 7d, yield 97%.",1,1,97,,,,,,,product depends on solvent
31-014-CAS-9442975,mCPBA epoxidation. Alkene → epoxide,100,,,Cc1ccc(S(=O)(=O)O)cc1.C1=CC(N(Cc2ccccc2)Cc2ccccc2)CCC1>>Cc1ccc(S(=O)(=O)O[C@@H]2CCC[C@@H](N(Cc3ccccc3)Cc3ccccc3)[C@H]2O)cc1,"Organic & Biomolecular Chemistry (2008), 6(20), 3751-3761",10309-37-2,1026776-42-0,"937-14-4, 7757-83-7",,"75-09-2, 7732-18-5",,,,,,,3,1,100,,,,,,,"regioselective, stereoselective"
31-084-CAS-14364393,mCPBA epoxidation. Alkene → epoxide,96,-30.0,0.017,COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OC)cc1>>COc1ccc(C23Oc4c(Cl)c(OC)c(Cl)c(OC)c4C(=O)C2(OC)O3)cc1,"Organic Reactions (Hoboken, NJ, United States) (2007), 691-346",42152-47-6,157474-64-1,"7647-01-0, 74087-85-7",,7732-18-5,,,,,,,1,1,96,,,,,,,"DMD (3.0 eq.)/HCl, -30 C/1 min., Dioxirane oxidations, Arenes, Heteroatom substrates, Mechanism, Method comparison, Experimental procedures"
31-234-CAS-11284648,mCPBA epoxidation. Alkene → epoxide,1,,,C1=CCCCC1.O=C(Cc1ccccc1)OO>>OCc1ccccc1.O=Cc1ccccc1.O=C(O)Cc1ccccc1.Cc1ccccc1.OC1CCCCC1.O=C1CCCCC1.C1CCC2OC2C1,"Chemistry - A European Journal (2013), 19(5), 1810-1818",,,,79968-43-7,"75-05-8, 7732-18-5",,,,,,,1,1,1,2,89,,4,2,91,"optimization study (optimized on solvents, catalysts and concentration of substrate)"
31-239-CAS-3652769,mCPBA epoxidation. Alkene → epoxide,8,,,c1ccncc1.C1=C(c2ccccc2)CCCC1>>[O-][n+]1ccccc1.c1ccc([C@@]23CCCC[C@@H]2O3)cc1.O=S(=O)(O)O.[K].c1ccc(C(c2ccccc2)[C@@H]2CCCN2)cc1,"Journal of the American Chemical Society (2003), 125(25), 7596-7601",100-42-5,"96-09-3, 100-52-7, 122-78-1","144-55-8, 37222-66-5",188398-87-0,"2206-26-0, 7789-20-0, 7732-18-5",,,,,,"General/Typical Procedure: Typical experimental procedure for the epoxidation reactions described in Table 1, Table 3 and Scheme 10: The reaction was carried out in a flat bottomed glass vial (diameter 15mm) equipped with a magnetic stirrer flea. In the vial, were placed the amine 1 or the hydrochloride salt of amine 1, 2, 3, 7 or 8 (5 or 10 mol %, 0.0212 or 0.042 mmol), and 1-phenylcyclohexene (67 mg, 0.424 mmol). The mixture was dissolved in CH3CN/H2O (0.5 mL) and pyridine (0.5 eq., 0.212 mmol, 17 μL) was added followed by finely ground NaHCO3 (356 mg, 4.24 mmol) and Oxone® (521 mg, 0.848 mmol). The reaction was stirred at room temperature or at -10°C and followed by TLC. If the reaction was not complete, stirring was continued for a maximum of 2 hours. Salts were removed by filtration with a sinter over MgSO4. The cake was washed with CH2Cl2 (25 mL). When the reaction was performed at -10°C (Table 1, entries 4, 7 and 9), the organic phase was extracted with a saturated solution of NaHCO3 (to recover the amine). After evaporation of the dried organic phase, the crude mixture was analyzed by 1H NMR. Yields and conversions are determined by 1H NMR relative to an internal standard (para-dimethoxybenzene). The enantioselectivities were determined by chiral GC using a α-CD column. Procedure for reaction described in Scheme 5: The reaction has been performed following the procedure described above for Table 1 with CD3CN/D2O. After 5 min. of stirring at room temperature, the reaction mixture was diluted with CDCl3 (2 mL) in the presence of an internal standard. After 5 min. of stirring, the salts were allowed to settle. Solvent was decanted for NMR analysis. Yields are determined by 1H NMR relative to an internal standard (para-dimethoxybenzene). (S,S)-1-phenylcyclohexene oxide, yield 38%; potassium sulfate 6a, yield 90% 1H NMR (400 MHz, CDCl3, 25 °C): = 1.20-1.71 (m, 4H; CH2), 1.92-2.38 (m, 4H; CH2), 3.01 (m, 1H; CHO), 7.21-7.53 (m, 5H; aromatic H). The absolute configuration was determined by comparing the measured optical rotation with the reported one: [α]D20 = -54.8 (c = 0.47 in toluene) [lit.[5] for the (R,R)-1-phenylcyclohex-1-ene oxide: [α]D25 = +116.7 (c = 1.21 in benzene) for 98% ee].",2,1,8,38,90,,,,,
31-242-CAS-19822408,mCPBA epoxidation. Alkene → epoxide,90,,,C1=C\CC/C=C\CC/1>>C1CCCC2OC2CC1,"ACS Nano (2019), 13(2), 1433-1442",108533-44-4,108533-67-1,937-14-4,,67-66-3,,,,,,,1,1,90,,,,,,,
31-244-CAS-9446127,mCPBA epoxidation. Alkene → epoxide,71,,,CC(=O)/C=C/C1C(C)=CCCC1(C)C>>CC(=O)CC[C@H]1C(C)(C)CC[C@H]2O[C@]21C,"European Journal of Organic Chemistry (2015), 2015(10), 2226-2234","109-96-6, 24424-99-5",114214-49-2,"1333-74-0, 937-14-4",7440-02-0,"67-56-1, 109-99-9, 75-09-2",,,,,,,2,1,71,,,,,,,"regioselective (stage 1), stereoselective (stage 2), alternative preparation shown, Raney nickel used (stage 1)"
31-277-CAS-13100711,mCPBA epoxidation. Alkene → epoxide,22,,,CC(C)(C)[C@H]1CC=C[C@H](N(Cc2ccccc2)Cc2ccccc2)C1>>CC(C)(C)[C@H]1C[C@@H]2O[C@@H]2[C@H](N(Cc2ccccc2)Cc2ccccc2)C1.CC(C)(C)[C@H]1C[C@@H](O)[C@H](O)[C@H](N(Cc2ccccc2)Cc2ccccc2)C1,"Organic & Biomolecular Chemistry (2008), 6(20), 3751-3761",1638243-19-2,"1638243-23-8, 1638243-24-9","76-03-9, 937-14-4, 7757-83-7, 584-08-7",,"865-49-6, 7732-18-5, 67-56-1",,,,,,,4,1,22,78,,,,,,"regioselective, stereoselective"
31-277-CAS-16754456,mCPBA epoxidation. Alkene → epoxide,84,,,C1=C\CCCCCC/1>>C1CCCC2OC2CC1.OC1CCCCCCC1O,"ChemPlusChem (2015), 80(9), 1440-1447",101-39-3,"5551-28-0, 90843-34-8",75-91-2,1848240-45-8,75-05-8,,,,,,,1,1,84,20,,,,,,"catalyst prepared and used, optimization study, optimized on time, liquid phase batch reactor used"
