Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
H-SR|R-H-acidic -> H-Cl || Ar-Ar|Ar-F|Ar-R|Ar-X,False,H-SR,"R-H-acidic,Ar-Ar,Ar-R,Ar-Br,Ar-X,Ar-F,H-Amide,Any-Amide,R3C-OR,RCH2-OR","H-Cl,Any-X,Ar-Ar,Ar-R,Ar-F,Ar-X,H-NHR,Any-NH2,H-OR,Bn-SR",Any-Amide|Ar-Ar|Ar-Br|Ar-F|Ar-R|Ar-X|H-Amide|H-SR|R-H-acidic|R3C-OR|RCH2-OR,Any-NH2|Any-X|Ar-Ar|Ar-F|Ar-R|Ar-X|Bn-SR|H-Cl|H-NHR|H-OR,94.0,SCc1ccccc1.CC(=O)NC1(CCc2ccc(-c3ccc(Br)cc3F)cc2)COC(C)(C)OC1>>Cl.NC(CO)(CO)CCc1ccc(-c2ccc(SCc3ccccc3)cc2F)cc1,Pd2(dba)3·CHCl3,XantPhos,DIPEA,"1,4-Dioxane / MeOH / water",,,,0.0
Ar-Br|H-SR -> Ar-SR || Any-X|Ar-R|R-F|R-X,False,"Ar-R,Ar-Br,Ar-X,H-OR","H-SR,R-F,Any-X,R-X","Ar-R,Ar-SR,Any-SR,R-SR,Ar-OR,Any-OR,R-OR,R-F,Any-X,R-X",Any-X|Ar-Br|Ar-R|Ar-X|H-OR|H-SR|R-F|R-X,Any-OR|Any-SR|Any-X|Ar-OR|Ar-R|Ar-SR|R-F|R-OR|R-SR|R-X,80.0,CC(C)(C)c1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>CC(C)(C)c1ccc2c(c1)SC(F)(F)O2,CuI,phen,,MeCN,CsF,,,-0.7071067811865476
Ar-Br|H-SR -> Ar-SR || Any-OR|Any-X|Ar-OR|R-F|R-OR|R-X,False,"Ar-Br,Ar-X,Ar-OR,Any-OR,R-OR,H-OR","H-SR,R-F,Any-X,R-X","Ar-SR,Any-SR,R-SR,Ar-OR,Any-OR,R-OR,R-F,Any-X,R-X",Any-OR|Any-X|Ar-Br|Ar-OR|Ar-X|H-OR|H-SR|R-F|R-OR|R-X,Any-OR|Any-SR|Any-X|Ar-OR|Ar-SR|R-F|R-OR|R-SR|R-X,76.0,COc1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>COc1ccc2c(c1)SC(F)(F)O2,CuI,phen,,MeCN,CsF,,,0.7071067811865475
Ar-Br|H-SR -> Ar-SR || Any-CHO|Any-OR|Any-X|Ar-CHO|Ar-OR|R-F|R-OR|R-X|RCH2-OR,False,"Ar-Br,Ar-X,Ar-CHO,Any-CHO,Ar-OR,Any-OR,R-OR,RCH2-OR,H-OR","H-SR,R-F,Any-X,R-X","Ar-SR,Any-SR,R-SR,Ar-CHO,Any-CHO,Ar-OR,Any-OR,R-OR,RCH2-OR,R-F,Any-X,R-X",Any-CHO|Any-OR|Any-X|Ar-Br|Ar-CHO|Ar-OR|Ar-X|H-OR|H-SR|R-F|R-OR|R-X|RCH2-OR,Any-CHO|Any-OR|Any-SR|Any-X|Ar-CHO|Ar-OR|Ar-SR|R-F|R-OR|R-SR|R-X|RCH2-OR,91.0,CCOc1cc(C=O)cc(Br)c1O.FC(F)(F)S.[Cs]>>CCOc1cc(C=O)cc2c1OC(F)(F)S2,CuI,phen,,"1,4-Dioxane",CsF,,,0.0
Ar-Br|H-SR -> Ar-SR || Any-CHO|Any-X|Ar-CHO|R-F|R-X,False,"Ar-Br,Ar-X,Ar-CHO,Any-CHO,H-OR","H-SR,R-F,Any-X,R-X","Ar-SR,Any-SR,R-SR,Ar-CHO,Any-CHO,Ar-OR,Any-OR,R-OR,R-F,Any-X,R-X",Any-CHO|Any-X|Ar-Br|Ar-CHO|Ar-X|H-OR|H-SR|R-F|R-X,Any-CHO|Any-OR|Any-SR|Any-X|Ar-CHO|Ar-OR|Ar-SR|R-F|R-OR|R-SR|R-X,85.0,O=Cc1cccc(O)c1Br.FC(F)(F)S.[Cs]>>O=Cc1cccc2c1SC(F)(F)O2,CuI,phen,,"1,4-Dioxane",CsF,,,0.0
Ar-Br|H-SR -> Ar-SR || Any-CO2R|Any-X|Ar-CO2R|R-F|R-X,False,"Ar-Br,Ar-X,Ar-CO2R,Any-CO2R,H-OR","H-SR,R-F,Any-X,R-X","Ar-SR,Any-SR,R-SR,Ar-OR,Any-OR,R-OR,Ar-CO2R,Any-CO2R,R-F,Any-X,R-X",Any-CO2R|Any-X|Ar-Br|Ar-CO2R|Ar-X|H-OR|H-SR|R-F|R-X,Any-CO2R|Any-OR|Any-SR|Any-X|Ar-CO2R|Ar-OR|Ar-SR|R-F|R-OR|R-SR|R-X,99.0,COC(=O)c1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>COC(=O)c1ccc2c(c1)SC(F)(F)O2,CuI,phen,,"1,4-Dioxane",CsF,,,0.7071067811865475
Ar-Br|H-SR -> Ar-SR || Any-CN|Any-X|Ar-CN|R-F|R-X,False,"Ar-Br,Ar-X,Ar-CN,Any-CN,H-OR","H-SR,R-F,Any-X,R-X","Ar-SR,Any-SR,R-SR,Ar-CN,Any-CN,Ar-OR,Any-OR,R-OR,R-F,Any-X,R-X",Any-CN|Any-X|Ar-Br|Ar-CN|Ar-X|H-OR|H-SR|R-F|R-X,Any-CN|Any-OR|Any-SR|Any-X|Ar-CN|Ar-OR|Ar-SR|R-F|R-OR|R-SR|R-X,99.0,N#Cc1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>N#Cc1ccc2c(c1)SC(F)(F)O2,CuI,phen,,"1,4-Dioxane",CsF,,,0.0
Ar-Br|H-SR -> Ar-SR || Any-X|H-OR|R-F|R-X,False,"Ar-Br,Ar-X,H-OR","H-SR,R-F,Any-X,R-X","Ar-SR,Any-SR,R-SR,Ar-OR,Any-OR,R-OR,H-OR,R-F,Any-X,R-X",Any-X|Ar-Br|Ar-X|H-OR|H-SR|R-F|R-X,Any-OR|Any-SR|Any-X|Ar-OR|Ar-SR|H-OR|R-F|R-OR|R-SR|R-X,95.0,Oc1ccc(Br)c(O)c1.FC(F)(F)S.[Cs]>>Oc1ccc2c(c1)OC(F)(F)S2,CuI,phen,,"1,4-Dioxane",CsF,,,0.0
Ar-Br|H-SR -> Ar-SR || Any-X|Ar-F|Ar-X|R-F|R-X,False,"Ar-Br,Ar-X,Ar-F,H-OR","H-SR,R-F,Any-X,R-X","Ar-F,Ar-X,Ar-SR,Any-SR,R-SR,Ar-OR,Any-OR,R-OR,R-F,Any-X,R-X",Any-X|Ar-Br|Ar-F|Ar-X|H-OR|H-SR|R-F|R-X,Any-OR|Any-SR|Any-X|Ar-F|Ar-OR|Ar-SR|Ar-X|R-F|R-OR|R-SR|R-X,80.0,Oc1ccc(F)cc1Br.FC(F)(F)S.[Cs]>>Fc1ccc2c(c1)SC(F)(F)O2,CuI,phen,,MeCN,CsF,,,1.0596258856520369
Ar-Br|H-SR -> Ar-SR || Any-X|Ar-F|Ar-X|R-F|R-X,False,"Ar-Br,Ar-X,Ar-F,H-OR","H-SR,R-F,Any-X,R-X","Ar-F,Ar-X,Ar-SR,Any-SR,R-SR,Ar-OR,Any-OR,R-OR,R-F,Any-X,R-X",Any-X|Ar-Br|Ar-F|Ar-X|H-OR|H-SR|R-F|R-X,Any-OR|Any-SR|Any-X|Ar-F|Ar-OR|Ar-SR|Ar-X|R-F|R-OR|R-SR|R-X,77.0,Oc1cc(F)ccc1Br.FC(F)(F)S.[Cs]>>Fc1ccc2c(c1)OC(F)(F)S2,CuI,phen,,MeCN,CsF,,,-0.13245323570650247
