Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-B(OH)2 -> Ar-N3|Ar-NH2|Ar-R || Ar-R,True,"Ar-R,Ar-B(OH)2",,"Ar-R,Ar-B(OH)2",20.0,Cc1ccc(B(O)O)cc1>>Cc1ccc(N)cc1.Cc1ccc(N)c(N=[N+]=[N-])c1,16712-25-7,,NH4OH,o-DCB / EtOAc / water,PivOH / SodiumChloride,,,0.0
Ar-B(OH)2|AromN-H|Benzimidazole -> Ar-AromN || Ar-OR,False,"AromN-H,Benzimidazole","Ar-B(OH)2,Ar-OR","Ar-B(OH)2,Ar-OR|AromN-H,Benzimidazole",85.0,c1ccc2[nH]cnc2c1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cnc3ccccc32)cc1,199852-14-7,,K2CO3,iPrOH,,,,0.6465684227151475
Ar-B(OH)2|AromN-H -> Ar-AromN|Pyridine || Ar-Ar|Ar-OH|Ar-OR,False,"Ar-B(OH)2,Ar-OH,Ar-OR","Ar-Ar,AromN-H,Ar-OR","Ar-Ar,AromN-H,Ar-OR|Ar-B(OH)2,Ar-OH,Ar-OR",78.0,COc1ccc(B(O)O)cc1O.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1ccc(-n2c(-c3cc(OC)c(OC)c(OC)c3)cccc2=O)cc1O,Cu(OAc)2,,Py,DCM,,,,0.0
Ar-B(OH)2|AromN-H|Imidazole -> Ar-AromN || Ar-OR|Ar-R,False,"Ar-R,AromN-H,Imidazole","Ar-B(OH)2,Ar-OR","Ar-B(OH)2,Ar-OR|Ar-R,AromN-H,Imidazole",86.0,Cc1cnc[nH]1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cnc(C)c2)cc1,199852-14-7,,K2CO3,iPrOH,,,,0.7071067811865475
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-OR,False,Ar-B(OH)2,"Ar-NH2,Ar-OR","Ar-B(OH)2|Ar-NH2,Ar-OR",94.0,OB(O)c1ccccc1.COc1ccc(N)cc1>>COc1ccc(Nc2ccccc2)cc1,199852-14-7,,K2CO3,water,,,,1.1137997253450438
Ar-B(OH)2|AromN-H -> Ar-AromN || Ar-Ar|Ar-OR,False,"Ar-B(OH)2,Ar-OR","Ar-Ar,AromN-H,Ar-OR","Ar-Ar,AromN-H,Ar-OR|Ar-B(OH)2,Ar-OR",33.0,OB(O)c1ccc2c(c1)OCO2.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1cc(-c2cccc(=O)n2-c2ccc3c(c2)OCO3)cc(OC)c1OC,Cu(OAc)2,,Py,DCM,,,,0.35267280792929934
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-R,False,Ar-B(OH)2,"Ar-R,Ar-NH2","Ar-B(OH)2|Ar-R,Ar-NH2",95.0,OB(O)c1ccccc1.Cc1ccc(N)cc1>>Cc1ccc(Nc2ccccc2)cc1,199852-14-7,,K2CO3,water,,,,1.5810820556778054
Ar-B(OH)2|AromN-H -> Ar-AromN || Ar-Ar|Ar-F|Ar-OR,False,"Ar-F,Ar-B(OH)2","Ar-Ar,AromN-H,Ar-OR","Ar-Ar,AromN-H,Ar-OR|Ar-F,Ar-B(OH)2",38.0,OB(O)c1ccc(F)cc1.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1cc(-c2cccc(=O)n2-c2ccc(F)cc2)cc(OC)c1OC,Cu(OAc)2,,Py,DCM,,,,-0.7071067811865476
Ar-B(OH)2|AromN-H -> Ar-AromN|Pyridine || Ar-Ar|Ar-OR,False,"Ar-B(OH)2,Ar-OR","Ar-Ar,AromN-H,Ar-OR","Ar-Ar,AromN-H,Ar-OR|Ar-B(OH)2,Ar-OR",35.0,COc1ccc(B(O)O)cc1.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1ccc(-n2c(-c3cc(OC)c(OC)c(OC)c3)cccc2=O)cc1,Cu(OAc)2,,Py,DCM,,,,0.7758801774444583
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-NO2,False,Ar-B(OH)2,"Ar-NO2,Ar-NH2","Ar-B(OH)2|Ar-NO2,Ar-NH2",62.0,OB(O)c1ccccc1.Nc1cccc([N+](=O)[O-])c1>>O=[N+]([O-])c1cccc(Nc2ccccc2)c1,1478738-98-5,,DBU,MeCN,,,,-0.7071067811865475
