reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups
Acetal_ketal_formation,83,0.0,CH3-OH,Ar-R,,,,,,,,False,CO.Cc1ccc(S(=O)(=O)OC2CCCCC2=O)cc1>>COC1(OC)CCCCC1O,OH / OR
Acetal_ketal_formation,5,0.0,CH3-OH,Ar-CHO,,,,,,,,False,CO.O=Cc1ccc(COC2CCCCO2)cc1>>COC(OC)c1ccc(CO)cc1.COC(OC)c1ccc(COC2CCCCO2)cc1,OH / OR
Acetal_ketal_formation,85,0.0,R3C-OR,,,,,,,,,False,COC(C)(C)OC.O=C=O>>CC(C)=O.COC(=O)OC,
Acetal_ketal_formation,86,0.0,CH3-OH,RCH2-CHO,,,,,,,,False,CO.O=CC[C@H](O)[C@H](O)CO.CC(C)(C)[Si](Cl)(Cl)C(C)(C)C>>COC1C[C@@H]2O[Si](C(C)(C)C)(C(C)(C)C)OC[C@H]2O1,Si
Acetal_ketal_formation,85,-1.15,CH3-OH,Alkyl-Carbamate,,,,,,,,False,CO.CCCC(NC(=O)OC)OC>>CCCC(OC)OC,OR
Acetal_ketal_formation,92,0.46,CH3-OH,Alkyl-Carbamate,,,,,,,,False,CO.CCCCCC(NC(=O)OC)OC>>CCCCCC(OC)OC,OR
Acetal_ketal_formation,89,0.71,CH3-OH,Alkyl-Carbamate,,,,,,,,False,CO.COC(=O)CCC(NC(=O)OC)OC>>COC(=O)CCC(OC)OC,CO2R / Ester / acidic / OR
Acetal_ketal_formation,90,0.0,CH3-OH,Alkyl-Carbamate,,,,,,,,False,CO.COC(=O)NC(CCOC(C)C)OC>>COC(CCOC(C)C)OC,OR
Acetal_ketal_formation,93,0.69,CH3-OH,Alkyl-Carbamate,,,,,,,,False,CO.CCCCCCCC(NC(=O)OC)OC>>CCCCCCCC(OC)OC,OR
Acetal_ketal_formation,88,-0.71,CH3-OH,Alkyl-Carbamate,,,,,,,,False,CO.COC(=O)CCCCC(NC(=O)OC)OC>>COC(=O)CCCCC(OC)OC,CO2R / Ester / acidic / OR
Acetal_ketal_formation,90,0.0,R2CH-CHO,CH3-OR,,,,,,,,False,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.COC(C)(C)OC>>CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@H](O)[C@H]2O1,OH / OR
Acetal_ketal_formation,87,-0.71,R2CH-CHO,CH3-OR,,,,,,,,False,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.COC(C)(C)OC>>CC1(C)O[C@H]2[C@@H](O1)[C@@H](CO)O[C@@H]1OC(C)(C)O[C@@H]12,OH / OR
Acetal_ketal_formation,90,0.0,R2CH-CHO,CH3-OR,,,,,,,,False,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.COC(C)(C)OC>>CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@H](O)[C@H]2O1,OH / OR
Acetal_ketal_formation,91,0.71,R2CH-CHO,CH3-OR,,,,,,,,False,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.COC(C)(C)OC>>CC1(C)O[C@H]2[C@@H](O1)[C@@H](CO)O[C@@H]1OC(C)(C)O[C@@H]12,OH / OR
Acetal_ketal_formation,85,0.0,Ar-R,Ar-CHO,,,,,,,,False,c1ccc(C2CO2)cc1.O=Cc1ccccc1>>c1ccc(C2COC(c3ccccc3)O2)cc1,OR
Acetal_ketal_formation,88,0.0,Alkyl-H-acidic,RCH2-OR,,,,,,,,False,CC(C)=O.CCCCOCC1CO1>>CCCCOCC1COC(C)(C)O1,OR
Acetal_ketal_formation,94,-0.71,Alkyl-H-acidic,Ar-R,,,,,,,,False,CC(C)=O.c1ccc(C2CO2)cc1>>CC1(C)OCC(c2ccccc2)O1,OR
Acetal_ketal_formation,94,0.71,Alkyl-H-acidic,Ar-OR,,,,,,,,False,CC(C)=O.c1ccc(OCC2CO2)cc1>>CC1(C)OCC(COc2ccccc2)O1,OR
Acetal_ketal_formation,94,0.0,Alkyl-H-acidic,Alkyl-OR,,,,,,,,False,CC(C)=O.C1CCC2OC2C1>>CC1(C)OC2CCCCC2O1,OR
