reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,Is_Intramolecular,reaction_smiles,spectator_groups
C-N Coupling,64.0,0.0,RCH2-OR,Ar-Cl,Pd(OAc)2,RuPhos,NaOtBu / NaOH,PhMe / water / Me2CO / EtOAc,NH4Cl,,,False,C1CC2(CCN1)OCCO2.Clc1ccc2sccc2c1>>O=C1CCN(c2ccc3sccc3c2)CC1,Benzothiophene
C-N Coupling,85.0,0.0,R2CH-NH2,Ar-OH,Pd2(dba)3,DavePhos,NaOtBu / Et3N,"1,4-Dioxane",,,,False,CC(C)(C)OC(=O)N1CCCC[C@H](N)C1.Oc1cc(Br)c2ccncc2c1.O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F>>CC(C)(C)OC(=O)N1CCCC[C@H](Nc2cc(OS(=O)(=O)C(F)(F)F)cc3cnccc23)C1,Carbamate / CO2R / CONR2 / X / Isoquinoline / Pyridine / SO2R / SR / F
C-N Coupling,57.0,0.0,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco,MTBE / DCM,,,,False,COC(=O)CC1CNc2ccccc21.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>COC(=O)Cc1cn([C@]2(CCN=[N+]=[N-])C(=O)Nc3ccccc32)c2ccccc12,CO2R / Ester / acidic / Amide / LactamN / CONHR / N3
C-N Coupling,82.0,0.0,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Clc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(Cl)ccc32)C(=O)Nc2ccccc21,Cl / X / Amide / LactamN / CONHR / N3
C-N Coupling,85.0,0.71,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Brc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(Br)cc32)C(=O)Nc2ccccc21,Br / X / Amide / LactamN / CONHR / N3
C-N Coupling,71.0,-0.71,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Brc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(Br)ccc32)C(=O)Nc2ccccc21,Br / X / Amide / LactamN / CONHR / N3
C-N Coupling,87.0,0.71,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,c1ccc2c(c1)CCN2.COc1ccc2c(c1)C(Br)(CCN=[N+]=[N-])C(=O)N2>>COc1ccc2c(c1)[C@](CCN=[N+]=[N-])(N1CCc3ccccc31)C(=O)N2,Amide / LactamN / CONHR / OR / N3
C-N Coupling,90.0,0.56,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,K3PO4,THF,,,,False,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,Amide / LactamN / CONHR / N3
C-N Coupling,86.0,0.71,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Fc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(F)cc32)C(=O)Nc2ccccc21,F / X / Amide / LactamN / CONHR / N3
C-N Coupling,72.0,0.0,Ar-NHR,Any-X,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccc(Cl)cc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccc(Cl)cc21,Amide / LactamN / CONHR / Cl / X / N3
