reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,Is_Intramolecular,reaction_smiles
C-O_Coupling,82.0,0.0,Ar-OH,Ar-R,7758-89-6,2,Cs2CO3,NMP / water,,,,False,Oc1cccc(C2OCCO2)c1.Brc1cccc(C2OCCO2)c1>>O=Cc1cccc(Oc2cccc(C=O)c2)c1
C-O_Coupling,85.0,0.0,Ar-OH,Ar-OH,TBAB,,K2CO3,DMF / MEK,,,,False,O=[N+]([O-])c1ccc(O)cc1.Oc1ccc(Cl)cc1.CCOC(=O)CCl>>CCOC(=O)COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1
C-O_Coupling,79.0,-0.7071067811865475,Ar-OH,Ar-OR,18C6,,KOtBu,MeCN / THF,,,,False,NCCc1ccc(O)cc1.COC1=C(OCC2=CC=CC=C2)C=C(CC(NC(=O)OC(C)(C)C)C(=O)NCC[C]23->[Ru+2]456789%10%11(<-[CH]%12=[CH]->4[CH-]->5[CH]->6=[CH]->7%12)<-[CH](=[CH]->82)[C]->9(Cl)=[CH]->%10[CH]->%11=3)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>COC1=C(OCC2=CC=CC=C2)C=C(CC(NC(=O)OC(C)(C)C)C(=O)NCC[C]23->[Ru+2]456789%10%11(<-[CH]%12=[CH]->4[CH-]->5[CH]->6=[CH]->7%12)<-[CH]2=[CH]->8[C]->9(OC2=CC=C(CCN)C=C2)=[CH]->%10[CH]->%11=3)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]
C-O_Coupling,87.0,0.0,Ar-OR,Ar-OR,18C6,,KOtBu,MeCN / THF,,,,False,COc1ccc(CCNC(=O)OC(C)(C)C)cc1O.COC1=C(OCC2=CC=CC=C2)C=C(CC(NC(=O)OC(C)(C)C)C(=O)NCC[C]23->[Ru+2]456789%10%11(<-[CH]%12=[CH]->4[CH-]->5[CH]->6=[CH]->7%12)<-[CH](=[CH]->82)[C]->9(Cl)=[CH]->%10[CH]->%11=3)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>COC1=C(OCC2=CC=CC=C2)C=C(CC(NC(=O)OC(C)(C)C)C(=O)NCC[C]23->[Ru+2]456789%10%11(<-[CH]%12=[CH]->4[CH-]->5[CH]->6=[CH]->7%12)<-[CH]2=[CH]->8[C]->9(OC2=C(OC)C=CC(CCNC(=O)OC(C)(C)C)=C2)=[CH]->%10[CH]->%11=3)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]
C-O_Coupling,93.0,0.0,Ar-OH,Ar-OAr,DMAP,,,DMF,,,DCC,False,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.Cl[C]12->[Fe+2]3456789%10(<-[CH]%11=[CH]->3[CH-]->4[CH]->5=[CH]->6%11)<-[CH]1=[CH]->7[C]->8(OC1=CC(O[C]34->[Fe+2]5678%11%12%13%14(<-[CH]%15=[CH]->5[CH-]->6[CH]->7=[CH]->8%15)<-[CH](=[CH]->%113)[C]->%12(Cl)=[CH]->%13[CH]->%14=4)=CC(O[C]34->[Fe+2]5678%11%12%13%14(<-[CH]%15=[CH]->5[CH-]->6[CH]->7=[CH]->8%15)<-[CH](=[CH]->%113)[C]->%12(Cl)=[CH]->%13[CH]->%14=4)=C1)=[CH]->9[CH]->%10=2.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O[C]23->[Fe+2]456789%10%11(<-[CH]%12=[CH]->4[CH-]->5[CH]->6=[CH]->7%12)<-[CH]2=[CH]->8[C]->9(OC2=CC(O[C]45->[Fe+2]6789%12%13%14%15(<-[CH]%16=[CH]->6[CH-]->7[CH]->8=[CH]->9%16)<-[CH](=[CH]->%124)[C]->%13(OC4=CC=C(C(C)(C)C6=CC=C(O)C=C6)C=C4)=[CH]->%14[CH]->%15=5)=CC(O[C]45->[Fe+2]6789%12%13%14%15(<-[CH]%16=[CH]->6[CH-]->7[CH]->8=[CH]->9%16)<-[CH](=[CH]->%124)[C]->%13(OC4=CC=C(C(C)(C)C6=CC=C(O)C=C6)C=C4)=[CH]->%14[CH]->%15=5)=C2)=[CH]->%10[CH]->%11=3)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]
C-O_Coupling,79.0,0.0,Ar-OH,Ar-OH,TBAB,,K2CO3,DMF / MEK,,,,False,Oc1ccc(Cl)cc1Cl.Oc1cc(Cl)ccc1Cl.CCOC(=O)CCl>>CCOC(=O)COc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
C-O_Coupling,83.0,0.0,Ar-OH,Alkenyl-Br,Ni(acac)2,CuI,Cs2CO3,NMP,,,,False,COc1ccc(O)cc1.Br/C=C/c1ccccc1Br>>COc1ccc(O/C=C/c2ccccc2Oc2ccc(OC)cc2)cc1
C-O_Coupling,81.0,0.7071067811865475,Ar-OH,Ar-OR,18C6,,KOtBu,MeCN / THF,,,,False,NCCc1ccc(O)cc1.CO[C]12->[Ru+2]3456789%10(<-[CH]%11=[CH]->3[CH-]->4[CH]->5=[CH]->6%11)<-[CH](=[CH]->7[C]->8=1Cl)[CH]->9=[CH]->%102.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>CO[C]12->[Ru+2]3456789%10(<-[CH]%11=[CH]->3[CH-]->4[CH]->5=[CH]->6%11)<-[CH](=[CH]->71)[CH]->8=[CH]->9[C]->%10=2OC1=CC=C(CCN)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]
C-O_Coupling,84.0,0.0,Ar-OH,Ar-OH,TBAB,,K2CO3,DMF / MEK,,,,False,Oc1ccccc1Cl.Oc1ccc(F)cc1.CCOC(=O)CCl>>CCOC(=O)COc1ccccc1Oc1ccc(F)cc1
C-O_Coupling,94.0,0.0,Ar-F,H-Acid,32503-27-8,,K2CO3,DMF,,,,False,N#Cc1ccc(F)c(F)c1.C[C@@H](Oc1ccc(O)cc1)C(=O)O.CCCCBr>>CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1
