reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Negishi_coupling,88,0.71,Ar-X,Ar-CO2R,Pd2(dba)3,P(2-furyl)3,NaOMe,,,,AcOH,,,THF,False,Fc1c(Cl)cccc1[CH2][Zn][Br].CCOC(=O)c1cn([C@H](CO[Si](C)(C)C(C)(C)C)C(C)C)c2cc(F)c(I)cc2c1=O.CO>>COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,Cl / X / F / AromN / Quinoline / OR / OH,"Journal of Medicinal Chemistry (2009), 52(15), 4869-4882"
Negishi_coupling,72,-0.71,Ar-CO2R,Ar-X,Pd(dba)2,P(2-furyl)3,,,,,NH4Cl,,,THF/H2O/MeOH,False,CCOC(=O)c1cn([C@H](CO[Si](C)(C)C(C)(C)C)C(C)C)c2cc(F)c(I)cc2c1=O.Fc1c(Cl)cccc1[CH2][Zn][Br].CO.[Na]>>COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,F / X / AromN / Quinoline / OR / Cl / OH,"Zhongguo Yiyao Gongye Zazhi (2014), 45(1), 5-8"
Negishi_coupling,89,0.0,Ar-Br,Ar-Mg,"[1,3-Bis(diphenylphosphino)propane]nickel(II) chloride",,,,,,NH4Cl,,128-08-5,THF/H2O/DMF,False,Brc1ccsc1.COc1cc[c]([Mg][Br])cc1>>COc1ccc(-c2cc(Br)sc2Br)cc1,Br / X / Thiophene / OR,"Chemistry - A European Journal (2016), 22(46), 16450-16454"
Negishi_coupling,8,-0.71,Ar-I,R2CH-Zn,Pd(MeCN)2Cl2,,,,,,NH4Cl,,24282-45-9,THF/H2O,False,CCOC(=O)c1ccccc1I.[Cl][Zn][CH]1CCCCC1>>CCOC(=O)c1ccccc1.CCOC(=O)c1ccccc1C1CCCCC1,CO2R,"Advanced Synthesis & Catalysis (2008), 350(9), 1349-1354"
Negishi_coupling,87,0.0,Any-M,Ar-I,CuI/dppf-PdCl2,,,,,,ZnCl2/NH4Cl,,,Et2O/THF/H2O,False,[Li][c]1cccs1.Ic1c(-c2ccccn2)nn(-c2ccccn2)c1-c1ccccn1>>c1ccc(-c2cc(-c3ccccn3)n(-c3ccccn3)n2)nc1.c1ccc(-c2nn(-c3ccccn3)c(-c3ccccn3)c2-c2cccs2)nc1,Thiophene / AromN / Pyridine,"Beilstein Journal of Organic Chemistry (2017), 13895-902"
Negishi_coupling,85,0.0,Alkyl-M,Ar-I,CuI/dppf-PdCl2,,,,,,ZnCl2/NH4Cl,,,Et2O/Pent/THF/H2O,False,[Li][CH2][Si](C)(C)C.Ic1c(-c2ccccn2)nn(-c2ccccc2)c1-c1ccccn1>>c1ccc(-n2nc(-c3ccccn3)cc2-c2ccccn2)cc1.C[Si](C)(C)Cc1c(-c2ccccn2)nn(-c2ccccc2)c1-c1ccccn1,Si / AromN / Pyridine,"Beilstein Journal of Organic Chemistry (2017), 13895-902"
Negishi_coupling,10,0.0,Any-Zn,Ar-I,Pd2(dba)3路CHCl3,SPhos,,,,,,,,DMF,False,COC1=[O]->[Zn@@+2]2([I-])<-[CH2-][C@@H]1NC(OC(C)(C)C)=[O]->2.COc1ccnc2c1c(I)cn2S(=O)(=O)c1ccccc1>>COc1ccnc2c1ccn2S(=O)(=O)c1ccccc1.COC(=O)[C@H](Cc1cn(S(=O)(=O)c2ccccc2)c2nccc(OC)c12)NC(=O)OC(C)(C)C,Carbamate / CO2R / CONHR / Ester / acidic / OR / Pyridine / SO2R / AromN / SR,"Bioorganic & Medicinal Chemistry (2018), 26(19), 5259-5269"
Negishi_coupling,2,0.0,Alkyl-Zn,Ar-Br,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,PhMe,False,[CH3][Zn][Cl].COc1cc(OS(=O)(=O)C(F)(F)F)cc(C23CC4CC(CC(C4)C2)C3)c1Br>>COc1cc(OS(=O)(=O)C(F)(F)F)cc(C23CC4CC(CC(C4)C2)C3)c1.COc1cc(OS(=O)(=O)C(F)(F)F)cc(C23CC4CC(CC(C4)C2)C3)c1C,OTf / OMs / OSO2R / F / X / SO2R / SR / OR,"Angewandte Chemie, International Edition (2020), 59(20), 7721-7725"
Negishi_coupling,88,0.0,Ar-I,Ar-Zn,dppf-PdCl2,,,,,,NH4Cl,,,THF/H2O,False,CCOC(=O)c1ccc(I)cc1.CC(C)c1cccc[c]1[Zn][Cl]>>CCOC(=O)c1ccccc1.CCOC(=O)c1ccc(-c2ccccc2C(C)C)cc1,CO2R,"Journal of the American Chemical Society (2009), 131(29), 10201-10210"
Negishi_coupling,89,0.0,Any-C=C,Ar-Br,Pd2(dba)3,PtBu3,,,,,,,,PhMe,False,C=[CH][Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC.COC(=O)c1ccc(-c2cc(C(C)(C)C)cc3c2Oc2c(Br)cc(C(C)(C)C)cc2C3(C)C)cc1>>C=Cc1cc(C(C)(C)C)cc2c1Oc1c(-c3ccc(C(=O)OC)cc3)cc(C(C)(C)C)cc1C2(C)C,Dienophile / C=C / OAr / OR / CO2R / Motif-C=C / Any-Dienophile,"Synthesis (2015), 47(2), 187-192"
Negishi_coupling,99,-0.58,Ar-Br,RCH2-Sn,Pd(P(t-Bu)3)2,,DABCO,,,,NaCl,,290309-85-2,H2O,False,COc1cccc(Br)c1.CCC[CH2][Sn]([C]#Cc1ccccc1)([CH2]CCC)[CH2]CCC>>COc1cccc(C#Cc2ccccc2)c1,OR / C#C / Any-C#C,"Journal of Organic Chemistry (2014), 79(3), 888-900"
Negishi_coupling,99,-0.58,Ar-Br,RCH2-Sn,Pd(P(t-Bu)3)2,,DABCO,,,,NaCl,,290309-85-2,H2O,False,COc1ccc2ccccc2c1Br.CCC[CH2][Sn]([C]#Cc1ccccc1)([CH2]CCC)[CH2]CCC>>COc1ccc2ccccc2c1C#Cc1ccccc1,OR / C#C / Any-C#C,"Journal of Organic Chemistry (2014), 79(3), 888-900"
Negishi_coupling,86,0.0,Ar-I,Ar-Sn,RuPhos Pd G2,,,,,,,,,Dioxane,False,COc1c(I)n(C)c(C(=O)NCCO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)c(SC)c1=O.[CH3][Sn]([CH3])([CH3])[c]1csc(-c2ccc3cc(Cl)ccc3n2)n1>>COc1c(-c2csc(-c3ccc4cc(Cl)ccc4n3)n2)n(C)c(C(=O)NCCO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)c(SC)c1=O,CONHR / OR / SR / Si / X / Amide / AromN / Pyridine / Cl / Quinoline / Thiazole,"Organic Letters (2012), 14(17), 4674-4677"
