reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,4,0.0,Ar-OH,H-Alkenyl,Bis(benzonitrile)palladium chloride,,,,,O2/540-80-7,t-BuOH,False,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.C=CCOc1ccccc1>>CC(=O)COc1ccccc1.O=CCCOc1ccccc1.CC(C)(C)c1cc(C(C)(C)C)c(ON=O)c(C(C)(C)C)c1,OR,"Organic Letters (2016), 18(11), 2700-2703"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,91,-0.71,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,DMF/H2O,True,C=CC[C@H]1O[C@@H](CCC)C[C@@H](O)[C@@H]1O[Si](C)(C)C(C)(C)C>>CCC[C@H]1C[C@@H](O)[C@H](O)[C@@H](CC(C)=O)O1,OR / OH,"Tetrahedron Letters (2017), 58(30), 2898-2900"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,80,0.63,H-Alkenyl,,"Cu(OAc)2/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,DMAc/H2O,True,C=C[C@H](CCO[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C>>CC(=O)[C@H](CCO[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C.CC(=O)[C@H](CCO)O[Si](C)(C)C(C)(C)C.CC(=O)[C@@H](O)CCO,Si / OR,"Synlett (2018), 29(8), 1076-1078"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,10,-1.15,H-Alkenyl,,"Cu(OAc)2/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,DMAc/H2O,True,C=C[C@H](CCO[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C>>CC(=O)[C@H](CCO)O[Si](C)(C)C(C)(C)C.CC(=O)[C@@H](O)CCO,Si / OR,"Synlett (2018), 29(8), 1076-1078"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,89,0.23,H-Alkenyl,,FeCl2,,Potassium Fluoride,,,O2/1257654-84-4,EtOH,True,C=Cc1ccc(OC)cc1>>[2H]CC(=O)c1ccc(OC)cc1,OR,"Angewandte Chemie, International Edition (2017), 56(41), 12712-12717"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,78,-0.29,H-Alkenyl,,Cobalt/[NH2Me2][(RuCl((S)-tolbinap))2(μ-Cl)3],,K2CO3,,,O2/22739-76-0,,True,C=Cc1ccccc1>>[2H]CC(=O)c1ccccc1,,"Catalysis Science & Technology (2020), 10(9), 2769-2773"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,74,-0.51,H-Alkenyl,,FeCl2,neocuproine,,,,18164-03-9,EtOH,True,C=Cc1ccc2ccccc2c1>>[2H]CC(=O)c1ccc2ccccc2c1.[2H]CC(O)c1ccc2ccccc2c1,,"Angewandte Chemie, International Edition (2021), 60(25), 14083-14090"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,8,0.0,Alkyl-C=CH2,,"Palladium,oncarbon,Type87L,dry/Cu/[NH2Me2][(RuCl((S)-tolbinap))2(μ-Cl)3]",,,,,O2/107-13-1,EtOH/H2O,True,C=CCc1ccccc1>>CCC(=O)c1ccccc1.CC(=O)Cc1ccccc1.CC=Cc1ccccc1,Dienophile / C=C / Any-Dienophile / Motif-C=C,"Journal of Molecular Catalysis A: Chemical (2009), 297(2), 73-79"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,3,0.71,Alkyl-C=CH2,,"Iron(III)sulfatehydrate,ReagentGrade/Pd(TFA)2",,,NaTFA,,,MeCN/H2O,True,C=CCc1ccccc1>>CCC(=O)c1ccccc1.O=Cc1ccccc1.CC(=O)Cc1ccccc1.O=CCCc1ccccc1.C/C=C/c1ccccc1.O=C/C=C/c1ccccc1,Dienophile / C=C / Any-Dienophile / Motif-C=C,"Advanced Synthesis & Catalysis (2019), 361(11), 2582-2593"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,4,0.0,Alkyl-C=CH2,,FeCl3/Pd(TFA)2,,,NaTFA,,,MeCN/H2O,True,C=CCc1ccc(OC)cc1>>CC=Cc1ccc(OC)cc1.COc1ccc(CC(C)=O)cc1,Dienophile / C=C / OR / Any-Dienophile / Motif-C=C,"Advanced Synthesis & Catalysis (2019), 361(11), 2582-2593"
