reaction_id,yield,z_score,reactant_1,reactant_2,reactant_3,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
suzuki_miyaura,99,0.0,Ar-Bpin,Ar-I,Inorganic,Pd(OAc)2,,Na2CO3,,,,,,,H2O,False,CC1(C)OB(c2ccc(CBr)cc2)OC1(C)C.Ic1ccc(-[n+]2ccc(-c3ccncc3)cc2)cc1.[Cl-]>>OCc1ccc(-c2ccc(-[n+]3ccc(-c4ccncc4)cc3)cc2)cc1.[Cl-],Pyridine / AromN,"Chemistry - A European Journal (2019), 25(13), 3257-3261"
suzuki_miyaura,82,0.0,Ar-I,Ar-C=C,,Pd(P(t-Bu)3)2,,KOH,,,,,,,Dioxane/H2O,False,Cc1ccc(I)cc1.OB1OC2(CCCCC2)C(C#Cc2ccccc2)=C1c1ccc(C(F)(F)F)cc1>>Cc1ccc(/C(=C(/C#Cc2ccccc2)C2(O)CCCCC2)c2ccc(C(F)(F)F)cc2)cc1,C=C / Dienophile / CF3 / F / X / C#C / Motif-C=C / Any-C#C / Any-Dienophile,"Journal of the American Chemical Society (2017), 139(36), 12358-12361"
suzuki_miyaura,73,0.0,Ar-B(OR)2,Ar-B*,,dppf-PdCl2,,Et3N,HCl,,,,,,THF/H2O,True,COc1ccc(B2O[C@@H]3[C@H](O2)[C@@H]2C(Br)=C[C@H]3n3c(=O)n(C)c(=O)n32)cc1>>COc1ccc(C2=C[C@@H]3[C@H](O)[C@H](O)[C@H]2n2c(=O)n(C)c(=O)n23)cc1,Dienophile / C=C / OR / AromN / Motif-C=C / Any-Dienophile,"Angewandte Chemie, International Edition (2017), 56(47), 15049-15052"
suzuki_miyaura,85,0.0,Ar-B(OR)2,Ar-B*,,dppf-PdCl2,,Et3N,HCl,,,,,,THF/H2O,True,Cc1ccc(B2O[C@@H]3[C@H](O2)[C@@H]2C(Br)=C[C@H]3n3c(=O)n(C)c(=O)n32)cc1>>Cc1ccc(C2=C[C@@H]3[C@H](O)[C@H](O)[C@H]2n2c(=O)n(C)c(=O)n23)cc1,Dienophile / C=C / AromN / Motif-C=C / Any-Dienophile,"Angewandte Chemie, International Edition (2017), 56(47), 15049-15052"
suzuki_miyaura,74,0.0,Ar-B(OR)2,Ar-B*,,dppf-PdCl2,,Et3N,HCl,,,,,,THF/H2O,True,Cn1c(=O)n2n(c1=O)[C@H]1C(Br)=C[C@@H]2[C@@H]2OB(c3ccc(Cl)cc3)O[C@@H]21>>Cn1c(=O)n2n(c1=O)[C@H]1C(c3ccc(Cl)cc3)=C[C@@H]2[C@H](O)[C@@H]1O,Cl / X / Dienophile / C=C / AromN / Motif-C=C / Any-Dienophile,"Angewandte Chemie, International Edition (2017), 56(47), 15049-15052"
suzuki_miyaura,74,0.0,Ar-B(OR)2,Ar-B*,,dppf-PdCl2,,Et3N,HCl,,,,,,THF/H2O,True,Cn1c(=O)n2n(c1=O)[C@H]1C(Br)=C[C@@H]2[C@@H]2OB(c3ccc(F)cc3)O[C@@H]21>>Cn1c(=O)n2n(c1=O)[C@H]1C(c3ccc(F)cc3)=C[C@@H]2[C@H](O)[C@@H]1O,F / X / Dienophile / C=C / AromN / Motif-C=C / Any-Dienophile,"Angewandte Chemie, International Edition (2017), 56(47), 15049-15052"
suzuki_miyaura,73,0.0,Alkyl-C=C,Ar-Br,,Pd(OAc)2,SPhos,Cs2CO3,,,,,,,PhMe,False,C=C(C)[C@@H]1CC[C@@]2(C)OB(O)C[C@@H]12.COc1cc(OC)c(C(=O)C(C)C)cc1Br>>C=C(C)[C@@H]1CC[C@@](C)(O)[C@H]1Cc1cc(C(=O)C(C)C)c(OC)cc1OC,C=C / COR / acidic / OR,"Angewandte Chemie, International Edition (2019), 58(9), 2734-2738"
suzuki_miyaura,70,0.0,Ar-Br,Alkyl-C=C,,Pd(OAc)2,SPhos,Cs2CO3,,,,,,,PhMe,False,CC(=O)c1ccc(Br)cc1.C=C(C)[C@@H]1CC[C@@]2(C)OB(O)C[C@@H]12>>C=C(C)[C@@H]1CC[C@@](C)(O)[C@H]1Cc1ccc(C(C)=O)cc1,COR / acidic / C=C,"Angewandte Chemie, International Edition (2019), 58(9), 2734-2738"
suzuki_miyaura,89,0.0,Ar-Br,Ar-B*,,Pd(OAc)2,,NaHCO3,,,,,,76189-55-4,MeTHF/H2O,False,COC(=O)[C@@H](NC(=O)[C@H](NC(=O)OC(C)(C)C)c1ccc(OC)c(Br)c1)[C@H](O[Si](C(C)C)(C(C)C)C(C)C)c1ccc(F)c([N+](=O)[O-])c1.COc1cc(OC)c2c(c1)[C@H](NC(=O)C(F)(F)F)COB2O>>COC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)c1ccc(OC)c(-c2c(OC)cc(OC)cc2C(CO)NC(=O)C(F)(F)F)c1)C(O[Si](C(C)C)(C(C)C)C(C)C)c1ccc(F)c([N+](=O)[O-])c1,X / Si / Carbamate / CO2R / Ester / CONHR / F / NO2 / NR2 / acidic / OR / NCOR,"Journal of the American Chemical Society (2020), 142(37), 16039-16050"
suzuki_miyaura,85,-0.87,Ar-B*,Ar-Cl,,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,False,OB1OCCc2cc3c(cc21)OCO3.COc1ccc2cc(Cl)ncc2c1OC>>COc1ccc2cc(-c3cc4c(cc3CCO)OCO4)ncc2c1OC,OR / Isoquinoline / Pyridine,"Organic Letters (2021), 23(4), 1327-1332"
suzuki_miyaura,88,-0.71,Ar-B*,Ar-Cl,,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,False,COc1cc2c(cc1OC)B(O)OCC2.COc1ccc2cc(Cl)ncc2c1OC>>COc1cc(CCO)c(-c2cc3ccc(OC)c(OC)c3cn2)cc1OC,OR / Isoquinoline / Pyridine,"Organic Letters (2021), 23(4), 1327-1332"
suzuki_miyaura,84,0.0,Ar-B*,Ar-Cl,,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,False,OB1OCCc2cc3c(cc21)OCO3.Clc1cc2ccc3c(c2cn1)OCO3>>OCCc1cc2c(cc1-c1cc3ccc4c(c3cn1)OCO4)OCO2,OR / Isoquinoline / Pyridine,"Organic Letters (2021), 23(4), 1327-1332"
