reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Allylic_Benzylic_and_Vinylic_Halogenations,Multi-Event:Ann+C-C,COc1ccc(C)cc1>>COc1ccc(CBr)cc1.COc1ccc(C)cc1Br,|[] -> Ar-Br|Ar-OR|Bn-Br | spectators: Ar-Alkyl|Ar-OR,"sig:Ann+C-C | bonds:+C-C / -C(ar)-C(ar) | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), mol=intramolecular, ring=+1 | alerts:anom=multi_transform_record_possible",Ar-OR,,,Ar-Br|Ar-OR|Bn-Br,,,,,,,,,128-08-5/94-36-0/174501-64-5,,OR,"Synlett (2003), (5), 702-704",5,0.0
Allylic_Benzylic_and_Vinylic_Halogenations,Unknown,O=C1c2c(O)cccc2Cc2cccc(O)c21>>O=C1c2c(O)ccc(Br)c2C(Br)c2c(Br)ccc(O)c21,|[] -> Ar-Br|R2CH-Br | spectators: Ar-Alkyl|Ar-COR|Ar-OH,"kinds:intramolecular_likely | bonds:+Br-C;+Br-C(ar) | summary:redox=net_oxidation, q=high(1.00), mol=intramolecular",Ar-COR,,,Ar-Br|R2CH-Br,,,,,,,,,"75-15-0/Bromineliquid,ACS",,OH / COR,"International Journal of ChemTech Research (2011), 3(1), 39-42",82,0.0
Allylic_Benzylic_and_Vinylic_Halogenations,Unknown,Cc1cc(O)c(C)c2c1OC(C)(C)CC2>>Cc1c(Br)c(O)c(CBr)c2c1OC(C)(C)CC2,|Ar-Alkyl -> Ar-Br|Bn-Br | spectators: Ar-OH|Ar-OR,"kinds:intramolecular_likely | bonds:+Br-C;+Br-C(ar) | summary:redox=net_oxidation, q=high(1.00), mol=intramolecular",Ar-Alkyl,,,Ar-Br|Bn-Br,,,,,,,,,"Bromineliquid,ACS",n-Hexane,OH / OR,"European Journal of Organic Chemistry (2009), (28), 4873-4881",89,-0.71
Allylic_Benzylic_and_Vinylic_Halogenations,Halogenation_unsaturated,C(=C(c1ccccc1)c1ccccc1)c1ccccc1>>BrC(=C(c1ccc(Br)cc1)c1ccc(Br)cc1)c1ccc(Br)cc1,|[] -> Alkenyl-Br | spectators: Ar-Alkenyl,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+Br-C;+Br-C(ar);+C-C(ar) / -C-C | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00), mol=intramolecular",Ar-Alkenyl,,,Alkenyl-Br|Ar-Br,,,,,,,,,"Bromineliquid,ACS",,,"Journal of the American Chemical Society (1950), 722494-6",77,0.0
Allylic_Benzylic_and_Vinylic_Halogenations,Multi-Event:Ann+C-C,Cc1cccc2ccccc12>>BrCc1cccc2ccccc12.Cc1ccc(Br)c2ccccc12,|[] -> Ar-Br|Bn-Br | spectators: Ar-Alkyl,"sig:Ann+C-C | bonds:+C-C(ar) / -C(ar)-C(ar) | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), mol=intramolecular, ring=+2 | alerts:anom=multi_transform_record_possible",Ar-Alkyl,,,Ar-Br|Bn-Br,,,,,,,,,128-08-5/94-36-0/174501-64-5,,,"Synlett (2003), (5), 702-704",3,0.0
Allylic_Benzylic_and_Vinylic_Halogenations,Multi-Event:Ann+C-C,COC(=O)c1c(C)cc2cccccc1-2>>COC(=O)c1c2cccccc-2c(Br)c1C.COC(=O)c1c2cccccc-2c(Br)c1CBr,|[] -> Ar-Ar|Ar-Br|Ar-COOR|Bn-Br | spectators: Ar-Alkyl|Ar-Ar|Ar-COOR,"sig:Ann+C-C | bonds:+Br-C(ar);+C-C / -C(ar)-C(ar) | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), mol=intramolecular, ring=+2 | alerts:anom=multi_transform_record_possible",Ar-COOR,,,Ar-Ar|Ar-Br|Ar-COOR|Bn-Br,,,,,,,,,128-08-5,PhH/H2O,COOR,"Synthetic Communications (2008), 38(6), 991-996",11,-0.71
Allylic_Benzylic_and_Vinylic_Halogenations,Halogenation_unsaturated,C(=C(c1ccccc1)c1ccccc1)c1ccccc1>>BrC(=C(c1ccc(Br)cc1)c1ccc(Br)cc1)c1ccc(Br)cc1,|[] -> Alkenyl-Br | spectators: Ar-Alkenyl,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+Br-C;+Br-C(ar);+C-C(ar) / -C-C | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00), mol=intramolecular",Ar-Alkenyl,,,Alkenyl-Br|Ar-Br,,,,,,,,,"Bromineliquid,ACS",,,"Journal of the American Chemical Society (1950), 722494-6",77,0.0
Allylic_Benzylic_and_Vinylic_Halogenations,Unknown,Cc1cc(O)c(C)c2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2>>Cc1c(Br)c(O)c(CBr)c2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,|Ar-Alkyl -> Ar-Br|Bn-Br | spectators: Ar-OH|Ar-OR,"kinds:intramolecular_likely | bonds:+Br-C;+Br-C(ar) | summary:redox=net_oxidation, q=high(1.00), mol=intramolecular",Ar-Alkyl,,,Ar-Br|Bn-Br,,,,,,,,,"Bromineliquid,ACS",n-Hexane,OH / OR,"European Journal of Organic Chemistry (2009), (28), 4873-4881",92,0.71
Allylic_Benzylic_and_Vinylic_Halogenations,Multi-Event:Ann+C-C,COC(=O)c1c(C)cc2cccccc1-2>>COC(=O)c1c2cccccc-2c(Br)c1C.COC(=O)c1c2cccccc-2c(Br)c1CBr,|[] -> Ar-Ar|Ar-Br|Ar-COOR|Bn-Br | spectators: Ar-Alkyl|Ar-Ar|Ar-COOR,"sig:Ann+C-C | bonds:+Br-C(ar);+C-C / -C(ar)-C(ar) | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), mol=intramolecular, ring=+2 | alerts:anom=multi_transform_record_possible",Ar-COOR,,,Ar-Ar|Ar-Br|Ar-COOR|Bn-Br,,,,,,,,,94-36-0/128-08-5,CCl4/H2O,COOR,"Synthetic Communications (2008), 38(6), 991-996",86,0.71
Allylic_Benzylic_and_Vinylic_Halogenations,Halogenation_aromatic,Cc1ccc(C)s1>>Brc1c(C(Br)Br)sc(C(Br)Br)c1Br,|HeteroAr-H -> HeteroAr-Br | spectators: Ar-Alkyl|Thiophene,"kinds:intramolecular_likely | bonds:+Br-C;+Br-C(ar) | summary:redox=net_oxidation, q=high(1.00), mol=intramolecular",HeteroAr-H,,,Alkyl-Br|HeteroAr-Br,,,,,,,,,"Bromineliquid,ACS/7631-90-5",DCE/H2O,Thiophene,"Synthesis (2016), 48(20), 3509-3514",99,0.0
