reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Amide_formation,Amide_formation,O=C(O)c1cccc(S(=O)(=O)Cl)c1.CC(C)(C)OC(=O)N1CCC(n2cncc2-c2ccc(O)cc2)CC1.CN>>CNC(=O)c1cccc(S(=O)(=O)Oc2ccc(-c3cncn3C3CCN(C(=O)OC(C)(C)C)CC3)cc2)c1,|Ar-CO2H|Ar-OH|Ar-SO2Cl|CH3-NH2 -> Ar-CONHR | spectators: Alkyl-AromN|Ar-Ar|HeteroAr-H | events: Amid+C-N,Ar-CO2H|Ar-SO2Cl,Ar-OH,CH3-NH2,Alkyl-NHCOR|Ar-CONHR|Ar-OSO2R,,,Et3N,,,,,EDCICl,,DCM,AromN / HeteroAr,"Journal of Medicinal Chemistry (2016), 59(16), 7410-7430",72,0.0
Amide_formation,Amide_formation,NC(N)=S.CC(C)CC(N)C(=O)O>>CC(C)CC1NC(=S)NC1=O,|R2CH-CO2H|R2CH-NH2|Unclassified-Reactant -> R2CH-CONHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O | spectators: R_acidic-H | events: Amid+Ann+C-N,,R2CH-CO2H|R2CH-NH2,,Alkyl-Thiourea|R2CH-CONHR,,,,,,,,,,,,"Chemistry - A European Journal (2018), 24(28), 7217-7227",91,0.0
Amide_formation,Unknown,COc1ccc(CC2(Cc3ccc(OCc4ccccc4)cc3)NC(=O)N(C)C2=O)cc1.O=C(O)C(F)(F)F>>COc1ccc(CC2(Cc3ccc(O)cc3)NC(=O)N(C)C2=O)cc1,|Alkyl-CO2H|Ar-OR -> Ar-OH | bond_broken: C-O | spectators: Alkyl-NRCOR|Ar-Alkyl|R3C-CONR2|R3C-LactamN,Ar-OR,Alkyl-CO2H|Alkyl-F,,Ar-OH,,,,,,H2,,,7440-05-3,MeOH,CONR2 / LactamN / NRCOR / OR,"Journal of Organic Chemistry (2018), 83(17), 10120-10133",98,0.0
Amide_formation,Amide_formation,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(OCc2ccccc2)c(C(C)C)c1.NC1COC1>>Cc1cc(OCC(=O)NC2COC2)cc(C)c1Cc1ccc(O)c(C(C)C)c1,|Ar-OR|R2CH-NH2|RCH2-CO2H -> Alkyl-NHCOR | spectators: Ar-Alkyl|RCH2-OR|R_acidic-H | events: Amid+C-N,RCH2-CO2H|Ar-OR,R2CH-NH2,,Alkyl-NHCOR|Ar-OH|RCH2-CONHR,,,NaHCO3,BCl3,,,,CDI,700-12-9,THF/DCM/H2O,OR,"ACS Medicinal Chemistry Letters (2019), 10(1), 111-116",77,0.0
Amide_formation,Amide_formation,O=C(O)C1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3.COc1cc(NC(C)CCCN)c2ncccc2c1-c1ccccc1>>COc1cc(NCCCCNC(=O)C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)c2ncccc2c1-c1ccc(F)cc1,|R2CH-CO2H|RCH2-NH2 -> Alkyl-NHCOR | spectators: Ar-Ar|Ar-OR|HeteroAr-H|HeteroAr-NHR|Quinoline|R_acidic-H | events: Amid+C-N,R2CH-CO2H,RCH2-NH2,,Alkyl-NHCOR|Ar-F|R2CH-CONHR,,,Et3N,,,,,TBTU,,DCM,Quinoline / NHR / HeteroAr / OR,"European Journal of Medicinal Chemistry (2018), 14969-78",71,0.0
Amide_formation,Amide_formation,O=C(O)C(=O)c1ccc(Cl)cc1.CONC(=O)c1ccc(Cl)cc1>>CON1C(=O)c2ccc(Cl)cc2C1(O)c1ccc(Cl)cc1,|Acyl-CO2H|Ar-CONHR|Ar-COR -> Ar-CONR2 | spectators: Ar-Cl | events: Amid+Ann+C-N+C-C,Acyl-CO2H|Ar-COR,Ar-CONHR,,Alkyl-NRCOR|Ar-Alkyl|Ar-CONR2|R3C-OH,Pd(OAc)2,,,,(NH4)2S2O8,,,,,THF,Cl,"Heterocycles (2016), 92(3), 560-572",80,0.0
Amide_formation,C_N_Coupling,O=C(O)[C@@H]1CCCN1.Nc1ncccc1Br>>O=C1Nc2ncccc2N2CCC[C@@H]12,|Ar-NH2|HeteroAr-Br|R2CH-CO2H|R2CH-NHR|RCH2-NHR -> Ar-NHCOR|Ar-NR2 | spectators: HeteroAr-H|Pyridine|R_acidic-H | events: Amid+Ann+LGDisp+C-N,R2CH-CO2H|RCH2-NHR|R2CH-NHR,HeteroAr-Br|Ar-NH2,,Ar-NHCOR|Ar-NR2,CuCl,TMEDA,K3PO4,,,,,,,DMSO/EtOAc,Pyridine / HeteroAr,"Journal of Organic Chemistry (2016), 81(21), 10538-10550",79,0.0
Amide_formation,Multi-Event:Amid+C-N,O=C1Nc2ccccc2C1=O.O=C(O)CCc1ccco1.Nc1ccccc1N>>O=C(CCc1ccco1)Nc1ccccc1-c1nc2ccccc2[nH]c1=O,|Ar-COR|Ar-NH2|RCH2-CO2H -> Ar-Ar|AromN-H|HeteroAr-H|Pyrimidine | spectators: Ar-Alkyl|Ar-NHCOR|Furan|HeteroAr-H|R_acidic-H | events: Amid+C-N,Ar-COR,RCH2-CO2H,Ar-NH2,Ar-Ar|AromN-H|HeteroAr-H|Pyrimidine,,,DMAP,,,,,EDCICl,,H2O/DCM,Furan / HeteroAr / NHCOR,"Angewandte Chemie, International Edition (2015), 54(39), 11516-11520",74,0.0
Amide_formation,Amide_formation,COc1cc(/C=C/C(=O)O)cc(OC)c1OC.COC(=O)c1ccc(F)c(N)c1>>COc1cc(/C=C/C(=O)Nc2cc(C(=O)O)ccc2F)cc(OC)c1OC,|Alkenyl-CO2H|Ar-CO2R|Ar-NH2 -> Alkenyl-CONHR|Ar-NHCOR | spectators: Ar-Alkenyl|Ar-F|Ar-OR | events: Amid+C-N,Alkenyl-CO2H,Ar-CO2R|Ar-NH2,,Alkenyl-CONHR|Ar-CO2H|Ar-NHCOR,,,DMAP/LiOH,HCl,,,,(COCl)2,,DMF/DCM/MeOH/H2O,F / OR,"Journal of Medicinal Chemistry (2015), 58(11), 4529-4549",74,0.0
Amide_formation,Amide_formation,Nc1ccccc1.COC(=O)[C@H](CSCCCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21>>O=C(CCCSC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O)Nc1ccccc1,|Ar-NH2|R2CH-CO2R|RCH2-CO2H -> Ar-NHCOR | spectators: Ar-Alkyl|Ar-Ar|RCH2-SR|R_acidic-H | events: Amid+C-N,Ar-NH2,R2CH-CO2R|RCH2-CO2H,,Ar-NHCOR|R2CH-CO2H,,,DIPEA/LiOH,,,,,HBTU,77-92-9,DCM/THF/H2O,SR,"Bioorganic & Medicinal Chemistry Letters (2018), 28(14), 2375-2378",96,0.0
