reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Amide_formation_sample500,Claisen_condensation,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.O=C(N[C@@H](Cc1cnc[nH]1)C(=O)O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.O=C(N[C@@H](CO)C(=O)O)OCC1c2ccccc2-c2ccccc21.N=C(N)NCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(=O)N[C@H]1[C@@H](O[C@H](C)[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O.O=C(O)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)COCCOCCNC(=O)OCC1c2ccccc2-c2ccccc21.CC(=O)CCCC(=O)O>>CC(=O)CCCC(=O)NCCOCCOCC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)C(C)C)[C@@H](C)O)[C@@H](C)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1NC(C)=O)[C@@H](C)O)C(C)C,|Alkyl-N(R)CO2R|Ar-Alkyl|Ar-Ar|R2CH-NHCOR|R2CH-OR|R3C-OR|RCH2-CONR2|RCH2-N(R)CO2R|RCH2-NHR|RCH2-OH|RCH2-OR|R_acidic-CO2H|R_acidic-CO2R|R_acidic-COR|R_acidic-N(R)CO2R|R_acidic-OR -> Alkyl-NRCOR|R2CH-OH|RCH2-OH|R_acidic-H | spectators: Ar-Alkyl|AromN-H|HeteroAr-H|Imidazole|R2CH-NHCOR|R_acidic-CO2H|R_acidic-CONHR|R_acidic-COR|R_acidic-H|R_acidic-OR,Alkyl-N(R)CO2R|R3C-OR|Ar-Ar|Ar-Alkyl,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-NRCOR|R2CH-OH|RCH2-NHCOR|RCH2-OH|R_acidic-CONH2|R_acidic-CONR2|R_acidic-H|R_acidic-NHCOR,PD(PPH3)4,,DIPEA/NH3/NaOH,,,,HOBt/HOAt/AcOH,HBTU/PyBOP,90508-21-7/694-53-1/6298-03-9/100-68-5/6485-79-6/108-95-2,DCM/Ac2O/Et2O/DMF/THF/H2O/MeOH,,"Chemistry - A European Journal (2014), 20(48), 15891-15902",9,0.0
Amide_formation_sample500,Amide_formation,C=CCOC(=O)CNC(=O)[C@H](Cc1cn(COCc2ccccc2)cn1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO[Si](C)(C)C(C)(C)c1ccc(NC(=O)CCC(=O)O)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.CC(=O)N[C@H]1[C@@H](OC[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)O[C@@H]2CO[C@H](c3ccccc3)O[C@@H]2[C@@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1.CCOC(=O)CCS>>CCOC(=O)CCSC(=O)CNC(=O)[C@H](Cc1cn(COCc2ccccc2)cn1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](COCc3ccccc3)[C@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)[C@H]1NC(C)=O)NC(=O)OCC1c2ccccc2-c2ccccc21,|Ar-Alkyl|Ar-Ar|Ar-NHCOR|Bn-OR|R2CH-NHCOR|R2CH-OR|R3C-Si*|RCH2-OR|RCH2-SH|RCH2-Si*|R_acidic-CO2H|R_acidic-CO2R|R_acidic-CONH2|R_acidic-CONHR|R_acidic-CONR2|R_acidic-H|R_acidic-N(R)CO2R|R_acidic-NHCOR -> R2CH-OH|RCH2-OH | spectators: Alkyl-AromN|Alkyl-NRCOR|Ar-Alkyl|Ar-Ar|HeteroAr-H|R2CH-NHCOR|R_acidic-CO2R|R_acidic-CONH2|R_acidic-CONHR|R_acidic-CONR2|R_acidic-H|R_acidic-N(R)CO2R|R_acidic-NHCOR,Ar-NHCOR|R_acidic-H|Bn-OR|Ar-Ar|Ar-Alkyl,R_acidic-H|Ar-Ar|Ar-Alkyl,R_acidic-H|RCH2-OR|R2CH-OR|Bn-OR|Ar-Ar|Ar-Alkyl,R2CH-OH|RCH2-OH,PD(PPH3)4,,Piperidine/DIPEA,,,,HOBt/TFA,DCC,100-61-8,Ac2O/NMP/THF/H2O,AromN / NRCOR,"Bioscience, Biotechnology, and Biochemistry (2002), 66(2), 225-232",20,0.0
Amide_formation_sample500,Amide_formation,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)(C)SSC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.COC(CN)OC>>CC(C)C[C@H](NC(=O)[C@@H](N)CSSC(C)(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O)C(C)C,|Alkyl-N(R)CO2R|Ar-Ar|R2CH-OR|RCH2-CONR2|RCH2-NH2|R_acidic-CO2H|R_acidic-CO2R|R_acidic-N(R)CO2R -> Alkyl-NRCOR|R_acidic-H | bond_formed: C-C; C-N; C-O | bond_broken: C-O; C-C; C-N | spectators: Ar-Alkyl|R_acidic-H,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-NRCOR|R_acidic-CHO|R_acidic-CONH2|R_acidic-CONR2|R_acidic-H|R_acidic-NH2|R_acidic-NHCOR,PD(PPH3)4,,DIPEA/Piperidine/N-methylmorpholine,,,,TFA,PyAOP/PyBOP,694-53-1,H2O/DMF/DCM,,"Journal of the American Chemical Society (2017), 139(14), 5233-5241",25,0.0
Amide_formation_sample500,Amide_formation,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.NCCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.COC(CN)OC.CC(=O)OC(C)=O>>CC(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O)C(C)C,|Alkyl-N(R)CO2R|Ar-Ar|R2CH-OR|RCH2-CONR2|RCH2-NH2|R_acidic-CO2H|R_acidic-CO2R|R_acidic-N(R)CO2R -> Alkyl-NRCOR | bond_formed: C-N; C-C | bond_broken: C-O; C-N; C-C | spectators: Ar-Alkyl|R_acidic-H,R_acidic-H|Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,R_acidic-H|Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,R_acidic-H|Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-NRCOR|R_acidic-CHO|R_acidic-CONH2|R_acidic-CONR2|R_acidic-NHCOR,PD(PPH3)4,,DIPEA/Piperidine/N-methylmorpholine/Pyridine,,,,TFA,PyAOP/PyBOP,694-53-1,H2O/DMF/DCM,,"Journal of the American Chemical Society (2017), 139(14), 5233-5241",4,0.0
Amide_formation_sample500,Amide_formation,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)OCC1c2ccccc2-c2ccccc21.COC(CN)OC>>CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O,|Alkyl-N(R)CO2R|Ar-Ar|R2CH-OR|RCH2-CONR2|RCH2-NH2|R_acidic-CO2H|R_acidic-CO2R|R_acidic-N(R)CO2R -> Alkyl-NRCOR|R_acidic-H | bond_formed: C-C; C-N | bond_broken: C-N; C-O; C-C | spectators: Ar-Alkyl|AromN-H|HeteroAr-H|Indole|R_acidic-H,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-NRCOR|R_acidic-CHO|R_acidic-CONH2|R_acidic-CONR2|R_acidic-H|R_acidic-NH2|R_acidic-NHCOR,PD(PPH3)4,,DIPEA/Piperidine/N-methylmorpholine,,,,TFA,PyAOP/PyBOP,694-53-1,H2O/DMF/DCM,,"Journal of the American Chemical Society (2017), 139(14), 5233-5241",22,0.0
Amide_formation_sample500,Amide_formation,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1cnc[nH]1)C(=O)O)OCC1c2ccccc2-c2ccccc21.COC(CN)OC>>CC(C)C[C@H](NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](C)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O,|Alkyl-N(R)CO2R|Ar-Ar|R2CH-OR|RCH2-CONR2|RCH2-NH2|R_acidic-CO2H|R_acidic-CO2R|R_acidic-N(R)CO2R -> Alkyl-NRCOR|R_acidic-H | bond_formed: C-C; C-N | bond_broken: C-N; C-O; C-C | spectators: Ar-Alkyl|AromN-H|HeteroAr-H|Imidazole|R_acidic-H,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-NRCOR|R_acidic-CHO|R_acidic-CONH2|R_acidic-CONR2|R_acidic-H|R_acidic-NH2|R_acidic-NHCOR,PD(PPH3)4,,DIPEA/Piperidine/N-methylmorpholine,,,,TFA,PyAOP/PyBOP,694-53-1,H2O/DMF/DCM,,"Journal of the American Chemical Society (2017), 139(14), 5233-5241",28,0.0
Amide_formation_sample500,Amide_formation,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.COC(CN)OC.CC(C)(C)OC(=O)N[C@@H](C[Se][Se]C[C@H](NC(=O)OC(C)(C)C)C(=O)O)C(=O)O>>CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)C[Se][Se]C[C@H](N)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O,|Alkyl-N(R)CO2R|Ar-Ar|R2CH-OR|RCH2-CONR2|RCH2-NH2|R_acidic-CO2H|R_acidic-CO2R|R_acidic-N(R)CO2R -> Ar-NH2 | bond_formed: C-C; C-C(ar); C-N; C-Se; C(ar)-N; C(ar)-O; C-O | bond_broken: C-C; C-C(ar); C-N; C-O; C-Se; C(ar)-C(ar) | spectators: Ar-Alkyl|R_acidic-H,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-N(R)CO2R|Ar-Ar|Ar-Alkyl,Alkyl-NRCOR|R_acidic-CHO|R_acidic-CONH2|R_acidic-CONR2|R_acidic-H|R_acidic-NH2|R_acidic-NHCOR,PD(PPH3)4,,DIPEA/Piperidine/N-methylmorpholine,,,,HOAt/TFA,PyAOP/PyBOP/DIC,694-53-1,H2O/DMF/DCM,,"Journal of the American Chemical Society (2017), 139(14), 5233-5241",18,0.0
Amide_formation_sample500,Amide_formation,C[C@H](N)C(=O)N[C@H](CCC(=O)OCc1ccccc1)C(N)=O.Cc1ccc(S[C@@H]2O[C@@H]3CO[C@@H](c4ccccc4)O[C@H]3[C@H](O[C@H](C)C(=O)O)[C@H]2NC(=O)COCc2ccccc2)cc1>>C[C@H](NC(=O)[C@@H](C)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](C=O)NC(=O)CO)C(=O)N[C@H](CCC(=O)O)C(N)=O,|Ar-Alkyl|Ar-SR|R2CH-NHCOR|R2CH-OR|RCH2-OR|R_acidic-CO2H|R_acidic-CO2R|R_acidic-CONHR|R_acidic-NH2|R_acidic-OR -> R2CH-OH|RCH2-OH|R_acidic-H | bond_formed: C-N; C-O | bond_broken: C-O; C-S | spectators: R_acidic-CO2H|R_acidic-CONH2|R_acidic-H|R_acidic-NHCOR|R_acidic-OR,Ar-Alkyl,RCH2-OR|R2CH-OR|Ar-SR|Ar-Alkyl,,R2CH-OH|RCH2-OH|R_acidic-CHO|R_acidic-H|R_acidic-NHCOR|R_acidic-OH,Palladium Hydroxide,,Et3N,,,H2,TFA,,1892-57-5/128-08-5,DMF/DCM/Me2CO/H2O/MeOH,,"Chemistry - A European Journal (2015), 21(34), 11984-11988",77,0.0
Amide_formation_sample500,Claisen_condensation,C=CCOC(=O)[C@@H](NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)[C@@H](NC(=O)[C@H](COC(C)(C)C)NC(=O)[C@H](COC(C)(C)C)NC(=O)[C@H](COC(C)(C)C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)OC(C)(C)C)[C@@H](C)O[C@H]1O[C@H](CO[Si](C)(C)C(C)(C)c2ccc(NC(=O)CCC(=O)NCC(=O)O)cc2)[C@@H]2OC(C)(C)O[C@@H]2[C@H]1NC(C)=O)[C@@H](C)OC(C)(C)C)[C@@H](C)O>>CC(=O)N[C@H]1[C@@H](O[C@H](C)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)O[C@H](CO)[C@H](O)[C@@H]1O,|Ar-Alkyl|Ar-NHCOR|R2CH-NHCOR|R2CH-OH|R2CH-OR|R3C-OR|R3C-Si*|RCH2-N(R)CO2R|RCH2-OR|RCH2-Si*|R_acidic-CO2H|R_acidic-CO2R|R_acidic-N(R)CO2R|R_acidic-NHCOR -> R2CH-OH|RCH2-NH2|RCH2-OH | bond_formed: C-C; C-N | bond_broken: C-N; C-C; C-O; O-Si | spectators: Alkyl-NRCOR|R2CH-NHCOR|R_acidic-CO2H|R_acidic-CONHR|R_acidic-CONR2|R_acidic-H|R_acidic-NHCOR,Ar-NHCOR|R2CH-OH|R_acidic-H|RCH2-OR|R3C-OR|R2CH-OR|Ar-Alkyl,,,R2CH-OH|RCH2-NH2|RCH2-OH|R_acidic-NH2,PD(PPH3)4,,,,,,TFA,,100-61-8,THF/MeCN,NRCOR,"Tetrahedron (2000), 56(34), 6235-6243",79,0.0
Amide_formation_sample500,Amide_formation,CNC.Cl.CC1(C)O[C@H]([C@H]2COC(C)(C)O2)[C@@H](c2cn(Cc3ccccc3)c(C(=O)O)n2)O1>>CN(C)C(=O)c1ncc([C@@H](O)[C@H](O)[C@H](O)CO)[nH]1,|Alkyl-AromN|CH3-NHR|HeteroAr-CO2H|Inorganic|R3C-OR|RCH2-OR -> AromN-H|R2CH-OH|RCH2-OH | bond_formed: C-N | bond_broken: C-O; C-N(ar) | spectators: Ar-Alkyl|HeteroAr-H,CH3-NHR,Inorganic,RCH2-OR|R3C-OR|Alkyl-AromN|Ar-Alkyl,AromN-H|CH3-NRCOR|HeteroAr-CONR2|R2CH-OH|RCH2-OH,Palladium Hydroxide,,Et3N,HCl,,H2,,HATU,,DCE/EtOH/Me2CO/H2O,,"Journal of Medicinal Chemistry (2009), 52(13), 3941-3953",7,0.0
