reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Appel_halogenation,Alcohol_to_Alkyl_Halide,COC(=O)c1ccc(CO)cc1>>COC(=O)c1ccc(CCl)cc1,|Bn-OH -> Bn-Cl | spectators: Ar-COOR,form:C-Cl | form_labeled:C-Cl | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely | mol:intramolecular | form_cls:C-Cl | break_cls:C-O | ringd:0 | ehyb:sp3 | eenv:benzylic | nclass:alcohol_or_phenol | amb:0,Bn-OH,,,Bn-Cl,,PPh3,,,,,,,75-62-7,DCM,COOR,"Synthesis (2011), (2), 342-346",98,0.0
Appel_halogenation,Unknown,CCCCCCC#CC#CCO>>CCCCCCC#CC#CCBr,|Propargyl-OH -> Propargyl-Br | spectators: Alkyl-Alkynyl|Propargyl-H,form:Br-C | form_labeled:Br-C | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely | mol:intramolecular | form_cls:Br-C | break_cls:C-O | ringd:0 | ehyb:sp3 | eenv:propargylic | nclass:alcohol_or_phenol | amb:0,Propargyl-OH,,,Propargyl-Br,,PPh3,,,,,,,89415-67-8,H2O/DCE,,"Tetrahedron Letters (2014), 55(1), 90-93",84,-0.13
Appel_halogenation,Alcohol_to_Alkyl_Halide,C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CO)[C@H]2O>>C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CBr)[C@H]2O,|RCH2-OH -> RCH2-Br | spectators: Ar-Alkyl|Ar-OR|R2CH-OH,form:Br-C | form_labeled:Br-C | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely | mol:intramolecular | form_cls:Br-C | break_cls:C-O | ringd:0 | ehyb:sp3 | nclass:alcohol_or_phenol | amb:0,RCH2-OH,,,RCH2-Br,,PPh3,,,,,,,558-13-4,DCM,OH / OR,"Steroids (2006), 71(2), 141-153",80,-0.64
Appel_halogenation,Alcohol_to_Alkyl_Halide,OCCc1ccccc1Br>>BrCCc1ccccc1Br,|RCH2-OH -> RCH2-Br | spectators: Ar-Alkyl|Ar-Br,form:Br-C | form_labeled:Br-C | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely | mol:intramolecular | form_cls:Br-C | break_cls:C-O | ringd:0 | ehyb:sp3 | nclass:alcohol_or_phenol | amb:0,RCH2-OH,,,RCH2-Br,,,NaHCO3,,,,,,7789-60-8,DCM/H2O,Br,"Journal of Organic Chemistry (2013), 78(20), 10500-10505",85,0.0
Appel_halogenation,Alcohol_to_Alkyl_Halide,CCOC(=O)N1C(=O)N(OS(=O)(=O)c2ccc(C)cc2)[C@]23C[C@@H](O)CN2C(=O)c2cccn2[C@H]13>>CCOC(=O)N1C(=O)N(OS(=O)(=O)c2ccc(C)cc2)[C@]23C[C@H](Br)CN2C(=O)c2cccn2[C@H]13,|R2CH-OH -> R2CH-Br | spectators: Alkyl-AromN|Alkyl-NRCOR|Ar-Alkyl|Ar-CONR2|HeteroAr-H|R2CH-LactamN|R3C-LactamN,form:Br-C | form_labeled:Br-C | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely | mol:intramolecular | form_cls:Br-C | break_cls:C-O | ringd:0 | ehyb:sp3 | nclass:alcohol_or_phenol | amb:0,R2CH-OH,,,R2CH-Br,,PPh3,,,,,,,558-13-4,,AromN / CONR2 / HeteroAr / LactamN / NRCOR,"Synlett (2007), (17), 2756-2758",73,0.0
Appel_halogenation,Alcohol_to_Alkyl_Halide,O=C(NCc1cc(F)cc(C(F)(F)F)c1)C(CCO)c1ccc(F)cc1>>O=C(NCc1cc(F)cc(C(F)(F)F)c1)C(CCBr)c1ccc(F)cc1,|RCH2-OH -> RCH2-Br | spectators: Alkyl-NHCOR|Ar-Alkyl|Ar-CF3|Ar-F|R2CH-CONHR|R_acidic-H,form:Br-C | form_labeled:Br-C | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely | mol:intramolecular | form_cls:Br-C | break_cls:C-O | ringd:0 | ehyb:sp3 | nclass:alcohol_or_phenol | amb:0,RCH2-OH,,,RCH2-Br,,PPh3,,,,,,,558-13-4,MeCN,CF3 / CONHR / F / NHCOR,"Bioorganic & Medicinal Chemistry (2015), 23(14), 4034-4049",99,0.71
Appel_halogenation,Alcohol_to_Alkyl_Halide,CCOC(=O)[C@H](C)O>>CCOC(=O)[C@@H](C)Cl,|R2CH-OH -> R2CH-Cl | spectators: R2CH-COOR|R_acidic-H,form:C-Cl | form_labeled:C-Cl | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely | mol:intramolecular | form_cls:C-Cl | break_cls:C-O | ringd:0 | ehyb:sp3 | nclass:alcohol_or_phenol | amb:0,R2CH-OH,,,R2CH-Cl,,,,,,,,(COCl)2,791-28-6,CHCl3,COOR,"Journal of Organic Chemistry (2011), 76(16), 6749-6767",95,0.0
Appel_halogenation,Alcohol_to_Alkyl_Halide,OC1C=CCCC1>>BrC1C=CCCC1,|R2CH-OH -> R2CH-Br | spectators: R2CH-Alkenyl|RCH2-Alkenyl,form:Br-C | form_labeled:Br-C | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely | mol:intramolecular | form_cls:Br-C | break_cls:C-O | ringd:0 | ehyb:sp3 | nclass:alcohol_or_phenol | amb:0,R2CH-OH,,,R2CH-Br,,,,,,,LiBr,(COCl)2,791-28-6,CHCl3,,"Journal of Organic Chemistry (2011), 76(16), 6749-6767",73,0.0
Appel_halogenation,Alcohol_to_Alkyl_Halide,OCc1ccc2c(c1)OCO2>>BrCc1ccc2c(c1)OCO2,|Bn-OH -> Bn-Br | spectators: Ar-OR,form:Br-C | form_labeled:Br-C | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely | mol:intramolecular | form_cls:Br-C | break_cls:C-O | ringd:0 | ehyb:sp3 | eenv:benzylic | nclass:alcohol_or_phenol | amb:0,Bn-OH,,,Bn-Br,,PPh3,,,,,,,,DCM,OR,"Beilstein Journal of Organic Chemistry (2011), 71648-1655",91,-0.71
Appel_halogenation,Alcohol_to_Alkyl_Halide,COc1ccc(N2CC(O)(CO)C2=O)cc1>>COc1ccc(N2CC(O)(CCl)C2=O)cc1,|RCH2-OH -> RCH2-Cl | spectators: Ar-NRCOR|Ar-OR|R3C-OH,form:C-Cl | form_labeled:C-Cl | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely | mol:intramolecular | form_cls:C-Cl | break_cls:C-O | ringd:0 | ehyb:sp3 | nclass:alcohol_or_phenol | amb:0,RCH2-OH,,,RCH2-Cl,,PPh3,,,,,,,67-72-1,MeCN,OH / NRCOR / OR,"Chemistry - A European Journal (2014), 20(21), 6505-6517",85,0.0
