reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
BAIB,Oxidation_primary_alcohol_to_aldehyde,COc1ccc([C@H](O)[C@H](CO)Oc2ccccc2OC)cc1OC>>COc1ccccc1O.COc1ccc(C=O)cc1OC.COc1ccc(C=C(C=O)Oc2ccccc2OC)cc1OC,|Ar-Alkyl|R2CH-OH|RCH2-OH -> Alkenyl-CHO|Ar-CHO | spectators: Ar-OR,sig:Ann+C-O+C-C | form:C-C(ar);C-O | form_labeled:C-C(ar);C-O | redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:c_c_bond_formation+c_o_bond_formation+intramolecular_likely+ring_closure_or_annulation,RCH2-OH|R2CH-OH|Ar-Alkyl,,,Alkenyl-CHO|Alkenyl-OR|Ar-Alkenyl|Ar-CHO|Ar-OH,,DL-Proline,,,TEMPO/PIDA,,,,,MeCN,OR,"ChemSusChem (2017), 10(13), 2707-2713",26,0.0
BAIB,Oxidation_primary_alcohol_to_aldehyde,COc1ccccc1O[C@@H](CO)[C@@H](O)c1ccc2c(c1)OCO2>>COc1ccccc1O.O=Cc1ccc2c(c1)OCO2.COc1ccccc1OCC=O,|Ar-Alkyl|R2CH-OH|RCH2-OH -> Ar-CHO|RCH2-CHO | spectators: Ar-OR,sig:Ann+C-O+C-C | form:C(ar)-C(ar);C(ar)-O;C-C(ar) | form_labeled:C(ar)-C(ar);C(ar)-O;C-C(ar) | break:C-C;C-O | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:c_c_bond_formation+c_o_bond_formation+intramolecular_likely+ring_closure_or_annulation,RCH2-OH|R2CH-OH|Ar-Alkyl,,,Ar-CHO|Ar-OH|RCH2-CHO|R_acidic-H,,DL-Proline,,,TEMPO/PIDA,,,,,MeCN,OR,"ChemSusChem (2017), 10(13), 2707-2713",35,-0.71
BAIB,Oxidation_primary_alcohol_to_aldehyde,COc1ccccc1O[C@H](CO)C(O)c1cc(OC)c(OC)c(OC)c1>>COc1cc(C=O)cc(OC)c1OC.COc1ccccc1O.COc1ccccc1OCC=O,|Ar-Alkyl|R2CH-OH|RCH2-OH -> Ar-CHO|RCH2-CHO | spectators: Ar-OR,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:ring_closure_or_annulation,RCH2-OH|R2CH-OH|Ar-Alkyl,,,Ar-CHO|Ar-OH|RCH2-CHO|R_acidic-H,,DL-Proline,,,TEMPO/PIDA,,,,,MeCN,OR,"ChemSusChem (2017), 10(13), 2707-2713",79,0.71
BAIB,Oxidation_primary_alcohol_to_aldehyde,CCC/C=C\C=C\CCCCCCCO>>CCC/C=C\C=C/CCCCCCC=O.CCC/C=C/C=C/CCCCCCC=O.CCC/C=C\C=C\CCCCCCC=O.CCC/C=C/C=C\CCCCCCC=O,|RCH2-OH -> RCH2-CHO | spectators: Alkenyl-Alkenyl|RCH2-Alkenyl,form:C-C | form_labeled:C-C | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intramolecular_likely,RCH2-OH,,,RCH2-CHO|R_acidic-H,,,,,PIDA/TEMPO,,,,"Sodiumthiosulfate,0.01NStandardizedSolution",MeCN/H2O,,"Organic Process Research & Development (2020), 24(7), 1335-1340",1,0.0
BAIB,Oxidation_primary_alcohol_to_aldehyde,CC/C=C/CCO>>CCC/C=C/C=O.CC/C=C/CC=O,|RCH2-OH -> Alkenyl-CHO | spectators: RCH2-Alkenyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-OH,,,Alkenyl-CHO|RCH2-Alkenyl|RCH2-CHO|R_acidic-H,,,,,PIDA/TEMPO,,,,,DCM/Pent,,"European Journal of Organic Chemistry (2012), 2012(21), 3978-4017, S3978/1-S3978/9",2,-0.71
BAIB,Alkene_oxidative_cleavage_to_carbonyl,C=C(C(O)/C=C/C(C)(O)CO)[C@@H]1C[C@@H](O)[C@@]2(C)[C@@H]1[C@@H]1[C@H](C)CC[C@@H]12>>C=C(C(=O)/C=C/C(C)=O)[C@@H]1CC(=O)[C@@]2(C)[C@@H]1[C@@H]1[C@H](C)CC[C@@H]12,|R3C-Alkenyl -> Alkenyl-COR|RCH2-COR | spectators: R2CH-Alkenyl,break:C-C | redox:redox_neutral | redox_conf:0.55 | q:high(1.00),R3C-Alkenyl|R2CH-Alkenyl|RCH2-OH|R3C-OH|R2CH-OH,,,Alkenyl-COR|RCH2-COR|R_acidic-H,,,,,PIDA/TEMPO,,,,"Sodiumthiosulfate,0.01NStandardizedSolution",DCM/H2O,,"Bioorganic & Medicinal Chemistry Letters (2015), 25(12), 2479-2483",89,0.0
BAIB,Benzylic_CH_oxidation_to_carbonyl,CC(=O)OI(OC(C)=O)c1ccccc1.CC(O)c1ccccc1>>CC(=O)OC(Br)C(=O)c1ccccc1,|Ar-Alkyl|Ar-I|R2CH-OH -> Ar-COR | spectators: R_acidic-H,redox:net_oxidation | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_o_bond_formation+intermolecular_or_multi_component,Ar-I,R2CH-OH|Ar-Alkyl,,Alkyl-CO2R|Ar-COR|R2CH-Br,,,,,,,,,,DCM/PhMe,,"Advanced Synthesis & Catalysis (2003), 345(5), 635-642",95,0.0
BAIB,Oxidation_primary_alcohol_to_aldehyde,CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@@H]([C@@H]31)[C@@H]2CO>>CC1(C)CCCC2(C)C3COC4CC2C1C43.CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@@H]([C@@H]31)[C@@H]2C=O,|RCH2-OH -> R2CH-CHO,sig:Ann+C-O+C-C | form:C-C;C-O | form_labeled:C-C;C-O | redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:c_c_bond_formation+c_o_bond_formation+intramolecular_likely+ring_closure_or_annulation,RCH2-OH,,,R2CH-CHO|RCH2-OR|R_acidic-H,,,,,PIDA,,,,Iodine,Cyclohexane,,"Journal of Chemical Research, Synopses (1990), (8), 240-1",75,-0.71
BAIB,Event:C-C,CC(O)CCCCCCCCCO>>CC(O)CCCCCCCCC#N.CC(=O)CCCCCCCCC#N,|RCH2-OH -> RCH2-CN|RCH2-COR|R_acidic-H | spectators: R2CH-OH,form:C-C | form_labeled:C-C | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intramolecular_likely,RCH2-OH,,,RCH2-CN|RCH2-COR|R_acidic-H,,,,,PIDA/TEMPO,,,,631-61-8,MeCN/H2O,OH,"Synlett (2014), 25(9), 1275-1278, 4 pp.",84,0.0
BAIB,Event:C-C,C#CCOCc1ccc(OC)cc1.CC1(C)OC[C@H](C=O)O1>>COc1ccc(COCC#CC(=O)[C@H]2COC(C)(C)O2)cc1,|Alkyl-Alkynyl_terminal|R2CH-CHO -> Alkyl-Alkynyl|Alkynyl-COR | spectators: Ar-OR|Bn-OR|Propargyl-H|R3C-OR|RCH2-OR|R_acidic-H,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,Alkyl-Alkynyl_terminal,R2CH-CHO,,Alkyl-Alkynyl|Alkynyl-COR,,,n-BuLi,,TEMPO/PIDA,,NH4Cl,,"Sodiumthiosulfate,0.01NStandardizedSolution",THF/n-Hexane/H2O/DCM,OR,"Journal of Fluorine Chemistry (2013), 15270-76",81,0.0
BAIB,Event:C-C,C[Mg]Br.O=Cc1cccc(OC2CCCCO2)c1>>CC(=O)c1cccc(OC2CCCCO2)c1,|Alkyl-Mg*|Ar-CHO -> Ar-COR|R_acidic-H | spectators: Ar-OR|RCH2-OR,form:C-C | form_labeled:C-C | break:C-Mg | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,Alkyl-Mg*,Ar-CHO,,Ar-COR|R_acidic-H,,,,,PIDA,,,,,THF,OR,"RSC Advances (2014), 4(29), 15011-15013",74,0.0
BAIB,Event:C-C,C[Mg]Br.O=Cc1ccc2c(c1)OCO2>>CC(=O)c1ccc2c(c1)OCO2,|Alkyl-Mg*|Ar-CHO -> Ar-COR|R_acidic-H | spectators: Ar-OR,form:C-C | form_labeled:C-C | break:C-Mg | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,Alkyl-Mg*,Ar-CHO,,Ar-COR|R_acidic-H,,,,,PIDA,,,,,THF,OR,"RSC Advances (2014), 4(29), 15011-15013",80,0.0
BAIB,Event:C-C,C[Mg]Br.O=Cc1ccccc1>>CC(=O)c1ccccc1,|Alkyl-Mg*|Ar-CHO -> Ar-COR|R_acidic-H,form:C-C | form_labeled:C-C | break:C-Mg | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,Alkyl-Mg*,Ar-CHO,,Ar-COR|R_acidic-H,,,,,PIDA,,,,,THF,,"RSC Advances (2014), 4(29), 15011-15013",92,0.0
BAIB,Event:C-C,COc1ccc(C=O)cc1OC.Br[Mg]C1CC1>>COc1ccc(C(=O)C2CC2)cc1OC,|Ar-CHO|R2CH-Mg* -> Ar-COR|R_acidic-H | spectators: Ar-OR,form:C-C | form_labeled:C-C | break:C-Mg | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,Ar-CHO,R2CH-Mg*,,Ar-COR|R_acidic-H,,,,,PIDA,,,,,THF,OR,"RSC Advances (2014), 4(29), 15011-15013",83,0.0
