reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
BalzSchiemann,Sandmeyer,COC1=CC=C([N+]#N)C=C1.[F-][B+3]([F-])([F-])[F-]>>COc1ccc(F)cc1,|Ar-N2+|Unclassified-Reactant -> Ar-F | spectators: Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-N2+,,,Ar-F,,,NaOH,,,,,,,H2O,OR,"Tetrahedron Letters (2013), 54(10), 1261-1263",91,1.5
BalzSchiemann,Sandmeyer,CC1=C([N+]#N)C=CC=C1.[F-][B+3]([F-])([F-])[F-]>>Cc1ccccc1F,|Ar-N2+|Unclassified-Reactant -> Ar-F | spectators: Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-N2+,,,Ar-F,,,NaOH,,,,,,,"1,2-Dichlorobenzene/H2O",,"Tetrahedron Letters (2013), 54(10), 1261-1263",95,0.87
BalzSchiemann,Sandmeyer,N#[N+]C1=C(Cl)C=CC=C1.[F-][B+3]([F-])([F-])[F-]>>Fc1ccccc1Cl,|Ar-N2+|Unclassified-Reactant -> Ar-F | spectators: Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-N2+,,,Ar-F,,,NaOH,,,,,,,"1,2-Dichlorobenzene/H2O",Cl,"Tetrahedron Letters (2013), 54(10), 1261-1263",97,0.69
BalzSchiemann,Sandmeyer,CC1=CC(C)=CC([N+]#N)=C1.[F-][B+3]([F-])([F-])[F-]>>Cc1cc(C)cc(F)c1,|Ar-N2+|Unclassified-Reactant -> Ar-F | spectators: Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-N2+,,,Ar-F,,,NaOH,,,,,,,PhCl/H2O,,"Tetrahedron Letters (2013), 54(10), 1261-1263",92,0.38
BalzSchiemann,Sandmeyer,CCC1=C([N+]#N)C=CC=C1.[F-][B+3]([F-])([F-])[F-]>>CCc1ccccc1F,|Ar-N2+|Unclassified-Reactant -> Ar-F | spectators: Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-N2+,,,Ar-F,,,NaOH,,,,,,,H2O,,"Tetrahedron Letters (2013), 54(10), 1261-1263",92,0.38
BalzSchiemann,Unknown,N#[N+]c1cnc2ccccc2c1>>Fc1cnc2ccccc2c1,|HeteroAr-N2+ -> HeteroAr-F | spectators: HeteroAr-H|Quinoline,form:C(ar)-F | form_labeled:C(ar)-F | break:C(ar)-N | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely,HeteroAr-N2+,,,HeteroAr-F,,,,,,,,,,PhMe,Quinoline / HeteroAr,"Journal of the American Chemical Society (1949), 711785-6",91,0.0
BalzSchiemann,Sandmeyer,N#[N+]C1=CC=CC=C1.[F-][B+3]([F-])([F-])[F-]>>Fc1ccccc1,|Ar-N2+|Unclassified-Reactant -> Ar-F,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-N2+,,,Ar-F,,,,BF3-Et2O,,,,,371-11-9,PhCF3,,"Angewandte Chemie, International Edition (2018), 57(31), 9896-9900",81,0.5
BalzSchiemann,Sandmeyer,CC1=CC=C([N+]#N)C=C1.[F-][B+3]([F-])([F-])[F-]>>Cc1ccc(F)cc1,|Ar-N2+|Unclassified-Reactant -> Ar-F | spectators: Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-N2+,,,Ar-F,,,,BF3-Et2O,,,,,371-11-9,PhCl,,"Angewandte Chemie, International Edition (2018), 57(31), 9896-9900",83,-1.09
BalzSchiemann,Sandmeyer,CC(C)(C)C1=CC=C([N+]#N)C=C1.[F-][B+3]([F-])([F-])[F-]>>CC(C)(C)c1ccc(F)cc1,|Ar-N2+|Unclassified-Reactant -> Ar-F | spectators: Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-N2+,,,Ar-F,,,,BF3-Et2O,,,,,371-11-9,PhCF3,,"Angewandte Chemie, International Edition (2018), 57(31), 9896-9900",81,-1.42
BalzSchiemann,Sandmeyer,CC1=CC(C)=C([N+]#N)C(C)=C1.[F-][B+3]([F-])([F-])[F-]>>Cc1cc(C)c(F)c(C)c1,|Ar-N2+|Unclassified-Reactant -> Ar-F | spectators: Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-N2+,,,Ar-F,,,,BF3-Et2O,,,,,371-11-9,PhCl,,"Angewandte Chemie, International Edition (2018), 57(31), 9896-9900",95,0.87
