reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Benzylic_oxidation,Multi-Event:Ann+C-C,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(Cc2cc(C)ccc2C)cc1.Cc1ccc(COO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1.Cc1ccc(COCc2ccc(C)cc2)cc1,|[] -> Ar-Alkyl | spectators: Ar-Alkyl,"sig:Ann+C-C | bonds:+C-C(ar) / -C(ar)-C(ar) | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), mol=intramolecular, ring=+9 | alerts:anom=multi_transform_record_possible",Ar-Alkyl,,,Alkyl-O*|Ar-Alkyl|Ar-CHO|Ar-COOH|Ar-COOR|Bn-OH|Bn-OR,,,,,O2,,,,,,,"Catalysis Communications (2011), 12(7), 669-672",0.0,0.0
Benzylic_oxidation,Multi-Event:Ann+C-C,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,|[] -> Ar-Alkyl | spectators: Ar-Alkyl,"sig:Ann+C-C | bonds:+C-C(ar) / -C(ar)-C(ar) | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), mol=intramolecular, ring=+3 | alerts:anom=multi_transform_record_possible",Ar-Alkyl,,,Alkyl-O*|Ar-Alkyl|Ar-CHO|Ar-COOH|Bn-OH,,,,,O2,,,,110-83-8,,,"Tetrahedron Letters (2007), 48(19), 3417-3421",0.0,0.0
Benzylic_oxidation,Multi-Event:Ann+C-C,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,|[] -> Ar-Alkyl | spectators: Ar-Alkyl,"sig:Ann+C-C | bonds:+C-C(ar) / -C(ar)-C(ar) | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), mol=intramolecular, ring=+3 | alerts:anom=multi_transform_record_possible",Ar-Alkyl,,,Alkyl-O*|Ar-Alkyl|Ar-CHO|Ar-COOH|Bn-OH,,,,,,,,,7782-42-5,,,"Tetrahedron Letters (2007), 48(19), 3417-3421",0.0,0.0
Benzylic_oxidation,Multi-Event:Ann+C-C,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1,|[] -> Ar-Alkyl | spectators: Ar-Alkyl,"sig:Ann+C-C | bonds:+C-C(ar) / -C(ar)-C(ar) | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), mol=intramolecular, ring=+4 | alerts:anom=multi_transform_record_possible",Ar-Alkyl,,,Ar-Alkyl|Ar-CHO|Ar-COOH|Ar-COOR|Bn-OH,,,,,O2,,,,110-83-8/7782-42-5,,,"Tetrahedron Letters (2007), 48(19), 3417-3421",0.0,0.0
Benzylic_oxidation,Benzylic_CH_oxidation_to_carboxylic_acid,Cc1ccc([N+](=O)[O-])cc1>>O=C(O)c1ccc([N+](=O)[O-])cc1,|Ar-Alkyl -> Ar-COOH | spectators: Ar-NO2,"kinds:c_o_bond_formation+intramolecular_likely | bonds:+C-O | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00), mol=intramolecular",Ar-Alkyl,,,Ar-COOH,,,,,Oxone,,,,7758-02-3/7757-83-7,DCM/H2O,NO2,"Organic Letters (2012), 14(9), 2414-2417",99.0,0.0
Benzylic_oxidation,Benzylic_CH_oxidation_to_carboxylic_acid,COc1ccc(C)cc1>>COc1ccc(C(=O)O)cc1,|Ar-Alkyl -> Ar-COOH | spectators: Ar-OR,"kinds:c_o_bond_formation+intramolecular_likely | bonds:+C-O | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00), mol=intramolecular",Ar-Alkyl,,,Ar-COOH,,,Pyridine,HCl,TBHP,,,,10025-77-1,H2O,OR,"Advanced Synthesis & Catalysis (2007), 349(6), 861-864",53.0,-1.33
Benzylic_oxidation,Multi-Event:C-O+C-C,N#CCc1ccccc1>>O=C(O)c1ccccc1,|Bn-CN -> Ar-COOH,"sig:C-O+C-C | bonds:+C-C(ar);+C-O / -C-C;-C-N | summary:fam=bond_formation, redox=neutral, q=high(1.00), mol=intramolecular | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity",R_acidic-H|Bn-CN,,,Ar-COOH,,,,,TBHP,,,,151-21-3/10028-22-5,H2O,,"RSC Advances (2013), 3(15), 4903-4908",46.0,0.0
Benzylic_oxidation,Benzylic_CH_oxidation_to_carboxylic_acid,Cc1ccccc1C>>Cc1ccccc1C(=O)O,|Ar-Alkyl -> Ar-COOH,"kinds:c_o_bond_formation+intramolecular_likely | bonds:+C-O | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00), mol=intramolecular",Ar-Alkyl,,,Ar-COOH,Co(acac)2,,,,TBHP,,,,,Me2CO,,"Synthesis (2013), 45(5), 615-620",55.0,-1.29
Benzylic_oxidation,Benzylic_CH_oxidation_to_carboxylic_acid,COC(=O)c1ccc(C)cc1>>COC(=O)c1ccc(C(=O)O)cc1,|Ar-Alkyl -> Ar-COOH | spectators: Ar-COOR,"kinds:c_o_bond_formation+intramolecular_likely | bonds:+C-O | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00), mol=intramolecular",Ar-Alkyl,,,Ar-COOH,,,,,Oxone,,,,7758-02-3/7757-83-7,DCM/H2O,COOR,"Organic Letters (2012), 14(9), 2414-2417",99.0,0.0
Benzylic_oxidation,Benzylic_CH_oxidation_to_carboxylic_acid,c1ccc(CCc2ccccc2)cc1>>O=C(O)c1ccccc1,|Ar-Alkyl -> Ar-COOH,"sig:C-O+C-C | bonds:+C(ar)-C(ar);+C-C(ar);+C-O / -C-C | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00), mol=intramolecular, ring=-1 | alerts:risk=overreaction_or_chemoselectivity",Ar-Alkyl,,,Ar-COOH,,,Pyridine,HCl,TBHP/O2,,,,13682-61-6,Decane/H2O,,"Tetrahedron (2009), 65(9), 1856-1858",46.0,-1.86
