reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
C-S Coupling_sample500,C_S_Coupling,SCc1ccccc1.CC(=O)NC1(CCc2ccc(-c3ccc(Br)cc3F)cc2)COC(C)(C)OC1>>Cl.NC(CO)(CO)CCc1ccc(-c2ccc(SCc3ccccc3)cc2F)cc1,|Ar-Br|Bn-SH|R3C-NHCOR|RCH2-OR|R_acidic-CONHR -> Ar-SR | bond_formed: C(ar)-S | bond_broken: C-N; C-O; Br-C(ar) | spectators: Ar-Alkyl|Ar-Ar|Ar-F,Bn-SH,Ar-Br|Ar-F|R_acidic-H|RCH2-OR,,Ar-SR|Inorganic|R3C-NH2|RCH2-OH,Pd2(dba)3  CHCl3,XantPhos,DIPEA,HCl,,,,,,Dioxane/MeOH/H2O,F,"Journal of Medicinal Chemistry (2010), 53(8), 3154-3168",94,0.0
C-S Coupling_sample500,C_O_Coupling,CC(C)(C)c1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>CC(C)(C)c1ccc2c(c1)SC(F)(F)O2,|Alkyl-F|Alkyl-SH|Ar-Br|Ar-OH|Inorganic -> Ar-SR | bond_formed: C(ar)-S; C-O | bond_broken: Br-C(ar); C-F | spectators: Alkyl-F|Ar-Alkyl,Ar-Br|Ar-OH,Alkyl-SH|Alkyl-F,Inorganic,Ar-OR|Ar-SR,CuI,phen,,,,,CsF,,,MeCN,F,"Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562",80,0.0
C-S Coupling_sample500,C_O_Coupling,COc1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>COc1ccc2c(c1)SC(F)(F)O2,|Alkyl-F|Alkyl-SH|Ar-Br|Ar-OH|Ar-OR|Inorganic -> Ar-SR | bond_formed: C(ar)-S; C-O | bond_broken: Br-C(ar); C-F | spectators: Alkyl-F,Ar-Br|Ar-OH|Ar-OR,Alkyl-SH|Alkyl-F,Inorganic,Ar-OR|Ar-SR,CuI,phen,,,,,CsF,,,MeCN,F,"Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562",76,0.0
C-S Coupling_sample500,C_O_Coupling,CCOc1cc(C=O)cc(Br)c1O.FC(F)(F)S.[Cs]>>CCOc1cc(C=O)cc2c1OC(F)(F)S2,|Alkyl-F|Alkyl-SH|Ar-Br|Ar-CHO|Ar-OH|Ar-OR|Inorganic -> Ar-SR | bond_formed: C(ar)-S; C-O | bond_broken: Br-C(ar); C-F | spectators: Alkyl-F,Ar-CHO|Ar-Br|Ar-OH|Ar-OR,Alkyl-SH|Alkyl-F,Inorganic,Ar-OR|Ar-SR,CuI,phen,,,,,CsF,,,Dioxane,F,"Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562",91,0.0
C-S Coupling_sample500,C_O_Coupling,O=Cc1cccc(O)c1Br.FC(F)(F)S.[Cs]>>O=Cc1cccc2c1SC(F)(F)O2,|Alkyl-F|Alkyl-SH|Ar-Br|Ar-CHO|Ar-OH|Inorganic -> Ar-SR | bond_formed: C(ar)-S; C-O | bond_broken: Br-C(ar); C-F | spectators: Alkyl-F,Ar-CHO|Ar-Br|Ar-OH,Alkyl-SH|Alkyl-F,Inorganic,Ar-OR|Ar-SR,CuI,phen,,,,,CsF,,,Dioxane,F,"Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562",85,0.0
C-S Coupling_sample500,C_O_Coupling,COC(=O)c1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>COC(=O)c1ccc2c(c1)SC(F)(F)O2,|Alkyl-F|Alkyl-SH|Ar-Br|Ar-CO2R|Ar-OH|Inorganic -> Ar-SR | bond_formed: C(ar)-S; C-O | bond_broken: Br-C(ar); C-F | spectators: Alkyl-F,Ar-Br|Ar-CO2R|Ar-OH,Alkyl-SH|Alkyl-F,Inorganic,Ar-OR|Ar-SR,CuI,phen,,,,,CsF,,,Dioxane,F,"Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562",99,0.0
C-S Coupling_sample500,C_O_Coupling,N#Cc1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>N#Cc1ccc2c(c1)SC(F)(F)O2,|Alkyl-F|Alkyl-SH|Ar-Br|Ar-OH|Inorganic -> Ar-SR | bond_formed: C(ar)-S; C-O | bond_broken: Br-C(ar); C-F | spectators: Alkyl-F,Ar-Br|Ar-OH|Ar-CN,Alkyl-SH|Alkyl-F,Inorganic,Ar-OR|Ar-SR,CuI,phen,,,,,CsF,,,Dioxane,F,"Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562",99,0.71
C-S Coupling_sample500,C_O_Coupling,Oc1ccc(Br)c(O)c1.FC(F)(F)S.[Cs]>>Oc1ccc2c(c1)OC(F)(F)S2,|Alkyl-F|Alkyl-SH|Ar-Br|Ar-OH|Inorganic -> Ar-SR | bond_formed: C(ar)-S; C-O | bond_broken: Br-C(ar); C-F | spectators: Alkyl-F,Ar-Br|Ar-OH,Alkyl-SH|Alkyl-F,Inorganic,Ar-OR|Ar-SR,CuI,phen,,,,,CsF,,,Dioxane,F,"Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562",95,-0.71
C-S Coupling_sample500,C_O_Coupling,Oc1ccc(F)cc1Br.FC(F)(F)S.[Cs]>>Fc1ccc2c(c1)SC(F)(F)O2,|Alkyl-F|Alkyl-SH|Ar-Br|Ar-F|Ar-OH|Inorganic -> Ar-SR | bond_formed: C(ar)-S; C-O | bond_broken: Br-C(ar); C-F | spectators: Alkyl-F|Ar-F,Ar-Br|Ar-F|Ar-OH,Alkyl-SH|Alkyl-F,Inorganic,Ar-OR|Ar-SR,CuI,phen,,,,,CsF,,,MeCN,F,"Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562",80,1.06
C-S Coupling_sample500,C_O_Coupling,Oc1cc(F)ccc1Br.FC(F)(F)S.[Cs]>>Fc1ccc2c(c1)OC(F)(F)S2,|Alkyl-F|Alkyl-SH|Ar-Br|Ar-F|Ar-OH|Inorganic -> Ar-SR | bond_formed: C(ar)-S; C-O | bond_broken: Br-C(ar); C-F | spectators: Alkyl-F|Ar-F,Ar-Br|Ar-F|Ar-OH,Alkyl-SH|Alkyl-F,Inorganic,Ar-OR|Ar-SR,CuI,phen,,,,,CsF,,,MeCN,F,"Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562",77,-0.13
