reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
CDI-mediated_amidation,Multi-Event:Amid+C-N,COc1cccc(Oc2ccc(-c3nc4ccc(C(=O)O)cc4[nH]3)cc2)c1>>NC(=O)c1ccc2nc(-c3ccc(Oc4cccc(O)c4)cc3)[nH]c2c1,|Ar-CO2H|Ar-OR -> Ar-CONH2 | bond_formed: C-N(ar) | bond_formed_labeled: C-N(ar) | bond_broken: C-O | spectators: Ar-Ar|AromN-H|Benzimidazole|HeteroAr-H | events: Amid+C-N,Ar-CO2H|Ar-OR,,,Ar-CONH2|Ar-OH,,,,BBr3,,,NH4Cl,,,DCM/H2O,Benzimidazole / HeteroAr / OR,"Journal of Medicinal Chemistry (2005), 48(6), 1873-1885",93,0.0
CDI-mediated_amidation,Amide_formation,Cc1cccc(C(=O)O)n1.Nc1ccccc1Cl>>Cc1cccc(C(=O)Nc2ccccc2F)n1,|Ar-CO2H|Ar-Cl|Ar-NH2 -> Ar-NHCOR | spectators: Ar-Alkyl|HeteroAr-H|Pyridine | events: Amid+LGDisp+C-N,Ar-CO2H,Ar-Cl|Ar-NH2,,Ar-F|Ar-NHCOR,,,DIPEA,,,,,HATU,,DMF,Pyridine / HeteroAr,"Journal of Medicinal Chemistry (2020), 63(13), 6834-6846",94,0.0
CDI-mediated_amidation,Multi-Event:Amid+C-N+C-S,COc1ccc(S)cc1.CCCCC=CC(=O)O.NOCc1ccccc1>>CCCCC(CC(=O)NOCc1ccccc1)Sc1ccc(OC)cc1,|Alkenyl-CO2H|Ar-SH -> Ar-SR|RCH2-CONHR | spectators: Ar-Alkyl|Ar-OR | events: Amid+C-N+C-S,Ar-SH,Alkenyl-CO2H,Ar-Alkyl,Ar-SR|RCH2-CONHR|R_acidic-H,,,DIPEA,,,,HOBt,DCC,,DMF/DCM,OR,"Journal of Medicinal Chemistry (2000), 43(12), 2324-2331",89,0.0
CDI-mediated_amidation,Amide_formation,CC(C)N.Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2C=O)c1C.CC(=O)O>>CC(=O)N(Cc1cc(-c2ncco2)ccc1-c1ccccc1S(=O)(=O)Nc1onc(C)c1C)C(C)C,|Alkyl-CO2H|Ar-CHO|R2CH-NH2 -> Alkyl-NRCOR | spectators: Ar-Alkyl|Ar-Ar|Ar-SO2NHR|HeteroAr-H|Oxazole|R_acidic-H | events: Amid+C-N,R2CH-NH2,Ar-CHO,Alkyl-CO2H,Alkyl-NRCOR,,,,,,NaBHOAc3-80%,,DIC,,EtOH/DCM/DMF,Oxazole / HeteroAr / SO2NHR,"Journal of Medicinal Chemistry (2003), 46(1), 125-137",90,0.0
CDI-mediated_amidation,Amide_formation,CN.Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2C=O)c1C.CC(C)C(=O)O>>Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C)C(=O)C(C)C)c1C,|Ar-CHO|CH3-NH2|R2CH-CO2H -> Alkyl-NRCOR|R2CH-CONR2 | spectators: Ar-Alkyl|Ar-Ar|Ar-SO2NHR|HeteroAr-H|Oxazole|R_acidic-H | events: Amid+C-N,CH3-NH2,Ar-CHO,R2CH-CO2H,Alkyl-NRCOR|R2CH-CONR2,,,,,,NaBHOAc3-80%,AcOH,DIC,,EtOH/DCM/DMF,Oxazole / HeteroAr / SO2NHR,"Journal of Medicinal Chemistry (2003), 46(1), 125-137",90,0.0
CDI-mediated_amidation,Amide_formation,CN.Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2C=O)c1C.Cn1c(C(=O)O)cc2ccccc21>>Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C)C(=O)c2cc3ccccc3n2C)c1C,|Ar-CHO|Ar-CO2H|CH3-NH2 -> Alkyl-NRCOR|Ar-CONR2 | spectators: Alkyl-AromN|Ar-Alkyl|Ar-Ar|Ar-SO2NHR|HeteroAr-H|Oxazole | events: Amid+C-N,CH3-NH2,Ar-CHO,Ar-CO2H,Alkyl-NRCOR|Ar-CONR2,,,,,,NaBHOAc3-80%,AcOH,DIC,,EtOH/DCM/DMF,Oxazole / AromN / HeteroAr / SO2NHR,"Journal of Medicinal Chemistry (2003), 46(1), 125-137",90,0.0
CDI-mediated_amidation,Amide_formation,CN.Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2C=O)c1C.O=C(O)CC1CCCCC1>>Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C)C(=O)CC2CCCCC2)c1C,|Ar-CHO|CH3-NH2|RCH2-CO2H -> Alkyl-NRCOR|RCH2-CONR2 | spectators: Ar-Alkyl|Ar-Ar|Ar-SO2NHR|HeteroAr-H|Oxazole|R_acidic-H | events: Amid+C-N,CH3-NH2,Ar-CHO,RCH2-CO2H,Alkyl-NRCOR|RCH2-CONR2,,,,,,NaBHOAc3-80%,AcOH,DIC,,EtOH/DCM/DMF,Oxazole / HeteroAr / SO2NHR,"Journal of Medicinal Chemistry (2003), 46(1), 125-137",90,0.0
CDI-mediated_amidation,Amide_formation,O=C(O)CC(=O)O.COC(=O)CCSc1ccc(C=O)cc1Cl.CC(=O)N1CCNCC1>>COC(=O)CCSc1ccc(C=CC(=O)N2CCN(C(C)=O)CC2)cc1Cl,|Ar-CHO|RCH2-CO2H|RCH2-NHR|R_acidic-H -> Alkenyl-CONR2|Alkyl-NRCOR | spectators: Alkyl-NRCOR|Ar-Cl|Ar-SR|RCH2-CO2R | events: Amid+C-N,RCH2-CO2H|R_acidic-H,Ar-CHO|R_acidic-H,RCH2-NHR|R_acidic-H,Alkenyl-CONR2|Alkyl-NRCOR|Ar-Alkenyl,,,Piperidine/Et3N/DMAP/Pyridine,HCl,,,,(COCl)2,,DMF/DCM/EtOAc,CO2R / Cl / NRCOR / SR,"Journal of Medicinal Chemistry (2001), 44(8), 1202-1210",82,0.0
CDI-mediated_amidation,Unknown,CC(C)(C)OC(=O)N1CC2(CC2)C[C@H]1C(=O)O.CC(C)(C)OC(=O)n1ccc(N)n1>>Cl.O=C(Nc1cc[nH]n1)[C@@H]1CC2(CC2)CN1,|HeteroAr-NH2|R2CH-CO2H -> Ar-NHCOR|AromN-H|Inorganic|R2CH-NHR|RCH2-NHR | spectators: HeteroAr-H|Pyrazole|R_acidic-H,R2CH-CO2H,HeteroAr-NH2,,Ar-NHCOR|AromN-H|Inorganic|R2CH-NHR|RCH2-NHR,,,,HCl,,,,MsCl,1-Methylimidazole,DMF/Et2O/MeOH,Pyrazole / HeteroAr,"Bioorganic & Medicinal Chemistry Letters (2016), 26(15), 3714-3718",100,0.0
CDI-mediated_amidation,Unknown,C[C@@H]1CN(C(=O)OCc2ccccc2)[C@@H](C(=O)O)CN1C(=O)OC(C)(C)C.C1COCCN1>>C[C@@H]1CN[C@@H](C(=O)N2CCOCC2)CN1C(=O)OC(C)(C)C,|Ar-Alkyl|R2CH-CO2H -> Alkyl-NRCOR|R2CH-CONR2|R2CH-NHR | spectators: RCH2-NHR|RCH2-OR|R_acidic-H,R2CH-CO2H|Ar-Alkyl,RCH2-NHR,,Alkyl-NRCOR|R2CH-CONR2|R2CH-NHR,,,,HCl,,H2,,CDI,7440-05-3,DCM/H2O/MeOH,NHR / OR,"Journal of Medicinal Chemistry (2017), 60(11), 4611-4625",100,0.0
CDI-mediated_amidation,Unknown,CC(C)(C)OC(=O)NCc1cccc(C(=O)O)c1.NCCc1ccncc1>>NCc1cccc(C(=O)NCCc2ccncc2)c1,|Ar-CO2H -> Ar-CONHR|Bn-NH2 | bond_broken: C-O | spectators: Ar-Alkyl|HeteroAr-H|Pyridine,Ar-CO2H|Ar-Alkyl,RCH2-NH2|Ar-Alkyl,,Alkyl-NHCOR|Ar-CONHR|Bn-NH2,,,DIPEA/NH3,p-TsOH,,,,EDCICl,95-14-7,DMF/DCM/MeOH,Pyridine / HeteroAr,"Journal of Medicinal Chemistry (2010), 53(2), 759-777",94,0.0
CDI-mediated_amidation,Amide_formation,CC(C)C[C@@H](Br)C(=O)O.CC(C)CCNC[C@@H]1COC(C)(C)N1C(=O)OC(C)(C)C>>CC(C)CCN1C[C@H](CO)N[C@@H](CC(C)C)C1=O,|R2CH-Br|R2CH-CO2H|RCH2-NHR|RCH2-OR -> Alkyl-NRCOR|R2CH-CONR2 | spectators: R_acidic-H | events: Amid+LGDisp+C-N,R2CH-CO2H|R2CH-Br,RCH2-NHR|RCH2-OR,,Alkyl-NRCOR|R2CH-CONR2|R2CH-NHR|RCH2-OH,,,Na2CO3,HCl,,,TFA,EDCICl,,DCM/H2O/MeCN,,"Bioorganic & Medicinal Chemistry Letters (2021), 40127961",100,0.0
CDI-mediated_amidation,Amide_formation,CC(C)(C)OC(=O)NCC(=O)O.CC(C)(C)OC(=O)CCNCc1cc([N+](=O)[O-])ccc1F>>CC(C)(C)OC(=O)CCN(Cc1cc([N+](=O)[O-])ccc1F)C(=O)CN,|Bn-NHR|RCH2-CO2H -> Alkyl-NRCOR|RCH2-CONR2 | spectators: Ar-F|Ar-NO2|RCH2-CO2R|R_acidic-H,RCH2-CO2H,Bn-NHR,,Alkyl-NRCOR|Ar-Alkyl|RCH2-CONR2|RCH2-NH2,,,Et3N,HCl,,,,BOP,,DCM/Dioxane,CO2R / F / NO2,"Journal of Medicinal Chemistry (1999), 42(4), 545-559",100,0.0
CDI-mediated_amidation,Amide_formation,CO.C[C@@H](N)C(=O)N[C@H](C)C(=O)O.CC(C)(C)OC(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O>>COC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NC(=O)OC(C)(C)C,|CH3-OH|R2CH-CO2H|R2CH-NH2 -> Alkyl-NHCOR | spectators: Alkyl-F|Alkyl-NHCOR|R2CH-CONHR|R_acidic-H | events: Amid+C-N,CH3-OH,R2CH-CO2H|R2CH-NH2,R2CH-CO2H,Alkyl-NHCOR|R2CH-CO2R|R2CH-CONHR,,,DIPEA,,,,HOBt,EDCICl,75-36-5,DCM,CONHR / F / NHCOR,"Bioorganic & Medicinal Chemistry Letters (2011), 21(17), 5050-5053",80,0.0
CDI-mediated_amidation,Unknown,CC(C)(C)OC(=O)N1CCC(n2ccnc2)CC1.O=C(O)CCS(=O)(=O)c1ccc2cc(Cl)ccc2c1>>O=C(CCS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(n2ccnc2)CC1,|RCH2-CO2H -> Alkyl-NRCOR|RCH2-CONR2 | spectators: Alkyl-AromN|Ar-Cl|Ar-SR|HeteroAr-H|R_acidic-H,HeteroAr-H,RCH2-CO2H,,Alkyl-NRCOR|RCH2-CONR2,,,Et3N/DBU,HCl,,,HOBt,EDCICl,,H2O/MeCN,AromN / Cl / HeteroAr / SR,"Journal of Medicinal Chemistry (2008), 51(12), 3422-3436",83,0.0
CDI-mediated_amidation,Unknown,COC(=O)c1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)OC(C)(C)C)CO2.O=C(O)c1cc(Cc2ccccc2)on1>>COC(=O)c1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)c1cc(Cc3ccccc3)on1)CO2,|Ar-CO2H -> Ar-CONHR | spectators: Ar-Alkyl|Ar-CO2R|Ar-NRCOR|Ar-OR|HeteroAr-H|R_acidic-H,Ar-CO2R,Ar-CO2H,,Alkyl-NHCOR|Ar-CONHR,,,,HCl,,,,HATU,,DCM/Dioxane/MeCN,CO2R / HeteroAr / NRCOR / OR,"Journal of Medicinal Chemistry (2017), 60(4), 1247-1261",90,0.0
CDI-mediated_amidation,Unknown,CCc1nccn1C1CCN(C(=O)OC(C)(C)C)CC1.O=C(O)CCS(=O)(=O)c1ccc2cc(Cl)ccc2c1>>CCc1nccn1C1CCN(C(=O)CCS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1,|RCH2-CO2H -> Alkyl-NRCOR|RCH2-CONR2 | spectators: Alkyl-AromN|Ar-Alkyl|Ar-Cl|Ar-SR|HeteroAr-H|R_acidic-H,HeteroAr-H,RCH2-CO2H,,Alkyl-NRCOR|RCH2-CONR2,,,Et3N/DBU,HCl,,,HOBt,EDCICl,,H2O/MeCN,AromN / Cl / HeteroAr / SR,"Journal of Medicinal Chemistry (2008), 51(12), 3422-3436",98,0.0
CDI-mediated_amidation,Unknown,N#Cc1ccc(NC(=O)NCc2cccc(C(=O)O)c2)cc1.CC(C)(C)OC(=O)Nc1ccc(CN)cc1>>N#Cc1ccc(NC(=O)NCc2cccc(C(=O)Nc3ccc(CN)cc3)c2)cc1,|Ar-CO2H -> Ar-NHCOR | spectators: Ar-Alkyl|Ar-CN|Ar-Urea|Bn-NH2,Ar-CO2H,Bn-NH2,,Ar-NHCOR,,,N-methylmorpholine,,,,TFA,EDCICl,95-14-7,DMF/DCM,NH2 / CN / Urea,"Journal of Medicinal Chemistry (2010), 53(2), 759-777",85,0.0
CDI-mediated_amidation,Unknown,CCCCC1N(CC2CCCCC2)C(=O)OC12CCN(C1(C#N)CCN(C(=O)OCc3ccccc3)CC1)CC2.Cc1ncnc(C)c1C(=O)O>>CCCCC1N(CC2CCCCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,|Ar-Alkyl|Ar-CO2H|R3C-CN -> Alkyl-NRCOR|Ar-CONR2 | spectators: Pyrimidine|R2CH-LactamN|R3C-NR2|RCH2-LactamN|RCH2-NR2,R3C-CN|Ar-Alkyl,Ar-CO2H|Ar-Alkyl,,Alkyl-NRCOR|Ar-CONR2,,,DIPEA,,,H2,HOBt,EDCICl,7440-05-3,EtOH/DMF,Pyrimidine / NR2 / LactamN,"Bioorganic & Medicinal Chemistry Letters (2009), 19(18), 5401-5406",90,0.0
CDI-mediated_amidation,Unknown,Cc1ncnc(C)c1C(=O)O.CCCCC1CN(CC2CCOCC2)C(=O)OC12CCN(C1CCN(C(=O)OCc3ccccc3)CC1)CC2>>CCCCC1CN(CC2CCOCC2)C(=O)OC12CCN(C1CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,|Ar-Alkyl|Ar-CO2H -> Alkyl-NRCOR|Ar-CONR2 | spectators: Pyrimidine|R2CH-NR2|RCH2-LactamN|RCH2-NR2|RCH2-OR,Ar-CO2H|Ar-Alkyl,Ar-Alkyl,,Alkyl-NRCOR|Ar-CONR2,,,DIPEA,,,,HOBt,EDCICl,,DMF,Pyrimidine / NR2 / LactamN / OR,"Bioorganic & Medicinal Chemistry Letters (2009), 19(18), 5401-5406",85,0.0
CDI-mediated_amidation,Amide_formation,O=C(O)C1CCNCC1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CNOC.Cl>>CON(C)C(=O)C1CCN(C(=O)OC(C)(C)C)CC1,|CH3-NHR|Inorganic|R2CH-CO2H|RCH2-NHR -> R2CH-CONR2 | spectators: R_acidic-H | events: Amid+C-N,R2CH-CO2H|RCH2-NHR,Inorganic,CH3-NHR,Alkyl-NRCOR|R2CH-CONR2,,,K2CO3/Et3N,,,,,CDI,,THF/H2O/DCM,,"Journal of Medicinal Chemistry (2017), 60(13), 5507-5520",81,0.0
CDI-mediated_amidation,Amide_formation,N#Cc1ccc(NC(=O)NCc2cccc(C(=O)O)c2)cc1.CC(C)(C)OC(=O)N1CCC(CCN)CC1>>CC(C)(C)OC(=O)N1CCC(CCNC(=O)c2cccc(CNC(=O)Nc3ccc(C#N)cc3)c2)CC1,|Ar-CO2H|RCH2-NH2 -> Ar-CONHR | spectators: Ar-Alkyl|Ar-CN|Ar-Urea | events: Amid+C-N,Ar-CO2H,RCH2-NH2,,Alkyl-NHCOR|Ar-CONHR,,,N-methylmorpholine,,,,,EDCICl,95-14-7,DMF,CN / Urea,"Journal of Medicinal Chemistry (2010), 53(2), 759-777",97,0.0
CDI-mediated_amidation,Amide_formation,C1CCNCC1.O=C(O)CNC(=O)Nc1nc2ccc(Br)cn2n1>>O=C(NCC(=O)N1CCCCC1)Nc1nc2ccc(Br)cn2n1,|RCH2-CO2H|RCH2-NHR -> Alkyl-NRCOR|RCH2-CONR2 | spectators: Ar-Urea|HeteroAr-Br|HeteroAr-H|Pyridine|R_acidic-H | events: Amid+C-N,RCH2-NHR,RCH2-CO2H,,Alkyl-NRCOR|RCH2-CONR2,,,,,,,HOBt,EDCICl,,DMF,Pyridine / Br / HeteroAr / Urea,"Bioorganic & Medicinal Chemistry (2015), 23(17), 5662-5671",85,0.0
CDI-mediated_amidation,Amide_formation,CCOC(=O)CN.O=C(O)c1cc(Cc2ccc(Cl)cc2)c[nH]1>>CCOC(=O)CNC(=O)c1cc(Cc2ccc(Cl)cc2)c[nH]1,|Ar-CO2H|RCH2-NH2 -> Ar-CONHR | spectators: Ar-Alkyl|Ar-Cl|AromN-H|HeteroAr-H|Pyrrole|RCH2-CO2R|R_acidic-H | events: Amid+C-N,RCH2-NH2,Ar-CO2H,,Alkyl-NHCOR|Ar-CONHR,,,Et3N,,,,,,2942-58-7,DMF,Pyrrole / CO2R / Cl / HeteroAr,"European Journal of Medicinal Chemistry (1993), 28(6), 481-98",80,0.0
