reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
CH_amination_and_azidation,Event:C-N,CC(=O)OCc1ccccc1>>CC(=O)OCc1ccc(N=[N+]=[N-])cc1,|[] -> Ar-N3 | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-N3] | spectators: Alkyl-CO2R|Ar-Alkyl|R_acidic-H,Alkyl-CO2R,,,Ar-N3,,,,,,,NaN3,,35703-63-0,H2O,CO2R,"Synthetic Communications (2012), 42(7), 1085-1089",83.0,0.0
CH_amination_and_azidation,Event:C-N,[O-][n+]1ccc(Cl)c2ccccc21>>[N-]=[N+]=Nc1cc(Cl)c2ccccc2[n+]1[O-],|Quinoline -> Ar-N3 | bond_formed: N-N(ar); C(ar)-N | bond_formed_labeled: N-N(ar); C(ar)-N[Ar-N3] | spectators: HeteroAr-Cl|HeteroAr-H,HeteroAr-Cl,,,Ar-N3,,,,,PIFA,,,,4648-54-8,EtOAc,Cl / HeteroAr,"Organic Chemistry Frontiers (2015), 2(10), 1313-1317",0.0,0.0
CH_amination_and_azidation,Event:C-N,Cc1ccccc1>>Cc1ccc(N=[N+]=[N-])cc1,|[] -> Ar-N3 | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-N3] | spectators: Ar-Alkyl,Ar-Alkyl,,,Ar-N3,,,,,,,NaN3,,35703-63-0,H2O,,"Synthetic Communications (2012), 42(7), 1085-1089",82.0,0.0
CH_amination_and_azidation,Event:C-N,COc1ccccc1N>>COc1cccc(N=[N+]=[N-])c1N,|[] -> Ar-N3 | bond_formed: C(ar)-N; N-N | bond_formed_labeled: C(ar)-N[Ar-N3]; N-N | spectators: Ar-NH2|Ar-OR,Ar-NH2,,,Ar-N3,CuBr,,,,TBHP,,,,4648-54-8,MeCN/H2O,NH2 / OR,"Chemical Communications (Cambridge, United Kingdom) (2017), 53(7), 1305-1308",13.0,0.0
CH_amination_and_azidation,Event:C-N,Nc1ccccc1Oc1ccccc1>>[N-]=[N+]=Nc1cccc(Oc2ccccc2)c1N,|[] -> Ar-N3 | bond_formed: N-N; C(ar)-N | bond_formed_labeled: N-N; C(ar)-N[Ar-N3] | spectators: Ar-NH2|Ar-OR,Ar-NH2,,,Ar-N3,CuBr,,,,TBHP,,,,4648-54-8,MeCN/H2O,NH2 / OR,"Chemical Communications (Cambridge, United Kingdom) (2017), 53(7), 1305-1308",19.0,0.0
CH_amination_and_azidation,Event:C-N,Cn1cnc2cccc(F)c21>>Cn1c(N=[N+]=[N-])nc2cccc(F)c21,|HeteroAr-H -> Ar-N3 | bond_formed: C(ar)-N(ar); N-N(ar) | bond_formed_labeled: C(ar)-N(ar)[Ar-N3]; N-N(ar) | spectators: Alkyl-AromN|HeteroAr-F,HeteroAr-H,,,Ar-N3,,,n-BuLi,,,,,,941-55-9/Tetrasodium Pyrophosphate,Et2O/n-Hexane/H2O,AromN / F / HeteroAr,"Zeitschrift fuer Naturforschung, B: A Journal of Chemical Sciences (2016), 71(12), 1287-1300",67.0,0.0
CH_amination_and_azidation,Event:C-N,N#Cc1ccc(Br)cc1F>>N#Cc1ccc(Br)c(N=[N+]=[N-])c1F,|[] -> Ar-N3 | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-N3] | spectators: Ar-Br|Ar-CN|Ar-F,Ar-Br,,,Ar-N3,,,,,,,iPrOH,,1145881-09-9/160732-56-9/149-11-1,THF/n-Hexane,Br / CN / F,"Journal of the American Chemical Society (2017), 139(33), 11622-11628",49.0,0.0
CH_amination_and_azidation,Event:C-N,CC(C)N(C(=O)c1ccccc1)C(C)C>>CC(C)N(C(=O)c1ccccc1N=[N+]=[N-])C(C)C,|[] -> Ar-N3 | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-N3] | spectators: Alkyl-NRCOR|Ar-CONR2,Alkyl-NRCOR,,,Ar-N3,,,,,,,iPrOH,,2118975-36-1/160732-56-9/149-11-1,THF/n-Hexane,CONR2 / NRCOR,"Journal of the American Chemical Society (2017), 139(33), 11622-11628",52.0,0.0
CH_amination_and_azidation,Event:C-N,CC(C)(C)OC(=O)N1CCN(c2ncccc2F)CC1>>CC(C)(C)OC(=O)N1CCN(c2nccc(N=[N+]=[N-])c2F)CC1,|HeteroAr-H -> Ar-N3 | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-N3] | spectators: Ar-NR2|HeteroAr-F|Pyridine,HeteroAr-H,,,Ar-N3,,,,,,,iPrOH,,2118975-36-1/160732-56-9/149-11-1,THF/n-Hexane,Pyridine / NR2 / F / HeteroAr,"Journal of the American Chemical Society (2017), 139(33), 11622-11628",53.0,0.0
CH_amination_and_azidation,Event:C-N,CN(C(=O)OC(C)(C)C)[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21>>CN(C(=O)OC(C)(C)C)[C@H]1CC[C@@H](c2cc(Cl)c(Cl)c(N=[N+]=[N-])c2)c2ccccc21,|[] -> Ar-N3 | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-N3] | spectators: Ar-Alkyl|Ar-Cl,Ar-Cl,,,Ar-N3,,,,,,,iPrOH,,2118975-36-1/160732-56-9/149-11-1,THF/n-Hexane,Cl,"Journal of the American Chemical Society (2017), 139(33), 11622-11628",64.0,0.0
CH_amination_and_azidation,Event:C-N,Nc1cccc(Br)c1>>[N-]=[N+]=Nc1ccc(Br)cc1N,|[] -> Ar-N3 | bond_formed: N-N; C(ar)-N | bond_formed_labeled: N-N; C(ar)-N[Ar-N3] | spectators: Ar-Br|Ar-NH2,Ar-Br,,,Ar-N3,Cu(OAc)2,,,,O2,,NaN3,,Hydrogen peroxide,H2O,NH2 / Br,"Journal of Organic Chemistry (2017), 82(20), 11212-11217",65.0,0.0
CH_amination_and_azidation,Event:C-N,Nc1cccc2c1CCCC2>>[N-]=[N+]=Nc1ccc2c(c1N)CCCC2,|[] -> Ar-N3 | bond_formed: N-N; C(ar)-N | bond_formed_labeled: N-N; C(ar)-N[Ar-N3] | spectators: Ar-Alkyl|Ar-NH2,Ar-NH2,,,Ar-N3,Cu(OAc)2,,,,O2,,NaN3,,Hydrogen peroxide,H2O,NH2,"Journal of Organic Chemistry (2017), 82(20), 11212-11217",65.0,0.71
CH_amination_and_azidation,Event:C-N,CC(=O)c1ccc2cc(N)ccc2c1>>CC(=O)c1ccc2cc(N)c(N=[N+]=[N-])cc2c1,|[] -> Ar-N3 | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-N3] | spectators: Ar-COR|Ar-NH2|R_acidic-H,Ar-COR,,,Ar-N3,Cu(OAc)2,,,,O2,,NaN3,,Hydrogen peroxide,H2O,NH2 / COR,"Journal of Organic Chemistry (2017), 82(20), 11212-11217",60.0,0.0
CH_amination_and_azidation,Event:C-N,Nc1ccc(I)cc1>>[N-]=[N+]=Nc1cc(I)ccc1N,|[] -> Ar-N3 | bond_formed: N-N; C(ar)-N | bond_formed_labeled: N-N; C(ar)-N[Ar-N3] | spectators: Ar-I|Ar-NH2,Ar-I,,,Ar-N3,Cu(OAc)2,,,,,,,,160732-56-9,THF,NH2 / I,"Angewandte Chemie, International Edition (2018), 57(31), 9744-9748",25.0,0.0
CH_amination_and_azidation,Multi-Event:Ann+C-N,COc1cccc(Cl)c1>>COc1cc(Cl)ccc1N=[N+]=[N-].COc1ccc(N=[N+]=[N-])c(Cl)c1,|[] -> Ar-Cl|Ar-N3 | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-N3] | spectators: Ar-Cl|Ar-OR | events: Ann+C-N,Ar-Cl,,,Ar-Cl|Ar-N3,,,,,,,,,160732-56-9/819050-89-0,DCE,Cl / OR,"Organic Letters (2018), 20(18), 5732-5736",14.0,0.0
CH_amination_and_azidation,Event:C-N,COc1ccccc1C1CC1>>COc1ccc(N=[N+]=[N-])cc1C1CC1,|[] -> Ar-N3 | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-N3] | spectators: Ar-Alkyl|Ar-OR,Ar-OR,,,Ar-N3,,,,,,,,,160732-56-9/819050-89-0,DCE,OR,"Organic Letters (2018), 20(18), 5732-5736",61.0,0.0
CH_amination_and_azidation,Event:C-N,CN(C(=O)OC(C)(C)C)c1ccccc1>>CN(C(=O)OC(C)(C)C)c1ccc(N=[N+]=[N-])cc1,|Alkyl-H|Ar-H -> Ar-N3 | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-N3],Ar-H|Alkyl-H,,,Ar-N3,,,,,,,,,160732-56-9/819050-89-0,MeOH,,"Organic Letters (2018), 20(18), 5732-5736",82.0,0.0
CH_amination_and_azidation,Event:C-N,COc1ccccc1NC(=O)OC(C)(C)C>>COc1cc(N=[N+]=[N-])ccc1NC(=O)OC(C)(C)C,|[] -> Ar-N3 | bond_formed: C(ar)-N; N-N | bond_formed_labeled: C(ar)-N[Ar-N3]; N-N | spectators: Ar-OR,Ar-OR,,,Ar-N3,,,,,,,,,160732-56-9/819050-89-0,MeOH,OR,"Organic Letters (2018), 20(18), 5732-5736",62.0,0.0
