reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
C_N_Coupling,C_N_Coupling,C1CC2(CCN1)OCCO2.Clc1ccc2sccc2c1>>O=C1CCN(c2ccc3sccc3c2)CC1,HeteroAr-Cl|RCH2-NHR -> Ar-NR2 || HeteroAr-H,RCH2-NHR|RCH2-OR,HeteroAr-Cl,,Ar-NR2|RCH2-COR|R_acidic-H,Pd(OAc)2,RuPhos,NaOtBu/NaOH,HCl,,,NH4Cl,,,PhMe/H2O/Me2CO/EtOAc,,"Journal of the American Chemical Society (2021), 143(14), 5330-5335",64,-1.97
C_N_Coupling,C_N_Coupling,CC(C)(C)OC(=O)N1CCCC[C@H](N)C1.Oc1cc(Br)c2ccncc2c1.O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F>>CC(C)(C)OC(=O)N1CCCC[C@H](Nc2cc(OS(=O)(=O)C(F)(F)F)cc3cnccc23)C1,Ar-N(R)SO2R|HeteroAr-Br|R2CH-NH2 -> HeteroAr-NHR || Alkyl-N(R)CO2R|HeteroAr-H,R2CH-NH2,HeteroAr-Br|HeteroAr-OH,Ar-N(R)SO2R|Alkyl-SO2NR2|Alkyl-F,HeteroAr-NHR|HeteroAr-OTf,Pd2(dba)3,DavePhos,NaOtBu/Et3N,,,,,,,Dioxane,N(R)CO2R,"Journal of Medicinal Chemistry (2020), 63(13), 7143-7162",85,0.0
C_N_Coupling,Claisen_condensation,COC(=O)CC1CNc2ccccc21.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>COC(=O)Cc1cn([C@]2(CCN=[N+]=[N-])C(=O)Nc3ccccc32)c2ccccc12,RCH2-CO2R|RCH2-N3 -> Bn-CO2R || Ar-Alkyl|Ar-NHCOR,RCH2-CO2R|Ar-NHR,RCH2-N3|R3C-Br,,Alkyl-AromN|Bn-CO2R|HeteroAr-H|RCH2-N3|R_acidic-H,NiOAc2,,DABCO,,DDQ,,,,229184-98-9,MTBE/DCM,NHCOR,"Organic Letters (2014), 16(9), 2394-2397",57,0.0
C_N_Coupling,Unknown,Clc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(Cl)ccc32)C(=O)Nc2ccccc21,Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-Cl|Ar-NHCOR|RCH2-N3,Ar-NHR,R3C-Br,,Ar-Alkyl|Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,Cl / N3 / NHCOR,"Organic Letters (2014), 16(9), 2394-2397",82,0.36
C_N_Coupling,Unknown,Brc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(Br)cc32)C(=O)Nc2ccccc21,Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-Br|Ar-NHCOR|RCH2-N3,Ar-NHR,R3C-Br,,Ar-Alkyl|Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,Br / N3 / NHCOR,"Organic Letters (2014), 16(9), 2394-2397",85,0.71
C_N_Coupling,Unknown,Brc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(Br)ccc32)C(=O)Nc2ccccc21,Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-Br|Ar-NHCOR|RCH2-N3,Ar-NHR,R3C-Br,,Ar-Alkyl|Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,Br / N3 / NHCOR,"Organic Letters (2014), 16(9), 2394-2397",71,-0.71
C_N_Coupling,Unknown,c1ccc2c(c1)CCN2.COc1ccc2c(c1)C(Br)(CCN=[N+]=[N-])C(=O)N2>>COc1ccc2c(c1)[C@](CCN=[N+]=[N-])(N1CCc3ccccc31)C(=O)N2,Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-NHCOR|Ar-OR|RCH2-N3,Ar-NHR,R3C-Br,,Ar-Alkyl|Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,N3 / NHCOR / OR,"Organic Letters (2014), 16(9), 2394-2397",87,0.0
C_N_Coupling,Unknown,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-NHCOR|RCH2-N3,Ar-NHR,R3C-Br,,Ar-Alkyl|Ar-NR2,NiOAc2,,K3PO4,,,,,,229184-98-9,THF,N3 / NHCOR,"Organic Letters (2014), 16(9), 2394-2397",90,0.3
C_N_Coupling,Unknown,Fc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(F)cc32)C(=O)Nc2ccccc21,Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-F|Ar-NHCOR|RCH2-N3,Ar-NHR,R3C-Br,,Ar-Alkyl|Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,F / N3 / NHCOR,"Organic Letters (2014), 16(9), 2394-2397",86,0.71
C_N_Coupling,Unknown,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccc(Cl)cc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccc(Cl)cc21,Ar-NHR|R3C-Br -> Ar-NR2 || Ar-Alkyl|Ar-Cl|Ar-NHCOR|RCH2-N3,Ar-NHR,R3C-Br,,Ar-Alkyl|Ar-NR2,NiOAc2,,DABCO/K3PO4,,,,,,229184-98-9,MTBE,Cl / N3 / NHCOR,"Organic Letters (2014), 16(9), 2394-2397",72,-1.07
