reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
C_O_Coupling,C_O_Coupling,Oc1ccccc1Cl.Oc1ccc(F)cc1.CCOC(=O)CCl>>CCOC(=O)COc1ccccc1Oc1ccc(F)cc1,|Ar-Cl|Ar-OH|RCH2-Cl -> Ar-OR | spectators: Ar-F|RCH2-CO2R|R_acidic-H,sig:LGDisp+C-O | form:C(ar)-O;C-O | form_labeled:C(ar)-O[Ar-OR];C-O | break:C(ar)-Cl;C-Cl | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Ar-Cl|Ar-OH,Ar-OH,RCH2-Cl,Ar-OR,,,K2CO3,,,,TBAB,,,DMF/MEK,CO2R / F,"Huaxue Yanjiu Yu Yingyong (2005), 17(4), 538-540",84,0.0
C_O_Coupling,C_O_Coupling,Nc1ccccc1Br.COc1ccccc1O>>COc1ccccc1Oc1ccccc1N=[N+]=[N-],|Ar-Br|Ar-NH2|Ar-OH -> Ar-OR | spectators: Ar-OR,sig:LGDisp+C-O | form:C(ar)-O;N-N | form_labeled:C(ar)-O[Ar-OR];N-N | break:Br-C(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Ar-Br|Ar-NH2,Ar-OH,,Ar-N3|Ar-OR,CuBr-SMe2,,K2CO3/Pyridine,BF3-Et2O,,,amyl nitrite/TFA,,4648-54-8,THF/Et2O/MeCN/DCM,OR,"Journal of Combinatorial Chemistry (2004), 6(4), 460-463",77,0.0
C_O_Coupling,C_O_Coupling,CO.[Na].Clc1cncc(Cl)c1>>COc1cc(OC)c(Br)nc1Br,|CH3-OH|HeteroAr-Cl|Inorganic -> Ar-OR | spectators: HeteroAr-H|Pyridine,sig:LGDisp+C-O | form:Br-C(ar);C(ar)-O | form_labeled:Br-C(ar);C(ar)-O;C(ar)-O[Ar-OR] | break:C(ar)-Cl | redox:net_oxidation | redox_conf:0.75 | q:high(1.00) | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,CH3-OH,Inorganic,HeteroAr-Cl,Ar-Br|Ar-OR,,,,HCl,,,,,H2SO4/7758-01-2/7758-02-3/7757-83-7,H2O/DMF,Pyridine / HeteroAr,"Angewandte Chemie, International Edition (2020), 59(29), 11881-11885",76,0.0
C_O_Coupling,Multi-Event:Ann+C-N+C-O+C-C,CCCCC(CC)CO.Brc1cccnc1>>Brc1ccncc1.CCCCC(CC)COc1cccnc1.CCCCC(CC)COc1ccncc1,|RCH2-OH -> Ar-OR | spectators: HeteroAr-Br|HeteroAr-H|Pyridine,sig:Ann+C-N+C-O+C-C | form:C(ar)-N(ar);C(ar)-O;C-C(ar) | form_labeled:C(ar)-N(ar);C(ar)-O[Ar-OR];C-C(ar) | redox:net_oxidation | redox_conf:0.65 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:c_c_bond_formation+c_n_bond_formation+c_o_bond_formation+intermolecular_or_multi_component+ring_closure_or_annulation,RCH2-OH,HeteroAr-Br,,Ar-OR|HeteroAr-H|Pyridine,,,KOH,,,,18C6,,,DMAc,Pyridine / Br / HeteroAr,"Chemical Science (2020), 11(38), 10517-10522",23,0.0
C_O_Coupling,Aromatic_Halogen_Exchange,Oc1ccc(Br)cc1.O=C(O)c1cc(I)ccc1I>>O=c1c2cc(Br)ccc2oc2ccc(I)cc12,|Ar-Br|Ar-CO2H|Ar-I|Ar-OH -> HeteroAr-Br|HeteroAr-I,"sig:Ann+LGDisp+C-O+C-C | redox:net_reduction | redox_conf:0.75 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation",Ar-Br|Ar-OH,Ar-I|Ar-CO2H,,HeteroAr-Br|HeteroAr-H|HeteroAr-I,(CuOTf)2  toluene,,Cs2CO3,HCl,,,,,H2SO4,PhMe/EtOAc/H2O,,"Journal of Medicinal Chemistry (2014), 57(23), 9796-9810",85,0.0
C_O_Coupling,C_O_Coupling,Cc1ccc(O)c(Br)c1.Brc1cnc(Br)cn1>>Cc1ccc(Oc2cncc(Oc3ccc(C)cc3Br)n2)c(Br)c1,|Ar-OH|HeteroAr-Br -> Ar-OR | spectators: Ar-Alkyl|Ar-Br|HeteroAr-H|Pyrimidine,"sig:Ann+LGDisp+C-O+C-C | redox:redox_neutral | redox_conf:0.65 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation",Ar-OH,HeteroAr-Br,,Ar-Alkyl|Ar-Br|Ar-OR,,,K2CO3,,,,,,,DMSO,Pyrimidine / Br / HeteroAr,"Chemistry Letters (2020), 49(8), 921-924",80,0.0
C_O_Coupling,C_O_Coupling,COc1ccc(O)cc1.COc1ccccc1Br>>COc1ccc(Oc2ccccc2OC)cc1,|Ar-Br|Ar-OH -> Ar-OR | spectators: Ar-OR,sig:LGDisp+C-O | form:C(ar)-O | form_labeled:C(ar)-O[Ar-OR] | break:Br-C(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Ar-OH,Ar-Br,,Ar-OR,CuCl,"2,2,6,6-Tetramethyl-3,5-heptanedione",Cs2CO3,,,,,,,NMP,OR,"Organic Syntheses (2005), 8269-74",78,-0.71
C_O_Coupling,C_O_Coupling,Cc1ccc(C(C)C)cc1O.O=[N+]([O-])c1ccc(Br)c([N+](=O)[O-])c1>>Cc1ccc(C(C)C)cc1Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],|Ar-Br|Ar-OH -> Ar-OR | spectators: Ar-Alkyl|Ar-NO2,sig:LGDisp+C-O | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Ar-OH,Ar-Br,,Ar-OR,"[(S,S)-Teth-MsDPEN-RuCl]",,NaOH,,,,,,946148-73-8,EtOH/Me2CO/H2O,NO2,"Synthetic Communications (2007), 37(12), 1957-1964",88,0.0
C_O_Coupling,C_O_Coupling,COc1ccc(O)cc1.N#Cc1ccccc1Br>>COc1ccc(Oc2ccccc2C#N)cc1,|Ar-Br|Ar-OH -> Ar-OR | spectators: Ar-CN|Ar-OR,sig:LGDisp+C-O | form:C(ar)-O | form_labeled:C(ar)-O[Ar-OR] | break:Br-C(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Ar-OH,Ar-Br,,Ar-OR,,,KOtBu,,,,,,,DMSO,CN / OR,"Tetrahedron Letters (2012), 53(33), 4288-4292",82,0.0
C_O_Coupling,C_O_Coupling,Oc1ccccc1Br.O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)cc1Cl>>O=[N+]([O-])c1cc([N+](=O)[O-])c(Oc2ccccc2Br)cc1Oc1ccccc1Br,|Ar-Cl|Ar-OH -> Ar-OR | spectators: Ar-Br|Ar-NO2,"sig:Ann+LGDisp+C-O+C-C | redox:net_oxidation | redox_conf:0.75 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation",Ar-OH,Ar-Cl,,Ar-Br|Ar-OR,,,NaH,,,,,,,DMSO,Br / NO2,"Chemistry of Materials (2005), 17(22), 5504-5511",80,-0.71
