reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
C_S_Coupling,C_S_Coupling,Sc1ccccc1.[Na].Clc1nc(C(Cl)(Cl)Cl)ncc1-c1ccccc1>>c1ccc(Sc2nc(C(Sc3ccccc3)Sc3ccccc3)ncc2-c2ccccc2)cc1,|Alkyl-Cl|Ar-SH|HeteroAr-Cl|Inorganic -> Ar-SR | spectators: Ar-Alkyl|Ar-Ar|HeteroAr-H|Pyrimidine,sig:Ann+LGDisp+C-S+C-C | form:C(ar)-C(ar);C(ar)-S;C-S | form_labeled:C(ar)-C(ar);C(ar)-S[Ar-SR];C-S | break:C(ar)-Cl;C-Cl | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:c_c_bond_formation+c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation | fam:annulation+substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-S | break_cls:C-Cl | lg:Cl | nuc:S | ringd:2 | anom:multi_transform_record_possible | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:carbon_nucleophile_like+thiol_or_thioether | amb:0,Ar-SH,Inorganic,HeteroAr-Cl|Alkyl-Cl,Ar-SR,,,NaH,,,,,,,THF,Pyrimidine / HeteroAr,"Synthesis (2019), 51(2), 530-537",83,0.0
C_S_Coupling,C_S_Coupling,Sc1ccccc1.FC(F)(F)c1ccccc1I>>Oc1ccccc1Sc1ccccc1C(F)(F)F,|Ar-I|Ar-SH -> Ar-SR | spectators: Ar-CF3,sig:LGDisp+C-O+C-S | redox:net_oxidation | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_o_bond_formation+c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-O;C-S | break_cls:C-I | lg:I | nuc:O | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol+thiol_or_thioether | amb:0,Ar-SH,Ar-I,,Ar-OH|Ar-SR,CuI,,Cs2CO3,,,,NaCl,,(2E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,DMSO/H2O,CF3,"Journal of the American Chemical Society (2010), 132(44), 15531-15533",76,0.0
C_S_Coupling,C_S_Coupling,COc1ccc(S)cc1.Ic1cccnc1>>c1ccc(Sc2cccnc2)cc1,|Ar-OR|Ar-SH|HeteroAr-I -> Ar-SR | spectators: HeteroAr-H|Pyridine,sig:LGDisp+C-S | form:C(ar)-S | form_labeled:C(ar)-S[Ar-SR] | break:C(ar)-I;C(ar)-O | redox:net_reduction | redox_conf:0.75 | q:high(1.00) | kinds:c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-S | break_cls:C-I;C-O | lg:I | nuc:S | ringd:0 | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol+thiol_or_thioether | amb:0,Ar-SH|Ar-OR,HeteroAr-I,,Ar-SR,CuI,,K2CO3/DABCO,,,,,,,DME,Pyridine / HeteroAr,"Polyhedron (2020), 176114269",94,0.0
C_S_Coupling,C_S_Coupling,FC(F)(F)c1ccc(Cl)cc1.Sc1ccccc1>>FC(F)(F)c1ccccc1.FC(F)(F)c1ccc(Sc2ccccc2)cc1,|Ar-Cl|Ar-SH -> Ar-SR | spectators: Ar-CF3,"sig:Ann+LGDisp+C-S | redox:net_oxidation | redox_conf:0.75 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation | fam:annulation+substitution | mol:intermolecular_or_multi_component | form_cls:C-F;C-S | break_cls:C-Cl | lg:Cl | nuc:S | ringd:1 | anom:mapping_unreliable_fallback_used,multi_transform_record_possible | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:thiol_or_thioether | amb:0",Ar-Cl,Ar-SH,,Ar-SR,,,NaOtBu,,,,,,1023743-21-6,PhMe,CF3,"Journal of the American Chemical Society (2014), 136(42), 14772-14779",3,-0.71
C_S_Coupling,C_S_Coupling,OCCCS.O=C(O)N1CCN(C(=O)c2cc(F)c(F)cc2[N+](=O)[O-])CC1.NCc1ccncc1.O=C(O)C(F)(F)F>>O=C(O)C(F)(F)F.O=C(c1cc(S(=O)(=O)CCCO)c(NCc2ccncc2)cc1[N+](=O)[O-])N1CCNCC1,|Ar-F|Bn-NH2|RCH2-SH -> Ar-SR | spectators: Alkyl-CO2H|Alkyl-F|Alkyl-NRCOR|Ar-CONR2|Ar-NO2|HeteroAr-H|Pyridine|RCH2-OH,sig:LGDisp+C-N+C-S | redox:net_reduction | redox_conf:0.90 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N;C-S;O-S | break_cls:C-F;C-N;C-O | lg:F | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic | nclass:amine+thiol_or_thioether | amb:0,RCH2-SH,Ar-F,Bn-NH2,Ar-NHR|Ar-SR|RCH2-NHR|R_acidic-H,,,,,MCPBA,,,,,NMP/DCM,Pyridine / OH / CO2H / CONR2 / F / HeteroAr / NO2 / NRCOR,"European Journal of Organic Chemistry (2001), (17), 3233-3246",70,0.0
C_S_Coupling,C_S_Coupling,Sc1cccc(Br)c1.Fc1cccc2ccc(Cl)nc12>>O=S(=O)(c1cccc(Br)c1)c1ccc2cccc(F)c2n1,|Ar-SH|HeteroAr-Cl -> Ar-SR | spectators: Ar-Br|HeteroAr-F|HeteroAr-H|Quinoline,"sig:LGDisp+C-S | form:C(ar)-S;O-S | form_labeled:C(ar)-S[Ar-SR];O-S | break:C(ar)-Cl | redox:redox_neutral | redox_conf:0.65 | q:medium(0.50) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:O | kinds:c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-S;O-S | break_cls:C-Cl | lg:Cl | nuc:S | ringd:0 | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:thiol_or_thioether | amb:0",Ar-SH,HeteroAr-Cl,,Ar-SR,,,K2CO3,,MCPBA,,,,,DMF/DCM,Quinoline / Br / F / HeteroAr,"European Journal of Medicinal Chemistry (2016), 12292-101",72,0.0
C_S_Coupling,C_S_Coupling,Sc1ccc2ccccc2c1.Clc1ccc2ccccc2n1>>O=S(=O)(c1ccc2ccccc2c1)c1ccc2ccccc2n1,|Ar-SH|HeteroAr-Cl -> Ar-SR | spectators: HeteroAr-H|Quinoline,"sig:LGDisp+C-S | form:C(ar)-S;O-S | form_labeled:C(ar)-S[Ar-SR];O-S | break:C(ar)-Cl | redox:redox_neutral | redox_conf:0.65 | q:medium(0.50) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:O | kinds:c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-S;O-S | break_cls:C-Cl | lg:Cl | nuc:S | ringd:0 | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:thiol_or_thioether | amb:0",Ar-SH,HeteroAr-Cl,,Ar-SR,,,,,,,TBACl,,10022-70-5,H2O/DCM,Quinoline / HeteroAr,"Organic Letters (2018), 20(20), 6601-6605",90,0.0
C_S_Coupling,C_S_Coupling,CS.[Na].COC(=O)C(CC1CCCC1)c1ccc(Cl)c([N+](=O)[O-])c1>>COC(=O)C(CC1CCCC1)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1,|Ar-Cl|CH3-SH|Inorganic -> Ar-SR | spectators: Ar-Alkyl|Ar-NO2|R2CH-CO2R|R_acidic-H,"sig:LGDisp+C-S | form:C(ar)-S;O-S | form_labeled:C(ar)-S[Ar-SR];O-S | break:C(ar)-Cl | redox:redox_neutral | redox_conf:0.65 | q:medium(0.50) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:O | kinds:c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-S;O-S | break_cls:C-Cl | lg:Cl | nuc:S | ringd:0 | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:thiol_or_thioether | amb:0",CH3-SH,Inorganic,Ar-Cl,Ar-SR|R_acidic-H,,,,,,,,,,DMSO,CO2R / NO2,"Journal of Medicinal Chemistry (2012), 55(16), 7021-7036",84,0.0
C_S_Coupling,C_S_Coupling,Oc1ccccc1S.N#Cc1cc(Cl)c(Cl)cc1C#N>>N#Cc1cc2c(cc1C#N)Sc1ccccc1O2,|Ar-Cl|Ar-OH|Ar-SH -> Ar-SR | spectators: Ar-CN,sig:Ann+LGDisp+C-O+C-S | form:C(ar)-O;C(ar)-S | form_labeled:C(ar)-O;C(ar)-S[Ar-SR] | break:C(ar)-Cl | redox:net_oxidation | redox_conf:0.75 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:c_o_bond_formation+c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation | fam:annulation+substitution | mol:intermolecular_or_multi_component | form_cls:C-O;C-S | break_cls:C-Cl | lg:Cl | nuc:O | ringd:1 | anom:multi_transform_record_possible | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol+thiol_or_thioether | amb:0,Ar-SH|Ar-OH,Ar-Cl,,Ar-OR|Ar-SR,,,K2CO3,,,,,,,H2O/DMF,CN,"Chemistry - An Asian Journal (2021), 16(16), 2307-2313",98,0.0
C_S_Coupling,C_S_Coupling,SCc1ccccc1.N#Cc1ccc(Br)cc1>>N#Cc1ccc(SCc2ccccc2)cc1,|Ar-Br|Bn-SH -> Ar-SR | spectators: Ar-CN,sig:LGDisp+C-S | form:C(ar)-S | form_labeled:C(ar)-S[Ar-SR] | break:Br-C(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-S | break_cls:Br-C | lg:Br | nuc:S | ringd:0 | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic | nclass:thiol_or_thioether | amb:0,Bn-SH,Ar-Br,,Ar-SR,,,KOH,,,,,,,EtOH/H2O/MeCN,CN,"Journal of Physical Chemistry A (2006), 110(32), 9949-9958",80,-0.71
