reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Catalytic_hydrogenation,Unknown,C#Cc1ccc2ccccc2c1>>[2H]C([2H])=C([2H])c1ccc2ccccc2c1,|Ar-Alkynyl_terminal -> Ar-Alkenyl_terminal,form:C-H | form_labeled:C-H | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:intramolecular_likely,Ar-Alkynyl_terminal,,,Ar-Alkenyl_terminal,,,Na2CO3,,,,,,"Deuteriumoxide,(Isotopic)",THF,,"ACS Catalysis (2021), 11(15), 9471-9478",89,0.71
Catalytic_hydrogenation,Alkene_Hydrogenation,CCOP(=O)(/C=C(/C)c1ccc(Cl)cc1)OCC>>CCOP(=O)(C[C@@H](C)c1ccc(Cl)cc1)OCC,|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-Cl,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",Ar-Alkenyl,,,Ar-Alkyl,[Rh(cod)2]BF4,,,,,H2,,,565184-37-4,DCM,Cl,"Angewandte Chemie, International Edition (2020), 59(1), 330-334",93,0.0
Catalytic_hydrogenation,Alkene_Hydrogenation,CCOP(=O)(/C=C(\C)c1ccc(Br)cc1)OCC>>CCOP(=O)(C[C@H](C)c1ccc(Br)cc1)OCC,|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-Br,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",Ar-Alkenyl,,,Ar-Alkyl,[Rh(cod)2]BF4,,,,,H2,,,565184-37-4,DCM,Br,"Angewandte Chemie, International Edition (2020), 59(1), 330-334",93,-0.71
Catalytic_hydrogenation,Alkene_Hydrogenation,CCOP(=O)(/C=C(/C)c1ccc(C)cc1)OCC>>CCOP(=O)(C[C@@H](C)c1ccc(C)cc1)OCC,|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-Alkenyl,,,Ar-Alkyl,[Rh(cod)2]BF4,,,,,H2,,,565184-37-4,DCM,,"Angewandte Chemie, International Edition (2020), 59(1), 330-334",91,-0.24
Catalytic_hydrogenation,Alkene_Hydrogenation,CCOP(=O)(/C=C(\C)c1ccc(C(C)(C)C)cc1)OCC>>CCOP(=O)(C[C@H](C)c1ccc(C(C)(C)C)cc1)OCC,|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-Alkyl,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",Ar-Alkenyl,,,Ar-Alkyl,[Rh(cod)2]BF4,,,,,H2,,,565184-37-4,DCM,,"Angewandte Chemie, International Edition (2020), 59(1), 330-334",87,-0.91
Catalytic_hydrogenation,Alkene_Hydrogenation,COP(=O)(/C=C(/C)c1ccccc1)OC>>COP(=O)(C[C@@H](C)c1ccccc1)OC,|Ar-Alkenyl -> Ar-Alkyl,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",Ar-Alkenyl,,,Ar-Alkyl,[Rh(cod)2]BF4,,,,,H2,,,565184-37-4,DCM,,"Angewandte Chemie, International Edition (2020), 59(1), 330-334",90,-0.93
Catalytic_hydrogenation,Alkene_Hydrogenation,CCOP(=O)(/C=C(\CC)c1ccccc1)OCC>>CCOP(=O)(C[C@H](CC)c1ccccc1)OCC,|Ar-Alkenyl -> Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-Alkenyl,,,Ar-Alkyl,[Rh(cod)2]BF4,,,,,H2,,,565184-37-4,DCM,,"Angewandte Chemie, International Edition (2020), 59(1), 330-334",98,0.42
Catalytic_hydrogenation,Alkene_Hydrogenation,CCOP(=O)(/C=C(\C)c1ccccc1Br)OCC>>CCOP(=O)(C[C@H](C)c1ccccc1Br)OCC,|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-Br,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",Ar-Alkenyl,,,Ar-Alkyl,[Rh(cod)2]BF4,,,,,H2,,,565184-37-4,DCM,Br,"Angewandte Chemie, International Edition (2020), 59(1), 330-334",94,0.71
Catalytic_hydrogenation,Alkene_Hydrogenation,C/C(=C\P(=O)(OC(C)C)OC(C)C)c1ccccc1>>CC(C)OP(=O)(C[C@H](C)c1ccccc1)OC(C)C,|Ar-Alkenyl -> Ar-Alkyl,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",Ar-Alkenyl,,,Ar-Alkyl,[Rh(cod)2]BF4,,,,,H2,,,565184-37-4,DCM,,"Angewandte Chemie, International Edition (2020), 59(1), 330-334",100,0.76
Catalytic_hydrogenation,Alkene_Hydrogenation,CCCCCCC(=O)Nc1ccc2c(c1)CCC/C2=C\c1ccc(C(F)(F)F)cc1>>CCCCCCC(=O)Nc1ccc2c(c1)CCCC2Cc1ccc(C(F)(F)F)cc1,|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-Alkyl|Ar-CF3|Ar-NHCOR|R_acidic-H,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",Ar-Alkenyl,,,Ar-Alkyl,,,,,,,,,540-69-2/7440-05-3,MeOH,CF3 / NHCOR,"Journal of Medicinal Chemistry (2020), 63(1), 163-185",86,0.0
Catalytic_hydrogenation,Event:Ann,C(#Cc1ccccc1)c1ccccc1>>c1ccc(CCc2ccccc2)cc1.C(=Cc1ccccc1)c1ccccc1,|Ar-Alkynyl -> Ar-Alkenyl|Ar-Alkyl,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key | kinds:ring_closure_or_annulation",Ar-Alkynyl,,,Ar-Alkenyl|Ar-Alkyl,Cobalt,,,,,NaBH4,,,871658-67-2,EtOH,,"Carbon (2020), 16064-70",1,0.0
Catalytic_hydrogenation,Unknown,C=CCCCCCC>>CCCCCCCC,|RCH2-Alkenyl -> Alkyl-H,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-Alkenyl,,,Alkyl-H,Ruthenium,,,,,H2,,,,H2O,,"ChemCatChem (2020), 12(4), 1013-1018",100,0.77
Catalytic_hydrogenation,Unknown,C=CCc1ccccc1>>CCCC1CCCCC1,|Ar-Alkyl|RCH2-Alkenyl -> Alkyl-H,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-Alkenyl|Ar-Alkyl,,,Alkyl-H,Ruthenium,,,,,H2,,,,H2O,,"ChemCatChem (2020), 12(4), 1013-1018",100,0.0
