reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
ChanLam_Narylation,Unknown,Cc1ccc(B(O)O)cc1>>Cc1ccc(N)cc1.Cc1ccc(N)c(N=[N+]=[N-])c1,|Ar-B(OH)2 -> Ar-NH2 | bond_formed: C(ar)-N; C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-NH2]; C(ar)-N | bond_broken: B-C(ar) | spectators: Ar-Alkyl,Ar-B(OH)2,,,Ar-Alkyl|Ar-N3|Ar-NH2,,,NH4OH,,,,PivOH/NaCl,,4648-54-8/16712-25-7,"1,2-Dichlorobenzene/EtOAc/H2O",,"Advanced Synthesis & Catalysis (2020), 362(16), 3442-3446",20.0,0.0
ChanLam_Narylation,Chan_Lam_C_N_Coupling,c1ccc2[nH]cnc2c1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cnc3ccccc32)cc1,|Ar-B(OH)2|AromN-H -> Ar-AromN | bond_formed: C(ar)-N(ar) | bond_formed_labeled: C(ar)-N(ar)[Ar-AromN] | bond_broken: B-C(ar) | spectators: Ar-OR|HeteroAr-H,AromN-H,Ar-B(OH)2,,Ar-AromN,,,K2CO3,,,,iPrOH,,199852-14-7,,HeteroAr / OR,"Tetrahedron Letters (2014), 55(1), 31-35",85.0,0.36
ChanLam_Narylation,Chan_Lam_C_N_Coupling,COc1ccc(B(O)O)cc1O.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1ccc(-n2c(-c3cc(OC)c(OC)c(OC)c3)cccc2=O)cc1O,|Ar-B(OH)2|AromN-H -> Ar-AromN | spectators: Ar-Ar|Ar-OH|Ar-OR|HeteroAr-H|Pyridine,Ar-B(OH)2,AromN-H,,Ar-AromN,Cu(OAc)2,,Pyridine,,,,,,694-59-7,DCM,Pyridine / OH / HeteroAr / OR,"European Journal of Medicinal Chemistry (2013), 64613-620",78.0,0.0
ChanLam_Narylation,Chan_Lam_C_N_Coupling,Cc1cnc[nH]1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cnc(C)c2)cc1,|Ar-B(OH)2|AromN-H -> Ar-AromN | bond_formed: C(ar)-N(ar) | bond_formed_labeled: C(ar)-N(ar)[Ar-AromN] | bond_broken: B-C(ar) | spectators: Ar-Alkyl|Ar-OR|HeteroAr-H,AromN-H,Ar-B(OH)2,,Ar-AromN,,,K2CO3,,,,iPrOH,,199852-14-7,,HeteroAr / OR,"Tetrahedron Letters (2014), 55(1), 31-35",86.0,0.71
ChanLam_Narylation,Chan_Lam_C_N_Coupling,OB(O)c1ccccc1.COc1ccc(N)cc1>>COc1ccc(Nc2ccccc2)cc1,|Ar-B(OH)2|Ar-NH2 -> Ar-NHR | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-NHR] | bond_broken: B-C(ar) | spectators: Ar-OR,Ar-B(OH)2,Ar-NH2,,Ar-NHR,,,K2CO3,,,,,,199852-14-7,H2O,OR,"Tetrahedron Letters (2014), 55(1), 31-35",94.0,1.1
ChanLam_Narylation,Chan_Lam_C_N_Coupling,OB(O)c1ccc2c(c1)OCO2.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1cc(-c2cccc(=O)n2-c2ccc3c(c2)OCO3)cc(OC)c1OC,|Ar-B(OH)2|AromN-H -> Ar-AromN | spectators: Ar-Ar|Ar-OR|HeteroAr-H|Pyridine,Ar-B(OH)2,AromN-H,,Ar-AromN,Cu(OAc)2,,Pyridine,,,,,,694-59-7,DCM,Pyridine / HeteroAr / OR,"European Journal of Medicinal Chemistry (2013), 64613-620",33.0,-0.15
ChanLam_Narylation,Chan_Lam_C_N_Coupling,OB(O)c1ccccc1.Cc1ccc(N)cc1>>Cc1ccc(Nc2ccccc2)cc1,|Ar-B(OH)2|Ar-NH2 -> Ar-NHR | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-NHR] | bond_broken: B-C(ar) | spectators: Ar-Alkyl,Ar-B(OH)2,Ar-NH2,,Ar-NHR,,,K2CO3,,,,,,199852-14-7,H2O,,"Tetrahedron Letters (2014), 55(1), 31-35",95.0,1.87
ChanLam_Narylation,Chan_Lam_C_N_Coupling,OB(O)c1ccc(F)cc1.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1cc(-c2cccc(=O)n2-c2ccc(F)cc2)cc(OC)c1OC,|Ar-B(OH)2|AromN-H -> Ar-AromN | bond_formed: C(ar)-N(ar) | bond_formed_labeled: C(ar)-N(ar)[Ar-AromN] | bond_broken: B-C(ar) | spectators: Ar-Ar|Ar-F|Ar-OR|HeteroAr-H|Pyridine,Ar-B(OH)2,AromN-H,,Ar-AromN,Cu(OAc)2,,Pyridine,,,,,,694-59-7,DCM,Pyridine / F / HeteroAr / OR,"European Journal of Medicinal Chemistry (2013), 64613-620",38.0,-0.71
ChanLam_Narylation,Chan_Lam_C_N_Coupling,COc1ccc(B(O)O)cc1.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1ccc(-n2c(-c3cc(OC)c(OC)c(OC)c3)cccc2=O)cc1,|Ar-B(OH)2|AromN-H -> Ar-AromN | spectators: Ar-Ar|Ar-OR|HeteroAr-H|Pyridine,Ar-B(OH)2,AromN-H,,Ar-AromN,Cu(OAc)2,,Pyridine,,,,,,694-59-7,DCM,Pyridine / HeteroAr / OR,"European Journal of Medicinal Chemistry (2013), 64613-620",35.0,0.15
ChanLam_Narylation,Chan_Lam_C_N_Coupling,OB(O)c1ccccc1.Nc1cccc([N+](=O)[O-])c1>>O=[N+]([O-])c1cccc(Nc2ccccc2)c1,|Ar-B(OH)2|Ar-NH2 -> Ar-NHR | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-NHR] | bond_broken: B-C(ar) | spectators: Ar-NO2,Ar-B(OH)2,Ar-NH2,,Ar-NHR,,,DBU,,,,,,1478738-98-5,MeCN,NO2,"Journal of Molecular Catalysis A: Chemical (2013), 37921-29",62.0,0.0
