reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Chlorination_SOCl2_oxalyl_chloride,Unknown,ClCC1CO1.C=CCOCC(O)CO>>C=CCOCC(CCl)OCC1CO1,|R2CH-OH|RCH2-OH -> RCH2-OR | spectators: Allyl-OR|RCH2-Cl|RCH2-OR,RCH2-OR,RCH2-OH|R2CH-OH,,RCH2-OR,,,NaOH,BF3-Et2O,,,,,,Et2O,Cl / OR,"Russian Journal of Applied Chemistry (2013), 86(9), 1364-1369",72,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,C[C@@H](CO)C[C@H](CO)CS(=O)c1ccccc1>>C[C@@H](CO)C[C@H](CCl)CS(=O)(=O)c1ccccc1.C[C@H]1COC[C@H](CS(=O)(=O)c2ccccc2)C1,|RCH2-OH -> Ar-SR|RCH2-Cl|RCH2-OR|R_acidic-H | bond_formed: C-Cl; O-S | bond_formed_labeled: C-Cl; O-S | bond_broken: C-O,RCH2-OH,,,Ar-SR|RCH2-Cl|RCH2-OR|R_acidic-H,,,,,,,,,7719-09-7,DCM,OH,"Tetrahedron Letters (1997), 38(25), 4407-4410",30,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,C[C@@H](CO)C[C@H](CO)CS(=O)c1ccccc1>>C[C@@H](CCl)C[C@H](CCl)CS(=O)(=O)c1ccccc1.C[C@@H](CO)C[C@H](CO)CS(=O)(=O)c1ccccc1.C[C@H]1COC[C@H](CS(=O)(=O)c2ccccc2)C1,|[] -> Ar-SR|RCH2-Cl|RCH2-OR|R_acidic-H | bond_formed: C-Cl; C-Cl; O-S; O-S | bond_formed_labeled: C-Cl; C-Cl; O-S; O-S | bond_broken: C-O; C-O | spectators: RCH2-OH,RCH2-OH,,,Ar-SR|RCH2-Cl|RCH2-OR|R_acidic-H,,,,,,,,,7719-09-7/10247-90-2,DCM,OH,"Tetrahedron Letters (1997), 38(25), 4407-4410",10,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,OC(c1ccc(Cl)cc1)c1ccc(Cl)cc1>>Clc1ccc(C(Cl)c2ccc(Cl)cc2)cc1.Clc1ccc(C(OC(c2ccc(Cl)cc2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)cc1,|R2CH-OH -> Ar-Alkyl|Ar-Cl|R2CH-Cl|R2CH-OR | bond_formed: C(ar)-Cl; C(ar)-Cl; C(ar)-C(ar); C(ar)-C(ar); C(ar)-C(ar); C-O | bond_formed_labeled: C(ar)-Cl; C(ar)-Cl; C(ar)-C(ar)[Ar-Alkyl]; C(ar)-C(ar); C(ar)-C(ar); C-O | spectators: Ar-Alkyl|Ar-Cl,R2CH-OH,,,Ar-Alkyl|Ar-Cl|R2CH-Cl|R2CH-OR,,,,,,,TMSCl,,montmorillonite,DCM,Cl,"Synlett (2014), 25(18), 2639-2643",80,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,COc1ccc(CO)cc1.CCOC(C)=O>>COc1ccc(COC(C)=O)cc1.COc1ccc(CCl)cc1.COc1ccc(COCc2ccc(OC)cc2)cc1,|Bn-OH -> Ar-Alkyl|Ar-OR | bond_formed: C-O; C-O; C-C(ar); C-C(ar) | bond_formed_labeled: C-O; C-O; C-C(ar)[Ar-Alkyl]; C-C(ar) | bond_broken: C-C | spectators: Alkyl-CO2R|Ar-OR|R_acidic-H,Bn-OH,Alkyl-CO2R,,Ar-Alkyl|Ar-OR|Bn-Cl|Bn-OR,,,,,,,,,108-77-0/3760-54-1,,CO2R / OR,"Chemistry - A European Journal (2018), 24(29), 7410-7416",6,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,CCCCCCCCCCCCO.O=CN1CCCC1>>CCCCCCCCCCCCCl.CCCCCCCCCCCCOCCCCCCCCCCCC.CCCCCCCCCCCCOC=O,|RCH2-OH -> RCH2-Cl|RCH2-OR | bond_formed: C-C; C-C; C-O; C-O; C-O | bond_formed_labeled: C-C; C-C; C-O; C-O; C-O | bond_broken: C-N | spectators: Alkyl-H,RCH2-OH,Alkyl-H,,RCH2-Cl|RCH2-OR,,,,,,,,,108-77-0,MeCN,,"Chemistry - A European Journal (2018), 24(29), 7410-7416",79,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,O=C1c2ccccc2C2(O)C([N+](=O)[O-])=C3N(Cc4ccc(Cl)nc4)CCN3C12O.CCO>>CCOC12C(=O)c3ccccc3C1(Cl)C([N+](=O)[O-])=C1N(Cc3ccc(Cl)nc3)CCN12,|R3C-OH|RCH2-OH -> R3C-Cl|RCH2-OR | bond_formed: C-Cl | bond_formed_labeled: C-Cl | spectators: Alkenyl-NO2|Alkenyl-NR2|Ar-Alkyl|Ar-COR|Ar-Cl|HeteroAr-H|Pyridine,R3C-OH,RCH2-OH,,R3C-Cl|RCH2-OR,,,,,,,,,7719-09-7,CHCl3/EtOH,Pyridine / NR2 / COR / Cl / HeteroAr / NO2,"Journal of Agricultural and Food Chemistry (2015), 63(5), 1360-1369",83,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,OCc1ccccc1>>ClCc1ccccc1.c1ccc(COCc2ccccc2)cc1,|Bn-OH -> Bn-Cl|Bn-OR | bond_formed: C(ar)-Cl; C(ar)-C(ar); C(ar)-C(ar); C-O | bond_formed_labeled: C(ar)-Cl; C(ar)-C(ar); C(ar)-C(ar); C-O,Bn-OH,,,Bn-Cl|Bn-OR,,,,,,,,,Bismuth Chloride,CCl4,,"Synthetic Communications (1998), 28(10), 1737-1741",25,-0.71
Chlorination_SOCl2_oxalyl_chloride,Unknown,OC(c1ccccc1)c1ccccc1>>ClC(c1ccccc1)c1ccccc1.c1ccc(C(OC(c2ccccc2)c2ccccc2)c2ccccc2)cc1,|R2CH-OH -> Ar-Alkyl|R2CH-Cl|R2CH-OR | spectators: Ar-Alkyl,R2CH-OH,,,Ar-Alkyl|R2CH-Cl|R2CH-OR,,,,,,,TMSCl,,montmorillonite,DCM,,"Synlett (2014), 25(18), 2639-2643",97,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,O=C1c2ccccc2C2(O)C([N+](=O)[O-])=C3N(Cc4ccc(Cl)nc4)CCN3C12O.CO>>COC12C(=O)c3ccccc3C1(Cl)C([N+](=O)[O-])=C1N(Cc3ccc(Cl)nc3)CCN12,|CH3-OH|R3C-OH -> R3C-Cl|R3C-OR | bond_formed: C-Cl | bond_formed_labeled: C-Cl | spectators: Alkenyl-NO2|Alkenyl-NR2|Ar-Alkyl|Ar-COR|Ar-Cl|HeteroAr-H|Pyridine,R3C-OH,CH3-OH,,R3C-Cl|R3C-OR,,,,,,,,,7719-09-7,CHCl3/MeOH,Pyridine / NR2 / COR / Cl / HeteroAr / NO2,"Journal of Agricultural and Food Chemistry (2015), 63(5), 1360-1369",85,0.0
