reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Clemmensen_reduction,Multi-Event:EsterHyd+LGDisp,CCOC(=O)CCC(=O)c1ccc2c(Br)c(OC)ccc2c1>>COc1ccc2cc(CCCC(=O)O)ccc2c1,|Ar-Br|Ar-COR|RCH2-COOR -> Ar-Alkyl|RCH2-COOH | spectators: Ar-OR|R_acidic-H,sig:EsterHyd+LGDisp | break:Br-C(ar);C-O | redox:net_reduction | redox_conf:0.65 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:ester_hydrolysis_like+leaving_group_displacement | fam:displacement+hydrolysis | mol:unknown | break_cls:Br-C;C-O | lg:Br | ringd:0 | anom:multi_transform_record_possible | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:carbon_nucleophile_like | amb:0,Ar-Br|RCH2-COOR|Ar-COR|R_acidic-H,,,Ar-Alkyl|RCH2-COOH,,,,,,,,,,,OR,"Indian Journal of Chemistry, Section B: Organic Chemistry Including Medicinal Chemistry (1976), 14B(1), 26-7",70.0,0.0
Clemmensen_reduction,Unknown,CC(=O)c1ccccc1>>[2H]C([2H])([2H])C([2H])([2H])c1ccccc1,|Ar-COR|R_acidic-H -> Ar-Alkyl,form:C-H | form_labeled:C-H | break:C-O | redox:net_reduction | redox_conf:0.65 | q:high(1.00) | kinds:intramolecular_likely | mol:intramolecular | form_cls:C-H | break_cls:C-O | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:carbon_nucleophile_like | amb:0,Ar-COR|R_acidic-H,,,Ar-Alkyl,,,,,,,,,7698-05-7,,,"Xiamen Daxue Xuebao, Ziran Kexueban (1985), 24(4), 527-31",0.0,-1.04
Clemmensen_reduction,Multi-Event:Ann+C-C,COc1cccc([C@]2(CC(C)=O)C=CN(C)C[C@@H]2C)c1>>COc1cccc([C@]23CCC[C@H](C2)N(C)C[C@@H]3C)c1,|Alkenyl-NR2|R3C-Alkenyl|RCH2-COR -> R2CH-NR2|RCH2-NR2 | spectators: Ar-Alkyl|Ar-OR,sig:Ann+C-C | form:C-C | form_labeled:C-C | break:C-O | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:c_c_bond_formation+intramolecular_likely+ring_closure_or_annulation | fam:annulation+bond_formation | mol:intramolecular | form_cls:C-C | break_cls:C-O | ringd:1 | anom:multi_transform_record_possible | risk:overreaction_or_chemoselectivity | ehyb:sp2 | eenv:ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0,RCH2-COR|R3C-Alkenyl|R_acidic-H|Alkenyl-NR2,,,R2CH-NR2|RCH2-NR2,,,,HCl,,,,,,MeOH,OR,"Tetrahedron Letters (1999), 40(3), 403-406",75.0,0.0
Clemmensen_reduction,Event:EsterHyd,COC(=O)[C@@]12CC[C@@]34C(=O)C(=O)[C@@H](C[C@@H]3C1)C[C@H]4[C@H]2O>>O=C(O)C12CCC34CCC(CC3C1)CC4C2,|R2CH-COR|R2CH-OH|R3C-COOR|R3C-COR -> R3C-COOH,break:C-O | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:ester_hydrolysis_like | fam:hydrolysis | mol:unknown | break_cls:C-O | ringd:0 | risk:overreaction_or_chemoselectivity | ehyb:sp3 | eenv:ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,R3C-COOR|R3C-COR|R2CH-COR|R2CH-OH|R_acidic-H,,,R3C-COOH,Mercury(II)chloride,,,HCl,,Zn,,,,H2O/PhMe,,"Journal of Organic Chemistry (2014), 79(6), 2803-2808",61.0,0.0
Clemmensen_reduction,Wittig_reaction,O=C(CCCCC(=O)c1ccccc1)c1ccccc1>>C(/C=C/c1ccccc1)=C\CCc1ccccc1,|Ar-COR|R_acidic-H -> Alkenyl-Alkenyl|Ar-Alkenyl,redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | mol:unknown | break_cls:C-O | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:carbon_nucleophile_like | amb:0,Ar-COR|R_acidic-H,,,Alkenyl-Alkenyl|Ar-Alkenyl|Ar-Alkyl|RCH2-Alkenyl,,,,HCl,,,,,,,,"Tetrahedron (1994), 50(9), 2949-54",8.0,-0.54
Clemmensen_reduction,Reduction_carbonyl_to_alcohol,CC(=O)C(C)C(C)=O>>CCC(C)(O)C(C)=O,|R2CH-COR|R_acidic-H -> R3C-OH,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp3 | eenv:ewg_activated | nclass:carbon_nucleophile_like | amb:0,R2CH-COR|R_acidic-H,,,R3C-COR|R3C-OH,,,,HCl,,,,,,,,"Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1979), (11), 2820-5",23.0,0.0
Clemmensen_reduction,Reduction_carbonyl_to_alcohol,O=C(c1ccccc1)[C@@H]1CCCC[C@H]1C(=O)c1ccccc1>>OC(c1ccccc1)C1CCCCC1Cc1ccccc1,|Ar-COR -> R2CH-OH,break:C-O | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | mol:unknown | break_cls:C-O | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:carbon_nucleophile_like | amb:0,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,AcOH,,,,,"Tetrahedron (1994), 50(9), 2949-54",2.0,-0.28
Clemmensen_reduction,Reduction_carbonyl_to_alcohol,O=C(c1ccccc1)[C@@H]1CCCC[C@H]1C(=O)c1ccccc1>>OC(c1ccccc1)C1CCCCC1Cc1ccccc1,|Ar-COR -> R2CH-OH,break:C-O | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | mol:unknown | break_cls:C-O | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:carbon_nucleophile_like | amb:0,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,,,,"Tetrahedron (1994), 50(9), 2949-54",0.0,-0.5
Clemmensen_reduction,Reduction_carbonyl_to_alcohol,O=C(c1ccccc1)[C@@H]1CCCC[C@H]1C(=O)c1ccccc1>>OC(c1ccccc1)C1CCCCC1Cc1ccccc1,|Ar-COR -> R2CH-OH,break:C-O | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | mol:unknown | break_cls:C-O | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:carbon_nucleophile_like | amb:0,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,HCl,,,,,,,,"Tetrahedron (1994), 50(9), 2949-54",21.0,1.78
Clemmensen_reduction,Reduction_carbonyl_to_alcohol,O=C(c1ccccc1)[C@@H]1CCCC[C@H]1C(=O)c1ccccc1>>OC(c1ccccc1)C1CCCCC1Cc1ccccc1,|Ar-COR -> R2CH-OH,break:C-O | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | mol:unknown | break_cls:C-O | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:carbon_nucleophile_like | amb:0,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,,,,"Tetrahedron (1994), 50(9), 2949-54",0.0,-0.5
