reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
CuAAC_azidealkyne,Click_cuaac,[N-]=[N+]=NCC(=O)O.C#C[C@H](Cc1ccc(OC(C)(C)C)cc1)NC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OC(C)(C)C)cc1)c1cn(CC(=O)O)nn1,|Alkyl-Alkynyl_terminal|RCH2-N3 -> Alkyl-AromN|HeteroAr-H | spectators: Alkyl-N(R)CO2R|Ar-Alkyl|Ar-OR|RCH2-CO2H|R_acidic-H,RCH2-N3,Alkyl-Alkynyl_terminal,,Alkyl-AromN|HeteroAr-H,CuI,,Lutidine/DIPEA,,,,,,,MeCN,CO2H / N(R)CO2R / OR,"Bioorganic & Medicinal Chemistry Letters (2013), 23(19), 5267-5269",93,0.0
CuAAC_azidealkyne,Click_cuaac,C#CCSC[C@H](N)C(=O)O.CC(=O)OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O>>CC(=O)OC[C@H]1O[C@@H](OCCn2cc(CSC[C@H](N)C(=O)O)nn2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,|Alkyl-Alkynyl_terminal|RCH2-N3 -> Alkyl-AromN|Bn-SR|HeteroAr-H | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | spectators: Alkyl-CO2R|R2CH-CO2H|R2CH-NH2|R2CH-OR|RCH2-OR|R_acidic-H,Alkyl-Alkynyl_terminal|RCH2-SR|Propargyl-H,RCH2-N3,,Alkyl-AromN|Bn-SR|HeteroAr-H,Cu(OAc)2,,,,,,,,134-03-2,t-BuOH/H2O,NH2 / CO2H / CO2R / OR,"Bioorganic & Medicinal Chemistry (2014), 22(23), 6672-6683",70,-0.71
CuAAC_azidealkyne,Click_cuaac,C#Cc1ccc(Cl)cc1.[N-]=[N+]=NC1COc2c(Br)cc([N+](=O)[O-])c3cccc1c23>>O=[N+]([O-])c1cc(Br)c2c3c(cccc13)C(n1cc(-c3ccc(Cl)cc3)nn1)CO2,|Ar-Alkynyl_terminal|R2CH-N3 -> Alkyl-AromN|Ar-Ar|HeteroAr-H | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | spectators: Ar-Alkyl|Ar-Br|Ar-Cl|Ar-NO2|Ar-OR,Ar-Alkynyl_terminal,R2CH-N3,,Alkyl-AromN|Ar-Ar|HeteroAr-H,CuSO4,,,,,,,,50-81-7,H2O/THF,Br / Cl / NO2 / OR,"European Journal of Medicinal Chemistry (2013), 6858-71",82,0.0
CuAAC_azidealkyne,Click_cuaac,C#CCN(c1nc2ccc(F)cc2s1)c1nc2ccc(OC)cc2s1.[N-]=[N+]=NCC(=O)Nc1nnc(C(F)(F)F)s1>>COc1ccc2nc(N(Cc3cn(CC(=O)Nc4nnc(C(F)(F)F)s4)nn3)c3nc4ccc(F)cc4s3)sc2c1,|Alkyl-Alkynyl_terminal|Propargyl-H|RCH2-N3 -> Alkyl-AromN|HeteroAr-H | spectators: Ar-CF3|Ar-NHCOR|Ar-NR2|Ar-OR|HeteroAr-F|HeteroAr-H|R_acidic-H|Thiazole,Alkyl-Alkynyl_terminal|Propargyl-H,RCH2-N3,,Alkyl-AromN|HeteroAr-H,CuI,,,,,,,,,THF,Thiazole / NR2 / CF3 / F / HeteroAr / NHCOR / OR,"Medicinal Chemistry Research (2014), 23(10), 4404-4413",96,0.71
CuAAC_azidealkyne,Click_cuaac,[N-]=[N+]=Nc1cccc2c1CCC2.C#CCNC(=O)n1sc2ccccc2c1=O>>O=C(NCc1cn(-c2cccc3c2CCC3)nn1)n1sc2ccccc2c1=O,|Alkyl-Alkynyl_terminal|Ar-N3 -> Ar-AromN | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | spectators: Ar-Alkyl|HeteroAr-H,Ar-N3,Alkyl-Alkynyl_terminal|Propargyl-H,,Ar-Alkyl|Ar-AromN|HeteroAr-H,CuSO4,,,,,,,,134-03-2,MeOH/H2O,HeteroAr,"Medicinal Chemistry Research (2015), 24(5), 1814-1829",76,0.0
CuAAC_azidealkyne,Click_cuaac,C#Cc1ccc(F)cc1.[N-]=[N+]=NC1COc2c(Cl)cc([N+](=O)[O-])c3cccc1c23>>O=[N+]([O-])c1cc(Cl)c2c3c(cccc13)C(n1cc(-c3ccc(F)cc3)nn1)CO2,|Ar-Alkynyl_terminal|R2CH-N3 -> Alkyl-AromN|Ar-Ar|HeteroAr-H | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | spectators: Ar-Alkyl|Ar-Cl|Ar-F|Ar-NO2|Ar-OR,Ar-Alkynyl_terminal,R2CH-N3,,Alkyl-AromN|Ar-Ar|HeteroAr-H,CuSO4,,,,,,,,50-81-7,H2O/THF,Cl / F / NO2 / OR,"European Journal of Medicinal Chemistry (2013), 6858-71",85,0.0
CuAAC_azidealkyne,Alkylation_friedel_crafts,Cc1cccc(CBr)c1.C#CCNC(=O)c1cccc(C(=O)NCC#C)c1>>Cc1cccc(Cn2cc(CNC(=O)c3cccc(C(=O)NCc4cn(Cc5cccc(C)c5)nn4)c3)nn2)c1,|Alkyl-Alkynyl_terminal|Bn-Br|Propargyl-H -> Ar-Alkyl | spectators: Alkyl-NHCOR|Ar-Alkyl|Ar-CONHR,Bn-Br,Alkyl-Alkynyl_terminal|Propargyl-H,,Alkyl-AromN|Ar-Alkyl|HeteroAr-H,CuSO4,,,,,,NaN3,,134-03-2,DMF/H2O,CONHR / NHCOR,"Medicinal Chemistry Research (2014), 23(11), 4761-4770",74,-0.81
CuAAC_azidealkyne,Click_cuaac,[N-]=[N+]=Nc1ccccc1Cl.C#CCN1CCN(c2nc3ccccc3c3ccccc23)CC1>>Clc1ccccc1-n1cc(CN2CCN(c3nc4ccccc4c4ccccc34)CC2)nn1,|Alkyl-Alkynyl_terminal|Ar-N3|RCH2-NR2 -> Ar-AromN | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | spectators: Ar-Cl|Ar-NR2|HeteroAr-H|Isoquinoline|Quinoline,Ar-N3,Alkyl-Alkynyl_terminal|RCH2-NR2|Propargyl-H,,Ar-AromN|Bn-NR2|HeteroAr-H,CuSO4,,,,,,,,134-03-2,t-BuOH/H2O,Isoquinoline / Quinoline / NR2 / Cl / HeteroAr,"Medicinal Chemistry Research (2015), 24(2), 523-532",82,-0.71
CuAAC_azidealkyne,Unknown,O=C(CBr)c1ccccc1.C#CCN(C1=CC(=O)c2ccccc2C1=O)c1ccc(F)cc1>>O=C(Cn1cc(CN(C2=CC(=O)c3ccccc3C2=O)c2ccc(F)cc2)nn1)c1ccccc1,|Alkyl-Alkynyl_terminal|RCH2-Br -> Alkyl-AromN|HeteroAr-H | bond_formed: C-N; C-N; N-N(ar); C-N(ar) | bond_formed_labeled: C-N; C-N; N-N(ar); C-N(ar) | bond_broken: Br-C | spectators: Alkenyl-COR|Alkenyl-NR2|Ar-COR|Ar-F|R_acidic-H,RCH2-Br,Alkyl-Alkynyl_terminal|Propargyl-H,,Alkyl-AromN|HeteroAr-H,CuI,,Et3N,,,,NaN3,,,H2O,NR2 / COR / F,"European Journal of Medicinal Chemistry (2014), 85737-746",93,0.0
CuAAC_azidealkyne,Click_cuaac,C#CCOc1cc(=O)oc2ccccc12.CC(C)(C)NC(=O)C(c1ccccc1Cl)N(C(=O)CN=[N+]=[N-])c1ccc(Br)cc1>>CC(C)(C)NC(=O)C(c1ccccc1Cl)N(C(=O)Cn1cc(COc2cc(=O)oc3ccccc23)nn1)c1ccc(Br)cc1,|Alkyl-Alkynyl_terminal|Propargyl-H|RCH2-N3 -> Alkyl-AromN|HeteroAr-H | spectators: Alkyl-NHCOR|Ar-Alkyl|Ar-Br|Ar-Cl|Ar-NRCOR|Ar-OR|HeteroAr-H|R2CH-CONHR|R_acidic-H,Alkyl-Alkynyl_terminal|Propargyl-H,RCH2-N3,,Alkyl-AromN|HeteroAr-H,CuSO4-5H2O,,,,,,,,134-03-2,DMSO/t-BuOH/H2O,Br / CONHR / Cl / HeteroAr / NHCOR / NRCOR / OR,"Bioorganic & Medicinal Chemistry Letters (2012), 22(7), 2598-2603",100,0.0
