reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Curtius_rearrangement,Unknown,CCCCCO.C[C@H]1CCCCc2cccc(O[Si](C)(C)C(C)(C)C)c2C(=O)O[C@@H](C/C=C/C(=O)N=[N+]=[N-])C[C@H]1O[Si](C)(C)C(C)(C)C>>CCCCCOC(=O)N/C=C/C[C@H]1C[C@@H](O)[C@@H](C)CCCCc2cccc(O)c2C(=O)O1,|Alkyl-Si*|RCH2-OH -> Ar-OH|R2CH-OH | bond_formed: C-O; C-N | bond_formed_labeled: C-O; C-N | bond_broken: C-C; N-N; O-Si | spectators: Ar-Alkyl|Ar-CO2R,RCH2-OH,Alkyl-Si*,,Ar-OH|R2CH-OH,,,Pyridine,,,,,,32001-55-1,PhH/THF,CO2R,"Journal of the American Chemical Society (2002), 124(13), 3245-3253",0.0,0.0
Curtius_rearrangement,Unknown,OCc1ccccc1.CCOC(=O)[C@]1(C)C[C@H]1C(=O)N=[N+]=[N-]>>CCOC(=O)[C@]1(C)C[C@H]1NC(=O)OCc1ccccc1,|Bn-OH -> Alkyl-N(R)CO2R|Ar-Alkyl | bond_formed: C-N; C-O | bond_formed_labeled: C-N; C-O | bond_broken: C-C; N-N | spectators: R3C-CO2R,Bn-OH,R_acidic-H,,Alkyl-N(R)CO2R|Ar-Alkyl,,,,,,,,,,,CO2R,"Tetrahedron: Asymmetry (2000), 11(17), 3569-3584",70.0,0.0
Curtius_rearrangement,Unknown,OCc1ccccc1.CCOC(=O)N[C@@H](CC(C)C)C(=O)N=[N+]=[N-]>>CCOC(=O)N[C@@H](CC(C)C)NC(=O)OCc1ccccc1,|Bn-OH|R_acidic-H -> Alkyl-N(R)CO2R|Ar-Alkyl | spectators: Alkyl-N(R)CO2R,Bn-OH,R_acidic-H,,Alkyl-N(R)CO2R|Ar-Alkyl,,,,,,,,,,PhH,N(R)CO2R,"Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1985), (11), 2277-81",0.0,0.0
Curtius_rearrangement,Unknown,CC(C)(C)O.[N-]=[N+]=NC(=O)C1C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c2c2c4c4c%12c5c6c5c8c9c%10c2c45)C713>>CC(C)(C)OC(=O)NC1C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c2c2c4c4c%12c5c6c5c8c9c%10c2c45)C713,|R3C-OH|R_acidic-H -> Alkyl-N(R)CO2R | spectators: Ar-Alkyl,R3C-OH,R_acidic-H,,Alkyl-N(R)CO2R,,,,,,,,,,o-Xylene,,"Synlett (2007), (2), 235-238",79.0,0.0
Curtius_rearrangement,Unknown,CO.COc1ccc([C@H]2[C@@H](C(=O)N=[N+]=[N-])c3ccccc3C(=O)N2C)cc1OC>>COC(=O)N[C@@H]1c2ccccc2C(=O)N(C)[C@H]1c1ccc(OC)c(OC)c1,|CH3-OH -> Alkyl-N(R)CO2R | bond_formed: C-O; C-N | bond_formed_labeled: C-O; C-N | bond_broken: C-C; N-N | spectators: Alkyl-NRCOR|Ar-Alkyl|Ar-CONR2|Ar-OR,CH3-OH,R_acidic-H,,Alkyl-N(R)CO2R,,,,,,,,,,,CONR2 / NRCOR / OR,"Izvestiya po Khimiya (1984), 17(2), 172-9",30.0,-0.71
Curtius_rearrangement,Unknown,CO.COc1ccc(CC(=O)N=[N+]=[N-])cc1>>COC(=O)NCc1ccc(OC)cc1,|CH3-OH -> Alkyl-N(R)CO2R | bond_formed: C-O; C-N | bond_formed_labeled: C-O; C-N | bond_broken: C-C; N-N | spectators: Ar-Alkyl|Ar-OR,CH3-OH,R_acidic-H,,Alkyl-N(R)CO2R,,,,,,,,,,MeOH,OR,"Tetrahedron Letters (2010), 51(21), 2888-2891",81.0,0.0
Curtius_rearrangement,Unknown,OCc1ccccc1.COC(c1ccccc1)(c1ccccc1)[C@@H]1OB([C@@H]2C[C@@H]2C(=O)N=[N+]=[N-])O[C@H]1C(OC)(c1ccccc1)c1ccccc1>>COC(c1ccccc1)(c1ccccc1)[C@@H]1OB([C@@H]2C[C@@H]2NC(=O)OCc2ccccc2)O[C@H]1C(OC)(c1ccccc1)c1ccccc1,|Bn-OH|R_acidic-H -> Alkyl-N(R)CO2R|Ar-Alkyl | spectators: Ar-Alkyl|R2CH-B(OR)2|R3C-OR,Bn-OH,R_acidic-H,,Alkyl-N(R)CO2R|Ar-Alkyl,,,,,,,,,,PhMe,B(OR)2 / OR,"European Journal of Organic Chemistry (2009), (34), 5998-6008, S5998/1-S5998/10",51.0,-1.14
Curtius_rearrangement,Unknown,[N-]=[N+]=NC(=O)[C@@H]1[C@H](C(=O)OCc2ccccc2)[C@@H]2O[C@H]1C(Br)C2Br.COc1ccc(CO)cc1>>COc1ccc(COC(=O)N[C@@H]2[C@H](C(=O)OCc3ccccc3)[C@@H]3O[C@H]2C(Br)C3Br)cc1,|Bn-OH|R_acidic-H -> Alkyl-N(R)CO2R|Ar-Alkyl | spectators: Ar-Alkyl|Ar-OR|R2CH-Br|R2CH-CO2R|R2CH-OR,R_acidic-H,Bn-OH,,Alkyl-N(R)CO2R|Ar-Alkyl,,,,,,,,,,PhMe,Br / CO2R / OR,"Journal of Organic Chemistry (2005), 70(2), 575-579",84.0,0.0
Curtius_rearrangement,Unknown,OCc1ccccc1.CC(=O)[C@@H]1C[C@H](C(=O)N=[N+]=[N-])C1(C)C>>CC(=O)[C@@H]1C[C@H](NC(=O)OCc2ccccc2)C1(C)C,|Bn-OH|R_acidic-H -> Alkyl-N(R)CO2R|Ar-Alkyl | spectators: R2CH-COR,Bn-OH,R_acidic-H,,Alkyl-N(R)CO2R|Ar-Alkyl,,,,,,,,,,PhMe,COR,"Tetrahedron: Asymmetry (2008), 19(3), 302-308",92.0,0.0
Curtius_rearrangement,Unknown,Oc1ccc(F)cc1.CSc1nc(C)cc(OCC(=O)N=[N+]=[N-])n1>>CSc1nc(C)cc(OCNC(=O)Oc2ccc(F)cc2)n1,|Ar-OH -> Alkyl-N(R)CO2R | bond_formed: C-N; C-O | bond_formed_labeled: C-N; C-O | bond_broken: C-C; N-N | spectators: Ar-Alkyl|Ar-F|Ar-OR|Ar-SR|HeteroAr-H|Pyrimidine,Ar-OH,R_acidic-H,,Alkyl-N(R)CO2R,,,,,,,,,,PhH,Pyrimidine / F / HeteroAr / OR / SR,"ARKIVOC (Gainesville, FL, United States) (2010), (11), 39-48",43.0,0.0
Curtius_rearrangement,Unknown,CCOC(=O)c1c(C)nn(CC(=O)N=[N+]=[N-])c1C(C)O>>CCOC(=O)c1c(C)nn2c1C(C)OC(=O)NC2,|R2CH-OH -> Alkyl-N(R)CO2R | bond_formed: C-O; C-N | bond_formed_labeled: C-O; C-N | bond_broken: C-C; N-N | spectators: Alkyl-AromN|Ar-Alkyl|Ar-CO2R|Pyrazole,R2CH-OH|R_acidic-H,,,Alkyl-N(R)CO2R,,,,,,,,,,,Pyrazole / AromN / CO2R,"Journal of Chemical Research, Synopses (1982), (1), 20-1",55.0,0.0
Curtius_rearrangement,Unknown,OCc1ccccc1.COc1ccc(COC(=O)N[C@@H](CC(C)C)C(=O)N=[N+]=[N-])cc1>>COc1ccc(COC(=O)N[C@@H](CC(C)C)NC(=O)OCc2ccccc2)cc1,|Bn-OH|R_acidic-H -> Alkyl-N(R)CO2R|Ar-Alkyl | spectators: Alkyl-N(R)CO2R|Ar-Alkyl|Ar-OR,Bn-OH,R_acidic-H,,Alkyl-N(R)CO2R|Ar-Alkyl,,,,,,,,,,PhH,N(R)CO2R / OR,"Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1985), (11), 2277-81",0.0,0.0
Curtius_rearrangement,Unknown,CCO.C[C@H](NC(=O)OCc1ccccc1)C(=O)N=[N+]=[N-]>>CCOC(=O)N[C@H](C)NC(=O)OCc1ccccc1,|RCH2-OH -> Alkyl-N(R)CO2R | bond_formed: C-O; C-N | bond_formed_labeled: C-O; C-N | bond_broken: C-C; N-N | spectators: Alkyl-N(R)CO2R|Ar-Alkyl,RCH2-OH,R_acidic-H,,Alkyl-N(R)CO2R,,,,,,,,,,EtOH,N(R)CO2R,"Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1985), (11), 2277-81",0.0,0.0
Curtius_rearrangement,Unknown,OCc1ccccc1.[N-]=[N+]=NC(=O)C(C=Cc1ccccc1)c1ccccc1>>O=C(NC(C=Cc1ccccc1)c1ccccc1)OCc1ccccc1,|Bn-OH|R_acidic-H -> Alkyl-N(R)CO2R|Ar-Alkyl | spectators: Ar-Alkenyl|Ar-Alkyl,Bn-OH,R_acidic-H,,Alkyl-N(R)CO2R|Ar-Alkyl,,,,,,,,,,,,"Zhurnal Organicheskoi Khimii (1984), 20(10), 2075-81",30.0,0.0
Curtius_rearrangement,Unknown,CCOC(=O)c1c(-c2ccccc2)nn(CC(=O)N=[N+]=[N-])c1CO>>CCOC(=O)c1c(-c2ccccc2)nn2c1COC(=O)NC2,|Bn-OH -> Alkyl-N(R)CO2R|Ar-Alkyl | bond_formed: C-O; C-N | bond_formed_labeled: C-O; C-N | bond_broken: C-C; N-N | spectators: Alkyl-AromN|Ar-Ar|Ar-CO2R|Pyrazole,R_acidic-H|Bn-OH,,,Alkyl-N(R)CO2R|Ar-Alkyl,,,,,,,,,,,Pyrazole / AromN / CO2R,"Journal of Chemical Research, Synopses (1982), (1), 20-1",73.0,0.0
Curtius_rearrangement,Unknown,COC(=O)[C@@H]1[C@@H](C(=O)N=[N+]=[N-])C1(C)C.CC(C)(C)O>>COC(=O)[C@@H]1[C@@H](NC(=O)OC(C)(C)C)C1(C)C,|R3C-OH|R_acidic-H -> Alkyl-N(R)CO2R | spectators: R2CH-CO2R,R_acidic-H,R3C-OH,,Alkyl-N(R)CO2R,,,,,,,,,,PhMe/t-BuOH,CO2R,"Chinese Chemical Letters (2006), 17(5), 584-586",53.0,0.0
Curtius_rearrangement,Unknown,CCO.CCOC(=O)C1=C(C)N(CC(=O)N=[N+]=[N-])C(=O)NC1c1ccc(Cl)cc1>>CCOC(=O)NCN1C(=O)NC(c2ccc(Cl)cc2)C(C(=O)OCC)=C1C,|RCH2-OH -> Alkyl-N(R)CO2R | bond_formed: C-O; C-N | bond_formed_labeled: C-O; C-N | bond_broken: C-C; N-N | spectators: Alkenyl-CO2R|Alkenyl-LactamN|Ar-Alkyl|Ar-Cl|R2CH-LactamN,RCH2-OH,R_acidic-H,,Alkyl-N(R)CO2R,,,,,,,,,,EtOH,CO2R / Cl / LactamN,"International Journal of ChemTech Research (2013), 5(6), 2899-2912",89.0,0.0
Curtius_rearrangement,Unknown,CCO.CCOC(=O)C1=C(C)N(CC(=O)N=[N+]=[N-])C(=O)NC1c1ccc(O)c(OC)c1>>CCOC(=O)NCN1C(=O)NC(c2ccc(O)c(OC)c2)C(C(=O)OCC)=C1C,|RCH2-OH -> Alkyl-N(R)CO2R | bond_formed: C-O; C-N | bond_formed_labeled: C-O; C-N | bond_broken: C-C; N-N | spectators: Alkenyl-CO2R|Alkenyl-LactamN|Ar-Alkyl|Ar-OH|Ar-OR|R2CH-LactamN,RCH2-OH,R_acidic-H,,Alkyl-N(R)CO2R,,,,,,,,,,EtOH,OH / CO2R / LactamN / OR,"International Journal of ChemTech Research (2013), 5(6), 2899-2912",75.0,0.0
Curtius_rearrangement,Unknown,CCO.CCOC(=O)C1=C(C)N(CC(=O)N=[N+]=[N-])C(=O)NC1c1ccccc1O>>CCOC(=O)NCN1C(=O)NC(c2ccccc2O)C(C(=O)OCC)=C1C,|RCH2-OH -> Alkyl-N(R)CO2R | bond_formed: C-O; C-N | bond_formed_labeled: C-O; C-N | bond_broken: C-C; N-N | spectators: Alkenyl-CO2R|Alkenyl-LactamN|Ar-Alkyl|Ar-OH|R2CH-LactamN,RCH2-OH,R_acidic-H,,Alkyl-N(R)CO2R,,,,,,,,,,EtOH,OH / CO2R / LactamN,"International Journal of ChemTech Research (2013), 5(6), 2899-2912",77.0,0.0
Curtius_rearrangement,Unknown,CCO.CCOC(=O)C1=C(C)N(CC(=O)N=[N+]=[N-])C(=O)NC1c1ccccc1N>>CCOC(=O)NCN1C(=O)NC(c2ccccc2N)C(C(=O)OCC)=C1C,|RCH2-OH -> Alkyl-N(R)CO2R | bond_formed: C-O; C-N | bond_formed_labeled: C-O; C-N | bond_broken: C-C; N-N | spectators: Alkenyl-CO2R|Alkenyl-LactamN|Ar-Alkyl|Ar-NH2|R2CH-LactamN,RCH2-OH,R_acidic-H,,Alkyl-N(R)CO2R,,,,,,,,,,EtOH,NH2 / CO2R / LactamN,"International Journal of ChemTech Research (2013), 5(6), 2899-2912",68.0,0.0
Curtius_rearrangement,Unknown,CCOC(=O)C1=C(C)N(CC(=O)N=[N+]=[N-])C(=O)NC1c1ccc(Cl)cc1.Oc1ccccc1>>CCOC(=O)C1=C(C)N(CNC(=O)Oc2ccccc2)C(=O)NC1c1ccc(Cl)cc1,|Ar-OH -> Alkyl-N(R)CO2R | bond_formed: C-N; C-O | bond_formed_labeled: C-N; C-O | bond_broken: C-C; N-N | spectators: Alkenyl-CO2R|Alkenyl-LactamN|Ar-Alkyl|Ar-Cl|R2CH-LactamN,R_acidic-H,Ar-OH,,Alkyl-N(R)CO2R,,,,,,,,,,PhMe,CO2R / Cl / LactamN,"International Journal of ChemTech Research (2013), 5(6), 2899-2912",82.0,0.0
Curtius_rearrangement,Unknown,CCOC(=O)C1=C(C)N(CC(=O)N=[N+]=[N-])C(=O)NC1c1ccccc1O.O=[N+]([O-])c1ccc(O)cc1>>CCOC(=O)C1=C(C)N(CNC(=O)Oc2ccc([N+](=O)[O-])cc2)C(=O)NC1c1ccccc1O,|Ar-OH -> Alkyl-N(R)CO2R | bond_formed: C-N; C-O | bond_formed_labeled: C-N; C-O | bond_broken: C-C; N-N | spectators: Alkenyl-CO2R|Alkenyl-LactamN|Ar-Alkyl|Ar-NO2|R2CH-LactamN,R_acidic-H|Ar-OH,Ar-OH,,Alkyl-N(R)CO2R,,,,,,,,,,PhMe,OH / CO2R / LactamN / NO2,"International Journal of ChemTech Research (2013), 5(6), 2899-2912",72.0,0.0
Curtius_rearrangement,Unknown,CCOC(=O)C1=C(C)N(CC(=O)N=[N+]=[N-])C(=O)NC1c1ccc(O)c(OC)c1.O=[N+]([O-])c1ccc(O)cc1>>CCOC(=O)C1=C(C)N(CNC(=O)Oc2ccc([N+](=O)[O-])cc2)C(=O)NC1c1ccc(O)c(OC)c1,|Ar-OH -> Alkyl-N(R)CO2R | bond_formed: C-N; C-O | bond_formed_labeled: C-N; C-O | bond_broken: C-C; N-N | spectators: Alkenyl-CO2R|Alkenyl-LactamN|Ar-Alkyl|Ar-NO2|Ar-OR|R2CH-LactamN,R_acidic-H|Ar-OH,Ar-OH,,Alkyl-N(R)CO2R,,,,,,,,,,PhMe,OH / CO2R / LactamN / NO2 / OR,"International Journal of ChemTech Research (2013), 5(6), 2899-2912",80.0,0.0
