reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
DIBALH_Partial_reductions,Oxidation_primary_alcohol_to_aldehyde,CC(C)C[AlH]CC(C)C.COC(=O)[C@H](CO)NC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N1[C@H](C=O)COC1(C)C,|Alkyl-H|R2CH-CO2R|RCH2-OH -> R2CH-CHO | spectators: R_acidic-H | events: Ann+C-N+C-C,Alkyl-H,R2CH-CO2R|RCH2-OH,,R2CH-CHO|RCH2-OR,,,,HCl,,,,,,PhMe/MeOH/H2O,,"Journal of Organic Chemistry (2009), 74(22), 8844-8847",71.0,0.0
DIBALH_Partial_reductions,Unknown,C#CC(=O)OCC>>O=C/C=C\I,|Alkynyl-CO2R -> Alkenyl-CHO|Alkenyl-I,Alkynyl-CO2R,,,Alkenyl-CHO|Alkenyl-I,,,,,,,NaI/AcOH,,1191-15-7,,,"Proceedings of the National Academy of Sciences of the United States of America (2011), 108(28), 11344-11349, S11344/1-S11344/35",78.0,0.0
DIBALH_Partial_reductions,Multi-Event:Ann+C-O+C-C,CC(C)C[AlH]CC(C)C.COC(=O)C[C@H](C)CC[C@H](O)C(C)C>>CC(C)[C@@H]1CC[C@@H](C)C[C@@H](O)O1.CC(C)CO[C@@H]1C[C@H](C)CC[C@@H](C(C)C)O1.CC(C)[C@@H](O)CC[C@@H](C)CC=O,|Alkyl-H|RCH2-CO2R -> R2CH-OR|RCH2-CHO|RCH2-OR | spectators: R2CH-OH|R_acidic-H | events: Ann+C-O+C-C,Alkyl-H,RCH2-CO2R,,R2CH-OR|RCH2-CHO|RCH2-OR,,,,,,,,,,H2O/DCM/PhMe/THF,OH,"Russian Journal of Organic Chemistry (2015), 51(7), 947-950",0.0,0.0
DIBALH_Partial_reductions,Multi-Event:Ann+C-O+C-C,CC(C)C[AlH]CC(C)C.COC(=O)CCCCCO>>O=CCCCCCO.CC(C)COC1CCCCCO1,|RCH2-CO2R -> RCH2-CHO|RCH2-OR | bond_formed: C-O; C-O; C-C; C-C | bond_formed_labeled: C-O; C-O; C-C; C-C | bond_broken: Al-C | spectators: RCH2-OH|R_acidic-H | events: Ann+C-O+C-C,Alkyl-H,RCH2-CO2R,,RCH2-CHO|RCH2-OR,,,,,,,,,,DCM/PhMe/THF/H2O,OH,"Russian Journal of Organic Chemistry (2020), 56(8), 1353-1358",0.0,0.0
DIBALH_Partial_reductions,Reduction_ester_to_alcohol,CCOC(=O)c1ccccc1.C1CCNCC1>>OCc1ccccc1.O=Cc1ccccc1.c1ccc(CN2CCCCC2)cc1,|Ar-CO2R|RCH2-NHR -> Bn-OH | bond_formed: C-C(ar); C-C(ar); C-C(ar); C-C(ar); C(ar)-C(ar); C-N | bond_formed_labeled: C-C(ar); C-C(ar); C-C(ar); C-C(ar); C(ar)-C(ar); C-N | bond_broken: C-O; C-C | events: Ann+C-N+C-C,Ar-CO2R,RCH2-NHR,,Ar-CHO|Bn-NR2|Bn-OH,,,,,,,,,,,,"Science of Synthesis (2004), 715-94",0.0,0.0
DIBALH_Partial_reductions,Event:C-C,CC1=C(C=O)C(C)(C)CC=C1.CCOC(=O)CP(=O)(OCC)OCC>>CC1=C(/C=C/C=O)C(C)(C)CC=C1,|RCH2-CO2R|R_acidic-H -> Alkenyl-Alkenyl | spectators: Alkenyl-Alkenyl|Alkenyl-CHO,Alkenyl-Alkenyl,RCH2-CO2R|R_acidic-H,,Alkenyl-Alkenyl,,,NaH,,MnO2,LiAlH4,,,,THF/Et2O,CHO,"Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862",35.0,-1.12
DIBALH_Partial_reductions,Event:C-C,CCOC(=O)/C=C(\C)CP(=O)(OCC)OCC.CC1=C(/C=C/C=O)C(C)(C)CC=C1>>CC1=C(/C=C/C=C/C(C)=C/C=O)C(C)(C)CC=C1,|Alkenyl-CO2R -> Alkenyl-Alkenyl | spectators: Alkenyl-Alkenyl|Alkenyl-CHO,Alkenyl-CO2R,Alkenyl-Alkenyl,,Alkenyl-Alkenyl,,,n-BuLi,,MnO2,,,,7226-23-5/1191-15-7,THF/Et2O,CHO,"Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862",66.0,1.3
DIBALH_Partial_reductions,Event:C-C,CC1=C(C=O)C(C)(C)CC=C1.CCOC(=O)/C=C(\C)CP(=O)(OCC)OCC>>CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1,|Alkenyl-CO2R -> Alkenyl-Alkenyl | spectators: Alkenyl-Alkenyl|Alkenyl-CHO,Alkenyl-Alkenyl,Alkenyl-CO2R,,Alkenyl-Alkenyl,,,n-BuLi,,MnO2,,,,7226-23-5/1191-15-7,THF/Et2O,CHO,"Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862",39.0,-0.33
DIBALH_Partial_reductions,Event:C-C,CCOC(=O)CP(=O)(OCC)OCC.CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1>>CC1=C(/C=C/C(C)=C/C=C/C=O)C(C)(C)CC=C1,|RCH2-CO2R|R_acidic-H -> Alkenyl-Alkenyl | spectators: Alkenyl-Alkenyl|Alkenyl-CHO,RCH2-CO2R|R_acidic-H,Alkenyl-Alkenyl,,Alkenyl-Alkenyl,,,NaH,,MnO2,,,,1191-15-7,THF/Et2O,CHO,"Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862",49.0,0.3
DIBALH_Partial_reductions,Event:C-C,CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1.CCOC(=O)/C=C(\C)CP(=O)(OCC)OCC>>CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CC=C1,|Alkenyl-CO2R -> Alkenyl-Alkenyl | spectators: Alkenyl-Alkenyl|Alkenyl-CHO,Alkenyl-Alkenyl,Alkenyl-CO2R,,Alkenyl-Alkenyl,,,n-BuLi,,MnO2,,,,7226-23-5/1191-15-7,THF/Et2O,CHO,"Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862",41.0,-0.2
