reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O=C(OCCC(F)(F)CO)c1ccccc1>>O=C(OCCC(F)(F)CF)c1ccccc1.O=C(OCCC(F)(F)COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,|Alkyl-S*|RCH2-OH -> Alkyl-F|RCH2-F | spectators: Alkyl-CF3|Alkyl-F|Ar-COOR,"kinds:intermolecular_or_multi_component+ring_closure_or_annulation | bonds:+O-S / -F-S | summary:fam=annulation, redox=neutral, q=medium(0.50), ring=+1",Alkyl-S*,RCH2-OH,,Alkyl-F|Alkyl-OMs|Ar-COOR|RCH2-F,,,Et3N/NaHCO3,,,,,,73602-61-6,MeCN/H2O,CF3 / COOR / F,"Journal of Medicinal Chemistry (2020), 63(3), 1002-1031",10,0.0
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,COc1ccc(CO)cc1>>COc1ccc(CF)cc1,|Bn-OH -> Bn-F | spectators: Ar-OR,"kinds:intramolecular_likely | bonds:+C-F / -C-O | summary:redox=neutral, q=high(1.00), mol=intramolecular",Bn-OH,,,Bn-F,,PPh3,KF,,,,,,,CCl4/DMF,OR,"Monatshefte fuer Chemie (2005), 136(9), 1579-1582",88,0.02
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,OCc1ccccc1>>FCc1ccccc1,|Bn-OH -> Bn-F,"kinds:intramolecular_likely | bonds:+C-F / -C-O | summary:redox=neutral, q=high(1.00), mol=intramolecular",Bn-OH,,,Bn-F,,,,,,,,,941670-06-0/941670-07-1,Et2O,,"Journal of Fluorine Chemistry (2006), 127(9), 1245-1251",95,0.94
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,OCc1cn2cc(Cl)ccc2n1>>FCc1cn2cc(Cl)ccc2n1,|Bn-OH -> Bn-F | spectators: HeteroAr-Cl|HeteroAr-H|Pyridine,"kinds:intramolecular_likely | bonds:+C-F / -C-O | summary:redox=neutral, q=high(1.00), mol=intramolecular",Bn-OH,,,Bn-F,,,,,,,,,38078-09-0,DCM,Pyridine / Cl / HeteroAr,"Synlett (2008), (14), 2111-2114",73,-0.71
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,CCC(C)O>>CC(Cl)C(C)(F)F,|R2CH-OH -> Alkyl-F|R2CH-Cl,"kinds:intramolecular_likely | bonds:+C-Cl;+C-F / -C-O | summary:redox=net_oxidation, q=high(1.00), mol=intramolecular",R2CH-OH,,,Alkyl-F|R2CH-Cl,,,,,,,,,,,,"Zhurnal Organicheskoi Khimii (1996), 32(10), 1473-1476",90,0.0
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,OCc1ccccc1>>FCc1ccccc1,|Bn-OH -> Bn-F,"kinds:intramolecular_likely | bonds:+C-F / -C-O | summary:redox=neutral, q=high(1.00), mol=intramolecular",Bn-OH,,,Bn-F,,,,,,,,,220405-40-3/174501-64-5,,,"Journal of Fluorine Chemistry (2004), 125(10), 1509-1511",80,-1.41
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,OCc1ccc2c(c1)OCO2>>FCc1ccc2c(c1)OCO2,|Bn-OH -> Bn-F | spectators: Ar-OR,"kinds:intramolecular_likely | bonds:+C-F / -C-O | summary:redox=neutral, q=high(1.00), mol=intramolecular",Bn-OH,,,Bn-F,,PPh3,KF,,,,,,,CCl4/DMF,OR,"Monatshefte fuer Chemie (2005), 136(9), 1579-1582",91,0.45
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,OCc1ccc(OCc2ccccc2)c(F)c1>>Fc1cc(CBr)ccc1OCc1ccccc1,|Bn-OH -> Bn-Br | spectators: Ar-F|Ar-OR,"kinds:intramolecular_likely | bonds:+Br-C / -C-O | summary:redox=neutral, q=high(1.00), mol=intramolecular",Bn-OH,,,Bn-Br,,PPh3,,,,,,,558-13-4,DCM,F / OR,"Journal of Fluorine Chemistry (2015), 178202-207",96,0.0
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,OCc1ccccc1>>FCc1ccccc1,|Bn-OH -> Bn-F,"kinds:intramolecular_likely | bonds:+C-F / -C-O | summary:redox=neutral, q=high(1.00), mol=intramolecular",Bn-OH,,,Bn-F,,,,,,,,,941670-08-2/941670-09-3,Et2O,,"Journal of Fluorine Chemistry (2006), 127(9), 1245-1251",88,-0.16
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,O=[N+]([O-])c1cc(CO)ccc1Cl>>O=[N+]([O-])c1cc(CF)ccc1Cl,|Bn-OH -> Bn-F | spectators: Ar-Cl|Ar-NO2,"kinds:intramolecular_likely | bonds:+C-F / -C-O | summary:redox=neutral, q=high(1.00), mol=intramolecular",Bn-OH,,,Bn-F,,,,,,,,,38078-09-0,DCM,Cl / NO2,"Synlett (2008), (14), 2111-2114",97,0.0
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,OCc1ccccc1>>FCc1ccccc1,|Bn-OH -> Bn-F,"kinds:intramolecular_likely | bonds:+C-F / -C-O | summary:redox=neutral, q=high(1.00), mol=intramolecular",Bn-OH,,,Bn-F,,,,,,,,,1006064-01-2,DCM,,"Journal of the American Chemical Society (2010), 132(51), 18199-18205",95,0.94
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,COC(=O)[C@@H]1C[C@@H](O)CN1C(C)=O>>CCN(CC)C(=O)C(F)Cl.COC(=O)[C@@H]1C[C@@H](F)CN1C(C)=O.COC(=O)[C@@H]1C[C@H](F)CN1C(C)=O,|R2CH-OH -> Alkyl-Cl|Alkyl-F|R2CH-F | spectators: Alkyl-NRCOR|R2CH-COOR|R_acidic-H,"kinds:intramolecular_likely+ring_closure_or_annulation | bonds:+C-Cl;+C-F / -C-C | summary:fam=annulation, redox=net_oxidation, q=high(1.00), mol=intramolecular, ring=+1",R2CH-OH,,,Alkyl-Cl|Alkyl-F|Alkyl-NRCOR|R2CH-COOR|R2CH-F|R_acidic-H,,,,,,,,,357-83-5,DCM,COOR / NRCOR,"Journal of Fluorine Chemistry (1993), 60(2-3), 193-210",73,0.0
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,Cc1ccc(C(=O)OC[C@H]2O[C@@H](n3cnc4c(CO)ncnc43)C[C@@H]2OC(=O)c2ccc(C)cc2)cc1>>Cc1ccc(C(=O)OC[C@H]2O[C@@H](n3cnc4c(CI)ncnc43)C[C@@H]2OC(=O)c2ccc(C)cc2)cc1,|Bn-OH -> Bn-I | spectators: Alkyl-AromN|Ar-Alkyl|Ar-COOR|HeteroAr-H|Pyrimidine|R2CH-OR,"kinds:intramolecular_likely | bonds:+C-I / -C-O | summary:redox=neutral, q=high(1.00), mol=intramolecular",Bn-OH,,,Bn-I,,PPh3,,,,,,,Iodine,THF,Pyrimidine / AromN / COOR / HeteroAr / OR,"Collection Symposium Series (2005), 7221-224",79,0.0
Deoxy_fluorination,Alcohol_to_Alkyl_Halide,OCc1ccccc1>>FCc1ccccc1,|Bn-OH -> Bn-F,"kinds:intramolecular_likely | bonds:+C-F / -C-O | summary:redox=neutral, q=high(1.00), mol=intramolecular",Bn-OH,,,Bn-F,,,,,,,,,202289-38-1,DCM,,"Journal of Organic Chemistry (1999), 64(19), 7048-7054",96,1.1
Deoxy_fluorination,Unknown,O=C([O-])C#CC(=O)O>>O=C(F)C#CC(=O)F,|[] -> [],"kinds:intramolecular_likely | bonds:+C-F / -C-O | summary:redox=neutral, q=medium(0.50), mol=intramolecular",Unclassified-Reactant,,,None,,,,,,,,,7783-60-0,,,"Organic Reactions (Hoboken, NJ, United States) (1985), 34No pp. given",70,0.0
