reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Difluoromethylation,Event:C-C,O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1.O=S(O)C(F)F.[Na]>>O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)[18F],|HeteroAr-H|Inorganic -> Ar-Alkyl | spectators: Alkyl-AromN|Alkyl-F|AromN-H|Pyrimidine|R2CH-OH|R2CH-OR|RCH2-OH,redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:carbon_nucleophile_like | amb:0,HeteroAr-H,Alkyl-F,Inorganic,Ar-Alkyl,,,,,O2,,,,11121-48-5,DMSO,Pyrimidine / AromN / OH / F / HeteroAr / OR,"Nature Communications (2020), 11(1), 638",81,0.0
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.Cc1ccccc1NC(=O)C(C)(C)C>>CCOC(=O)C(F)(F)c1ccc(NC(=O)C(C)(C)C)c(C)c1,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-Alkyl|Ar-NHCOR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-NHCOR,,Ar-Alkyl,[(pCymene)RuCl2]2/AgNTf2,,K2CO3,,,,,,768-95-6,DCE,COOR / F / NHCOR,"Nature Communications (2018), 9(1), 1-10",78,-0.23
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.CCc1ccccc1NC(=O)C(C)(C)C>>CCOC(=O)C(F)(F)c1ccc(NC(=O)C(C)(C)C)c(CC)c1,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-Alkyl|Ar-NHCOR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-NHCOR,,Ar-Alkyl,[(pCymene)RuCl2]2/AgNTf2,,K2CO3,,,,,,768-95-6,DCE,COOR / F / NHCOR,"Nature Communications (2018), 9(1), 1-10",76,-0.73
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.COc1ccccc1NC(=O)C(C)(C)C>>CCOC(=O)C(F)(F)c1ccc(NC(=O)C(C)(C)C)c(OC)c1,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-NHCOR|Ar-OR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-NHCOR,,Ar-Alkyl,[(pCymene)RuCl2]2/AgNTf2,,K2CO3,,,,,,768-95-6,DCE,COOR / F / NHCOR / OR,"Nature Communications (2018), 9(1), 1-10",73,-0.45
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.CC(C)(C)C(=O)Nc1ccccc1Oc1ccccc1>>CCOC(=O)C(F)(F)c1ccc(NC(=O)C(C)(C)C)c(Oc2ccccc2)c1,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-NHCOR|Ar-OR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-NHCOR,,Ar-Alkyl,[(pCymene)RuCl2]2/AgNTf2,,K2CO3,,,,,,768-95-6,DCE,COOR / F / NHCOR / OR,"Nature Communications (2018), 9(1), 1-10",80,1.36
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.CN(C(=O)C(C)(C)C)c1ccccc1>>CCOC(=O)C(F)(F)c1ccc(N(C)C(=O)C(C)(C)C)cc1,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-NRCOR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-NRCOR,,Ar-Alkyl,[(pCymene)RuCl2]2/AgNTf2,,K2CO3,,,,,,768-95-6,DCE,COOR / F / NRCOR,"Nature Communications (2018), 9(1), 1-10",71,0.0
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.CC(C)(C)C(=O)N1CCc2ccccc21>>CCOC(=O)C(F)(F)c1ccc2c(c1)CCN2C(=O)C(C)(C)C,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-Alkyl|Ar-NRCOR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-Alkyl,,Ar-Alkyl,[(pCymene)RuCl2]2/AgNTf2,,K2CO3,,,,,,768-95-6,DCE,COOR / F / NRCOR,"Nature Communications (2018), 9(1), 1-10",82,0.88
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.CC1Cc2ccccc2N1C(=O)C(C)(C)C>>CCOC(=O)C(F)(F)c1ccc2c(c1)CC(C)N2C(=O)C(C)(C)C,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-Alkyl|Ar-NRCOR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-Alkyl,,Ar-Alkyl,[(pCymene)RuCl2]2/AgNTf2,,K2CO3,,,,,,768-95-6,DCE,COOR / F / NRCOR,"Nature Communications (2018), 9(1), 1-10",74,-0.57
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.CC(C)(C)C(=O)N1CCc2c(Br)cccc21>>CCOC(=O)C(F)(F)c1ccc2c(c1Br)CCN2C(=O)C(C)(C)C,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-Alkyl|Ar-Br|Ar-NRCOR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-Br,,Ar-Alkyl,[(pCymene)RuCl2]2/AgNTf2,,K2CO3,,,,,,768-95-6,DCE,Br / COOR / F / NRCOR,"Nature Communications (2018), 9(1), 1-10",76,0.0
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.CC(C)(C)C(=O)N1CCCc2ccccc21>>CCOC(=O)C(F)(F)c1ccc2c(c1)CCCN2C(=O)C(C)(C)C,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-Alkyl|Ar-NRCOR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-Alkyl,,Ar-Alkyl,[(pCymene)RuCl2]2/AgNTf2,,K2CO3,,,,,,768-95-6,DCE,COOR / F / NRCOR,"Nature Communications (2018), 9(1), 1-10",71,-1.12
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.c1ccc(-c2ccccn2)cc1>>CCOC(=O)C(F)(F)c1ccccc1-c1ccccn1,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-Ar|HeteroAr-H|Pyridine,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,HeteroAr-H,,Ar-Alkyl,[(pCymene)RuCl2]2/AgNTf2,,K2CO3,,,,,,768-95-6,DCE,Pyridine / COOR / F / HeteroAr,"Nature Communications (2018), 9(1), 1-10",76,0.0
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.[2H]c1c([2H])c([2H])c(NC(=O)C(C)(C)C)c([2H])c1[2H]>>[2H]c1c([2H])c(C(F)(F)C(=O)OCC)c([2H])c([2H])c1NC(=O)C(C)(C)C,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-NHCOR,sig:LGDisp+C-C | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-H | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-NHCOR,,Ar-Alkyl,[(pCymene)RuCl2]2/AgNTf2,,K2CO3,,,,,,768-95-6/17060-07-0,,COOR / F / NHCOR,"Nature Communications (2018), 9(1), 1-10",83,0.58
Difluoromethylation,Alkene_Hydrogenation,O=C(OC(=O)C(F)(F)F)C(F)(F)F.CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1>>CSc1ccc(/C=C2/C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1C(F)F,|Alkyl-Alkenyl|Alkyl-COOR|Alkyl-F -> Ar-Alkyl | spectators: Alkenyl-Alkenyl|Ar-Alkenyl|Ar-F|Ar-SR|RCH2-COOH|R_acidic-H,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-C;C-F | break_cls:C-C;C-O;O-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-COOR|Alkyl-F,Alkyl-Alkenyl,,Ar-Alkenyl|Ar-Alkyl,,,NaOH,HCl,,,,,,DCM/THF/H2O,COOH / F / SR,"Organic Letters (2020), 22(3), 1164-1168",72,0.0
Difluoromethylation,Alkylation_friedel_crafts,COC(=O)c1ccccc1.CCOC(=O)C(F)(F)Br>>CCOC(=O)C(F)(F)c1ccc(C(=O)OC)cc1.CCOC(=O)C(F)(F)c1cccc(C(=O)OC)c1,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-COOR,"sig:Ann+LGDisp+C-O+C-C | redox:net_oxidation | redox_conf:0.75 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation | fam:annulation+substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-F;C-O | break_cls:Br-C;C-C | lg:Br | nuc:O | ringd:1 | anom:mapping_unreliable_fallback_used,multi_transform_record_possible | mech:E2_competitor+SN2 | risk:overreaction_or_chemoselectivity,substitution_vs_elimination | ehyb:sp3 | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0",Ar-COOR,Alkyl-Br,,Alkyl-COOR|Alkyl-F|Ar-Alkyl|Ar-COOR,Silver fluoride/Pd(PPh3)4,CyJohnPhos,KOAc,,,,,,,n-Hexane,COOR / F,"Journal of Organic Chemistry (2020), 85(16), 10740-10749",74,0.0
Difluoromethylation,Alkylation_friedel_crafts,COC(=O)c1ccccc1C.CCOC(=O)C(F)(F)Br>>CCOC(=O)C(F)(F)c1ccc(C(=O)OC)c(C)c1,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-Alkyl|Ar-COOR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Ar-COOR,Alkyl-Br,,Ar-Alkyl,Silver fluoride/Pd(PPh3)4,CyJohnPhos,KOAc,,,,,,,n-Hexane,COOR / F,"Journal of Organic Chemistry (2020), 85(16), 10740-10749",71,0.71
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.CCc1ccccc1C(=O)OC>>CCOC(=O)C(F)(F)c1ccc(C(=O)OC)c(CC)c1,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-Alkyl|Ar-COOR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-COOR,,Ar-Alkyl,Silver fluoride/Pd(PPh3)4,CyJohnPhos,KOAc,,,,,,,n-Hexane,COOR / F,"Journal of Organic Chemistry (2020), 85(16), 10740-10749",70,-0.71
Difluoromethylation,Alkylation_friedel_crafts,COC(=O)c1ccccc1OC.CCOC(=O)C(F)(F)Br>>CCOC(=O)C(F)(F)c1ccc(C(=O)OC)c(OC)c1,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-COOR|Ar-OR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Ar-COOR,Alkyl-Br,,Ar-Alkyl,Silver fluoride/Pd(PPh3)4,CyJohnPhos,KOAc,,,,,,,n-Hexane,COOR / F / OR,"Journal of Organic Chemistry (2020), 85(16), 10740-10749",72,0.71
Difluoromethylation,Alkylation_friedel_crafts,CCOC(=O)C(F)(F)Br.COC(=O)c1cccc(OC)c1>>CCOC(=O)C(F)(F)c1ccc(C(=O)OC)cc1OC,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-COOR|Alkyl-F|Ar-COOR|Ar-OR,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-Br,Ar-COOR,,Ar-Alkyl,Silver fluoride/Pd(PPh3)4,CyJohnPhos,KOAc,,,,,,,n-Hexane,COOR / F / OR,"Journal of Organic Chemistry (2020), 85(16), 10740-10749",70,-0.71
