reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
EschweilerClarke_methylation,Unknown,C=O.COC(=O)CN1C(=O)C2(CCCCC2)NC2(CCCCC2)C1=O>>COC(=O)CN1C(=O)C2(CCCCC2)N(C)C2(CCCCC2)C1=O,|R3C-NHR|Unclassified-Reactant -> R3C-NR2 | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O | spectators: Alkyl-NRCOR|R3C-CONR2|RCH2-CO2R|R_acidic-H,,R3C-NHR,,R3C-NR2,,,,64-18-6,,,,,,,CO2R / CONR2 / NRCOR,"Acta Facultatis Rerum Naturalium Universitatis Comenianae, Chimia (1981), 2959-68",0.0,0.0
EschweilerClarke_methylation,Unknown,C=O.O=C(/C=C/c1ccccc1)N1CC2(CCCCC2)NC2(CCCCC2)C1>>CN1C2(CCCCC2)CN(C(=O)/C=C/c2ccccc2)CC12CCCCC2,|R3C-NHR|Unclassified-Reactant -> R3C-NR2 | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O | spectators: Alkenyl-CONR2|Alkyl-NRCOR|Ar-Alkenyl,,R3C-NHR,,R3C-NR2,,,,64-18-6,,,,,,,CONR2 / NRCOR,"Acta Facultatis Rerum Naturalium Universitatis Comenianae, Chimia (1981), 2959-68",0.0,0.0
EschweilerClarke_methylation,Unknown,C=O.CC1=CC(=O)O[C@@H](C[C@@H]2CCCCN2)C1>>CC1=CC(=O)O[C@@H](C[C@@H]2CCCCN2C)C1,|R2CH-NHR|RCH2-NHR|Unclassified-Reactant -> R2CH-NR2|RCH2-NR2 | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O | spectators: Alkenyl-CO2R,,RCH2-NHR|R2CH-NHR,,R2CH-NR2|RCH2-NR2,,,,,,,,,25895-60-7,,CO2R,"Chemistry - A European Journal (2011), 17(22), 6221-6226",35.0,0.0
EschweilerClarke_methylation,Unknown,C=O.CN[C@H]1[C@@H](O)[C@H](n2cnc3c(N(C)C)ncnc32)O[C@@H]1CO>>CN(C)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](N(C)C)[C@H]1O,|R2CH-NHR|Unclassified-Reactant -> R2CH-NR2 | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O | spectators: Alkyl-AromN|Ar-NR2|HeteroAr-H|Pyrimidine|R2CH-OH|R2CH-OR|RCH2-OH,,R2CH-NHR,,R2CH-NR2,,,,64-18-6,,,,,,H2O,Pyrimidine / AromN / NR2 / OH / HeteroAr / OR,"Journal of Organic Chemistry (1970), 35(11), 3808-14",78.0,0.0
EschweilerClarke_methylation,Unknown,C=O.CC1=CC(=O)O[C@@H](C[C@@H]2CCCCN2C(=O)OC(C)(C)C)C1>>CC1=CC(=O)O[C@@H](C[C@@H]2CCCCN2C)C1,|Alkyl-N(R)CO2R|Unclassified-Reactant -> R2CH-NR2|RCH2-NR2 | spectators: Alkenyl-CO2R,,Alkyl-N(R)CO2R,,R2CH-NR2|RCH2-NR2,,,,64-18-6,,,,,,MeCN,CO2R,"Chemistry - A European Journal (2011), 17(22), 6221-6226",92.0,0.0
EschweilerClarke_methylation,Unknown,C=O.CCCCCCCCOC(=O)CN1C(=O)C2(CCCCC2)NC2(CCCCC2)C1=O>>CCCCCCCCOC(=O)CN1C(=O)C2(CCCCC2)N(C)C2(CCCCC2)C1=O,|R3C-NHR|Unclassified-Reactant -> R3C-NR2 | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O | spectators: Alkyl-NRCOR|R3C-CONR2|RCH2-CO2R|R_acidic-H,,R3C-NHR,,R3C-NR2,,,,64-18-6,,,,,,,CO2R / CONR2 / NRCOR,"Acta Facultatis Rerum Naturalium Universitatis Comenianae, Chimia (1981), 2959-68",0.0,0.0
EschweilerClarke_methylation,Unknown,C=O.C1CCC2(CC1)CNCC1(CCCCC1)N2>>CN1CC2(CCCCC2)N(C)C2(CCCCC2)C1,|R3C-NHR|RCH2-NHR|Unclassified-Reactant -> R3C-NR2|RCH2-NR2 | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | bond_broken: C-O,,RCH2-NHR|R3C-NHR,,R3C-NR2|RCH2-NR2,,,,64-18-6,,,,,,,,"Acta Facultatis Rerum Naturalium Universitatis Comenianae, Chimia (1981), 2959-68",0.0,0.0
EschweilerClarke_methylation,Unknown,C=O.CC(=O)O.COc1ccc(C(CN)C2(O)CCCCC2)cc1>>COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,|Alkyl-CO2H|RCH2-NH2|Unclassified-Reactant -> Inorganic|RCH2-NR2 | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | bond_broken: C-O; C-C | spectators: Ar-Alkyl|Ar-OR|R3C-OH,,Alkyl-CO2H|R_acidic-H,RCH2-NH2,Inorganic|RCH2-NR2,Ni,,K2CO3,HCl,,H2,iPrOH,,,MeOH/H2O/EtOAc,OH / OR,"India, IN2006CH00257 A 2008-11-28",80.0,0.0
EschweilerClarke_methylation,Unknown,NCc1ccccc1.O=C1CCCCC1>>c1ccc(CNC2CCCCC2)cc1,|Bn-NH2|RCH2-COR|R_acidic-H -> Bn-NHR,Bn-NH2,RCH2-COR|R_acidic-H,,Bn-NHR,,,,64-18-6,,,,,,,,"Journal of Chemical Research, Synopses (2001), (7), 292-293",62.0,0.0
EschweilerClarke_methylation,Unknown,O=C1C2CCC3C1NCCC31c3ccccc3NC21>>CN1CCC23c4ccccc4NC2C2CCC3C1C2=O,|R2CH-NHR|RCH2-NHR -> Ar-NHR | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-NHR] | spectators: Ar-Alkyl|Ar-NHR|R2CH-COR|R_acidic-H,RCH2-NHR|R2CH-NHR,,,R2CH-NR2|RCH2-NR2,,,KOH,,,,,,77-78-1,DCM/H2O,NHR / COR,"Journal of Organic Chemistry (1985), 50(7), 929-31",0.0,0.0
