reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Formation_of_Oximes,Event:C-N,Cc1ccc(C(=O)/C(=N\O)c2ccc(C)cc2)cc1>>Cc1ccc(C(=N/N)/C(=N\O)c2ccc(C)cc2)cc1,|Ar-COR -> Ar-C=N | spectators: Ar-Alkyl|Ar-C=N,"kinds:c_n_bond_formation+intramolecular_likely | bonds:+C-N / -C-O | summary:fam=bond_formation, redox=neutral, q=medium(0.50), mol=intramolecular",Ar-COR,,,Ar-C=N,,,,,,,AcOH,,302-01-2,EtOH,C=N,"Liebigs Annalen der Chemie (1989), (11), 1071-4",41,0.71
Formation_of_Oximes,Event:C-N,CON.C#CCOCC#CCCCC=O>>C#CCOCC#CCCC/C=N/OC.C#CCOCC#CCCC/C=N\OC,|RCH2-CHO -> Alkyl-Alkynyl|Alkyl-Alkynyl_terminal|Alkyl-O*|RCH2-OR | spectators: Alkyl-Alkynyl|Alkyl-Alkynyl_terminal|Alkyl-O*|Propargyl-H|RCH2-OR,"kinds:c_n_bond_formation+intermolecular_or_multi_component | bonds:+C-N | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Alkyl-O*,RCH2-CHO|R_acidic-H,,Alkyl-Alkynyl|Alkyl-Alkynyl_terminal|Alkyl-O*|Propargyl-H|RCH2-OR,,,NaOAc,,,,,,,DCM,Alkynyl_terminal / O* / OR,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",51,0.0
Formation_of_Oximes,Event:C-N,CON.CC(C)[Si](C#CC#CCOCC#CCCCC=O)(C(C)C)C(C)C>>CO/N=C/CCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C.CO/N=C\CCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C,|RCH2-CHO -> Alkyl-Alkynyl|Alkyl-O*|Alkynyl-Si*|RCH2-OR | spectators: Alkyl-Alkynyl|Alkyl-O*|Alkynyl-Si*|Propargyl-H|RCH2-OR,"kinds:c_n_bond_formation+intermolecular_or_multi_component | bonds:+C-N | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Alkyl-O*,RCH2-CHO|R_acidic-H,,Alkyl-Alkynyl|Alkyl-O*|Alkynyl-Si*|Propargyl-H|RCH2-OR,,,NaOAc,,,,,,,DCM,O* / OR / Si*,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",54,0.71
Formation_of_Oximes,Event:C-N,CON.CC(C)[Si](C#CC#CCOCC#CCCCCC=O)(C(C)C)C(C)C>>CO/N=C/CCCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C.CO/N=C\CCCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C,|RCH2-CHO -> Alkyl-Alkynyl|Alkyl-O*|Alkynyl-Si*|RCH2-OR | spectators: Alkyl-Alkynyl|Alkyl-O*|Alkynyl-Si*|Propargyl-H|RCH2-OR,"kinds:c_n_bond_formation+intermolecular_or_multi_component | bonds:+C-N | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Alkyl-O*,RCH2-CHO|R_acidic-H,,Alkyl-Alkynyl|Alkyl-O*|Alkynyl-Si*|Propargyl-H|RCH2-OR,,,NaOAc,,,,,,,DCM,O* / OR / Si*,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",37,-0.71
Formation_of_Oximes,Event:C-N,CON.COC(=O)C#CCOCC#CCCCC=O>>CO/N=C/CCCC#CCOCC#CC(=O)OC.CO/N=C\CCCC#CCOCC#CC(=O)OC,|RCH2-CHO -> Alkyl-Alkynyl|Alkyl-O*|Alkynyl-COOR|RCH2-OR | spectators: Alkyl-Alkynyl|Alkyl-O*|Alkynyl-COOR|Propargyl-H|RCH2-OR,"kinds:c_n_bond_formation+intermolecular_or_multi_component | bonds:+C-N / -C-O | summary:fam=bond_formation, redox=neutral, q=medium(0.50) | alerts:risk=overreaction_or_chemoselectivity",Alkyl-O*,RCH2-CHO|R_acidic-H,,Alkyl-Alkynyl|Alkyl-O*|Alkynyl-COOR|Propargyl-H|RCH2-OR,,,NaOAc,,,,,,,DCM,COOR / O* / OR,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",44,0.0
Formation_of_Oximes,Event:C-N,CON.CC(C)(C)[Si](C)(C)OCCC#CC#CCOCC#CCCCC=O>>CO/N=C/CCCC#CCOCC#CC#CCCO[Si](C)(C)C(C)(C)C.CO/N=C\CCCC#CCOCC#CC#CCCO[Si](C)(C)C(C)(C)C,|RCH2-CHO -> Alkyl-Alkynyl|Alkyl-O*|Alkyl-Si*|RCH2-OR | spectators: Alkyl-Alkynyl|Alkyl-Si*|Propargyl-H|RCH2-OR,"kinds:c_n_bond_formation+intermolecular_or_multi_component | bonds:+C-N | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Alkyl-O*,RCH2-CHO|R_acidic-H,,Alkyl-Alkynyl|Alkyl-O*|Alkyl-Si*|Propargyl-H|RCH2-OR,,,NaOAc,,,,,,,DCM,OR / Si*,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",36,0.0
Formation_of_Oximes,Multi-Event:Ann+C-N,CON.O=CCCCC#CCOCC#Cc1ccccn1>>CO/N=C/CCCC#CCOCC#Cc1ccccn1.CO/N=C\CCCC#CCOCC#Cc1ccccn1,|RCH2-CHO -> Alkyl-Alkynyl|Alkyl-O*|Ar-Alkynyl|HeteroAr-H|Pyridine|RCH2-OR | spectators: Alkyl-Alkynyl|Alkyl-O*|Ar-Alkynyl|HeteroAr-H|Propargyl-H|Pyridine|RCH2-OR,"sig:Ann+C-N | bonds:+C-N | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkyl-O*,RCH2-CHO|R_acidic-H,,Alkyl-Alkynyl|Alkyl-O*|Ar-Alkynyl|HeteroAr-H|Propargyl-H|Pyridine|RCH2-OR,,,NaOAc,,,,,,,DCM,Pyridine / HeteroAr / O* / OR,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",45,0.0
Formation_of_Oximes,Event:C-N,CON.O=CCCCC#CCOCC#CS(=O)(=O)c1ccccc1>>CO/N=C/CCCC#CCOCC#CS(=O)(=O)c1ccccc1,|RCH2-CHO -> Product_Aryl_S | spectators: Alkyl-Alkynyl|Alkyl-O*|Alkynyl-SO2R|Propargyl-H|RCH2-OR,"kinds:c_n_bond_formation+intermolecular_or_multi_component | bonds:+C-N / -C-O | summary:fam=bond_formation, redox=neutral, q=medium(0.50) | alerts:risk=overreaction_or_chemoselectivity",Alkyl-O*,RCH2-CHO|R_acidic-H,,None,,,NaOAc,,,,,,,DCM,O* / OR / SO2R,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",90,0.0
Formation_of_Oximes,Unresolved:NoMotifEvidence,CC(=O)C(C)Cl>>CC(=NO)C(C)Cl,|R2CH-COR -> [] | spectators: R2CH-Cl,"summary:redox=uncertain, q=low(0.00), mol=unknown | alerts:anom=bond_key_demoted_due_to_inconsistency",R2CH-COR|R_acidic-H,,,None,,,,,,,,,141-52-6/5470-11-1,Et2O,Cl,"Zhurnal Organicheskoi Khimii (1990), 26(3), 537-44",56,0.0
Formation_of_Oximes,Event:C-N,Cc1ccc(C(=O)/C(=N/O)c2ccc(C)cc2)cc1>>Cc1ccc(C(=N/N)/C(=N/O)c2ccc(C)cc2)cc1,|Ar-COR -> Ar-C=N | spectators: Ar-Alkyl|Ar-C=N,"kinds:c_n_bond_formation+intramolecular_likely | bonds:+C-N / -C-O | summary:fam=bond_formation, redox=neutral, q=medium(0.50), mol=intramolecular",Ar-COR,,,Ar-C=N,,,,,,,AcOH,,302-01-2,EtOH,C=N,"Liebigs Annalen der Chemie (1989), (11), 1071-4",29,-0.71
