reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Gabriel_amine_synthesis,Alkyl_Nucleophilic_Substitution,BrCCSc1ccccc1.Nc1ccc2c(c1)C(=O)NC2=O.[K]>>Nc1ccc2c(c1)C(=O)N(CCSc1ccccc1)C2=O,|Ar-CONHR|Inorganic|RCH2-Br -> Alkyl-NRCOR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | spectators: Ar-NH2|Ar-SR | events: LGDisp+C-N,RCH2-Br,Ar-CONHR,Inorganic,Alkyl-NRCOR|Ar-CONR2,,,,,,,,,,DMF,NH2 / SR,"Zhongguo Yiyao Gongye Zazhi (2010), 41(4), 251-253",0.0,-0.71
Gabriel_amine_synthesis,Alkyl_Nucleophilic_Substitution,O=C(CBr)c1ccc(Br)cc1.O=C1NC(=O)c2ccccc21.[K]>>O=C(CN1C(=O)c2ccccc2C1=O)c1ccc(Br)cc1,|Ar-CONHR|Inorganic|RCH2-Br -> Alkyl-NRCOR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | spectators: Ar-Br|Ar-COR|R_acidic-H | events: LGDisp+C-N,RCH2-Br,Ar-CONHR,Inorganic,Alkyl-NRCOR|Ar-CONR2,,,,,,,,,,,Br / COR,"Yakugaku Zasshi (1991), 111(7), 359-64",96.0,0.0
Gabriel_amine_synthesis,Alkyl_Nucleophilic_Substitution,O=C1NC(=O)c2ccccc21.ClCC1CO1>>O=C1c2ccccc2C(=O)N1CC1CO1,|Ar-CONHR|RCH2-Cl -> Alkyl-NRCOR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-Cl | spectators: RCH2-OR | events: LGDisp+C-N,Ar-CONHR,RCH2-Cl,,Alkyl-NRCOR|Ar-CONR2,,,K2CO3,,,,,,,,OR,"Youji Huaxue (2013), 33(3), 640-642",89.0,0.0
Gabriel_amine_synthesis,Alkyl_Nucleophilic_Substitution,CI.O=S(=O)(Nc1ccccc1)C(F)(F)F>>CN(c1ccccc1)S(=O)(=O)C(F)(F)F,|Alkyl-SO2NHR|CH3-I -> Alkyl-SO2NR2 | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-I | spectators: Alkyl-F | events: LGDisp+C-N,CH3-I,Alkyl-SO2NHR,,Alkyl-SO2NR2,,,,,,,,,,,F,"Tetrahedron Letters (1973), (39), 3839-42",94.0,0.0
Gabriel_amine_synthesis,Event:C-N,CC(C)(C)OC(=O)N1CCc2ccccc2[C@@H]1CO.O=C1NC(=O)c2ccccc21>>CC(C)(C)OC(=O)N1CCc2ccccc2[C@@H]1CN1C(=O)c2ccccc2C1=O,|Ar-CONHR|RCH2-OH -> Ar-CONR2 | spectators: Ar-Alkyl,RCH2-OH,Ar-CONHR,,Alkyl-NRCOR|Ar-CONR2,,PPh3,,,,,,,2446-83-5,H2O/DCM,,"World Intellectual Property Organization, WO2015055127 A1 2015-04-23",71.0,0.0
Gabriel_amine_synthesis,Alkyl_Nucleophilic_Substitution,O=C1NC(=O)c2ccccc21.[K].O=[N+]([O-])c1ccccc1OCCCBr>>O=C1c2ccccc2C(=O)N1CCCOc1ccccc1[N+](=O)[O-],|Ar-CONHR|Inorganic|RCH2-Br -> Alkyl-NRCOR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | spectators: Ar-NO2|Ar-OR | events: LGDisp+C-N,Ar-CONHR,Inorganic,RCH2-Br,Alkyl-NRCOR|Ar-CONR2,,,,,,,,,,H2O/DMF,NO2 / OR,"Huaxue Xuebao (2006), 64(11), 1151-1156",73.0,0.0
Gabriel_amine_synthesis,Multi-Event:LGDisp+C-N,CCOC(=O)C(C)Br.CC(C)(C)OC(=O)NC(=O)OC(C)(C)C.[K]>>CCOC(=O)C(C)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,|Alkyl-H|Inorganic|R2CH-Br -> [] | spectators: R2CH-CO2R|R_acidic-H | events: LGDisp+C-N,R2CH-Br,Alkyl-H,Inorganic,None,,,,,,,,,,DMF,CO2R,"Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1992), (2), 245-53",90.0,1.38
Gabriel_amine_synthesis,Alkyl_Nucleophilic_Substitution,OCCCl.O=C1NC(=O)c2ccccc21.[K]>>O=C1c2ccccc2C(=O)N1CCO,|Ar-CONHR|Inorganic|RCH2-Cl -> Alkyl-NRCOR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-Cl | spectators: RCH2-OH | events: LGDisp+C-N,RCH2-Cl,Ar-CONHR,Inorganic,Alkyl-NRCOR|Ar-CONR2,,,,,,,,,,DMF,OH,"Jingxi Huagong Zhongjianti (2004), 34(4), 30-32",86.0,0.0
Gabriel_amine_synthesis,Multi-Event:LGDisp+C-N,CCCCBr.CCOP(=O)(NC(=O)OC(C)(C)C)OCC.[Na]>>CCCCN(C(=O)OC(C)(C)C)P(=O)(OCC)OCC,|Inorganic|RCH2-Br -> [] | spectators: Alkyl-H | events: LGDisp+C-N,RCH2-Br,Alkyl-H,Inorganic,None,,,,,,,,,,,,"Synthesis (1982), (11), 922-4",78.0,0.0
Gabriel_amine_synthesis,Event:C-N,O=C1NC(=O)c2ccccc21.[K].O=[N+]([O-])c1ccccc1S(=O)(=O)OCC(F)(F)C(F)F>>O=C1c2ccccc2C(=O)N1CC(F)(F)C(F)F,|Alkyl-OSO2R|Ar-CONHR|Ar-NO2|Inorganic -> Ar-CONR2 | spectators: Alkyl-F,Ar-CONHR,Inorganic,Ar-NO2|Alkyl-OSO2R,Alkyl-NRCOR|Ar-CONR2,,,,,,,,,,Sulfolane,F,"Nippon Kagaku Kaishi (1985), (4), 796-8",0.0,0.0
