reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Gewald_reaction,Multi-Event:Ann+C-N+C-S+C-C,CC(=C(C#N)C#N)c1ccccc1>>N#Cc1c(-c2ccccc2)csc1N,|Alkenyl-CN|Ar-Alkenyl -> HeteroAr-NH2,"sig:Ann+C-N+C-S+C-C | bonds:+C(ar)-N;+C(ar)-S;+C-C(ar) / -C(ar)-C(ar);-C-C;-C-N | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), mol=intramolecular, ring=+1 | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkenyl-CN|Ar-Alkenyl,,,HeteroAr-Ar|HeteroAr-CN|HeteroAr-H|HeteroAr-NH2|Thiophene,,,Et3N,,,,,,Sulfane,EtOH,,"Phosphorus, Sulfur and Silicon and the Related Elements (2005), 180(8), 1815-1827",80,-0.42
Gewald_reaction,Multi-Event:Ann+C-S+C-C,COc1ccc(C(C)=C(C#N)C#N)cc1>>COc1ccc(-c2csc(N)c2C#N)cc1,|Alkenyl-CN|Ar-Alkenyl -> HeteroAr-Ar|HeteroAr-CN|HeteroAr-H|HeteroAr-NH2|Thiophene | spectators: Ar-OR,"sig:Ann+C-S+C-C | bonds:+C-C(ar);+C-S / -C(ar)-C(ar);-C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), mol=intramolecular, ring=+1 | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkenyl-CN|Ar-Alkenyl,,,HeteroAr-Ar|HeteroAr-CN|HeteroAr-H|HeteroAr-NH2|Thiophene,,,Et3N,,,,,,Sulfane,EtOH,OR,"Phosphorus, Sulfur and Silicon and the Related Elements (2005), 180(8), 1815-1827",85,0.71
Gewald_reaction,Multi-Event:Ann+C-N+C-S+C-C,CC(=C(C#N)C#N)c1ccc(C)cc1>>Cc1ccc(-c2csc(N)c2C#N)cc1,|Alkenyl-CN|Ar-Alkenyl -> HeteroAr-NH2 | spectators: Ar-Alkyl,"sig:Ann+C-N+C-S+C-C | bonds:+C(ar)-N;+C(ar)-S;+C-C(ar);+C-S / -C(ar)-C(ar);-C-C;-C-N | summary:fam=annulation+bond_formation, redox=net_oxidation, q=medium(0.50), mol=intramolecular, ring=+1 | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkenyl-CN|Ar-Alkenyl,,,HeteroAr-Ar|HeteroAr-CN|HeteroAr-H|HeteroAr-NH2|Thiophene,,,Et3N,,,,,,Sulfane,EtOH,,"Phosphorus, Sulfur and Silicon and the Related Elements (2005), 180(8), 1815-1827",85,0.0
Gewald_reaction,Multi-Event:Ann+C-S+C-C,N#CC(C#N)=C(Cc1ccccc1)c1ccccc1>>N#Cc1c(N)sc(-c2ccccc2)c1-c1ccccc1,|Alkenyl-CN|Ar-Alkenyl|Ar-Alkyl -> HeteroAr-Ar|HeteroAr-CN|HeteroAr-NH2|Thiophene,"sig:Ann+C-S+C-C | bonds:+C(ar)-S;+C-C(ar);+C-S / -C(ar)-C(ar);-C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=medium(0.50), mol=intramolecular, ring=+1 | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkenyl-CN|Ar-Alkenyl|Ar-Alkyl,,,HeteroAr-Ar|HeteroAr-CN|HeteroAr-NH2|Thiophene,,,,,,,,,10544-50-0/528818-81-7,,,"Synthetic Communications (2015), 45(1), 119-126",74,-0.71
Gewald_reaction,Alkene_Hydrogenation,CCOC(=O)CC(C)=C(C#N)C#N>>CCOC(=O)c1sc(N)c(C#N)c1C,|RCH2-Alkenyl -> Ar-Alkyl,"sig:Ann+C-S | bonds:+C-S | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), mol=intramolecular, ring=+1 | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity, anom=multi_transform_record_possible",RCH2-COOR|Alkenyl-CN|R_acidic-H|RCH2-Alkenyl,,,Ar-Alkyl|Ar-COOR|HeteroAr-CN|HeteroAr-NH2|Thiophene,,,,,,,,,10544-50-0/528818-81-7,,,"Synthetic Communications (2015), 45(1), 119-126",86,-0.72
Gewald_reaction,Alkene_Hydrogenation,CCOC(=O)CC(C)=C(C#N)C(=O)OCC>>CCOC(=O)c1sc(N)c(C(=O)OCC)c1C,|Alkenyl-CN|Alkenyl-COOR|RCH2-Alkenyl -> Ar-Alkyl,"sig:Ann+C-S | bonds:+C-S / -C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), mol=intramolecular, ring=+1 | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkenyl-COOR|RCH2-COOR|Alkenyl-CN|R_acidic-H|RCH2-Alkenyl,,,Ar-Alkyl|Ar-COOR|HeteroAr-NH2|Thiophene,,,,,,,,,10544-50-0/528818-81-7,,,"Synthetic Communications (2015), 45(1), 119-126",84,0.0
Gewald_reaction,Alkene_Hydrogenation,N#CC(C#N)=C1CCCCC1>>N#Cc1c(N)sc2c1CCCC2,|RCH2-Alkenyl -> Ar-Alkyl,"sig:Ann+C-S | bonds:+C-S | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), mol=intramolecular, ring=+1 | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkenyl-CN|RCH2-Alkenyl,,,Ar-Alkyl|HeteroAr-CN|HeteroAr-NH2|Thiophene,,L-Proline,,,,,,,10544-50-0,DMSO,,"Synlett (2010), (9), 1351-1354",74,-1.98
Gewald_reaction,Multi-Event:Ann+C-N+C-S+C-C,CC(=C(C#N)C#N)c1cc2ccccc2oc1=O>>N#Cc1c(-c2cc3ccccc3oc2=O)csc1N,|Alkenyl-CN|Ar-Alkenyl -> HeteroAr-NH2 | spectators: HeteroAr-H,"sig:Ann+C-N+C-S+C-C | bonds:+C(ar)-N;+C(ar)-S;+C-C(ar);+C-S / -C(ar)-C(ar);-C-C;-C-N | summary:fam=annulation+bond_formation, redox=net_oxidation, q=medium(0.50), mol=intramolecular, ring=+1 | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkenyl-CN|Ar-Alkenyl,,,HeteroAr-Ar|HeteroAr-CN|HeteroAr-H|HeteroAr-NH2|Thiophene,,,NaHCO3,,,,,,10544-50-0,H2O/PEG-400,HeteroAr,"Tetrahedron Letters (2014), 55(48), 6561-6566",92,-1.12
Gewald_reaction,Multi-Event:Ann+C-N+C-S+C-C,CC(=C(C#N)C#N)c1cc2cc(Br)ccc2oc1=O>>N#Cc1c(-c2cc3cc(Br)ccc3oc2=O)csc1N,|Alkenyl-CN|Ar-Alkenyl -> HeteroAr-NH2 | spectators: HeteroAr-Br|HeteroAr-H,"sig:Ann+C-N+C-S+C-C | bonds:+C(ar)-N;+C(ar)-S;+C-C(ar);+C-S / -C(ar)-C(ar);-C-C;-C-N | summary:fam=annulation+bond_formation, redox=net_oxidation, q=medium(0.50), mol=intramolecular, ring=+1 | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkenyl-CN|Ar-Alkenyl,,,HeteroAr-Ar|HeteroAr-CN|HeteroAr-H|HeteroAr-NH2|Thiophene,,,NaHCO3,,,,,,10544-50-0,H2O/PEG-400,Br / HeteroAr,"Tetrahedron Letters (2014), 55(48), 6561-6566",88,-0.71
Gewald_reaction,Multi-Event:Ann+C-N+C-S+C-C,CC(=C(C#N)C#N)c1cc2cc(Cl)ccc2oc1=O>>N#Cc1c(-c2cc3cc(Cl)ccc3oc2=O)csc1N,|Alkenyl-CN|Ar-Alkenyl -> HeteroAr-NH2 | spectators: HeteroAr-Cl|HeteroAr-H,"sig:Ann+C-N+C-S+C-C | bonds:+C(ar)-N;+C(ar)-S;+C-C(ar);+C-S / -C(ar)-C(ar);-C-C;-C-N | summary:fam=annulation+bond_formation, redox=net_oxidation, q=medium(0.50), mol=intramolecular, ring=+1 | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkenyl-CN|Ar-Alkenyl,,,HeteroAr-Ar|HeteroAr-CN|HeteroAr-H|HeteroAr-NH2|Thiophene,,,NaHCO3,,,,,,10544-50-0,H2O/PEG-400,Cl / HeteroAr,"Tetrahedron Letters (2014), 55(48), 6561-6566",85,-0.71
