reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Giese_radical_additions,Michael_addition,IC1CCCCC1.C=CC(=O)OCc1ccccc1>>[2H]C(CC1CCCCC1)C(=O)OCc1ccccc1,|Alkenyl-CO2R|R2CH-I -> RCH2-CO2R|R_acidic-H | bond_formed: C-H; C-C | bond_formed_labeled: C-H; C-C | bond_broken: C-I | spectators: Ar-Alkyl,R2CH-I,Alkenyl-CO2R,,RCH2-CO2R|R_acidic-H,MANGANESE CARBONYL,,,,,,,,52126-36-0,DMSO,,"Chemical Communications (Cambridge, United Kingdom) (2019), 55(78), 11707-11710",90.0,0.0
Giese_radical_additions,Michael_addition,C=CC(=O)OC.C=CCN(C12CC(I)(C1)C2)S(=O)(=O)c1ccc(C)cc1>>[2H]C(CC12CC(N(CC=C)S(=O)(=O)c3ccc(C)cc3)(C1)C2)C(=O)OC,|Alkenyl-CO2R|R3C-I -> RCH2-CO2R|R_acidic-H | spectators: Alkyl-N(R)SO2R|Ar-Alkyl|Ar-SO2NR2,Alkenyl-CO2R,R3C-I,,RCH2-CO2R|R_acidic-H,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",,Na2CO3,,,,,,24760-42-7,DCM,N(R)SO2R / SO2NR2,"Journal of the American Chemical Society (2021), 143(26), 9729-9736",30.0,-0.71
Giese_radical_additions,Michael_addition,C=CC(=O)OCC.CCCCCCCCI>>[2H]C(CCCCCCCCC)C(=O)OCC,|Alkenyl-CO2R|RCH2-I -> RCH2-CO2R|R_acidic-H | bond_formed: C-H; C-C | bond_formed_labeled: C-H; C-C | bond_broken: C-I,Alkenyl-CO2R,RCH2-I,,RCH2-CO2R|R_acidic-H,,,,,,,,,25895-62-9,MeOH,,"Organic Letters (2008), 10(5), 1005-1008",0.0,0.0
Giese_radical_additions,Michael_addition,Ic1ccccc1.C=C(NC(=O)OC(C)(C)C)C(=O)OC>>COC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,|Alkenyl-CO2R|Ar-I -> Ar-Alkyl,Ar-I,Alkenyl-CO2R,,Alkyl-N(R)CO2R|Ar-Alkyl|R2CH-CO2R|R_acidic-H,,,Et3N,,,,,,1416881-52-1,MeCN/H2O,,"Science (Washington, DC, United States) (2020), 367(6481), 1021-1026",42.0,0.0
Giese_radical_additions,Michael_addition,CC(=O)c1ccc(I)cc1.C=C(NC(=O)OC(C)(C)C)C(=O)OC>>COC(=O)C(Cc1ccc(C(C)=O)cc1)NC(=O)OC(C)(C)C,|Alkenyl-CO2R|Ar-I -> Ar-Alkyl | spectators: Ar-COR|R_acidic-H,Ar-I,Alkenyl-CO2R,,Alkyl-N(R)CO2R|Ar-Alkyl|R2CH-CO2R,,,Et3N,,,,,,1416881-52-1,MeCN/H2O,COR,"Science (Washington, DC, United States) (2020), 367(6481), 1021-1026",55.0,0.0
Giese_radical_additions,Michael_addition,Nc1ccc(I)cc1.C=C(C(=O)OC)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C>>COC(=O)C(Cc1ccc(N)cc1)NC(=O)OC(C)(C)C,|Alkenyl-CO2R|Ar-I -> Ar-Alkyl | spectators: Ar-NH2,Ar-I,Alkenyl-CO2R,,Alkyl-N(R)CO2R|Ar-Alkyl|R2CH-CO2R|R_acidic-H,,,Et3N,,,,,,1416881-52-1,MeCN/H2O,NH2,"Science (Washington, DC, United States) (2020), 367(6481), 1021-1026",22.0,0.0
Giese_radical_additions,Michael_addition,COc1ccc(I)cc1.C=C(C(=O)OC)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C>>COC(=O)C(Cc1ccc(OC)cc1)NC(=O)OC(C)(C)C,|Alkenyl-CO2R|Ar-I -> Ar-Alkyl | spectators: Ar-OR,Ar-I,Alkenyl-CO2R,,Alkyl-N(R)CO2R|Ar-Alkyl|R2CH-CO2R|R_acidic-H,,,Et3N,,,,,,1416881-52-1,MeCN/H2O,OR,"Science (Washington, DC, United States) (2020), 367(6481), 1021-1026",53.0,0.0
Giese_radical_additions,Michael_addition,C=CC(=O)OC.Brc1ccccn1.C=CCN(C12CC(I)(C1)C2)S(=O)(=O)c1ccc(C)cc1>>COC(=O)CCC12CC(N(CCCc3ccccn3)S(=O)(=O)c3ccc(C)cc3)(C1)C2.Cc1ccc(S(=O)(=O)N(CCCc2ccccn2)C23CC(CCCO)(C2)C3)cc1,|Alkenyl-CO2R|Ar-Br|R3C-I -> Ar-Alkyl | spectators: Alkyl-N(R)SO2R|Ar-Alkyl|Ar-SO2NR2|HeteroAr-H|Pyridine,Alkenyl-CO2R,Ar-Br,R3C-I,Alkyl-N(R)SO2R|Ar-Alkyl|Ar-SO2NR2|HeteroAr-H|Pyridine|RCH2-CO2R|RCH2-OH|R_acidic-H,dppf-PdCl2,,Cs2CO3,,,,,,280-64-8/603-32-7,THF/DMF,Pyridine / HeteroAr / N(R)SO2R / SO2NR2,"Journal of the American Chemical Society (2021), 143(26), 9729-9736",28.0,0.0
Giese_radical_additions,Suzuki_miyaura,C=CC(=O)OCC.Brc1ccc(COCCCCCCI)cc1.OB(O)c1ccccc1>>CCOC(=O)CCCCCCCCOCc1ccc(-c2ccccc2)cc1,|Alkenyl-CO2R|Ar-B(OH)2|Ar-Br|RCH2-I -> Ar-Ar | spectators: Bn-OR,Alkenyl-CO2R,Ar-Br|RCH2-I,Ar-B(OH)2,Ar-Ar|RCH2-CO2R|R_acidic-H,,PPh3,Et3N/K2CO3,,,Hantzsch ester,LiCl,,7188-38-7/7647-10-1,PhH/H2O,OR,"Organic Letters (2016), 18(1), 52-55",38.0,0.0
Giese_radical_additions,Suzuki_miyaura,C=CC(=O)OCC.ICCCCCCOCc1ccc(I)cc1.OB(O)c1ccccc1>>CCOC(=O)CCCCCCCCOCc1ccc(-c2ccccc2)cc1,|Alkenyl-CO2R|Ar-B(OH)2|Ar-I|RCH2-I -> Ar-Ar | spectators: Bn-OR,Alkenyl-CO2R,Ar-I|RCH2-I,Ar-B(OH)2,Ar-Ar|RCH2-CO2R|R_acidic-H,,PPh3,Et3N/K2CO3,,,Hantzsch ester,LiCl,,7188-38-7/7647-10-1,PhH/H2O,OR,"Organic Letters (2016), 18(1), 52-55",36.0,0.0
