reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Hantzsch_synthesis,Click_cuaac,COC(=O)CC(C)=O.Cc1ccc(N=[N+]=[N-])cc1.C#CCOc1ccc(C=O)cc1>>COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc(OCc2cn(-c3ccc(C)cc3)nn2)cc1,|Alkyl-Alkynyl_terminal|Ar-CHO|Ar-N3|Propargyl-H|RCH2-CO2R|RCH2-COR|R_acidic-H -> Ar-AromN|HeteroAr-H | spectators: Ar-Alkyl|Ar-OR | events: Ann+C-N+C-O+C-C,RCH2-CO2R|RCH2-COR|R_acidic-H,Ar-N3,Ar-CHO|Alkyl-Alkynyl_terminal|Propargyl-H,Alkenyl-CO2R|Alkenyl-NHR|Ar-Alkyl|Ar-AromN|HeteroAr-H,CuSO4,,Et3N,,,,,,134-03-2/631-61-8,DMSO,OR,"Synthetic Communications (2020), 50(13), 2033-2042",81,1.14
Hantzsch_synthesis,Click_cuaac,C=CCOC(=O)CC(C)=O.Cc1ccc(N=[N+]=[N-])cc1.C#CCOc1ccc(C=O)cc1>>C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=C)C1c1ccc(OCc2cn(-c3ccc(C)cc3)nn2)cc1,|Alkyl-Alkynyl_terminal|Ar-CHO|Ar-N3|Propargyl-H|RCH2-CO2R|RCH2-COR|R_acidic-H -> Ar-AromN|HeteroAr-H | spectators: Ar-Alkyl|Ar-OR | events: Ann+C-N+C-O+C-C,RCH2-CO2R|RCH2-COR|R_acidic-H,Ar-N3,Ar-CHO|Alkyl-Alkynyl_terminal|Propargyl-H,Alkenyl-CO2R|Alkenyl-NHR|Ar-Alkyl|Ar-AromN|HeteroAr-H,CuSO4,,Et3N,,,,,,134-03-2/631-61-8,DMSO,OR,"Synthetic Communications (2020), 50(13), 2033-2042",76,-0.41
Hantzsch_synthesis,Click_cuaac,Cc1ccc(N=[N+]=[N-])cc1.CC(=O)CC(=O)OCc1ccccc1.C#CCOc1ccc(C=O)cc1>>CC1=C(C(=O)OCc2ccccc2)C(c2ccc(OCc3cn(-c4ccc(C)cc4)nn3)cc2)C(C(=O)OCc2ccccc2)=C(C)N1,|Alkyl-Alkynyl_terminal|Ar-CHO|Ar-N3|Propargyl-H|RCH2-CO2R|RCH2-COR|R_acidic-H -> Ar-AromN|HeteroAr-H | spectators: Ar-Alkyl|Ar-OR | events: Ann+C-N+C-O+C-C,Ar-N3,RCH2-CO2R|RCH2-COR|R_acidic-H,Ar-CHO|Alkyl-Alkynyl_terminal|Propargyl-H,Alkenyl-CO2R|Alkenyl-NHR|Ar-Alkyl|Ar-AromN|HeteroAr-H,CuSO4,,Et3N,,,,,,134-03-2/631-61-8,DMSO,OR,"Synthetic Communications (2020), 50(13), 2033-2042",75,-0.73
Hantzsch_synthesis,Click_cuaac,[N-]=[N+]=Nc1ccc(Br)cc1.CC(=O)CC(=O)OCc1ccccc1.C#CCOc1ccc(C=O)cc1>>CC1=C(C(=O)OCc2ccccc2)C(c2ccc(OCc3cn(-c4ccc(Br)cc4)nn3)cc2)C(C(=O)OCc2ccccc2)=C(C)N1,|Alkyl-Alkynyl_terminal|Ar-CHO|Ar-N3|RCH2-CO2R|RCH2-COR -> Ar-AromN|HeteroAr-H | bond_formed: C-N; C-N; C-N; C-C; C-C(ar); C-C(ar); C-O | bond_formed_labeled: C-N; C-N; C-N; C-C; C-C(ar); C-C(ar); C-O | spectators: Ar-Alkyl|Ar-Br|Ar-OR | events: Ann+C-N+C-O+C-C,Ar-N3,RCH2-CO2R|RCH2-COR|R_acidic-H,Ar-CHO|Alkyl-Alkynyl_terminal|Propargyl-H,Alkenyl-CO2R|Alkenyl-NHR|Ar-Alkyl|Ar-AromN|HeteroAr-H,CuSO4,,Et3N,,,,,,134-03-2/631-61-8,DMSO,Br / OR,"Synthetic Communications (2020), 50(13), 2033-2042",71,0.0
Hantzsch_synthesis,Click_cuaac,CC1(C)CC(=O)CC(=O)C1.[N-]=[N+]=Nc1ccc(F)cc1.C#CCOc1ccc(C=O)cc1>>CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2cn(-c3ccc(F)cc3)nn2)cc1,|Alkyl-Alkynyl_terminal|Ar-CHO|Ar-N3|Propargyl-H|RCH2-COR|R_acidic-H -> Ar-AromN|HeteroAr-H | spectators: Ar-F|Ar-OR | events: Ann+C-N+C-C,RCH2-COR|R_acidic-H,Ar-N3,Ar-CHO|Alkyl-Alkynyl_terminal|Propargyl-H,Alkenyl-COR|Alkenyl-NHR|Ar-Alkyl|Ar-AromN|HeteroAr-H,CuSO4,,Et3N,,,,,,134-03-2/631-61-8,DMSO,F / OR,"Synthetic Communications (2020), 50(13), 2033-2042",76,0.0
Hantzsch_synthesis,Baeyer_villiger_oxidation,NC(N)=O.O=Cc1ccccc1.CCOC(=O)CC(C)=O>>CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1.CCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1,|Ar-CHO|RCH2-CO2R|RCH2-COR|R_acidic-H|Unclassified-Reactant -> Alkenyl-CO2R | events: Ann+C-N+C-O+C-C,,Ar-CHO,RCH2-CO2R|RCH2-COR|R_acidic-H,Alkenyl-CO2R|Alkenyl-LactamN|Alkenyl-NHR|Ar-Alkyl|R2CH-LactamN,,,,,,,,,631-61-8/2393805-24-6,EtOH,,"Applied Catalysis, A: General (2020), 590117301",82,0.0
Hantzsch_synthesis,Multi-Event:Ann+C-N+C-C,O=Cc1ccccc1.CC1(C)CC(=O)CC(=O)C1>>CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)CC(C)(C)C1)C2c1ccccc1,|Ar-CHO|RCH2-COR|R_acidic-H -> Alkenyl-COR|Alkenyl-NHR|Ar-Alkyl | events: Ann+C-N+C-C,Ar-CHO,RCH2-COR|R_acidic-H,,Alkenyl-COR|Alkenyl-NHR|Ar-Alkyl,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,631-61-8/919-30-2,EtOH,,"Molecular Diversity (2020), 24(1), 283-294",90,0.0
Hantzsch_synthesis,Multi-Event:Ann+C-N+C-C,O=Cc1ccc(Cl)cc1.CC1(C)CC(=O)CC(=O)C1>>CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)CC(C)(C)C1)C2c1ccc(Cl)cc1,|Ar-CHO|RCH2-COR|R_acidic-H -> Alkenyl-COR|Alkenyl-NHR|Ar-Alkyl | spectators: Ar-Cl | events: Ann+C-N+C-C,Ar-CHO,RCH2-COR|R_acidic-H,,Alkenyl-COR|Alkenyl-NHR|Ar-Alkyl,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,631-61-8/919-30-2,EtOH,Cl,"Molecular Diversity (2020), 24(1), 283-294",89,-0.04
Hantzsch_synthesis,Multi-Event:Ann+C-C,CC1(C)CC(=O)CC(=O)C1.O=Cc1ccc(Br)cc1>>CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)CC(C)(C)C1)C2c1ccc(Br)cc1,|Ar-CHO|RCH2-COR|R_acidic-H -> Alkenyl-COR|Alkenyl-NHR|Ar-Alkyl | spectators: Ar-Br | events: Ann+C-C,RCH2-COR|R_acidic-H,Ar-CHO,,Alkenyl-COR|Alkenyl-NHR|Ar-Alkyl,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,631-61-8/919-30-2,EtOH,Br,"Molecular Diversity (2020), 24(1), 283-294",91,-0.71
Hantzsch_synthesis,Multi-Event:Ann+C-N+C-C,CC1(C)CC(=O)CC(=O)C1.O=Cc1ccc([N+](=O)[O-])cc1>>CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)CC(C)(C)C1)C2c1ccc([N+](=O)[O-])cc1,|Ar-CHO|RCH2-COR|R_acidic-H -> Alkenyl-COR|Alkenyl-NHR|Ar-Alkyl | spectators: Ar-NO2 | events: Ann+C-N+C-C,RCH2-COR|R_acidic-H,Ar-CHO,,Alkenyl-COR|Alkenyl-NHR|Ar-Alkyl,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,631-61-8/919-30-2,EtOH,NO2,"Molecular Diversity (2020), 24(1), 283-294",90,-0.19
