reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
HeckMizoroki_coupling,Unknown,C=COCCCC.COc1ccccc1/N=N/c1ccc(OS(=O)(=O)C(F)(F)F)cc1>>COc1ccccc1/N=N/c1ccc(C(C)=O)cc1,|Alkenyl-OR|Ar-OTf -> Ar-COR|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: C(ar)-O; C-O | spectators: Ar-OR,Alkenyl-OR,Ar-OTf,,Ar-COR|R_acidic-H,Ni(cod)2,DPPF,,HCl,,,,,7560-83-0,Dioxane/H2O,OR,"Journal of the American Chemical Society (2012), 134(1), 443-452",75.0,-0.71
HeckMizoroki_coupling,Unknown,C=COCCCC.O=S(=O)(Oc1ccc2ccccc2c1)c1ccccc1C(F)(F)F>>CC(=O)c1ccc2ccccc2c1,|Alkenyl-OR|Ar-CF3|Ar-OSO2R -> Ar-COR|R_acidic-H,Alkenyl-OR,Ar-OSO2R|Ar-CF3,,Ar-COR|R_acidic-H,Ni(cod)2,DPPF,,HCl,,,,,7560-83-0,Dioxane/H2O,,"Journal of the American Chemical Society (2012), 134(1), 443-452",0.0,0.0
HeckMizoroki_coupling,Unknown,O=Cc1ccc(Br)cc1.C=COC(CC)CCCCC>>CC(=O)c1ccc(C=O)cc1,|Alkenyl-OR|Ar-Br -> Ar-COR|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: C-O; Br-C(ar) | spectators: Ar-CHO,Ar-Br,Alkenyl-OR,,Ar-COR|R_acidic-H,Pd(OAc)2,DPPP,Et3N,HCl,,,,,174501-65-6,H2O,CHO,"Journal of the American Chemical Society (2005), 127(2), 751-760",84.0,-0.73
HeckMizoroki_coupling,Unknown,C=COCCCC.O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F>>CC(=O)c1cccc2ccccc12,|Alkenyl-OR|Ar-OTf -> Ar-COR|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: C-O; C(ar)-O,Alkenyl-OR,Ar-OTf,,Ar-COR|R_acidic-H,Ni(cod)2,DPPF,,HCl,,,,,7560-83-0,Dioxane/H2O,,"Journal of the American Chemical Society (2012), 134(1), 443-452",97.0,0.71
HeckMizoroki_coupling,Unknown,C=COCCCC.Fc1ccccc1Cl>>CC(=O)c1ccccc1F,|Alkenyl-OR|Ar-Cl -> Ar-COR|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: C-O; C(ar)-Cl | spectators: Ar-F,Alkenyl-OR,Ar-Cl,,Ar-COR|R_acidic-H,Pd(OAc)2,,KOH,HCl,,,,,111216-21-8,Ethylene glycol/H2O,F,"Journal of the American Chemical Society (2010), 132(46), 16689-16699",72.0,-1.0
HeckMizoroki_coupling,Unknown,COc1ccc(Cl)cc1.CCC=COCC>>CCCC(=O)c1ccc(OC)cc1,|Alkenyl-OR|Ar-Cl -> Ar-COR|R_acidic-H | spectators: Ar-OR,Ar-Cl,Alkenyl-OR,,Ar-COR|R_acidic-H,Pd(OAc)2,,KOH,HCl,,,,,111216-21-8,Ethylene glycol/H2O,OR,"Journal of the American Chemical Society (2010), 132(46), 16689-16699",70.0,-0.71
HeckMizoroki_coupling,Unknown,C=COCCCC.COc1cccc(Br)c1>>COc1cccc(C(C)=O)c1,|Alkenyl-OR|Ar-Br -> Ar-COR|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: Br-C(ar); C-O | spectators: Ar-OR,Alkenyl-OR,Ar-Br,,Ar-COR|R_acidic-H,Pd(OAc)2,DPPP,Et3N,HCl,,,,,174501-65-6,H2O,OR,"Journal of the American Chemical Society (2005), 127(2), 751-760",86.0,0.56
HeckMizoroki_coupling,Unknown,FC(F)(F)c1ccc(Cl)cc1.C=COCCCC>>CC(=O)c1ccc(C(F)(F)F)cc1,|Alkenyl-OR|Ar-Cl -> Ar-COR|R_acidic-H | spectators: Ar-CF3,Ar-Cl,Alkenyl-OR,,Ar-COR|R_acidic-H,Pd(OAc)2,,KOH,HCl,,,,,111216-21-8,Ethylene glycol/H2O,CF3,"Journal of the American Chemical Society (2010), 132(46), 16689-16699",70.0,0.0
HeckMizoroki_coupling,Unknown,C=COCCCC.CC(=O)c1ccc(I)cc1>>CC(=O)c1ccc(C(C)=O)cc1,|Alkenyl-OR|Ar-I -> Ar-COR|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: C-O; C(ar)-I | spectators: Ar-COR|R_acidic-H,Alkenyl-OR,Ar-I,,Ar-COR|R_acidic-H,Pd(OAc)2,DPPP,Et3N,HCl,,,,,174501-65-6,H2O,COR,"Journal of the American Chemical Society (2005), 127(2), 751-760",96.0,0.0
HeckMizoroki_coupling,Unknown,C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC.C=CCOC(=O)N(C)c1cc(I)c(O)c2c1C(=O)c1ccccc1C2=O>>C=CCOC(=O)N(C)c1cc(C(C)=O)c(O)c2c1C(=O)c1ccccc1C2=O,|Alkenyl-OR|Alkenyl-Sn*|Ar-I -> Ar-COR|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: C(ar)-I; C-Sn; C-O | spectators: Ar-COR|Ar-N(R)CO2R|Ar-OH,Alkenyl-OR|Alkenyl-Sn*,Ar-I,,Ar-COR|R_acidic-H,,,NaHCO3,HCl,,,,,13965-03-2,THF/H2O/EtOAc,OH / COR / N(R)CO2R,"Angewandte Chemie, International Edition (2015), 54(43), 12687-12691",61.0,0.0
