reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Hofmann_rearrangement,Multi-Event:Ann+C-N+C-O,CCO.NC(=O)Cc1ccccc1C#Cc1ccccc1>>CCOC(=O)N1Cc2ccccc2C=C1c1ccccc1,|Ar-Alkynyl|Bn-CONH2|RCH2-OH -> Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,"sig:Ann+C-N+C-O | bonds:+C-N;+C-O / -C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",RCH2-OH,Bn-CONH2|R_acidic-H|Ar-Alkynyl,,Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,Platinum(II) chloride,,,,PIDA,,,,,"1,2-Dichlorobenzene",,"Journal of Organic Chemistry (2010), 75(22), 7615-7625",86.0,0.0
Hofmann_rearrangement,Multi-Event:Ann+C-N+C-O,CO.NC(=O)Cc1ccccc1C#Cc1ccccc1>>COC(=O)N1Cc2ccccc2C=C1c1ccccc1,|Ar-Alkynyl|Bn-CONH2|CH3-OH -> Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,"sig:Ann+C-N+C-O | bonds:+C-N;+C-O / -C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",CH3-OH,Bn-CONH2|R_acidic-H|Ar-Alkynyl,,Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,Platinum(II) chloride,,,,PIDA,,,,,"1,2-Dichlorobenzene",,"Journal of Organic Chemistry (2010), 75(22), 7615-7625",92.0,0.0
Hofmann_rearrangement,Multi-Event:Ann+C-N+C-O,CCO.CCCCC#Cc1ccccc1CC(N)=O>>CCCCC1=Cc2ccccc2CN1C(=O)OCC,|Alkyl-Alkynyl|Ar-Alkynyl|Bn-CONH2|RCH2-OH -> Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl|RCH2-Alkenyl,"sig:Ann+C-N+C-O | bonds:+C-N;+C-O / -C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",RCH2-OH,Bn-CONH2|R_acidic-H|Ar-Alkynyl|Alkyl-Alkynyl|Propargyl-H,,Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl|RCH2-Alkenyl,Platinum(II) chloride,,,,PIDA,,,,,"1,2-Dichlorobenzene",,"Journal of Organic Chemistry (2010), 75(22), 7615-7625",66.0,0.0
Hofmann_rearrangement,Multi-Event:Ann+C-N+C-O,OCc1ccccc1.NC(=O)Cc1ccccc1C#Cc1ccccc1>>O=C(OCc1ccccc1)N1Cc2ccccc2C=C1c1ccccc1,|Ar-Alkynyl|Bn-CONH2|Bn-OH -> Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,"sig:Ann+C-N+C-O | bonds:+C-N;+C-O / -C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Bn-OH,Bn-CONH2|R_acidic-H|Ar-Alkynyl,,Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,Platinum(II) chloride,,,,PIDA,,,,,"1,2-Dichlorobenzene",,"Journal of Organic Chemistry (2010), 75(22), 7615-7625",92.0,0.0
Hofmann_rearrangement,Multi-Event:Ann+C-N+C-O,OCc1ccccc1.CCCCC#Cc1ccccc1CC(N)=O>>CCCCC1=Cc2ccccc2CN1C(=O)OCc1ccccc1,|Alkyl-Alkynyl|Ar-Alkynyl|Bn-CONH2|Bn-OH -> Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl|RCH2-Alkenyl,"sig:Ann+C-N+C-O | bonds:+C-N;+C-O / -C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Bn-OH,Bn-CONH2|R_acidic-H|Ar-Alkynyl|Alkyl-Alkynyl|Propargyl-H,,Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl|RCH2-Alkenyl,Platinum(II) chloride,,,,PIDA,,,,,"1,2-Dichlorobenzene",,"Journal of Organic Chemistry (2010), 75(22), 7615-7625",73.0,0.0
Hofmann_rearrangement,Multi-Event:Ann+C-N+C-O+C-C,CCO.Cc1ccc(C#Cc2ccccc2CC(N)=O)cc1>>CCOC(=O)N1Cc2ccccc2C=C1c1ccc(C)cc1,|Ar-Alkynyl|Bn-CONH2|RCH2-OH -> Ar-Alkenyl|Ar-Alkyl | spectators: Ar-Alkyl,"sig:Ann+C-N+C-O+C-C | bonds:+C(ar)-N;+C-C(ar);+C-N;+C-O / -C(ar)-C(ar);-C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",RCH2-OH,Bn-CONH2|R_acidic-H|Ar-Alkynyl,,Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,Platinum(II) chloride,,,,PIDA,,,,,"1,2-Dichlorobenzene",,"Journal of Organic Chemistry (2010), 75(22), 7615-7625",82.0,0.0
Hofmann_rearrangement,Multi-Event:Ann+C-N+C-O,CCO.NC(=O)Cc1ccccc1C#Cc1ccccc1>>CCOC(=O)N1Cc2ccccc2C=C1c1ccccc1,|Ar-Alkynyl|Bn-CONH2|RCH2-OH -> Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,"sig:Ann+C-N+C-O | bonds:+C-N;+C-O / -C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",RCH2-OH,Bn-CONH2|R_acidic-H|Ar-Alkynyl,,Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,Platinum(II) chloride,,,,PIDA,,,,,"1,2-Dichlorobenzene",,"Angewandte Chemie, International Edition (2009), 48(51), 9693-9696, S9693/1-S9693/34",86.0,0.0
Hofmann_rearrangement,Multi-Event:Ann+C-N+C-O,CCO.CCCCC#Cc1ccccc1CC(N)=O>>CCCCC1=Cc2ccccc2CN1C(=O)OCC,|Alkyl-Alkynyl|Ar-Alkynyl|Bn-CONH2|RCH2-OH -> Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl|RCH2-Alkenyl,"sig:Ann+C-N+C-O | bonds:+C-N;+C-O / -C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",RCH2-OH,Bn-CONH2|R_acidic-H|Ar-Alkynyl|Alkyl-Alkynyl|Propargyl-H,,Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl|RCH2-Alkenyl,Platinum(II) chloride,,,,PIDA,,,,,"1,2-Dichlorobenzene",,"Angewandte Chemie, International Edition (2009), 48(51), 9693-9696, S9693/1-S9693/34",66.0,0.0
Hofmann_rearrangement,Multi-Event:Ann+C-N+C-O+C-C,OCc1ccccc1.Cc1ccc(C#Cc2ccccc2CC(N)=O)cc1>>Cc1ccc(C2=Cc3ccccc3CN2C(=O)OCc2ccccc2)cc1,|Ar-Alkynyl|Bn-CONH2|Bn-OH -> Ar-Alkenyl|Ar-Alkyl | spectators: Ar-Alkyl,"sig:Ann+C-N+C-O+C-C | bonds:+C(ar)-N;+C(ar)-O;+C-C(ar);+C-N / -C(ar)-C(ar);-C-C;-C-O | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Bn-OH,Bn-CONH2|R_acidic-H|Ar-Alkynyl,,Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,Platinum(II) chloride,,,,PIDA,,,,,"1,2-Dichlorobenzene",,"Journal of Organic Chemistry (2010), 75(22), 7615-7625",82.0,0.0
Hofmann_rearrangement,Multi-Event:Ann+C-N+C-O,CO.NC(=O)Cc1ccccc1C#Cc1ccccc1>>COC(=O)N1Cc2ccccc2C=C1c1ccccc1,|Ar-Alkynyl|Bn-CONH2|CH3-OH -> Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,"sig:Ann+C-N+C-O | bonds:+C-N;+C-O / -C-C | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",CH3-OH,Bn-CONH2|R_acidic-H|Ar-Alkynyl,,Alkenyl-N*|Alkyl-O*|Ar-Alkenyl|Ar-Alkyl,Platinum(II) chloride,,,,PIDA,,,,,"1,2-Dichlorobenzene",,"Angewandte Chemie, International Edition (2009), 48(51), 9693-9696, S9693/1-S9693/34",92.0,0.0
