reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
HornerWadsworthEmmons,Wittig_reaction,Clc1ccc(Cl)c(CBr)c1.CCOc1c(O)cc(C=O)cc1Br.O=C1CC(=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)N1>>CCOc1c(Br)cc(/C=C2\CC(=O)NC2=O)cc1OCc1cc(Cl)ccc1Cl,|Ar-CHO|Bn-Br -> Ar-Alkenyl | spectators: Ar-Br|Ar-Cl|Ar-OR|RCH2-CONHR|R_acidic-H,sig:BzOAlk+LGDisp+C-C | form:C-C | form_labeled:C-C | break:Br-C;C-P | redox:net_reduction | redox_conf:0.65 | q:high(1.00) | kinds:benzyl_o_alkylation_like+c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Bn-Br,Ar-CHO|Ar-OH,R_acidic-H,Alkenyl-CONHR|Ar-Alkenyl|Ar-OR|RCH2-Alkenyl,,,K2CO3,,,,,,,DMF/MeOH,Br / CONHR / Cl / OR,"Archiv der Pharmazie (Weinheim, Germany) (2015), 348(7), 463-474",78,0.0
HornerWadsworthEmmons,Alkyl_Nucleophilic_Substitution,O=C(CBr)c1ccccc1.CCOP(=O)(OCC)C(c1ccc(OC)c(OC)c1)c1cc2c(cc1O)OCO2>>COc1ccc(C2=C(c3ccccc3)COc3cc4c(cc32)OCO4)cc1OC,|Ar-Alkyl|Ar-COR|Ar-OH|RCH2-Br|R_acidic-H -> Ar-OR | spectators: Ar-OR,"sig:Ann+LGDisp+C-C | redox:net_reduction | redox_conf:0.65 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation",Ar-COR|R_acidic-H|RCH2-Br,Ar-OH|Ar-Alkyl,,Ar-Alkenyl|Ar-OR,,,NaOH,,,,,,,MeCN,OR,"Synthesis (2021), 53(8), 1503-1512",80,0.0
HornerWadsworthEmmons,Alkyl_Nucleophilic_Substitution,O=C(CBr)c1ccccc1.CCOP(=O)(OCC)C(c1cc(OC)c(OC)cc1O)c1cn(S(=O)(=O)c2ccc(C)cc2)c2ccccc12>>COc1cc2c(cc1OC)C(c1cn(S(=O)(=O)c3ccc(C)cc3)c3ccccc13)=C(c1ccccc1)CO2,|Ar-Alkyl|Ar-COR|Ar-OH|RCH2-Br|R_acidic-H -> Ar-OR | spectators: Ar-OR|HeteroAr-H,"sig:Ann+LGDisp+C-C | redox:net_reduction | redox_conf:0.65 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation",Ar-COR|R_acidic-H|RCH2-Br,Ar-OH|Ar-Alkyl,,Ar-Alkenyl|Ar-OR,,,NaOH,,,,,,,MeCN,HeteroAr / OR,"Synthesis (2021), 53(8), 1503-1512",87,0.0
HornerWadsworthEmmons,Wittig_reaction,O=C(CBr)c1ccccc1.CCOP(=O)(OCC)C(c1cccs1)c1cc(OC)c(OC)cc1O>>COc1cc2c(cc1OC)C(c1cccs1)=C(c1ccccc1)CO2,|Ar-Alkyl|Ar-COR|RCH2-Br -> Ar-Alkenyl | spectators: Ar-OR|HeteroAr-H|Thiophene,sig:Ann+LGDisp+C-C | form:C-C | form_labeled:C-C | break:Br-C;C-P | redox:net_reduction | redox_conf:0.65 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation,Ar-COR|R_acidic-H|RCH2-Br,Ar-OH|Ar-Alkyl,,Ar-Alkenyl|Ar-OR,,,NaOH,,,,,,,MeCN,Thiophene / HeteroAr / OR,"Synthesis (2021), 53(8), 1503-1512",78,0.0
HornerWadsworthEmmons,Multi-Event:LGDisp+C-S+C-C,CC(=O)Cl.COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.Sc1ccccc1Cl>>COC(=O)/C=C(\C)Sc1ccccc1Cl,|Alkyl-COCl|Ar-SH -> Alkenyl-CO2R|Alkenyl-SR|Alkyl-Alkenyl | spectators: Ar-Cl,sig:LGDisp+C-S+C-C | form:C-C;C-S | form_labeled:C-C;C-S | break:C-Cl;C-O;C-P | redox:net_reduction | redox_conf:0.85 | q:high(1.00) | kinds:c_c_bond_formation+c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Alkyl-COCl|R_acidic-H,Ar-H|Alkyl-H,Ar-SH,Alkenyl-CO2R|Alkenyl-SR|Alkyl-Alkenyl,,,Et3N/Cs2CO3,,O2,,,,,DMF/DCM,Cl,"Phosphorus, Sulfur and Silicon and the Related Elements (2016), 191(6), 926-929",78,0.0
HornerWadsworthEmmons,Multi-Event:LGDisp+C-S+C-C,CC(=O)Cl.Cc1ccc(S)cc1.COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1>>COC(=O)/C=C(\C)Sc1ccc(C)cc1,|Alkyl-COCl|Ar-SH -> Alkenyl-CO2R|Alkenyl-SR|Alkyl-Alkenyl | spectators: Ar-Alkyl,sig:LGDisp+C-S+C-C | form:C-C;C-S | form_labeled:C-C;C-S | break:C-Cl;C-O;C-P | redox:net_reduction | redox_conf:0.85 | q:high(1.00) | kinds:c_c_bond_formation+c_s_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Alkyl-COCl|R_acidic-H,Ar-SH,Ar-H|Alkyl-H,Alkenyl-CO2R|Alkenyl-SR|Alkyl-Alkenyl,,,Et3N/Cs2CO3,,O2,,,,,DMF/DCM,,"Phosphorus, Sulfur and Silicon and the Related Elements (2016), 191(6), 926-929",73,0.0
HornerWadsworthEmmons,Reduction_ester_to_alcohol,COC(=O)C(NC(=O)C(F)(F)F)P(=O)(OC)OC.CC[Si](CC)(CC)OC(CC=O)CCc1ccccc1>>COC(=O)/C(=C/CC(O)CCc1ccccc1)NC(=O)C(F)(F)F,|Alkyl-NHCOR|Alkyl-Si*|R2CH-CO2R|RCH2-CHO|R_acidic-H -> R2CH-OH | spectators: Alkyl-F|Ar-Alkyl,redox:net_reduction | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,R2CH-CO2R|Alkyl-NHCOR|R_acidic-H,RCH2-CHO|R_acidic-H|Alkyl-Si*,,Alkenyl-CO2R|Alkyl-CONHR|R2CH-OH|RCH2-Alkenyl,,,DBU,,,,,,H2SO4,DCM/H2O,F,"Organic & Biomolecular Chemistry (2018), 16(8), 1277-1286",96,0.0
HornerWadsworthEmmons,Alkylation_friedel_crafts,CCOP(=O)(CC(=O)OC(C)(C)C)OCC.BrCc1ccccc1.C=O>>C=C(Cc1ccccc1)C(=O)OC(C)(C)C,|Bn-Br|RCH2-CO2R|R_acidic-H|Unclassified-Reactant -> Ar-Alkyl,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,RCH2-CO2R|R_acidic-H,Bn-Br,,Alkenyl-CO2R|Ar-Alkyl|RCH2-Alkenyl,,,KOtBu/K2CO3,HCl,,,,,,DMF/H2O,,"SynOpen (2018), 2(2), 0161-0167",78,0.0
HornerWadsworthEmmons,Alkylation_friedel_crafts,CCOC(=O)CP(=O)(OCC)OCC.COc1ccc(CCl)cc1.C=O>>C=C(Cc1ccc(OC)cc1)C(=O)OCC,|Bn-Cl|RCH2-CO2R|Unclassified-Reactant -> Ar-Alkyl | spectators: Ar-OR,sig:LGDisp+C-C | form:C-C | form_labeled:C-C | break:C-Cl;C-O;C-P | redox:net_reduction | redox_conf:0.75 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,RCH2-CO2R|R_acidic-H,Bn-Cl,,Alkenyl-CO2R|Ar-Alkyl|RCH2-Alkenyl,,,KOtBu/K2CO3,HCl,,,,,,DMF/H2O,OR,"SynOpen (2018), 2(2), 0161-0167",84,0.0
HornerWadsworthEmmons,Wittig_reaction,C#CC(C)(C)O.O=C/C(Br)=C/c1ccccc1.CCOC(=O)CP(=O)(OCC)OCC>>CCOC(=O)/C=C/C(C#CC(C)(C)O)=C/c1ccccc1,|Alkenyl-Br|Alkenyl-CHO|Alkyl-Alkynyl_terminal|RCH2-CO2R|R_acidic-H -> Alkenyl-Alkenyl|Alkenyl-CO2R | spectators: Ar-Alkenyl|R3C-OH,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Alkyl-Alkynyl_terminal,Alkenyl-CHO|Alkenyl-Br,RCH2-CO2R|R_acidic-H,Alkenyl-Alkenyl|Alkenyl-CO2R|Alkyl-Alkynyl,CuI,,,,,,LiCl,,108-18-9/13965-03-2,MeCN/H2O,OH,"Tetrahedron Letters (2020), 61(10), 151565",79,0.0
