reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Hydrazinolysis,Reduction_ester_to_alcohol,C=CC(=O)c1ccc(OC)c2ccccc12.O=C1OCCCC1C(=O)c1ccccc1>>COc1ccc(C(=O)CC[C@]2(CCCO)C(=O)NN=C2c2ccccc2)c2ccccc12,|Alkenyl-COR|R2CH-CO2R -> RCH2-OH | spectators: Ar-COR|Ar-OR|R_acidic-H,sig:C-N+C-C | form:C-C;C-N | form_labeled:C-C;C-N | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component,Alkenyl-COR,R2CH-CO2R,,Ar-C=N|R3C-CONHR|RCH2-OH|R_acidic-H,,,K2CO3,,,,,,hydrazine hydrate/2602315-88-6,DCM,COR / OR,"Organic & Biomolecular Chemistry (2021), 19(7), 1610-1615",85.0,0.0
Hydrazinolysis,Reduction_ester_to_alcohol,C=CC(=O)c1cccc2ccccc12.N#Cc1ccc(C(=O)C2CCCOC2=O)cc1>>N#Cc1ccc(C2=NNC(=O)[C@@]2(CCCO)CCC(=O)c2cccc3ccccc23)cc1,|Alkenyl-COR|R2CH-CO2R -> RCH2-OH | spectators: Ar-CN|Ar-COR|R_acidic-H,sig:C-N+C-C | form:C-C;C-N | form_labeled:C-C;C-N | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component,Alkenyl-COR,R2CH-CO2R,,Ar-C=N|R3C-CONHR|RCH2-OH|R_acidic-H,,,K2CO3,,,,,,hydrazine hydrate/2602315-88-6,DCM,CN / COR,"Organic & Biomolecular Chemistry (2021), 19(7), 1610-1615",90.0,0.0
Hydrazinolysis,Reduction_ester_to_alcohol,C=CC(=O)c1ccccc1C.O=C1OCCCC1C(=O)c1ccccc1>>Cc1ccccc1C(=O)CC[C@]1(CCCO)C(=O)NN=C1c1ccccc1,|Alkenyl-COR|R2CH-CO2R -> RCH2-OH | spectators: Ar-Alkyl|Ar-COR|R_acidic-H,sig:C-N+C-C | form:C-C;C-N | form_labeled:C-C;C-N | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component,Alkenyl-COR,R2CH-CO2R,,Ar-C=N|R3C-CONHR|RCH2-OH|R_acidic-H,,,K2CO3,,,,,,hydrazine hydrate/2602315-88-6,DCM,COR,"Organic & Biomolecular Chemistry (2021), 19(7), 1610-1615",93.0,0.0
Hydrazinolysis,Event:C-N,O=c1cc(C(F)(F)F)oc2ccc([N+](=O)[O-])cc12>>O=[N+]([O-])c1ccc(O)c(-c2cc(C(F)(F)F)[nH]n2)c1,|HeteroAr-H -> Ar-Ar|Ar-OH|AromN-H|Pyrazole | spectators: Ar-CF3|Ar-NO2,form:C(ar)-N(ar) | form_labeled:C(ar)-N(ar) | break:C(ar)-O;C(ar)-O(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_n_bond_formation+intramolecular_likely,HeteroAr-H,,,Ar-Ar|Ar-OH|AromN-H|Pyrazole,,,,,,,,,302-01-2,EtOH/H2O,CF3 / HeteroAr / NO2,"Russian Chemical Bulletin (Translation of Izvestiya Akademii Nauk, Seriya Khimicheskaya) (2002), 51(7), 1280-1291",48.0,0.0
Hydrazinolysis,Event:C-N,O=c1cc(C(F)(F)F)oc2ccccc12>>Oc1ccccc1-c1cc(C(F)(F)F)[nH]n1,|HeteroAr-H -> Ar-Ar|Ar-OH|AromN-H|Pyrazole | spectators: Ar-CF3,form:C(ar)-N(ar) | form_labeled:C(ar)-N(ar) | break:C(ar)-O;C(ar)-O(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_n_bond_formation+intramolecular_likely,HeteroAr-H,,,Ar-Ar|Ar-OH|AromN-H|Pyrazole,,,,,,,,,302-01-2,EtOH/H2O,CF3 / HeteroAr,"Russian Chemical Bulletin (Translation of Izvestiya Akademii Nauk, Seriya Khimicheskaya) (2002), 51(7), 1280-1291",89.0,0.0
Hydrazinolysis,Event:C-N,COc1ccc2oc(C(F)(F)C(F)F)cc(=O)c2c1>>COc1ccc(O)c(-c2cc(C(F)(F)C(F)F)[nH]n2)c1,|HeteroAr-H -> Ar-Ar|Ar-OH|AromN-H|Pyrazole | spectators: Alkyl-F|Ar-Alkyl|Ar-OR,form:C(ar)-N(ar) | form_labeled:C(ar)-N(ar) | break:C(ar)-O;C(ar)-O(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_n_bond_formation+intramolecular_likely,HeteroAr-H,,,Ar-Ar|Ar-OH|AromN-H|Pyrazole,,,,,,,,,302-01-2,EtOH/H2O,F / HeteroAr / OR,"Russian Chemical Bulletin (Translation of Izvestiya Akademii Nauk, Seriya Khimicheskaya) (2002), 51(7), 1280-1291",54.0,0.0
Hydrazinolysis,Event:C-N,CCOC(=O)c1oc2cc(C)cc(O)c2c(=O)c1-c1csc(C)n1>>CCOC(=O)c1n[nH]c(-c2c(O)cc(C)cc2O)c1-c1csc(C)n1,|HeteroAr-OH -> Ar-Ar|Ar-OH|AromN-H|Pyrazole | spectators: Ar-Alkyl|Ar-Ar|Ar-CO2R|HeteroAr-H|Thiazole,form:C(ar)-N(ar);N(ar)-N(ar) | form_labeled:C(ar)-N(ar);N(ar)-N(ar) | break:C(ar)-O;C(ar)-O(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_n_bond_formation+intramolecular_likely,HeteroAr-H|HeteroAr-OH,,,Ar-Ar|Ar-OH|AromN-H|Pyrazole,,,,,,,,,302-01-2,EtOH/H2O,Thiazole / CO2R / HeteroAr,"Azotistye Geterotsikly i Alkaloidy, [Materialy Mezhdunarodnoi Konferentsii ""Khimiya i Biologicheskaya Aktivnost Azotistykh Geterotsiklov i Alkaloidov""], 1st, Moskva, Russian Federation, Oct. 9-12, 2001 (2001), 1147-154",0.0,0.0
Hydrazinolysis,Event:C-N,Cc1cc(O)c2c(=O)c(-c3ccccn3)c(C(F)(F)F)oc2c1>>Cc1cc(O)c(-c2n[nH]c(C(F)(F)F)c2-c2ccccn2)c(O)c1,|HeteroAr-OH -> Ar-Ar|Ar-OH|AromN-H|Pyrazole | spectators: Ar-Alkyl|Ar-Ar|Ar-CF3|HeteroAr-H|Pyridine,form:C(ar)-N(ar);N(ar)-N(ar) | form_labeled:C(ar)-N(ar);N(ar)-N(ar) | break:C(ar)-O;C(ar)-O(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_n_bond_formation+intramolecular_likely,HeteroAr-H|HeteroAr-OH,,,Ar-Ar|Ar-OH|AromN-H|Pyrazole,,,,,,,,,302-01-2,EtOH/H2O,Pyridine / CF3 / HeteroAr,"Azotistye Geterotsikly i Alkaloidy, [Materialy Mezhdunarodnoi Konferentsii ""Khimiya i Biologicheskaya Aktivnost Azotistykh Geterotsiklov i Alkaloidov""], 1st, Moskva, Russian Federation, Oct. 9-12, 2001 (2001), 1147-154",0.0,0.0
Hydrazinolysis,Event:C-N,Cc1cc(O)c2c(=O)c(-c3csc(C)n3)coc2c1>>Cc1cc(O)c(-c2n[nH]cc2-c2csc(C)n2)c(O)c1,|HeteroAr-OH -> Ar-Ar|Ar-OH|AromN-H|Pyrazole | spectators: Ar-Alkyl|Ar-Ar|HeteroAr-H|Thiazole,form:C(ar)-N(ar);N(ar)-N(ar) | form_labeled:C(ar)-N(ar);N(ar)-N(ar) | break:C(ar)-O;C(ar)-O(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_n_bond_formation+intramolecular_likely,HeteroAr-H|HeteroAr-OH,,,Ar-Ar|Ar-OH|AromN-H|Pyrazole,,,,,,,,,302-01-2,EtOH/H2O,Thiazole / HeteroAr,"Azotistye Geterotsikly i Alkaloidy, [Materialy Mezhdunarodnoi Konferentsii ""Khimiya i Biologicheskaya Aktivnost Azotistykh Geterotsiklov i Alkaloidov""], 1st, Moskva, Russian Federation, Oct. 9-12, 2001 (2001), 1147-154",0.0,0.0
Hydrazinolysis,Event:C-N,COc1ccc2c(=O)c(-c3ccccn3)coc2c1>>COc1ccc(-c2n[nH]cc2-c2ccccn2)c(O)c1,|HeteroAr-H -> Ar-Ar|Ar-OH|AromN-H|Pyrazole | spectators: Ar-Ar|Ar-OR|Pyridine,form:C(ar)-N(ar);N(ar)-N(ar) | form_labeled:C(ar)-N(ar);N(ar)-N(ar) | break:C(ar)-O;C(ar)-O(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_n_bond_formation+intramolecular_likely,HeteroAr-H,,,Ar-Ar|Ar-OH|AromN-H|Pyrazole,,,,,,,,,302-01-2,EtOH/H2O,Pyridine / HeteroAr / OR,"Azotistye Geterotsikly i Alkaloidy, [Materialy Mezhdunarodnoi Konferentsii ""Khimiya i Biologicheskaya Aktivnost Azotistykh Geterotsiklov i Alkaloidov""], 1st, Moskva, Russian Federation, Oct. 9-12, 2001 (2001), 1147-154",0.0,0.0
