reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Ircatalyzed_CH_borylation,Multi-Event:C-O+C-C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CCC[N+](CCC)(CCC)CCC.O=S(=O)([O-])OCc1ccccc1OC(F)(F)F>>CC1(C)OB(c2ccc(CO)c(OC(F)(F)F)c2)OC1(C)C,|Alkyl-N*|Alkyl-O*|Ar-Alkyl -> Ar-B(OR)2|Bn-OH | spectators: Ar-OCF3,"sig:C-O+C-C | bonds:+B-C;+C(ar)-O;+C-C(ar) / -B-B;-C-N;-C-O | summary:fam=bond_formation, redox=net_reduction, q=medium(0.50), ring=-1 | alerts:risk=overreaction_or_chemoselectivity",Alkyl-O*,Alkyl-N*,Ar-Alkyl|Alkyl-O*,Ar-B(OR)2|Bn-OH,[Ir(OMe)(cod)]2,,,HCl,,,,,17217-57-1,Dioxane/H2O,OCF3,"Journal of the American Chemical Society (2019), 141(39), 15483-15487",79,0.0
Ircatalyzed_CH_borylation,Unknown,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CC(OS(=O)(=O)[O-])c1ccccc1Br.CCC[N+](CCC)(CCC)CCC>>CC(O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1Br,|Alkyl-O* -> Ar-B(OR)2|R2CH-OH | spectators: Ar-Alkyl|Ar-Br,"summary:redox=uncertain, q=low(0.00), mol=unknown, ring=-1 | alerts:anom=bond_key_demoted_due_to_inconsistency",Alkyl-O*,Alkyl-O*,Alkyl-N*,Ar-B(OR)2|R2CH-OH,[Ir(OMe)(cod)]2,,,HCl,,,,,17217-57-1,Dioxane/H2O,Br,"Journal of the American Chemical Society (2019), 141(39), 15483-15487",79,0.0
Ircatalyzed_CH_borylation,Miyaura_borylation,CC1(C)OBOC1(C)C.CCOC(=O)c1c(Br)cccc1Br>>CCOC(=O)c1cc(O)c(B2OC(C)(C)C(C)(C)O2)c(O)c1,|Alkyl-O*|Ar-Br -> Ar-B(OR)2 | spectators: Ar-COOR,"sig:LGDisp+C-O | bonds:+B-C(ar);+C(ar)-O / -Br-C(ar) | context:LG=Br, Nu=O, mech=SNAr | summary:fam=substitution, redox=neutral, q=high(1.00)",Alkyl-O*,Ar-Br,,Ar-B(OR)2|Ar-OH,[Ir(OMe)(cod)]2,,KOtBu,,,,,,73183-34-3/2098537-91-6,THF,COOR,"Journal of the American Chemical Society (2017), 139(23), 7745-7748",71,0.0
Ircatalyzed_CH_borylation,Ircatalyzed_CH_borylation,Cc1ccc2cc(Br)ccc2n1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>Cc1cc(B2OC(C)(C)C(C)(C)O2)c2cc(Br)ccc2n1,|Alkyl-O*|HeteroAr-H -> HeteroAr-B(OR)2 | spectators: Ar-Alkyl|HeteroAr-Br|Quinoline,"kinds:intermolecular_or_multi_component | bonds:+B-C(ar) / -B-B | summary:redox=neutral, q=medium(0.50), ring=-1",HeteroAr-H,Alkyl-O*,,HeteroAr-B(OR)2,[Ir(OMe)(cod)]2,dtbbpy,,,,,,,,MTBE,Quinoline / Br / HeteroAr,"Chemical Science (2012), 3(12), 3505-3515",84,0.0
Ircatalyzed_CH_borylation,Unknown,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CC(C)(C)OC(=O)Nc1ccc(C(F)(F)F)cc1>>CC(C)(C)OC(=O)Nc1ccc(C(F)(F)F)cc1B1OC(C)(C)C(C)(C)O1,|Alkyl-O* -> Ar-B(OR)2 | spectators: Ar-CF3|Ar-N*,"summary:redox=uncertain, q=low(0.00), mol=unknown, ring=-1 | alerts:anom=bond_key_demoted_due_to_inconsistency",Alkyl-O*,Alkyl-O*,,Ar-B(OR)2,[Ir(OMe)(cod)]2,dtbbpy,,,,,,,25015-63-8,Cyclohexane,CF3 / N*,"Journal of the American Chemical Society (2012), 134(28), 11350-11353",82,0.0
Ircatalyzed_CH_borylation,Unknown,CN(C)N=Cc1ccc(Cl)cc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CN(C)N=Cc1ccc(Cl)cc1B1OC(C)(C)C(C)(C)O1,|Alkyl-O* -> Ar-B(OR)2 | spectators: Ar-C=N|Ar-Cl|CH3-NR2,"kinds:intermolecular_or_multi_component | bonds:+B-C(ar) / -B-B | summary:redox=neutral, q=medium(0.50), ring=-1",Ar-Cl,Alkyl-O*,,Ar-B(OR)2,[Ir(OMe)(cod)]2,,,,,,,,237402-29-8/25015-63-8,THF,NR2 / C=N / Cl,"Angewandte Chemie, International Edition (2011), 50(49), 11724-11728, S11724/1-S11724/66",73,-0.71
Ircatalyzed_CH_borylation,Unknown,FC(F)(F)Oc1cccc(Br)c1.CC1(C)OBOC1(C)C>>CC1(C)OB(c2cc(Br)cc(OC(F)(F)F)c2)OC1(C)C,|Alkyl-O* -> Ar-B(OR)2 | spectators: Ar-Br|Ar-OCF3,"kinds:intermolecular_or_multi_component | bonds:+B-C(ar) | summary:redox=neutral, q=high(1.00)",Ar-Br,Alkyl-O*,,Ar-B(OR)2,[Ir(OMe)(cod)]2,bpy,,,,,,,,,Br / OCF3,"Organic Letters (2015), 17(17), 4256-4259",97,0.71
Ircatalyzed_CH_borylation,Event:C-C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Fc1c(F)c(F)c(/N=C/c2ccc(C(F)(F)F)cc2)c(F)c1F>>CC1(C)OB(c2cc(C(F)(F)F)ccc2/C=N/c2c(F)c(F)c(F)c(F)c2F)OC1(C)C,|Alkyl-O* -> Ar-B(OR)2 | spectators: Ar-C=N|Ar-CF3|Ar-F|Ar-N*,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+B-C;+C-C(ar) / -B-B;-C-O | summary:fam=bond_formation, redox=net_reduction, q=medium(0.50), ring=-1",Alkyl-O*,Ar-F,,Ar-B(OR)2,[Ir(OMe)(cod)]2,P(C6F5)3,,,,,,,498-66-8,Mesitylene,C=N / CF3 / F / N*,"Organic & Biomolecular Chemistry (2014), 12(13), 2041-2044",77,0.0
Ircatalyzed_CH_borylation,Ircatalyzed_CH_borylation,Cc1ccc2nc(C)ccc2c1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>Cc1ccc2nc(C)cc(B3OC(C)(C)C(C)(C)O3)c2c1,|Alkyl-O*|HeteroAr-H -> HeteroAr-B(OR)2 | spectators: Ar-Alkyl|Quinoline,"kinds:intermolecular_or_multi_component | bonds:+B-C(ar) / -B-B | summary:redox=neutral, q=medium(0.50), ring=-1",HeteroAr-H,Alkyl-O*,,HeteroAr-B(OR)2,[Ir(OMe)(cod)]2,dtbbpy,,,,,,,,MTBE,Quinoline / HeteroAr,"Organic & Biomolecular Chemistry (2014), 12(37), 7318-7327",72,-0.58
Ircatalyzed_CH_borylation,Unknown,CC1(C)OBOC1(C)C.N#Cc1cccc(OC(F)(F)F)c1>>CC1(C)OB(c2cc(C#N)cc(OC(F)(F)F)c2)OC1(C)C,|Alkyl-O* -> Ar-B(OR)2 | spectators: Ar-CN|Ar-OCF3,"kinds:intermolecular_or_multi_component | bonds:+B-C(ar) | summary:redox=neutral, q=high(1.00)",Alkyl-O*,Ar-CN,,Ar-B(OR)2,[Ir(OMe)(cod)]2,bpy,,,,,,,,,CN / OCF3,"Organic Letters (2015), 17(17), 4256-4259",92,0.0
