reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Julia-Kocienski_Olefination,Reduction_carbonyl_to_alcohol,C[C@H]1OC(C)(C)O[C@@H]1/C=C/CS(=O)(=O)c1nnnn1-c1ccccc1.CC(C)c1ccc2nc(Cl)c(C=O)cc2c1>>CC(C)c1ccc2nc(Cl)c(/C=C/C=C/[C@@H](O)[C@@H](C)O)cc2c1,|Ar-AromN|Ar-CHO|Ar-SR|R3C-OR|R_acidic-H -> R2CH-OH | spectators: Ar-Alkyl|Ar-Cl|HeteroAr-H|Quinoline,R_acidic-H|R3C-OR|Ar-SR|Ar-AromN,Ar-CHO,,Alkenyl-Alkenyl|Ar-Alkenyl|R2CH-OH,,,KHMDS,p-TsOH,,,,,,THF/MeOH,Quinoline / Cl / HeteroAr,"RSC Advances (2014), 4(16), 8365-8375",70.0,0.0
Julia-Kocienski_Olefination,Reduction_carbonyl_to_alcohol,COc1ccccc1C=O.C[C@@H]1O[C@H](CS(=O)(=O)c2nnnn2-c2ccccc2)[C@H]2OC(C)(C)O[C@H]21>>COc1ccccc1/C=C/[C@H]1O[C@@H](C)[C@H](O)[C@@H]1O,|Ar-AromN|Ar-CHO|Ar-SR|R3C-OR -> R2CH-OH | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: C-O; C-S | spectators: Ar-OR|R2CH-OR,Ar-CHO,R_acidic-H|R3C-OR|Ar-SR|Ar-AromN,,Ar-Alkenyl|R2CH-OH,,,KHMDS/Na2CO3,HCl,,,,,,H2O/PhMe/DME/THF,OR,"ARKIVOC (Gainesville, FL, United States) (2012), (6), 365-383",49.0,0.0
Julia-Kocienski_Olefination,Reduction_carbonyl_to_alcohol,O=Cc1ccccc1C(F)(F)F.C[C@@H]1O[C@H](CS(=O)(=O)c2nnnn2-c2ccccc2)[C@H]2OC(C)(C)O[C@H]21>>C[C@@H]1O[C@H](/C=C/c2ccccc2C(F)(F)F)[C@@H](O)[C@H]1O,|Ar-AromN|Ar-CHO|Ar-SR|R3C-OR|R_acidic-H -> R2CH-OH | spectators: Ar-CF3|R2CH-OR,Ar-CHO,R_acidic-H|R3C-OR|Ar-SR|Ar-AromN,,Ar-Alkenyl|R2CH-OH,,,KHMDS/Na2CO3,HCl,,,,,,H2O/PhMe/DME/THF,CF3 / OR,"ARKIVOC (Gainesville, FL, United States) (2012), (6), 365-383",41.0,0.0
Julia-Kocienski_Olefination,Reduction_carbonyl_to_alcohol,CC1(C)OC[C@H]([C@H](CC=O)O[Si](C)(C)C(C)(C)C)O1.CC(C)(C)[Si](C)(C)OCCCS(=O)(=O)c1nnnn1-c1ccccc1>>CC(C)(C)[Si](C)(C)OCC/C=C/C[C@H](O[Si](C)(C)C(C)(C)C)[C@H](O)CO,|Ar-AromN|Ar-SR|R3C-OR|RCH2-CHO|RCH2-OR|R_acidic-H -> R2CH-OH|RCH2-OH | spectators: Alkyl-Si*,RCH2-CHO|R_acidic-H|RCH2-OR|R3C-OR,R_acidic-H|Ar-SR|Ar-AromN,,R2CH-OH|RCH2-OH,Titanium tetrachloride,,KHMDS/NaHCO3,,,,NH4Cl,,,PhMe/THF/H2O/DCM,Si*,"Chemistry - A European Journal (2017), 23(68), 17191-17194",49.0,0.0
Julia-Kocienski_Olefination,Event:C-C,CCCCCCCCCC=O.COC(CS(=O)(=O)c1nnnn1-c1ccccc1)OC>>CCCCCCCCC/C=C/C=O,|Ar-AromN|Ar-SR|R2CH-OR|RCH2-CHO|R_acidic-H -> Alkenyl-CHO,RCH2-CHO|R_acidic-H,R_acidic-H|R2CH-OR|Ar-SR|Ar-AromN,,Alkenyl-CHO,,,KOtBu,HCl,,,,,,THF/EtOAc/H2O,,"Journal of Organic Chemistry (2021), 86(9), 6969-6973",89.0,0.0
Julia-Kocienski_Olefination,Reduction_carbonyl_to_alcohol,C[C@H]1OC(C)(C)O[C@@H]1/C=C/CS(=O)(=O)c1nnnn1-c1ccccc1.Cc1ccc2cc(C=O)c(Cl)nc2c1>>Cc1ccc2cc(/C=C/C=C/[C@@H](O)[C@@H](C)O)c(Cl)nc2c1,|Ar-AromN|Ar-CHO|Ar-SR|R3C-OR -> R2CH-OH | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: C-O; C-S | spectators: Ar-Alkyl|Ar-Cl|HeteroAr-H|Quinoline,R_acidic-H|R3C-OR|Ar-SR|Ar-AromN,Ar-CHO,,Alkenyl-Alkenyl|Ar-Alkenyl|R2CH-OH,,,KHMDS,p-TsOH,,,,,,THF/MeOH,Quinoline / Cl / HeteroAr,"RSC Advances (2014), 4(16), 8365-8375",71.0,0.0
Julia-Kocienski_Olefination,Multi-Event:C-O+C-C,O=CC[C@H](O)[C@H](O)CO.COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.COC(C)(C)OC.CC(C)(C)[Si](C)(C)Cl>>COC(=O)/C=C/C[C@H](O[Si](C)(C)C(C)(C)C)[C@H]1COC(C)(C)O1,|Alkyl-H|Ar-H|R2CH-OH|RCH2-CHO|RCH2-OH|R_acidic-H -> Alkenyl-CO2R|RCH2-OR | spectators: Alkyl-Si*|R3C-OR | events: C-O+C-C,RCH2-CHO|RCH2-OH|R2CH-OH|R_acidic-H,Ar-H|Alkyl-H,R3C-OR,Alkenyl-CO2R|RCH2-OR,,,Et3N/NaHCO3,p-TsOH,,,Im,,,THF/Me2CO/DMF/H2O,OR / Si*,"Chemistry - A European Journal (2017), 23(68), 17191-17194",80.0,0.0
Julia-Kocienski_Olefination,Multi-Event:LGDisp+C-C,CC(C)(C)[Si](C)(C)Cl.COC(=O)[C@@H](C)CO.BrC(Br)(Br)Br>>C[C@H](C=C(Br)Br)CO[Si](C)(C)C(C)(C)C,|Alkyl-Br|R2CH-CO2R|RCH2-OH|R_acidic-H -> Alkenyl-Br | spectators: Alkyl-Si* | events: LGDisp+C-C,Alkyl-Si*,R2CH-CO2R|RCH2-OH|R_acidic-H,Alkyl-Br,Alkenyl-Br,,PPh3,,,,,Im,,1191-15-7,DCM/PhMe,Si*,"Chemistry - An Asian Journal (2008), 3(8-9), 1523-1534",55.0,0.0
Julia-Kocienski_Olefination,Event:C-C,O=C(O)c1ccc(CS(=O)(=O)c2nc3ccccc3s2)cc1.Cc1ccc(C=O)cc1.C=[N+]=[N-]>>COC(=O)c1ccc(/C=C/c2ccc(C)cc2)cc1,|Ar-CHO|Ar-CO2H|Bn-SO2R|HeteroAr-H|R_acidic-H|Unclassified-Reactant -> Ar-Alkenyl|Ar-Alkyl | spectators: Ar-Alkyl,Ar-CO2H|R_acidic-H|HeteroAr-H|Bn-SO2R,Ar-CHO,,Ar-Alkenyl|Ar-CO2R,,,DBU,,,,TFA,,,DCM,,"Molecular Diversity (2010), 14(4), 847-853",0.0,0.0
Julia-Kocienski_Olefination,Event:C-C,O=C(O)c1ccc(CS(=O)(=O)c2nc3ccccc3s2)cc1.COc1ccc(C=O)cc1.C=[N+]=[N-]>>COC(=O)c1ccc(/C=C/c2ccc(OC)cc2)cc1,|Ar-CHO|Ar-CO2H|Bn-SO2R|HeteroAr-H|R_acidic-H|Unclassified-Reactant -> Ar-Alkenyl | spectators: Ar-OR,Ar-CO2H|R_acidic-H|HeteroAr-H|Bn-SO2R,Ar-CHO,,Ar-Alkenyl|Ar-CO2R,,,DBU,,,,TFA,,,DCM,OR,"Molecular Diversity (2010), 14(4), 847-853",10.0,0.0
