reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
KabachnikFields,Reductive_amination,Nc1ccc(Br)cc1.CCOP(OCC)OCC.O=C/C=C/c1ccccc1>>CCOP(=O)(OCC)C(/C=C/c1ccccc1)Nc1ccc(Br)cc1,|Alkenyl-CHO|Alkyl-H|Ar-NH2 -> Ar-NHR | spectators: Ar-Alkenyl|Ar-Br,Ar-NH2,Alkyl-H,Alkenyl-CHO,Ar-NHR,,,,,,,,,,Dioxane,Br,"Phosphorus, Sulfur and Silicon and the Related Elements (2021), 196(8), 769-779",76,0.0
KabachnikFields,Reductive_amination,CCOP(OCC)OCC.COc1cccc(N)c1.O=C/C=C/c1ccccc1>>CCOP(=O)(OCC)C(/C=C/c1ccccc1)Nc1cccc(OC)c1,|Alkenyl-CHO|Alkyl-H|Ar-NH2 -> Ar-NHR | spectators: Ar-Alkenyl|Ar-OR,Alkyl-H,Ar-NH2,Alkenyl-CHO,Ar-NHR,,,,,,,,,,Dioxane,OR,"Phosphorus, Sulfur and Silicon and the Related Elements (2021), 196(8), 769-779",87,0.71
KabachnikFields,Unknown,NCc1ccccc1.CCOP(OCC)OCC.O=C/C=C/c1ccccc1>>CCOP(=O)(OCC)C(/C=C/c1ccccc1)NCc1ccccc1,|Alkenyl-CHO|Alkyl-H|Bn-NH2 -> Bn-NHR | spectators: Ar-Alkenyl,Bn-NH2,Alkyl-H,Alkenyl-CHO,Bn-NHR,,,,,,,,,,Dioxane,,"Phosphorus, Sulfur and Silicon and the Related Elements (2021), 196(8), 769-779",73,0.0
KabachnikFields,Reductive_amination,CSc1ccc(N)cc1.CCOP(OCC)OCC.O=C/C=C/c1ccccc1>>CCOP(=O)(OCC)C(/C=C/c1ccccc1)Nc1ccc(SC)cc1,|Alkenyl-CHO|Alkyl-H|Ar-NH2 -> Ar-NHR | spectators: Ar-Alkenyl|Ar-SR,Ar-NH2,Alkyl-H,Alkenyl-CHO,Ar-NHR,,,,,,,,,,Dioxane,SR,"Phosphorus, Sulfur and Silicon and the Related Elements (2021), 196(8), 769-779",75,-0.71
KabachnikFields,Unknown,NC1CCCCC1.CCOP(OCC)OCC.O=C/C=C/c1ccccc1>>CCOP(=O)(OCC)C(/C=C/c1ccccc1)NC1CCCCC1,|Alkenyl-CHO|Alkyl-H|R2CH-NH2 -> R2CH-NHR | spectators: Ar-Alkenyl,R2CH-NH2,Alkyl-H,Alkenyl-CHO,R2CH-NHR,,,,,,,,,,Dioxane,,"Phosphorus, Sulfur and Silicon and the Related Elements (2021), 196(8), 769-779",75,0.0
KabachnikFields,Reductive_amination,CCOP(OCC)OCC.CSc1cccc(N)c1.O=C/C=C/c1ccccc1>>CCOP(=O)(OCC)C(/C=C/c1ccccc1)Nc1cccc(SC)c1,|Alkenyl-CHO|Alkyl-H|Ar-NH2 -> Ar-NHR | spectators: Ar-Alkenyl|Ar-SR,Alkyl-H,Ar-NH2,Alkenyl-CHO,Ar-NHR,,,,,,,,,,Dioxane,SR,"Phosphorus, Sulfur and Silicon and the Related Elements (2021), 196(8), 769-779",77,0.71
KabachnikFields,Reductive_amination,CCOP(OCC)OCC.Nc1ccc(SC(F)(F)F)cc1.O=C/C=C/c1ccccc1>>CCOP(=O)(OCC)C(/C=C/c1ccccc1)Nc1ccc(SC(F)(F)F)cc1,|Alkenyl-CHO|Alkyl-H|Ar-NH2 -> Ar-NHR | spectators: Alkyl-F|Ar-Alkenyl|Ar-SR,Alkyl-H,Ar-NH2,Alkenyl-CHO,Ar-NHR,,,,,,,,,,Dioxane,F / SR,"Phosphorus, Sulfur and Silicon and the Related Elements (2021), 196(8), 769-779",76,0.0
KabachnikFields,Reductive_amination,Nc1cc(Cl)ccc1Cl.CCOP(OCC)OCC.O=C/C=C/c1ccccc1>>CCOP(=O)(OCC)C(/C=C/c1ccccc1)Nc1cc(Cl)ccc1Cl,|Alkenyl-CHO|Alkyl-H|Ar-NH2 -> Ar-NHR | spectators: Ar-Alkenyl|Ar-Cl,Ar-NH2,Alkyl-H,Alkenyl-CHO,Ar-NHR,,,,,,,,,,Dioxane,Cl,"Phosphorus, Sulfur and Silicon and the Related Elements (2021), 196(8), 769-779",84,0.0
KabachnikFields,Reductive_amination,Cc1ccc(N)cc1.CCOP(OCC)OCC.O=C/C=C/c1ccccc1>>CCOP(=O)(OCC)C(/C=C/c1ccccc1)Nc1ccc(C)cc1,|Alkenyl-CHO|Alkyl-H|Ar-NH2 -> Ar-NHR | spectators: Ar-Alkenyl|Ar-Alkyl,Ar-NH2,Alkyl-H,Alkenyl-CHO,Ar-NHR,,,,,,,,,,Dioxane,,"Phosphorus, Sulfur and Silicon and the Related Elements (2021), 196(8), 769-779",76,0.0
KabachnikFields,Reductive_amination,Nc1ccc(Oc2ccc(Cl)cc2)cc1.CCOP(OCC)OCC.O=C/C=C/c1ccccc1>>CCOP(=O)(OCC)C(/C=C/c1ccccc1)Nc1ccc(Oc2ccc(Cl)cc2)cc1,|Alkenyl-CHO|Alkyl-H|Ar-NH2 -> Ar-NHR | spectators: Ar-Alkenyl|Ar-Cl|Ar-OR,Ar-NH2,Alkyl-H,Alkenyl-CHO,Ar-NHR,,,,,,,,,,Dioxane,Cl / OR,"Phosphorus, Sulfur and Silicon and the Related Elements (2021), 196(8), 769-779",80,0.0
