reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Knoevenagel_condensation,Multi-Event:LGDisp+C-N+C-C,CN(C)c1ccc(C=O)cc1.BrCc1ccccc1.O=C1CNC(=S)N1>>CN(C)c1ccc(C=C2NC(=S)N(Cc3ccccc3)C2=O)cc1,|Alkyl-Thiourea|Ar-CHO|Bn-Br|RCH2-CONHR -> Alkenyl-CONR2 | spectators: Ar-NR2,"sig:LGDisp+C-N+C-C | form:C-C;C-N | form_labeled:C-C;C-N | break:Br-C;C-O | redox:net_reduction | redox_conf:0.75 | q:medium(0.50) | q_reason:bond_key_consistency_penalty,broken_bond_element_without_reactant_motif:O,formed_bond_element_without_product_motif:N | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-N | break_cls:Br-C;C-O | lg:Br | nuc:N | ringd:0 | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",Ar-CHO,Bn-Br,RCH2-CONHR|R_acidic-H|Alkyl-Thiourea,Alkenyl-CONR2|Alkenyl-Thiourea|Ar-Alkenyl|Bn-LactamN,"Ni/[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,,PEG-400/Ethylene glycol,NR2,"Medicinal Chemistry Research (2014), 23(10), 4595-4606",92,0.0
Knoevenagel_condensation,Wittig_reaction,BrCc1ccccc1.CC(C)c1ccc(C=O)cc1.O=C1CC(=O)NC(=S)N1>>CC(C)c1ccc(C=C2C(=O)N(Cc3ccccc3)C(=S)N(Cc3ccccc3)C2=O)cc1,|Ar-CHO|Bn-Br|RCH2-CONHR|R_acidic-H -> Ar-Alkenyl | spectators: Ar-Alkyl,"sig:Ann+LGDisp+C-N+C-C | redox:net_reduction | redox_conf:0.75 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation | fam:annulation+substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-N | break_cls:Br-C;C-O | lg:Br | nuc:N | ringd:1 | anom:mapping_unreliable_fallback_used,multi_transform_record_possible | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",Bn-Br,Ar-CHO,RCH2-CONHR|R_acidic-H,Alkenyl-CONR2|Ar-Alkenyl|Bn-LactamN,"Ni/[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,,PEG-400/Ethylene glycol,,"Medicinal Chemistry Research (2014), 23(10), 4595-4606",89,-0.71
Knoevenagel_condensation,Wittig_reaction,O=Cc1ccc2ccccc2c1.BrCc1ccccc1.O=C1CC(=O)NC(=S)N1>>O=C1C(=Cc2ccc3ccccc3c2)C(=O)N(Cc2ccccc2)C(=S)N1Cc1ccccc1,|Ar-CHO|Bn-Br|RCH2-CONHR|R_acidic-H -> Ar-Alkenyl,"sig:Ann+LGDisp+C-N+C-C | redox:net_reduction | redox_conf:0.75 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation | fam:annulation+substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-N | break_cls:Br-C;C-O | lg:Br | nuc:N | ringd:1 | anom:mapping_unreliable_fallback_used,multi_transform_record_possible | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",Ar-CHO,Bn-Br,RCH2-CONHR|R_acidic-H,Alkenyl-CONR2|Ar-Alkenyl|Bn-LactamN,"Ni/[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,,PEG-400/Ethylene glycol,,"Medicinal Chemistry Research (2014), 23(10), 4595-4606",87,0.0
Knoevenagel_condensation,Multi-Event:LGDisp+C-N+C-C,BrCc1ccccc1.O=C1CNC(=S)N1.N#Cc1cccc(C=O)c1>>N#Cc1cccc(C=C2NC(=S)N(Cc3ccccc3)C2=O)c1,|Alkyl-Thiourea|Ar-CHO|Bn-Br|RCH2-CONHR -> Alkenyl-CONR2 | spectators: Ar-CN,"sig:LGDisp+C-N+C-C | form:C-C;C-N | form_labeled:C-C;C-N | break:Br-C;C-O | redox:net_reduction | redox_conf:0.75 | q:medium(0.50) | q_reason:bond_key_consistency_penalty,broken_bond_element_without_reactant_motif:O,formed_bond_element_without_product_motif:N | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-N | break_cls:Br-C;C-O | lg:Br | nuc:N | ringd:0 | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",Bn-Br,RCH2-CONHR|R_acidic-H|Alkyl-Thiourea,Ar-CHO,Alkenyl-CONR2|Alkenyl-Thiourea|Ar-Alkenyl|Bn-LactamN,"Ni/[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,,PEG-400/Ethylene glycol,CN,"Medicinal Chemistry Research (2014), 23(10), 4595-4606",93,-0.71
Knoevenagel_condensation,Wittig_reaction,BrCc1ccccc1.O=C1CC(=O)NC(=S)N1.Cc1ccccc1C=O>>Cc1ccccc1C=C1C(=O)N(Cc2ccccc2)C(=S)N(Cc2ccccc2)C1=O,|Ar-CHO|Bn-Br|RCH2-CONHR|R_acidic-H -> Ar-Alkenyl | spectators: Ar-Alkyl,"sig:Ann+LGDisp+C-N+C-C | redox:net_reduction | redox_conf:0.75 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation | fam:annulation+substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-N | break_cls:Br-C;C-O | lg:Br | nuc:N | ringd:1 | anom:mapping_unreliable_fallback_used,multi_transform_record_possible | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",Bn-Br,RCH2-CONHR|R_acidic-H,Ar-CHO,Alkenyl-CONR2|Ar-Alkenyl|Bn-LactamN,"Ni/[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,,PEG-400/Ethylene glycol,,"Medicinal Chemistry Research (2014), 23(10), 4595-4606",91,0.71
Knoevenagel_condensation,Multi-Event:LGDisp+C-N+C-C,BrCc1ccccc1.O=Cc1ccc(F)cc1.O=C1CNC(=S)N1>>O=C1C(=Cc2ccc(F)cc2)NC(=S)N1Cc1ccccc1,|Alkyl-Thiourea|Ar-CHO|Bn-Br|RCH2-CONHR -> Alkenyl-CONR2 | spectators: Ar-F,"sig:LGDisp+C-N+C-C | form:C-C;C-N | form_labeled:C-C;C-N | break:Br-C;C-O | redox:net_reduction | redox_conf:0.75 | q:medium(0.50) | q_reason:bond_key_consistency_penalty,broken_bond_element_without_reactant_motif:O,formed_bond_element_without_product_motif:N | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-N | break_cls:Br-C;C-O | lg:Br | nuc:N | ringd:0 | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",Bn-Br,Ar-CHO,RCH2-CONHR|R_acidic-H|Alkyl-Thiourea,Alkenyl-CONR2|Alkenyl-Thiourea|Ar-Alkenyl|Bn-LactamN,"Ni/[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,,PEG-400/Ethylene glycol,F,"Medicinal Chemistry Research (2014), 23(10), 4595-4606",90,0.0
Knoevenagel_condensation,Alkyl_Nucleophilic_Substitution,O=C1CSC(=O)N1.O=Cc1ccc2ccccc2n1.CCCCBr>>CCCCN1C(=O)SC(=Cc2ccc3ccccc3n2)C1=O,|Ar-CHO|RCH2-Br|RCH2-CONHR -> Alkyl-NRCOR | spectators: HeteroAr-H|Quinoline,"sig:LGDisp+C-N+C-C | form:C-C;C-N | form_labeled:C-C;C-N | break:Br-C;C-O | redox:net_reduction | redox_conf:0.75 | q:medium(0.50) | q_reason:bond_key_consistency_penalty,broken_bond_element_without_reactant_motif:O,formed_bond_element_without_product_motif:N | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-N | break_cls:Br-C;C-O | lg:Br | nuc:N | ringd:0 | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",RCH2-CONHR|R_acidic-H,Ar-CHO,RCH2-Br,Alkenyl-CONR2|Alkyl-NRCOR|Ar-Alkenyl,,,,,,,,,,PEG-400,Quinoline / HeteroAr,"Indian Journal of Chemistry, Section B: Organic Chemistry Including Medicinal Chemistry (2012), 51B(9), 1396-1399",90,0.0
Knoevenagel_condensation,Wittig_reaction,BrCc1ccccc1.O=Cc1ccc(F)cc1.O=C1CC(=O)NC(=S)N1>>O=C1C(=Cc2ccc(F)cc2)C(=O)N(Cc2ccccc2)C(=S)N1Cc1ccccc1,|Ar-CHO|Bn-Br|RCH2-CONHR|R_acidic-H -> Ar-Alkenyl | spectators: Ar-F,"sig:Ann+LGDisp+C-N+C-C | redox:net_reduction | redox_conf:0.75 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation | fam:annulation+substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-N | break_cls:Br-C;C-O | lg:Br | nuc:N | ringd:1 | anom:mapping_unreliable_fallback_used,multi_transform_record_possible | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",Bn-Br,Ar-CHO,RCH2-CONHR|R_acidic-H,Alkenyl-CONR2|Ar-Alkenyl|Bn-LactamN,"Ni/[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,,PEG-400/Ethylene glycol,F,"Medicinal Chemistry Research (2014), 23(10), 4595-4606",88,0.0
Knoevenagel_condensation,Wittig_reaction,BrCc1ccccc1.O=C1CC(=O)NC(=S)N1.O=Cc1ccccc1[N+](=O)[O-]>>O=C1C(=Cc2ccccc2[N+](=O)[O-])C(=O)N(Cc2ccccc2)C(=S)N1Cc1ccccc1,|Ar-CHO|Bn-Br|RCH2-CONHR|R_acidic-H -> Ar-Alkenyl | spectators: Ar-NO2,"sig:Ann+LGDisp+C-N+C-C | redox:net_reduction | redox_conf:0.75 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation | fam:annulation+substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-N | break_cls:Br-C;C-O | lg:Br | nuc:N | ringd:1 | anom:mapping_unreliable_fallback_used,multi_transform_record_possible | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",Bn-Br,RCH2-CONHR|R_acidic-H,Ar-CHO,Alkenyl-CONR2|Ar-Alkenyl|Bn-LactamN,"Ni/[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,,PEG-400/Ethylene glycol,NO2,"Medicinal Chemistry Research (2014), 23(10), 4595-4606",90,-0.58
Knoevenagel_condensation,Multi-Event:LGDisp+C-N+C-C,BrCc1ccccc1.N#Cc1ccc(C=O)cc1.O=C1CNC(=S)N1>>N#Cc1ccc(C=C2NC(=S)N(Cc3ccccc3)C2=O)cc1,|Alkyl-Thiourea|Ar-CHO|Bn-Br|RCH2-CONHR -> Alkenyl-CONR2 | spectators: Ar-CN,"sig:LGDisp+C-N+C-C | form:C-C;C-N | form_labeled:C-C;C-N | break:Br-C;C-O | redox:net_reduction | redox_conf:0.75 | q:medium(0.50) | q_reason:bond_key_consistency_penalty,broken_bond_element_without_reactant_motif:O,formed_bond_element_without_product_motif:N | kinds:c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C;C-N | break_cls:Br-C;C-O | lg:Br | nuc:N | ringd:0 | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",Bn-Br,Ar-CHO,RCH2-CONHR|R_acidic-H|Alkyl-Thiourea,Alkenyl-CONR2|Alkenyl-Thiourea|Ar-Alkenyl|Bn-LactamN,"Ni/[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,,PEG-400/Ethylene glycol,CN,"Medicinal Chemistry Research (2014), 23(10), 4595-4606",94,0.71
