reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Kumada_coupling,Multi-Event:LGDisp+C-C,C=C(OCC)[Sn](CCCC)(CCCC)CCCC.Nc1c(F)cc(Br)cc1C(F)(F)F>>CC(=O)c1cc(F)c(N)c(C(F)(F)F)c1,|Alkenyl-OR|Alkenyl-Sn*|Ar-Br -> Ar-COR|R_acidic-H | spectators: Ar-CF3|Ar-F|Ar-NH2,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-O;C-Sn | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:oa_based_coupling | risk:overreaction_or_chemoselectivity | ehyb:sp2 | eenv:aromatic_sp2 | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Alkenyl-Sn*|Alkenyl-OR,Ar-Br,,Ar-COR|R_acidic-H,Pd(PPh3)4,,,HCl,,,,,,Dioxane/H2O,NH2 / CF3 / F,"World Intellectual Property Organization, WO2019025562 A1 2019-02-07",70.0,0.0
Kumada_coupling,Multi-Event:LGDisp+C-C,C=C(OCC)[Sn](CCCC)(CCCC)CCCC.FC(F)c1cc(I)ccc1Br>>CC(=O)c1ccc(Br)c(C(F)F)c1,|Alkenyl-OR|Alkenyl-Sn*|Ar-I -> Ar-COR|R_acidic-H | spectators: Alkyl-F|Ar-Alkyl|Ar-Br,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:C-I;C-O;C-Sn | lg:I | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:oa_based_coupling | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Alkenyl-Sn*|Alkenyl-OR,Ar-I,,Ar-COR|R_acidic-H,Pd(PPh3)4,,,HCl,,,,,,Dioxane/H2O,Br / F,"World Intellectual Property Organization, WO2019025562 A1 2019-02-07",0.0,0.0
Kumada_coupling,Multi-Event:LGDisp+C-C,C=C(OCC)[Sn](CCCC)(CCCC)CCCC.O=C1NN=C(c2ccc(Br)c(C(F)(F)F)c2)CO1>>CC(=O)c1ccc(C2=NNC(=O)OC2)cc1C(F)(F)F,|Alkenyl-OR|Alkenyl-Sn*|Ar-Br -> Ar-COR|R_acidic-H | spectators: Ar-C=N|Ar-CF3,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-O;C-Sn | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:oa_based_coupling | risk:overreaction_or_chemoselectivity | ehyb:sp2 | eenv:aromatic_sp2 | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Alkenyl-Sn*|Alkenyl-OR,Ar-Br,,Ar-COR|R_acidic-H,Pd(PPh3)4,,,HCl,,,,,,Dioxane/H2O,C=N / CF3,"World Intellectual Property Organization, WO2019025562 A1 2019-02-07",65.0,0.0
Kumada_coupling,Kumada,COc1ccccc1Br.Br[Mg]C1CCCCC1>>Oc1ccccc1C1CCCCC1,|Ar-Br|Ar-OR|R2CH-Mg* -> Ar-Alkyl,sig:LGDisp+C-C | form:C-C(ar) | form_labeled:C-C(ar)[Ar-Alkyl] | break:Br-C(ar);C-Mg;C-O | redox:net_reduction | redox_conf:0.65 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-Mg;C-O | lg:Br | nuc:C | ringd:0 | mech:oa_based_coupling | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-Br|Ar-OR,R2CH-Mg*,,Ar-Alkyl|Ar-OH,Ni,,,BBr3,,,,,,,,"Bioorganic & Medicinal Chemistry Letters (2015), 25(7), 1377-1380",0.0,0.0
Kumada_coupling,Kumada,COc1ccccc1Br.Br[Mg]C1CCCC1>>Oc1ccccc1C1CCCC1,|Ar-Br|Ar-OR|R2CH-Mg* -> Ar-Alkyl,sig:LGDisp+C-C | form:C-C(ar) | form_labeled:C-C(ar)[Ar-Alkyl] | break:Br-C(ar);C-Mg;C-O | redox:net_reduction | redox_conf:0.65 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-Mg;C-O | lg:Br | nuc:C | ringd:0 | mech:oa_based_coupling | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-Br|Ar-OR,R2CH-Mg*,,Ar-Alkyl|Ar-OH,Ni,,,BBr3,,,,,,,,"Bioorganic & Medicinal Chemistry Letters (2015), 25(7), 1377-1380",0.0,0.0
Kumada_coupling,Kumada,O=Cc1ccccc1.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.CC(C)[Mg]Cl>>CC(C)c1ccc(/C=C/c2ccccc2)cc1O,|Ar-Br|Ar-CHO|Ar-OR|R2CH-Mg*|RCH2-PO2OR -> Ar-Alkenyl | spectators: Ar-Alkyl,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-Mg;C-O;C-P | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:oa_based_coupling | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO,Ar-Br|RCH2-PO2OR|Ar-OR,R2CH-Mg*,Ar-Alkenyl|Ar-OH,"1,2-Bis(diphenylphosphino)ethane nickel(II) chloride",,NaOH,BBr3,,,,,,H2O/THF/Et2O/DCM,,"United States, US9725406 B1 2017-08-08",0.0,0.0
Kumada_coupling,Kumada,O=Cc1ccccc1F.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.CC(C)[Mg]Cl>>CC(C)c1ccc(/C=C/c2ccccc2F)cc1O,|Ar-Br|Ar-CHO|Ar-OR|R2CH-Mg*|RCH2-PO2OR -> Ar-Alkenyl | spectators: Ar-Alkyl|Ar-F,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-Mg;C-O;C-P | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:oa_based_coupling | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO,Ar-Br|RCH2-PO2OR|Ar-OR,R2CH-Mg*,Ar-Alkenyl|Ar-OH,"1,2-Bis(diphenylphosphino)ethane nickel(II) chloride",,NaOH,BBr3,,,,,,H2O/THF/Et2O/DCM,F,"United States, US9725406 B1 2017-08-08",0.0,0.0
Kumada_coupling,Kumada,O=Cc1cccc(F)c1.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.CC(C)[Mg]Cl>>CC(C)c1ccc(/C=C/c2cccc(F)c2)cc1O,|Ar-Br|Ar-CHO|Ar-OR|R2CH-Mg*|RCH2-PO2OR -> Ar-Alkenyl | spectators: Ar-Alkyl|Ar-F,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-Mg;C-O;C-P | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:oa_based_coupling | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO,Ar-Br|RCH2-PO2OR|Ar-OR,R2CH-Mg*,Ar-Alkenyl|Ar-OH,"1,2-Bis(diphenylphosphino)ethane nickel(II) chloride",,NaOH,BBr3,,,,,,H2O/THF/Et2O/DCM,F,"United States, US9725406 B1 2017-08-08",0.0,0.0
Kumada_coupling,Kumada,O=Cc1ccc(F)cc1F.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.CC(C)[Mg]Cl>>CC(C)c1ccc(/C=C/c2ccc(F)cc2F)cc1O,|Ar-Br|Ar-CHO|Ar-OR|R2CH-Mg*|RCH2-PO2OR -> Ar-Alkenyl | spectators: Ar-Alkyl|Ar-F,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-Mg;C-O;C-P | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:oa_based_coupling | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO,Ar-Br|RCH2-PO2OR|Ar-OR,R2CH-Mg*,Ar-Alkenyl|Ar-OH,"1,2-Bis(diphenylphosphino)ethane nickel(II) chloride",,NaOH,BBr3,,,,,,H2O/THF/Et2O/DCM,F,"United States, US9725406 B1 2017-08-08",0.0,0.0
Kumada_coupling,Kumada,O=Cc1c(F)cccc1F.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.CC(C)[Mg]Cl>>CC(C)c1ccc(/C=C/c2c(F)cccc2F)cc1O,|Ar-Br|Ar-CHO|Ar-OR|R2CH-Mg*|RCH2-PO2OR -> Ar-Alkenyl | spectators: Ar-Alkyl|Ar-F,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-Mg;C-O;C-P | lg:Br | nuc:C | ringd:0 | anom:mapping_unreliable_fallback_used | mech:oa_based_coupling | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO,Ar-Br|RCH2-PO2OR|Ar-OR,R2CH-Mg*,Ar-Alkenyl|Ar-OH,"1,2-Bis(diphenylphosphino)ethane nickel(II) chloride",,NaOH,BBr3,,,,,,H2O/THF/Et2O/DCM,F,"United States, US9725406 B1 2017-08-08",0.0,0.0
