reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
LiebeskindSrogl_coupling,Suzuki_miyaura / C_N_Coupling / Chan_Lam_C_N_Coupling,Clc1cccnc1Nc1ccccc1.Cc1ccccc1B(O)O>>Cc1ccccc1-c1cccnc1Nc1ccccc1.Cc1ccccc1-c1ccccc1Nc1ccccn1,|Ar-B(OH)2|HeteroAr-Cl -> Ar-Alkyl|HeteroAr-Ar | spectators: Ar-Alkyl|HeteroAr-H|HeteroAr-NHR|Pyridine,"sig:Ann+LGDisp+C-C | bonds:+C(ar)-C(ar) / -B-C(ar);-C(ar)-Cl | context:LG=Cl, Nu=C, mech=oa_based_coupling | summary:fam=annulation+substitution, redox=net_reduction, q=high(0.85), ring=+3 | alerts:anom=multi_transform_record_possible",HeteroAr-Cl,Ar-B(OH)2,,Ar-Alkyl|Ar-Ar|HeteroAr-Ar|HeteroAr-H|HeteroAr-NHR|Pyridine,Pd(OAc)2,XPhos,K2CO3,,,,,,,PhMe,Pyridine / NHR / HeteroAr,"European Journal of Organic Chemistry (2011), (10), 1972-1979, S1972/1-S1972/98",28.0,0.0
LiebeskindSrogl_coupling,Chan_Lam_C_N_Coupling / Suzuki_miyaura,Nc1ccccc1.Clc1cccnc1Cl.OB(O)c1ccccc1>>c1ccc(Nc2ncccc2-c2ccccc2)cc1,|Ar-B(OH)2|Ar-NH2|HeteroAr-Cl -> HeteroAr-NHR | spectators: HeteroAr-H|Pyridine,"sig:LGDisp+C-N+C-C | bonds:+C(ar)-C(ar);+C(ar)-N / -B-C(ar);-C(ar)-Cl | context:LG=Cl, Nu=N, mech=SNAr+oa_based_coupling | summary:fam=substitution, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Ar-NH2,HeteroAr-Cl,Ar-B(OH)2,HeteroAr-Ar|HeteroAr-NHR,Pd(OAc)2,XPhos,K2CO3,,,,,,,PhMe,Pyridine / HeteroAr,"European Journal of Organic Chemistry (2011), (10), 1972-1979, S1972/1-S1972/98",34.0,0.0
LiebeskindSrogl_coupling,Liebeskind_Srogl,CC(C)(C)c1ccc(B(O)O)cc1.COc1ccc(Cn2cc(Cl)nc(Sc3ccccc3)c2=O)cc1>>COc1ccc(Cn2cc(Cl)nc(-c3ccc(C(C)(C)C)cc3)c2=O)cc1,|Ar-B(OH)2|Ar-SR -> HeteroAr-Ar | spectators: Alkyl-AromN|Ar-Alkyl|Ar-OR|HeteroAr-Cl|HeteroAr-H|Pyrimidine,"summary:redox=uncertain, q=low(0.00), mol=unknown, ring=-1 | alerts:anom=bond_key_demoted_due_to_inconsistency",Ar-B(OH)2,Ar-SR,,HeteroAr-Ar,CuTC/Pd(PPh3)4,,,,,,,,,THF,Pyrimidine / AromN / Cl / HeteroAr / OR,"Organic & Biomolecular Chemistry (2007), 5(18), 2962-2965",96.0,0.99
LiebeskindSrogl_coupling,Liebeskind_Srogl,COc1ccc(-c2ccnc(SC)n2)cc1.COc1ccc(B(O)O)cc1F>>COc1ccc(-c2ccnc(-c3ccc(OC)c(F)c3)n2)cc1,|Ar-B(OH)2|Ar-SR -> HeteroAr-Ar | spectators: Ar-F|Ar-OR|HeteroAr-Ar|HeteroAr-H|Pyrimidine,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C(ar)-C(ar) / -B-C(ar);-C(ar)-S | summary:fam=bond_formation, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Ar-SR,Ar-B(OH)2,,HeteroAr-Ar,Pd(PPh3)4/CuTC,,,,,,,,,THF,Pyrimidine / F / HeteroAr / OR,"Synlett (2012), 23(9), 1305-1308",89.0,-0.48
LiebeskindSrogl_coupling,Liebeskind_Srogl,CCOc1cccc(B(O)O)c1.COc1ccc(Cn2cc(Cl)nc(Sc3ccccc3)c2=O)cc1>>CCOc1cccc(-c2nc(Cl)cn(Cc3ccc(OC)cc3)c2=O)c1,|Ar-B(OH)2|Ar-SR -> HeteroAr-Ar | spectators: Alkyl-AromN|Ar-Alkyl|Ar-OR|HeteroAr-Cl|HeteroAr-H|Pyrimidine,"summary:redox=uncertain, q=low(0.00), mol=unknown, ring=-1 | alerts:anom=bond_key_demoted_due_to_inconsistency",Ar-B(OH)2,Ar-SR,,HeteroAr-Ar|Pyrimidine,CuTC/Pd(PPh3)4,,,,,,,,,THF,Pyrimidine / AromN / Cl / HeteroAr / OR,"Organic & Biomolecular Chemistry (2007), 5(18), 2962-2965",88.0,0.53
LiebeskindSrogl_coupling,Suzuki_miyaura,Cc1ccc(B(O)O)cc1.COc1nc(Cl)cnc1SC>>COc1nc(-c2ccc(C)cc2)cnc1SC,|Ar-B(OH)2|HeteroAr-Cl -> HeteroAr-Ar | spectators: Ar-Alkyl|Ar-SR|HeteroAr-H|HeteroAr-OR|Pyrimidine,"sig:LGDisp+C-C | bonds:+C(ar)-C(ar) / -B-C(ar);-C(ar)-Cl | context:LG=Cl, Nu=C, mech=oa_based_coupling | summary:fam=substitution, redox=net_reduction, q=high(1.00)",Ar-B(OH)2,HeteroAr-Cl,,HeteroAr-Ar,Pd(PPh3)4,,K2CO3,,,,,,,Dioxane/H2O,Pyrimidine / HeteroAr / OR / SR,"Journal of Organic Chemistry (2008), 73(6), 2382-2388",91.0,0.0
LiebeskindSrogl_coupling,Multi-Event:LGDisp+C-C,COc1ccc(Cn2cc(Cl)nc(Cl)c2=O)cc1.OB(O)c1cccc(Br)c1.OB(O)c1ccccc1>>O=c1c(-c2ccccc2)nc(Cl)cn1-c1cccc(Br)c1,|Alkyl-AromN|Ar-Alkyl|Ar-OR|HeteroAr-Cl -> Ar-AromN|HeteroAr-Ar|Pyrimidine | spectators: Ar-Br|HeteroAr-H|Pyrimidine,"sig:LGDisp+C-C | bonds:+C(ar)-C(ar) / -C(ar)-Cl;-C(ar)-O;-C-C(ar) | context:LG=Cl, Nu=C, mech=oa_based_coupling | summary:fam=substitution, redox=net_reduction, q=high(1.00), ring=-1 | alerts:risk=overreaction_or_chemoselectivity",HeteroAr-Cl|Ar-OR|Ar-Alkyl|Alkyl-AromN,Ar-B(OH)2,Ar-B(OH)2,Ar-AromN|HeteroAr-Ar|Pyrimidine,Cu(OAc)2/CuTC/Pd(PPh3)4,,DIPEA/Pyridine/Et3N,,,,TFA,,,THF/DCM,Pyrimidine / Br / Cl / HeteroAr,"Journal of Combinatorial Chemistry (2007), 9(3), 446-453",29.0,-0.71
LiebeskindSrogl_coupling,Liebeskind_Srogl,COc1ccc(B(O)O)cc1F.COc1ccc(-c2ccnc(SC)n2)cc1F>>COc1ccc(-c2ccnc(-c3ccc(OC)c(F)c3)n2)cc1F,|Ar-B(OH)2|Ar-SR -> HeteroAr-Ar | spectators: Ar-F|Ar-OR|HeteroAr-Ar|HeteroAr-H|Pyrimidine,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C(ar)-C(ar) / -B-C(ar);-C(ar)-S | summary:fam=bond_formation, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Ar-B(OH)2,Ar-SR,,HeteroAr-Ar,Pd(PPh3)4/CuTC,,,,,,,,,THF,Pyrimidine / F / HeteroAr / OR,"Synlett (2012), 23(9), 1305-1308",99.0,0.82
LiebeskindSrogl_coupling,Liebeskind_Srogl,OB(O)c1ccc(C(F)(F)F)cc1.COc1cc(C(=O)c2sc(SC)nc2N)cc(OC)c1OC>>COc1cc(C(=O)c2sc(-c3ccc(C(F)(F)F)cc3)nc2N)cc(OC)c1OC,|Ar-B(OH)2|Ar-SR -> HeteroAr-Ar | spectators: Ar-CF3|Ar-COR|Ar-OR|HeteroAr-NH2|Thiazole,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C(ar)-C(ar) / -B-C(ar);-C(ar)-S | summary:fam=bond_formation, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Ar-B(OH)2,Ar-SR,,HeteroAr-Ar,Pd2(dba)3  CHCl3/CuTC,,,,,,,,117-89-5,THF,Thiazole / NH2 / CF3 / COR / OR,"Journal of Medicinal Chemistry (2012), 55(11), 5433-5445",56.0,0.0
LiebeskindSrogl_coupling,Liebeskind_Srogl,COc1ccc(B(O)O)cc1.COc1ccc(Cn2cc(Cl)nc(Sc3ccccc3)c2=O)cc1>>COc1ccc(Cn2cc(Cl)nc(-c3ccc(OC)cc3)c2=O)cc1,|Ar-B(OH)2|Ar-SR -> HeteroAr-Ar | spectators: Alkyl-AromN|Ar-Alkyl|Ar-OR|HeteroAr-Cl|HeteroAr-H|Pyrimidine,"summary:redox=uncertain, q=low(0.00), mol=unknown, ring=-1 | alerts:anom=bond_key_demoted_due_to_inconsistency",Ar-B(OH)2,Ar-SR,,HeteroAr-Ar,CuTC/Pd(PPh3)4,,,,,,,,,THF,Pyrimidine / AromN / Cl / HeteroAr / OR,"Organic & Biomolecular Chemistry (2007), 5(18), 2962-2965",90.0,0.65
LiebeskindSrogl_coupling,Liebeskind_Srogl,Cc1cc(C)cc(B(O)O)c1.Ic1cn(Cc2ccccc2)c2ncnc(Sc3ccccc3)c12.OB(O)c1ccccc1>>Cc1cc(C)cc(-c2cn(Cc3ccccc3)c3ncnc(-c4ccccc4)c23)c1,|Ar-B(OH)2|Ar-SR|HeteroAr-I -> HeteroAr-Ar | spectators: Alkyl-AromN|Ar-Alkyl|HeteroAr-H|Pyrimidine,"sig:LGDisp+C-C | bonds:+C(ar)-C(ar) / -B-C(ar);-C(ar)-I;-C(ar)-S | context:LG=I, Nu=C, mech=oa_based_coupling | summary:fam=substitution, redox=net_reduction, q=high(1.00), ring=-1 | alerts:risk=overreaction_or_chemoselectivity",Ar-B(OH)2,HeteroAr-I|Ar-SR,Ar-B(OH)2,HeteroAr-Ar,Pd(PPh3)4,,K2CO3,,,,,,326477-70-7,PhMe/THF,Pyrimidine / AromN / HeteroAr,"European Journal of Organic Chemistry (2014), 2014(32), 7203-7210",64.0,-0.71
LiebeskindSrogl_coupling,Suzuki_miyaura,OB(O)c1ccccc1.Clc1cccnc1NCc1ccccc1>>c1ccc(CNc2ncccc2-c2ccccc2)cc1,|Ar-B(OH)2|HeteroAr-Cl -> HeteroAr-Ar | spectators: HeteroAr-H|HeteroAr-NHR|Pyridine,"sig:LGDisp+C-C | bonds:+C(ar)-C(ar) / -B-C(ar);-C(ar)-Cl | context:LG=Cl, Nu=C, mech=oa_based_coupling | summary:fam=substitution, redox=net_reduction, q=high(1.00)",Ar-B(OH)2,HeteroAr-Cl,,HeteroAr-Ar,Pd(OAc)2,XPhos,K2CO3,,,,,,,PhMe,Pyridine / NHR / HeteroAr,"European Journal of Organic Chemistry (2011), (10), 1972-1979, S1972/1-S1972/98",89.0,-0.52
